Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
109023530752200,Changing Markets Foundation,These ads ran without a disclaimer,≤100,4
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
805945416454845,veikko_bartel,These ads ran without a disclaimer,≤100,1
293513687977752,von allmen architekten ag,These ads ran without a disclaimer,≤100,2
113558805046270,Tanea Medeiros,These ads ran without a disclaimer,≤100,1
105267088402300,Komisija Bijelih Traka - Commission Brassards Blancs,These ads ran without a disclaimer,≤100,1
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,8
103520459311864,Oliver Dürr in den Nationalrat,Oliver Dürr,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,15
36511036382,Central European University,These ads ran without a disclaimer,≤100,2
111390757093321,ASC - Verantwortungsvolle Fischzucht,These ads ran without a disclaimer,≤100,1
100138076253198,collectif_vellinge,These ads ran without a disclaimer,≤100,1
1646078942340668,International Federation For The Roofing Trade,These ads ran without a disclaimer,≤100,1
328594787229525,Sailing-Classics,These ads ran without a disclaimer,≤100,1
102727121816068,Святлана Ціханоўская,These ads ran without a disclaimer,≤100,1
153866051940983,Molto Luce,These ads ran without a disclaimer,≤100,1
358660427653741,UBS Formula 1,These ads ran without a disclaimer,≤100,1
105231872947887,GU - Willkommen im Leben,These ads ran without a disclaimer,≤100,1
204182692934155,Amande Art,These ads ran without a disclaimer,≤100,1
146237848870691,Lukas Stern,These ads ran without a disclaimer,≤100,1
100211985747396,Klimaform,These ads ran without a disclaimer,≤100,1
104819209268652,Meta Universe,These ads ran without a disclaimer,≤100,1
2015601845405680,SP Frauenfeld,SP Frauenfeld,≤100,3
198892435401,University of Chicago Booth School of Business,These ads ran without a disclaimer,≤100,1
102426519271664,Free Easy Search,These ads ran without a disclaimer,≤100,2
111315691692431,João Pedro,These ads ran without a disclaimer,≤100,2
109974522004522,Kalinka. Turkey,These ads ran without a disclaimer,≤100,1
101176682686881,Caldwell Hutchinson,These ads ran without a disclaimer,≤100,1
