Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
113795383753850,Viorel Băltărețu,Cabinet Parlamentar Viorel Băltărețu USRPLUS Cluj,3990,21
200504554237674,USR Teleorman,USR Teleorman,3886,12
102743169253473,Reciclăm în România,Reciclăm în România,3807,59
176989973158138,Guvernare.net,Guvernare.net,3734,4
494469087244449,Eugen Tomac,Eugen Tomac,3710,4
236215875884,Libertatea,Libertatea,3500,1
971907786352729,USR Cluj,USR Cluj,3496,13
612912695435095,Factual,Factual,3482,14
113903080356129,Alin Mituța,Alin Mituța,3444,2
697451833786949,Mihai Polițeanu,POLITEANU MIHAI-LAURENTIU,3440,20
1656475137918717,USR Sector 6,Uniunea Salvati Romania Filiala Sector 6,3409,7
360828814115641,Asociatia Slujire Crestina,Asociatia Slujire Crestina,3376,7
114485501263050,George Lazăr,PNL Neamț,3265,6
165467823513147,Alin Tișe,Alin Tișe,3080,15
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,3007,26
318417928527284,Lucian N. Romascanu,Partidul Social Democrat,3000,6
145716295552939,Lucian Bode,Partidul Național Liberal,3000,1
102106432515274,Partidul Patriotilor,Partidul Patriotilor,2958,11
186612088034700,Facias - Fundatia pentru Apararea Cetatenilor Impotriva Abuzurilor Statului,FACIAS,2919,39
114319753592403,AFACERI.news,Horia-Marius Bogdan,2872,16
123283157709774,eJobs Romania,These ads ran without a disclaimer,2824,13
109445158308624,De fapt,DeFapt.ro,2787,11
108131401342424,Adrian Vigheciu,Adrian Vigheciu,2760,9
200480966638039,Supremacy 1914,These ads ran without a disclaimer,2553,3
180808795707557,Soldan George,Partidul Social Democrat,2500,9
110980981783633,Modernizăm România,Partidul National Liberal,2466,3
175293925828191,Kelemen Hunor,RMDSZ,2450,13
103445844473825,Alianța pentru Unirea Românilor - AUR,Partidul Alianta pentru Unirea Romanilor,2446,1
2013474412218518,Ben & Jerry's,These ads ran without a disclaimer,2390,2
181221645364365,Carmen Avram,Carmen Avram,2384,9
1156150484398630,MozaiQ,MozaiQ,2382,1
260365460647855,Mircea Geoana,Mircea Geoana,2363,20
225783874101141,Institutul pentru Politici Sociale,Institutul pentru Politici Sociale,2356,38
337159212964962,Ziua de Cluj,Ziua de Cluj,2351,14
1047658422027323,Dan Ivan,Ivan Dan,2282,5
247381131986109,Ensys,These ads ran without a disclaimer,2247,1
137651470305528,Federația Patronală Petrol și Gaze,Federatia Patronală Petrol și Gaze,2210,45
341037705981172,Humanitas,Humanitas,2207,15
109097618335138,Eduard Mititelu,Eduard Mititelu,2135,7
107029625474765,Nicușor Halici,PSD Vrancea,2103,10
163198567038597,Fundatia Leaders,Fundatia Leaders,2078,25
103699915626820,NyárON Szereda,NyárON Szereda,2004,29
2443020582586584,Romania Eficienta,Romania Eficienta,1978,51
104369154745548,Diana Stoica,Diana Stoica,1975,3
675042232534141,Vincze Loránt,Vincze Loránt,1940,18
205001282852200,Milvus Group,Asociatia GRUPUL MILVUS,1901,56
379633622148337,RMDSZ Nőszervezet,RMDSZ Nőszervezet,1900,4
132389806830877,Peace Action Training and Research Institute of Romania (PATRIR),Peace Action Training and Research Institute of Romania (PATRIR),1886,5
138896782840976,Biroul Parlamentului European în România,Biroul Parlamentului European în România,1870,9
490181697757865,Antal Lóránt,Birou Senatorial Antal Lóránt Szenátori Iroda,1850,18
109849657256655,60m.RO,60M.RO,1848,28
1469610256621123,PNL Dambovita,PNL Dambovita,1846,9
104214448943442,Adrian Niță,Nita Adrian,1828,10
106543571883873,Forța Dreptei - București,Forța Dreptei - București,1800,6
182546041796641,Costel Alexe,Costel Alexe,1765,7
177708185581280,Erdélyi Magyar Szövetség,Erdélyi Magyar Szövetség,1740,27
574372066308729,Basism,Grupul de Investigatii Politice,1735,1
1602563209957356,PNL Bacău,PNL Bacău,1700,1
494469087244449,Eugen Tomac,Partidul Miscarea Populara,1694,4
110583568433497,Partidul Umanist Social Liberal PUSL Filiala Galați,Digital Fairy Studio SRL,1606,21
101340741758468,Radu Pescar,Pescar Radu Mircea,1568,14
139292873479110,Florin Oancea,Florin Oancea,1523,7
356582831057941,Cristian Matei,Cristian Matei,1515,11
524093900996192,TSD România,Partidul Social Democrat,1500,6
185088338177066,PNL IASI,PNL IASI,1500,3
110714784883015,Bogdan Dumea,Partidul Social Democrat,1500,6
100211372942318,România=GEȚIA,Mărgărit-Daniel Buzoi,1473,1
1027173667393990,Lucian Daniel Stanciu Viziteu,Lucian Daniel Stanciu Viziteu,1441,8
340365952736683,Alin Nica,Alin Nica,1441,9
1161590740517881,Tomis News,Tomis News,1438,32
789998757706140,PNL Brăila,Partidul National Liberal Braila,1432,7
1803548619924368,Andrei Gheorghiu,USR Vâlcea,1426,6
104484254797326,Laura Vicol,Deputat Laura Vicol,1409,8
1569314583329364,Vergil Chițac,Vergil Chițac,1376,4
1658924257659048,USR Sector 3,Partidul Uniunea Salvați România - Filiala Sector 3,1366,7
100211372942318,România=GEȚIA,România=GEȚIA,1353,3
109983011774065,Proiectul Romania 2030,Sociallite Media Solutions,1352,4
106809077982489,"Fundatia ""Perfect Civic""",Fundația „Perfect Civic”,1339,2
183125116821,EURES,These ads ran without a disclaimer,1330,1
109231571984405,Accelera,These ads ran without a disclaimer,1315,1
101167822409042,Alexandru Gyorgy,Alexandru Gyorgy,1298,5
104519198394311,Rareș Hopincă,Rares Hopinca,1283,5
1408452646080627,Marius Screciu,SCRECIU MARIUS-VASILE,1283,4
329619180721358,Cosette Chichirău,Chichirau Cosette-Paula,1269,2
103163884940349,Larisa Blanari,Marketing @Cevaltceva,1251,4
1164341813627057,Maria Gabriela Horga,PNL Giurgiu,1248,30
344517529430253,Senatul Științific,Senatul Stiintific,1246,7
1449284915381234,Ionel Bogdan,PNL Maramureş,1226,14
106107464631160,Cristian Bordei,Cristian Bordei,1205,4
101763692272709,Avocat Ciuchi Elena-Corina,Cabinet de Avocat CIUCHI Elena-Corina,1203,11
101462959574536,Agrocentrala,Agrocentrala,1202,22
117332118004079,Alianța Părinților Sălaj,IM PRIME VISUAL SRL,1200,3
1167483569966107,Primăria Municipiului Satu Mare / Szatmárnémeti,Primăria Municipiului Satu Mare / Szatmárnémeti,1175,6
747983061916032,Átlátszó Erdély,Átlátszó Erdély,1159,11
116657837994402,Partidul Câmpina Curată,Partidul Câmpina Curată,1158,30
364996840328403,Asociația Liga Albanezilor din România,ALAR,1150,4
1930703783625250,Sorin Vrajitoru,Sorinel-Marian Vrajitoru,1137,12
1653699758248627,Ion ȘTEFAN,Ion ȘTEFAN,1112,4
395624153809868,Fundatia Renasterea,Sociallite Media Solutions,1106,21
112130176975380,Radu Ghidău,Radu Ghidău,1103,3
200813406761691,Corina Cretu,Corina Cretu,1100,3
108131401342424,Adrian Vigheciu,Partidul Social Democrat,1095,4
111105537419564,Oana Murariu,Oana Murariu,1086,4
107126744527532,Farcaș Mihai-Dan,FARCAS MIHAI DAN,1079,9
708767705922205,Eurotrans Alapítvány,Eurotrans Alapítvány,1005,62
1560147330888040,Winkler Gyula,Winkler Gyula,1001,17
767582706713570,Allen Coliban,USR Brașov,1000,3
1780528075550888,USR Vrancea,Uniunea Salvați România - USR,1000,1
109219267650851,Patriciu Achimaș-Cadariu,Patriciu Achimaș-Cadariu,1000,2
375782699694430,USR Ialomița,USR Ialomița,1000,2
883243308450205,Costin Răsăuţeanu,Costin Răsăuţeanu,1000,6
105720737973322,Cristi Berea,Cristi Berea,1000,3
103749027864591,Florentina Luca Moise,Florentina Moise,984,10
106098884636145,ADI Deșeuri Bistrița-Năsăud,ADI Deseuri Bistrita-Nasaud,979,10
348610102203573,Radu Miruţă,Radu Miruţă,976,9
722353611532676,Marian Arhire,USR Brașov,968,5
111568014776093,Stefan Cojanu,USR Ilfov,963,11
1498149113813076,Florin Cîţu,CITU FLORIN-VASILE,956,8
109556372802910,USR Dolj,USR Dolj,950,5
1723480164579572,USR Brașov,USR Brașov,949,8
103445844473825,Alianța pentru Unirea Românilor - AUR,Partidul Politic ALIANȚA PENTRU UNIREA ROMÂNILOR,939,1
101380722809080,Fundația Dana Voiculescu pentru solidaritate,FDVS,925,5
827831393930594,Alin Ignat,IGNAT ION-ALIN-DAN,902,4
620083298402659,Bogdan Trif,Bogdan Trif,900,3
1738339926491503,Silviu Dehelean,Silviu Dehelean,888,2
104903512152451,Ionel Sandu - Pagina Oficiala,Ionel Sandu,867,4
514264362028436,Stefan Musoiu,Stefan Musoiu,850,7
112776430629875,Constanta Tv,Emil Mihail Tatu,841,7
100174096112403,Presa Nemțeană,Presa Nemțeană,829,5
104143560936377,Irineu Darău,Birou Parlamentar Ambrozie-Irineu Darău,825,15
215328865181171,Borboly Csaba,Borboly Csaba,821,12
111190480252428,Radu Molnar,Radu Molnar,820,23
1769713886444816,Râsu Plânsu,Râsu Plânsu,813,1
110416341471979,Forța Dreptei Vrancea,Forta Dreptei Vrancea,807,4
1587678041519354,PNL Neamt,PNL Neamț,802,5
102991845063279,Criticii.RO,CRITICII.RO,792,16
513441665508224,USR Vâlcea,USR Valcea,778,7
600025356762034,Carina Pflege Locuri de munca Germania,Olimpia Schugar,761,6
1128229287275038,Silvia Dinică,Silvia Dinică,760,6
101971268361738,Andrei Miftode,Cabinet Parlamentar Marius Andrei Miftode,756,5
105999601301943,Ana Cătăuță,Ana-Maria Catauta,751,6
183473261723511,Ziar Piatra Neamt,Ziar Piatra Neamt,749,8
1190871690932388,New Star Online TV,NewStarOnlineTV,747,45
289057221137118,Euro Jobs,These ads ran without a disclaimer,747,1
114460923709287,4media.INFO,4media.INFO,738,7
329619180721358,Cosette Chichirău,Cosette Chichirău,737,2
174434106304018,USR Galați,USR Galați,736,6
1634415100191327,Oana Marciana Özmen,Oana Marciana Özmen,730,8
205092989831102,Senator Maricel Popa,Maricel Popa,724,12
1750327845246533,USR Maramureș,USR Maramureș,716,5
110771637893787,Florin Drăgulin,Partidul Uniunea Salvați România - Buzău,701,1
233460426760688,Daniel Harpa,Daniel Harpa,700,2
148960861863819,Mircia Gutău,Mircia Gutău,700,2
418397358314460,Silviu Mănăstire,Silviu Mănăstire,699,15
104143560936377,Irineu Darău,Irineu Darau,693,1
254771308032377,Cosmin Andrei,Cosmin Andrei,689,5
873737539404529,USR Timiș,USR Timiș,687,5
163950740830769,Gaz De Romania,Gaz De Romania,684,19
118847551510788,EMaramures,eMaramures,681,2
821269587938298,Alina Gorghiu,Alina Gorghiu,679,7
360184320712594,Raluca Turcan,Partidul Naţional Liberal,672,16
1690234811282383,Romatom Oficial,These ads ran without a disclaimer,671,3
102157602643370,Fortune Olette,These ads ran without a disclaimer,665,2
444661942362092,USR Sector 4,USR Sector 4,661,6
321896004518929,Ioan Mang,Ioan Mang,653,4
364156627669948,Ștefan Pălărie,Ștefan Pălărie,653,6
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,644,31
689386518104305,Radu Mihaiu,Uniunea Salvați România - Sector 2,635,2
107066808189586,Panorama.ro,NEWBIZ ONLINE PUBLISHING S.R.L.,634,2
103485715128042,Gazetarii.RO,Gazetarii.RO,633,9
153754291326316,Calea Europeană,European Media Connections,632,10
102718835134723,Dumitru Rujan,Dumitru Rujan,630,2
1179862085498279,Panțîru Mihai - USR Berzunți,Panțîru Mihai - USR Berzunți,621,9
523106417867452,Mircea Fechet,Mircea Fechet,616,3
113009310432947,Ilie Cheșa,Ilie Cheșa,614,11
102410783138358,Anuntul Telefonic,Anuntul Telefonic SRL,609,2
1653726584879481,Mihai Fifor,Fifor Mihai,607,8
100491781650498,Premierul Nostru,Premierul Nostru,605,2
872508899534866,Gelu Panfil,Gelu Panfil,600,2
1600886623504873,PressOne,Press One Media SRL,600,2
103640708229788,Laurențiu Marin,Laurentiu-Daniel Marin,593,9
144709575593854,EESC - European Economic and Social Committee,EESC - European Economic and Social Committee,591,3
1195604040605186,USR Harghita,Partidul Uniunea Salvati Romania-Filiala Harghita,579,6
289324877762564,Expert Forum (EFOR),Expert Forum (EFOR),578,4
130456876990360,European Youth,These ads ran without a disclaimer,577,1
1601334153417885,RMDSZ Kolozs Megye,RMDSZ Kolozs Megye,576,8
201920416986321,EM360 Studio,EM360 cu Adi Maniutiu,574,18
101330708444591,Lazăr Ion Marian,Lazăr Ion Marian,570,10
110665943772240,Virgil Pirvulescu,Virgil Pîrvulescu,570,1
100405011855388,Oana Cambera,Cabinet Deputat Oana Cambera,568,5
103446918540751,Silviu Iordache,Partidul Uniunea Salvați România - Buzău,567,2
1385405838141456,USR Prahova,USR Prahova,558,1
220579784732993,Daniel Buda,Buda Daniel,553,14
219945448554768,Ministerul Investitiilor si Proiectelor Europene,Gabriel Bujor,549,6
293443534092169,Victor Negrescu,Victor Negrescu,549,5
557284874779877,Mihai Coteț,Mihai Cotet,547,4
129995860397891,CursDeGuvernare.ro,Varianta Media,540,4
111190480252428,Radu Molnar,Radu Iulian Molnar,537,22
100742615155260,Eugen Terente,Terente Eugen,521,8
527351247377965,European Committee of the Regions,European Committee of the Regions,516,4
122480165084642,Curierul Românesc,Curierul Românesc,514,8
113009310432947,Ilie Cheșa,Chesa Ilie,513,5
1706904109529128,Servsal Argeș,Servsal Argeș,509,8
106977887628728,Alianța pentru Unirea Romanilor Ialomița,SustinatoriiAUR,509,5
279454772645662,Nicu Ștefănuță,These ads ran without a disclaimer,500,1
804299403024040,Iulian Bulai,USR Neamt,500,1
104217171285776,Asociația Industriei Lemnului - Prolemn,Asociația Industriei Lemnului - Prolemn,500,1
279454772645662,Nicu Ștefănuță,Nicu Ștefănuță,500,1
166649027305554,USR Sighetu Marmației,USR Maramureș,500,1
308475693108961,USR Sălaj,USR Sălaj,500,3
101125638954378,Susținătorii AUR,SustinatoriiAUR.RO,500,1
113285397117325,Brian Cristian,Brian Cristian,500,2
620083298402659,Bogdan Trif,Turcanu Catalin Nicolae,499,1
370816919755641,Bogdan Huţucă,Partidul National Liberal- Filiala Constanta,492,7
101161965173287,Ropres.RO,Ropres.ro,488,18
101699386202816,Asociația Solidaritate și Egalitate,Tudor Communication,486,6
106210688186070,TemaZilei.RO,TemaZilei.RO,477,2
110661800329158,Valentin Ivancea,Valentin Ivancea,473,3
101254968456255,Călin Gheorghe Maties-senator,Calin-Gheorghe Maties,450,7
108295090637741,ASAP România,These ads ran without a disclaimer,450,4
104519198394311,Rareș Hopincă,Rareş Hopincă,450,1
243961986020807,Turos Lóránd,Turos Lóránd,450,5
113059893868435,Adrian Tudor - Primar Târgu Jiu,Adrian Tudor - Primar Târgu Jiu,449,2
428654640523065,Mircea Rosca,Chelan Bogdan,442,3
110160111544520,Bogdan Sebastian Bărbânță,Bogdan-Sebastian Bărbânță,432,2
116634326439880,Mindcraft Stories,Mindcraft Stories,432,12
105851148132971,Adrian Axinia,Adrian Axinia,430,28
100658152065911,Kelemen Attila,Kelemen Attila RMDSZ,429,6
281341562263123,Cristina Prună,Cristina-Madalina Pruna,429,3
1491544234239734,Forța Dreptei,Forta-Dreptei,423,29
1029958020423567,Agro-Est Muntenia,Agro-Est,421,3
113299893923817,USR Popești-Leordeni,Partidul Uniunea Salvati Romania,420,3
799949990211564,Ioana Ramona Bruynseels,Ioana Ramona Bruynseels,420,13
285264001985908,B-Cure Laser,These ads ran without a disclaimer,415,14
1876727935882404,Bogdan Bola,Bogdan Bola,408,6
103720355096432,ProPublica.RO,ProPublica.RO,403,5
508572592666785,Alin Drăgulin,Alin Drăgulin,403,16
220579784732993,Daniel Buda,Daniel Buda,403,10
102811079157174,USR Tineret Gorj,USR Tineret Gorj,402,1
435614816576664,Claudiu Maior,Claudiu Maior,402,4
987000488084806,USR Argeș,USR Argeș,400,1
104618144609732,Szenner Zoltan,USR Brașov,400,1
110976275594963,TurdaNews,Geflo Media SRL,400,3
103864938683563,Dumitru Victor,Dumitru Victor,400,2
1602563209957356,PNL Bacău,Partidul Național Liberal,400,1
698760586929790,USR Constanța,USR Constanța,394,6
160699447395598,Saptamana in Oltenia,Saptamana in Oltenia,392,3
338465666278028,Cristian Niculescu Țâgârlaș,PNL Maramureş,390,7
108789220750381,Europa Press RO,Europa Press RO,386,3
953390258052307,Ziar Harghita,Media PR Grup,382,2
122683811109919,Institutul pentru Politici Publice,Institutul pentru Politici Publice,380,1
110401986983638,Daniel Blaga,Dan Blaga,375,2
348610102203573,Radu Miruţă,MIRUTA RADU-DINEL,375,3
428654640523065,Mircea Rosca,Mircea Rosca,374,3
438055679575977,TV1 Satu Mare,TV1 Satu Mare,372,2
115034829895977,Reporter de Iași,Reporter de Iasi,360,20
162127852613101,Paul Ene,USR Sector 4,356,1
1876727935882404,Bogdan Bola,BOLA BOGDAN-ALEXANDRU,355,3
101521905891035,Lucian Alba,Lucian Alba,353,5
1832218497019318,X Party & Networking,Intelglobalis,353,9
130698233727400,Descoperă Eco-România,Descoperă Eco-România,351,7
110479207242174,Dan Alexandru Tică,Dan Alexandru Tică,350,3
333606539787,UNICEF Romania,UNICEF Romania,350,4
115753207009261,Mihăiță Beștea,Mihăiță Beștea,350,2
100730011789747,Minculeasa Claudiu,MINCULEASA CLAUDIU-NICOLAE,348,13
1305418182809740,Csoma Botond,RMDSZ Kolozs Megye,347,3
188113901227053,Maszol.ro,Maszol.ro,344,24
1024698440918384,Gheorghe Valentin Rotar - Primar,Gheorghe Valentin Rotar,344,2
552203444833617,e.on,These ads ran without a disclaimer,338,14
1852915291393497,nPloy,These ads ran without a disclaimer,333,5
106384652445913,MRS - Partidul Mișcarea România Suverană Hunedoara,MRS Hunedoara,330,6
105634411790211,Coaliția pentru Egalitate de Gen,Coaliția pentru Egalitate de Gen,327,3
1145522045624751,Filip Havarneanu,Filip Havarneanu,326,2
275718032506812,Oana Bulai,Bulai Oana Gianina,326,10
1164341813627057,Maria Gabriela Horga,Maria Gabriela Horga,324,12
111541767412870,Adrian Hatos,Adrian Hatos,323,1
79195664287,Bucuresti Mall Vitan,Bucuresti Mall Vitan,322,3
473158102774676,HELLA,These ads ran without a disclaimer,316,1
412140715514446,Florin-Alexandru Alexe,Florin-Alexandru Alexe,316,2
104667664365097,Gabriel Avramescu,Gabriel Avramescu,313,4
101577215586429,Rafael Nichita,Rafael Nichita,310,3
502514186907494,Apa Noastră,Mihnea Eugen Pospai,305,1
2064288360250441,Andres Speditions,ANDRES SPEDITIONS SRL,304,1
109485238372885,Economistii.RO,Economistii.RO,304,4
341671213143560,Ovidiu Florean,Ovidiu Florean,301,2
100821965221766,Sfatul Țării,Sfatul Țării,300,1
708954802458499,Partidul Miscarea Populara Turda,PMP Turda,300,1
111994375162231,Sondaje Dambovita,Media Flux Dâmbovița SRL,300,2
439359429854762,USR Dobroești,USR Ilfov,300,3
311276575895950,Mihai Ritivoiu,Mihai Ritivoiu,300,1
106177581286223,Vlad Mircea Pufu,PNL Buzău,300,2
107669378478704,Zăgrean Ioan,Ioan Zagrean,299,9
287842647957979,EU International Partnerships,These ads ran without a disclaimer,297,3
120271171340283,MEGA IMAGE,These ads ran without a disclaimer,296,1
136440113400763,Bogdan Rodeanu,Bogdan Rodeanu,295,5
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,294,5
428941830493010,Bankwatch Romania,Bankwatch Romania,294,2
763242310476823,Colegiul Tehnic al Diriginţilor de Şantier,Colegiul Tehnic al Diriginţilor de Şantier,288,1
518884591591983,Alianța pentru Unirea Românilor Buzău,SustinatoriiAUR.RO,285,5
112130176975380,Radu Ghidău,Radu Ghidau,284,4
100359211506276,Diana Buzoianu,Deputat Diana-Anda Buzoianu,282,2
100855711503394,Mihai Tonsciuc,Mihai Tonsciuc,280,3
111557897298537,Ciprian Alexandru,USR Giurgiu,280,2
110540893680292,Rad Media,RAD MEDIA AGENCY SRL,279,1
1046576302107963,Ciprian Serban,Ciprian Serban,271,3
106282087882731,Dinu Gheorghe,Dinu Nicolae Gheorghe,268,5
108304090952938,Mihai Weber,Mihai Weber,267,2
1214677998707531,VH Auctions,These ads ran without a disclaimer,266,1
104740995380818,Forța Dreptei Iași,Romanii trebuie sa stie,266,18
103294104428366,Cezar Dragoescu,Cezar Dragoescu,265,5
332064066854462,Monitorul de Cluj,Monitorul de Cluj SRL,263,1
261202277284497,Theodor Paleologu,Ioana Prândurel,258,1
174291436685142,Gabriel Valer Zetea,Gabriel Valer Zetea,255,13
103732705939837,USR Telega,USR Prahova,253,1
1051537758265686,USR Neamț,USR Neamt,253,2
503493536520335,Corneliu Stefan,Corneliu Stefan,252,1
107414614506121,Narcis Mircescu,USR,250,2
247245385651467,USR Olt,USR Olt,250,1
1028428697211383,USR Sibiu,USR Sibiu,250,1
945290092249958,Marius Horia Țuțuianu,Marius Horia Țuțuianu,250,2
370688046600465,Liviu Macovei,Liviu Macovei,250,2
1871260176434584,USR Ilfov,USR Ilfov,250,1
155195491318605,eoficial.ro,Eoficial.ro,248,1
108509428219475,ThePressOffice.ro,The Press Office,248,1
147021175998819,Avocat Velicu Daniel,These ads ran without a disclaimer,247,1
108818130851166,Andrei Lupu,Andrei-Răzvan Lupu,244,2
939093039450192,PS News,PS News,242,5
110907250415580,Cristian Simoiu,Cristian Simoiu,241,10
450693115669004,Csomortányi István,Erdélyi Magyar Néppárt,241,2
363229087342819,Marosvásárhelyiek,Marosvásárhelyiek,240,3
219945448554768,Ministerul Investitiilor si Proiectelor Europene,Ministerul Investitiilor si Proiectelor Europene,240,1
132253820510443,Cristi Valentin Misăilă,Cristi Valentin Misăilă,237,3
428464880426,Wall-Street.ro,Wall Street,237,4
113009310432947,Ilie Cheșa,These ads ran without a disclaimer,237,3
668129379887378,Dan Motreanu,Dan Motreanu,237,13
104963290889633,Robert Iosub,Media PR Grup,236,1
100872245631464,AEM Holding,AEM Holding,236,10
101587722591263,Corneliu Muresan,Corneliu Muresan,236,7
105131372029305,Forța Dreptei - Ilfov,Romanii Trebuie Sa Stie,235,10
213084412461199,Alexandru Muraru,Alexandru Muraru,235,2
108338331744300,Ionel PETRE,Star Systems Packing,233,4
101391671462136,Valentin Moraru,Valentin Moraru,231,3
100935048994575,Business Watch,Business watch,231,4
150909498384134,Varga Glad,Glad Varga,230,3
101422251500208,Calin Groza,Calin Groza,230,3
105371064626304,Romeo Dunca,PNL Caras Severin,229,4
242636699406893,"Se poate mai mult. Limanu - 2Mai, Vama Veche, Hagieni",Gheorghe-Daniel Georgescu,224,3
502286776502999,Ziarul Timpul,Ziarul Timpul,224,21
396497857071198,Ziar Targu Neamt,Media PR Grup,222,4
106075378244914,Tomis Tv,Tomis Tv,222,8
104144904296553,Daniel Predoiu,Valentin Daniel Predoiu,220,2
108654690750522,Claudiu Mureșan,Uniunea Salvați România - USR,220,7
207255636351408,Dan Barna,Dan Barna,218,5
371878612956220,Primaria Municipiului Medgidia,These ads ran without a disclaimer,218,1
105999601301943,Ana Cătăuță,Ana Catauta,216,2
106413034496140,Gavra Bogdănel Viorel - vocea cetățenilor,Gavra Bogdănel Viorel - vocea cetățenilor,212,6
108354630810359,Robert Alecu,Robert Alecu,212,3
419754151479935,Sorin Cornilă,Sorin Cornilă,211,1
110479207242174,Dan Alexandru Tică,Tică Dan Alexandru,209,3
110775848441310,Podul,Podul.ro,208,6
808773709245245,Nicolae Giugea,Nicolae Giugea,208,2
112460626989588,Antal Géza,Antal Géza,202,7
506994542828579,Olteán Csongor,Oltean Csongor,200,2
1498149113813076,Florin Cîţu,Florin Cîţu,200,2
100181882762169,Platforma de mediu pentru București,Fundația Comunitară București,200,2
109464875439312,Filofteia Matei - Consilier local Hărman,USR Brașov,200,1
102130021420312,Radu Trufan,USR Maramures,200,1
490297611136991,RMDSZ Nagybánya,RMDSZ Nagybanya,200,2
111994702189326,Săptămâna Financiară,Săptămâna Financiară,200,1
103328664605981,Asociația Nevăzătorilor din România - Filiala Brașov,Asociația Nevăzătorilor din România - Filiala Brașov,200,1
101801151737136,Radu Moisin,HYPE VISION,200,1
228801147150130,Ziarul de Vrancea,ADX Digital Agency srl,200,1
346388249074060,Cristian Marius Niculae,Cristian Marius Niculae,200,2
1457665017699905,USR Giurgiu,USR Giurgiu,200,1
138013066338332,Asociația Umanistă Română,Asociatia Umanista Romana,200,2
110508400795493,Teodor Lazăr,Teodor Lazăr,200,2
1692158254336707,Ordinea.Ro,Ordinea.Ro,200,2
100843568397388,Tasnádi István Szilárd,RMDSZ Kolozs Megye,200,2
103026611314870,USR Tineret Cluj,USR PLUS Cluj,199,1
101340741758468,Radu Pescar,Radu Pescar,197,6
113910327963153,Andrei Ohaci,Andrei Ohaci,197,1
1115101068571401,ENGIE,These ads ran without a disclaimer,196,7
102224898933734,MindDig,These ads ran without a disclaimer,195,8
172674319443777,Nicolae Robu,Nicolae Robu,194,7
363778767496805,USR Sânpetru,USR Brașov,193,1
291132089193,Greenpeace Romania,Greenpeace Romania,192,8
174794259264098,FDP - Protagoniști în educație,Asociația FDP - Protagoniști în Educație,191,10
139950422722584,Presa Locală Cluj,Napobit SRL (online media company),190,17
106315865565038,Fleming Kris,These ads ran without a disclaimer,186,1
106168611021968,Alexandra Oană,Alexandra Oană,184,7
211931302217969,Organizația Umanitară CONCORDIA,Organizația Umanitară CONCORDIA,183,2
584344544984686,Constructii Erbasu,These ads ran without a disclaimer,183,2
313608429335146,"Împreună dezvoltam Sicula , Gurba si Cherelus",Moga Andrei - Radu,181,4
1790762164534311,Deputat PSD Silviu Macovei,Silviu Nicu Macovei,180,2
