Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
102340105982970,MABULOk San Fernando,Teresita Bolima,4977,1
208371683037269,NBCU Catalyst,These ads ran without a disclaimer,4829,20
100668628818013,Bim Ignacio,Ma Angela Escalona Ignacio,4807,6
101009635619821,Istorya Ta,Hook Digital,4784,2
1647474828693396,Bong Go,Bong Go,4781,3
1674692332785202,"Miguel ""Migz"" Zayco",Miguel Montinola Zayco,4701,10
176725369945441,Pilipinas Today,The World Tonight,4684,8
301970723646514,WTF Radyo,Sartine,4658,5
105910268672335,Pinaura ka ni Sandy Javier,Amor U. Nacional,4533,4
1329675533726600,Pilipinas Today QC,WFPH,4506,5
107677344496516,Taytay Public Information Office,Taytay Public Information Office,4500,2
838385792877738,Trending Pa-More,Trending Pa-More,4500,3
112512037866969,BM Ric Ric Dy Olegario,Irina Kristi Bagongon Pidor,4486,4
102279788906574,EcoFlow PH-All Batteries,These ads ran without a disclaimer,4279,1
1950273215252524,Aboitiz Power Corporation,Aboitiz Power Corporation,4170,5
105929115643626,Caroline Tanchay,Cong. Caroline Tanchay,4137,4
1714745698802895,Celso Lobregat,Celso Lorenza Lobregat Iii,4000,2
438159769566830,EDC BINHI,EDC BINHI,4000,3
105307862322635,Samuel G.F Parilla II,Samuel G.F Parilla II,3977,4
407604493105131,"PBA: Politika, Basketbol, at Artista","PBA: Politika, Basketbol, at Artista",3974,25
102096659031494,Cong. Arnan C. Panaligan - House of Representatives,Cong. Arnan C. Panaligan - House of Representatives,3883,3
102965912000814,Congressman Hori Horibata,Congressman Hori Horibata,3880,6
862299017292512,Don Ramon Bagatsing,Don Ramon Alonso Bagatsing,3777,17
102971936128430,Bonsai Apple,These ads ran without a disclaimer,3743,3
730640463621024,Tanauan Leyte - A Delightful Place,Tanauan Leyte - A Delightful Place,3704,11
404729389612751,"Teodorico ""Nonong"" T Haresco, Jr",BIHA-MPC : People of Aklan,3653,18
231715557511650,Solo Parents,Polsure,3513,2
100262295333622,USWAG Ilonggo Party-list,USWAG Ilonggo Party-list,3488,2
254225618540932,Love ng QC si Teacher,Polsure,3468,2
2103172176611007,Aksyon Demokratiko,Aksyon Demokratiko,3442,15
142802334452,INQUIRER.net,These ads ran without a disclaimer,3365,1
352659278684227,MP Marjanie S. Mimbantas Macasalong,MP Marjanie S. Mimbantas Macasalong,3360,7
333701057319933,MAYOR RAJIV ENAD,David Tapales Ramos,3284,4
106521875779947,RISE Of ELVES,These ads ran without a disclaimer,3264,1
308668033138598,"Vice Mayor Angelito ""Totie"" Lazaro Jr.",Sammy Figura Grubanzo,3241,4
106596638370563,Congressman Ralph Tulfo,Congressman Ralph Tulfo,3156,2
107525411171131,Cong. Gabby Bordado,Gabby Bordado,3100,8
101858356227673,Fluid Centre UMP,These ads ran without a disclaimer,3083,2
290009901573686,SK Federation of Pagbilao,Josie Irma Roqueza Luce,3068,4
101178932348592,Office of the Municipal Mayor - Atty. Philip A. Dacayo,Tyrone Joy Galasinao Dagdag,3065,5
1058962734159503,"Gov. Rogelio ""Ruel"" D. Pacquiao - Sarangani Province",Chris Yurong Perpetua,3025,7
104988244674974,Mobility Awards,The Climate Reality Project Philippines,3021,7
106190085258387,"Congressman Simeon Garcia, Jr.",Rosalino Mendoza Garcia,3000,1
54034422460,DAKILA,DAKILA,3000,2
16665879500,AutoIndustriya.com,AutoIndustriya.com,3000,2
222187917795664,Social Watch Philippines,Social Watch Philippines,2935,4
428054697234720,Institute for Climate and Sustainable Cities,Institute for Climate and Sustainable Cities,2913,3
1387404457997862,Cong Bingo Matugas,Cong Bingo Matugas,2901,7
100108226244136,PH 24 ORAS,Message Doctor PH Company,2850,13
101659525229147,Exness Philippines,These ads ran without a disclaimer,2809,3
105537992506657,Mayor Esmie Pineda,Mayor Esmie Pineda,2802,2
1860498353989958,Carl Steven Avellana Weigel,Carl Steven Avellana Weigel,2759,5
103366018694923,Jonathan Jonsi Siytiap,Jonsi Siytiap,2700,6
106066225014933,BOKAL Dindo V. Dysico,Ferdinand Villaruz Dysico,2692,3
100770729339080,Cong. Wilbert T. Lee,Cong. Wilbert T. Lee,2619,7
146627512070062,International Air Transport Association (IATA),These ads ran without a disclaimer,2566,2
1710076309223241,Atty. TATA Moral-Romano,Leah Marie Moral-Romano,2559,2
108285398860955,Evolve Republic,Evolve Republic,2549,25
100558392420873,Unify Platform AG,Unify Platform AG,2513,3
100228085283881,Support to Bangsamoro Transition - Subatra,Kenny Erad Nodalo,2500,3
1856611721228196,BH Bernadette Herrera,Bagong Henerasyon Partylist,2500,3
565225540184937,CGTN,These ads ran without a disclaimer,2491,7
108302685609834,Lương Y Phạm Văn Thanh Lào Cai - Đặc Trị Dứt Điểm Bệnh Xương Khớp,These ads ran without a disclaimer,2475,2
100468663065647,QC Green Awards,These ads ran without a disclaimer,2416,1
319488142121,Jinggoy Estrada,Anak Ng Masa,2400,2
117592676316299,Shane closet,These ads ran without a disclaimer,2400,1
754023811376731,Cathy Yang,These ads ran without a disclaimer,2374,4
954763824674440,Simple Lang,WCKD Ways Digital Marketing,2327,3
108644901632249,KIENT's - The Key To Success,Laica D. Jarandilla,2302,3
279292210553771,Protect the Verde Island Passage,"Center for Energy, Ecology, and Development",2300,2
304006256679433,Wela School Systems,These ads ran without a disclaimer,2196,1
107203148110541,Action Speaks Louder,These ads ran without a disclaimer,2191,3
406656099381045,Jose Ma Montelibano's Blog,Jose Ma. Locsin Montelibano,2148,6
1779870368752390,May JOY sa QC,Polsure,2100,1
247331620535579,Mike Defensor,The Mike Defensor Organization,2086,9
102280614938876,Bently Roxas,Bently Dadula Roxas,2083,22
102970332164739,"Cathy Gopico. Member, Sangguniang Panlalawigan.",Norman Esparrago Gopico,2045,4
100877355420271,One to Tree,One to Tree,2012,1
608006729355847,Luisa Lloren Cuaresma,Benjamin Lloren Cuaresma Iii,2000,5
111563964712077,Atty. Dino Yulo,Atty. Dino Yulo,2000,1
505887912898325,Positive Energy,Energy Development Corporation,2000,2
104001402372027,Vice Mayor Mark Villaluna Galsim,Mark Francis Villaluna Galsim,2000,4
118443847880911,Run for Lupus Warriors,Marvin Tanglao Sedilla,2000,2
113141712082464,Ruth Mariano Hernandez,Odraude Hernandez Alub,1999,2
101292275353483,Philippine Daily Inquirer,These ads ran without a disclaimer,1996,1
100350859238580,Mayor Jassie Tañala,Amor U. Nacional,1981,3
101082242758012,Asenso News Iligan City,Asenso News Iligan City,1950,5
247614528925771,Hey Moonshine,Don Carlo Rex Ybanez,1949,9
100107185753805,Rep. Claudine Bautista,Rep. Claudine Bautista,1922,3
104158859260854,The Bohol Marites,The Bohol Marites,1912,3
327812967287458,Vic-Vic Magsaysay,Vic-Vic Magsaysay,1895,3
103078755104275,V My Beauty Marketing Inc.,These ads ran without a disclaimer,1893,1
111864561601350,"Doc Carmela Castro, MD",These ads ran without a disclaimer,1886,1
102389359204185,Cagayan de Oro City Information Office,Cagayan de Oro City Information Office,1863,13
434662434006526,GEL Adriano,GEL Adriano,1800,2
388689438381348,Mike Defensor,The Mike Defensor Organization,1777,8
110505531540054,Hon. Tata Ortega-Casetta,Hon. Tata Ortega-Casetta,1770,4
166107624078770,Camanava News,CAMANAVA News,1763,14
319818695398069,"Kgwd. Lito del Rosario - Naga City, Camarines Sur",Joselito San Andres Del Rosario,1734,1
639521416211473,ImagineLaw,ImagineLaw,1719,1
109143528565176,DLMP Arts & Crafts,These ads ran without a disclaimer,1665,1
348604679160235,Vice Mayor Victor De Villa,Niño Fernando Abad,1661,1
601139760220755,Pilipinas TODAY.,Pilipinas TODAY.,1642,2
594546817629223,Negosyo QC,Polsure,1637,1
102327208446392,FACTS,FACTS,1595,1
101308502203590,Congressman Romeo S. Momo Sr.,Romeo S. Momo,1571,1
107701168822758,Aksyon TV,Aksyon Demokratiko,1565,3
109710418458335,Kokok's Chicken Bagnet Ph,These ads ran without a disclaimer,1564,1
100805324763895,Provincial Government of Bohol,Provincial Government of Bohol,1562,4
1575255799442005,Galit Ako Sa Corrupt at Krimen,Advocates Philippines,1558,1
120398274355528,Philippine General Hospital News,These ads ran without a disclaimer,1557,3
307855770033568,"Estelito ""Litoy"" R. Marabe, CPA",Mark Anthony Pelere Alima,1517,4
1528902407332883,Konrad-Adenauer-Stiftung Philippines Office,Konrad-Adenauer-Stiftung Philippines,1509,4
100136438865259,Ako Volunteer - BBM SARA,Volunteerism Initiative,1508,2
104092505306470,"Mayor Jerry ""Jercans"" Canoy Jr.",Jerry Agustin Canoy Jr.,1500,1
225822810955433,Bangsamoro News,Bangsamoro News,1500,2
103831982658851,Cebu Chronicle,Cebu Chronicle,1500,1
312768352778486,Atty. Gigi B. Aggabao CPA,Giorgidi Buza Aggabao,1500,6
159229717938942,"CEED - Center for Energy, Ecology and Development",CEED Philippines,1500,1
107919664975507,CEBU Bookkeeping Services,These ads ran without a disclaimer,1498,6
454536418241945,MakeSense,MakeSense Asia,1496,2
626042837562556,Lanz Almeda,Jose Lorenzo Torres Almeda,1491,2
110865933824068,United San Isidro,United San Isidro,1467,2
100738036287814,Philipshop Company,These ads ran without a disclaimer,1453,2
366797844060990,Now You Know,Now You Know,1437,10
105530902042738,Alpha Phi Omega - Alpha Gamma Chapter,Geneva Benice Perez Lapeña,1400,8
108716480730147,Cong Jing Paras,Cong Jing Paras,1395,13
123439544364779,A Public Life,Advocates Philippines,1388,1
104511920967934,Vice Mayor Eric Dioneda,Nilo Jr Akil Catapang,1356,3
1513598595608136,Konsehal Phillip Yerro Kimpo,Phillip Jr Yerro Kimpo,1349,23
103409086014945,Team Adrian Amatong,Ben Jasper Amatong Tomas,1330,5
552261265271525,Robert Pacheco QC District III,These ads ran without a disclaimer,1284,2
101630711240288,Atty. Ras Mitmug,Atty. Ras Mitmug,1282,4
110697974746755,George E Well's Planet,These ads ran without a disclaimer,1260,2
138279376537685,Bebot Rodriguez,Jocelyn Bautista Rodriguez,1246,2
199920686825515,UNHCR Philippines,These ads ran without a disclaimer,1236,5
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,1236,2
104084935695718,Digital Pinoys,Digital Pinoys,1200,2
852370551453606,GARP,These ads ran without a disclaimer,1196,1
103485755951862,EDCOM 2 - Second Congressional Commission on Education,Education Commission II,1165,3
109427420791196,Don Papa Masskara,These ads ran without a disclaimer,1124,1
796469633795828,Konsehal LIZ Lupisan,Analiza Dela Cruz Lupisan,1113,5
1344097822347905,Surigao Digital News,Surigao Digital News,1100,3
102149044584904,Iparush kay Paras,Iparush kay Paras,1099,11
101821709575054,Kon. Weng Naredo,Christine Regodon Macabetcha,1096,7
100613639077658,Councilor Jomil Serna,Friends and Supporters of Jomil Serna,1082,1
480552092150213,Malayang Quezon City,Message Doctor PH Company,1052,5
108853501297043,We Got This,These ads ran without a disclaimer,1048,1
105646971599355,Surigao Viral Issues,Surigao Viral Issues,1022,3
117830711233725,Feng shui jewelry,These ads ran without a disclaimer,1006,1
529901257160994,Paz Radaza,Klin Mar Mejo,1005,2
973429919361677,Bayer Crop Science Philippines,These ads ran without a disclaimer,1000,1
108406228422917,San Pedro News Update,San Pedro News Update,1000,2
136649688902,R.O.X. Philippines,These ads ran without a disclaimer,1000,1
1116221978549618,Team Eddiebong,Mark Larry Jabuen Chua,1000,3
250740601795511,Philippine Institute of Cyber Security Professionals,These ads ran without a disclaimer,1000,1
2272110229474022,Bagong Bicol,Bagong Bicol,1000,1
109755128094975,CaSaMa,CaSaMa,1000,3
882433785480661,"Adrian Jay ""AJ"" Advincula",Klaeford Crispin,1000,2
100258655377645,SP Mark Vega Quimpo,Mark Vega Quimpo,1000,3
342074396877,IRRI,IRRI,1000,1
1452648134951782,Local Government Unit of Solano,Tyrone Joy Galasinao Dagdag,1000,2
108258685227240,WHO R U?,The World Tonight,1000,1
108676025116834,Supporters of Atty. Ronald S. Cubero,Rj Rose Superio,1000,3
101607109377659,Baé Apparel,These ads ran without a disclaimer,988,1
109553961948069,Ang Magsasakang Pilipino,Message Doctor PH Company,980,6
105691871912480,Joel B. Tingbaoen Jr.,Joel B. Tingbaoen,978,6
401812333925645,Malayang Quezon City,Message Doctor PH Company,960,5
104894502421974,PH Biz Forum,Message Doctor PH Company,959,8
113997578356101,Doc. Liza Ramoso Ong - Health Tips,These ads ran without a disclaimer,955,1
222345887828926,CEAP,CEAP,928,1
339388553513534,Basta Batas,BiG SOUND fm,913,2
101146792912154,Sky ng Kabataang Tinajeros,Sky ng Kabataang Tinajeros,910,6
102070751171612,Tuloy Ang Aksyon Konsehala RL Leachon,Ronalee Escondo Leachon,900,3
101329642785264,Alyansa,Message Doctor PH Company,897,6
348897152945632,Leslie Cruz Official,Leslie F. Cruz,883,4
321351771993681,Pilipinas Today Tweets,Pilipinas Today Tweets,855,2
484351918424947,Lagablab LGBT Network,Saira Galano Pambid,851,1
109341191201636,Bagong Ngayon,WFPH,832,1
1970443026429126,Atty. Carlo P. Loreto,These ads ran without a disclaimer,815,1
112780255057489,Cebu Troubadour Reels,These ads ran without a disclaimer,811,1
389309271851098,Pinoy Builders,Jonnadeth Sicat Coja,800,1
106750144853075,Western Visayas Peace Advocates,Jake Delos Reyes,800,4
1706379116093495,Councilor Michael Dy,Michael Roxas Dy,800,6
100603978541656,GCFWatch,GCFWatch,800,1
1919620981640591,The Initiative PH,The Initiative PH,800,2
1535594466686140,Aboitiz,These ads ran without a disclaimer,783,1
112587111634087,d0pamine.dealer,These ads ran without a disclaimer,777,1
2302092736708895,Candy Tanael Völlinger,These ads ran without a disclaimer,767,3
111303025104461,Yarn ang Pinoy,Message Doctor PH Company,732,7
479285342097950,AeroTime,These ads ran without a disclaimer,730,1
103679252545648,Obrero Pilipino,Message Doctor PH Company,720,6
100173486265813,Malayang Pilipinas,Message Doctor PH Company,720,6
1000238306712825,Malcolm Andaya Sanchez,Jessica Aguila Sanchez,700,1
105074128995988,Affordable House and Lots Investment in Nueva Ecija,These ads ran without a disclaimer,690,2
102907729290658,Pilipinas Kong Mahal,Message Doctor PH Company,680,6
115575820139019,Af Fhyf,These ads ran without a disclaimer,662,3
1829267970657926,The Bohol Marites,The Bohol Marites,660,6
109446438397058,Live Longer with Stem Cell Placenta,These ads ran without a disclaimer,644,1
144850891032982,Councilor VANJ Manugue,Evangel Shalom Santos Manugue,630,3
116877730169772,Atty. Ana Alvarez,Jan Ione Royo Salveron,620,3
131189377574,MDPI,These ads ran without a disclaimer,616,4
597290923763320,Jayve Diaz- JECD,Jay Eveson Catolico Diaz,600,2
107562098357123,Councilor Efren Abad De Vera Sr.,Kane Zyril Rayat Bernardino,600,2
118592938221174,ZTE Corporation,These ads ran without a disclaimer,599,2
1656590977890066,IDEO U,These ads ran without a disclaimer,595,2
265779500134955,SM Supermalls,These ads ran without a disclaimer,571,1
115140746852472,UDDS 10M Strong by Marynette,These ads ran without a disclaimer,566,1
101675408105787,Konsehal Bani Señar,Giovanni Andaya Señar,531,4
108087191902164,Dr. Divina - Ang eksperto sa utak ng mga bata sa Manila,These ads ran without a disclaimer,529,2
113167608417757,Pia Atutubo SK Chairwoman,Albert Allan Coronel Ventura,519,2
1571061213111533,GlobeICON,These ads ran without a disclaimer,515,2
2078120019132500,"Bernadette ""Badette"" Balbas","Bernadette ""Badette"" Balbas",512,2
374219229736809,Councilor Julius Bacote Frago,Julius Bacote Frago,503,9
110190618664751,Gov. Christian Noveras,Gov. Christian Noveras,500,1
102520795250344,Thinking Surigaonon,Thinking Surigaonon,500,1
100649511897423,John-John Garcia,Friends of John-John Garcia,500,1
257161026196000,Dr. Maria Bella Z. Nonato - Buhi Municipal Councilor,Nomar Casiven Zantua Nonato,500,1
256228909616718,Jhan HERO Sumera,Jhan Hero Magpantay Sumera,500,1
103007202485943,The Mangroves,These ads ran without a disclaimer,500,1
1111819189015891,DNX News,DNX News,500,1
292353035903143,BBM Latino America,Markus Anthony Prats Estrada,500,1
752359378112511,National Authority for Child Care,National Authority for Child Care,500,1
112402680133781,BHTV News Philippines,Mark Cornelio Platon,500,1
331150954999781,We Effect Philippines,We Effect Philippines,500,3
110021974112031,Harold David Butardo,Harold David Butardo,500,1
451662421575725,Office Of Councilor Ronnie Acuña,Ronnie Santos Acuña,500,1
109077978397777,Philippine General Hospital,These ads ran without a disclaimer,492,1
100188688826625,Ka’ Pusngak,These ads ran without a disclaimer,490,1
260322657501061,MPower,These ads ran without a disclaimer,490,1
114800534893965,Ligtas na Pilipinas,Message Doctor PH Company,480,4
221097485264422,Councilor Numero “Uno” Lim,Numero Gonzales Lim,477,5
106219125482934,"Vice Mayor J. Melchor Quitain, Jr.",Melchor Jr. Bumpus Quitain,477,1
102538009431473,Jenny's Wellness Spa,These ads ran without a disclaimer,469,2
111324628476603,REact PH: Choose Renewables,These ads ran without a disclaimer,459,1
109355941390893,Mayor Fer Simbulan,These ads ran without a disclaimer,458,1
106336994957376,Konsehal Prescilla Gina David Magbuhos - Public Servant,Prescilla Gina David Magbuhos,458,4
2145264748901221,Small World Christian School Foundation,These ads ran without a disclaimer,451,2
101686682941298,KidneyCure.ph,These ads ran without a disclaimer,449,1
109002621740870,JEL Japan Surplus,These ads ran without a disclaimer,441,1
143940582906987,Bran Ferrer Reluao,Authority Asia Communications Inc.,434,3
19746387261,Humane Society International,These ads ran without a disclaimer,425,4
100683162555207,Jackyluste,These ads ran without a disclaimer,421,2
109473142147318,Tops Ebooks Ph,These ads ran without a disclaimer,418,6
108060435281229,The  Good  Sheffered,Romnick B. Tubo,416,1
328791301298128,Atty. Jem Sy,These ads ran without a disclaimer,402,1
111413071615293,City Government of Iligan,City Government of Iligan,400,1
133006910363787,"Reynante ""Jowar"" S. Bautista",Lesslie Tigas Bautista,400,1
101491971923779,Chik's Collection,These ads ran without a disclaimer,400,1
100528022689066,Association of Concerned Citizens - WV,Jake Delos Reyes,400,2
101518838054472,Civil Defense Northern Mindanao - Region 10,Civil Defense Northern Mindanao - Region 10,400,1
104768595584063,Must Fly Philippines Travel and Tours,These ads ran without a disclaimer,397,1
