Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
1869511526651884,Zsigmond Barna Pál,Fidesz,40518,46
581800425838191,Scruton,Scruton,40320,6
2221255224761829,Együtt Újpestért Összefogás,Polgári Újpestért Alapítvány,40145,2
282290595766672,Hidegkuti Szabolcs,Momentum Mozgalom,40000,2
471093016323310,Kovács Ferenc,Dr. Kovács Ferenc,40000,2
461099763986577,Szabó Szabolcs,Szabó Szabolcs,40000,1
101743755608675,Batthyány Lajos Alapítvány,Batthyány Lajos Alapítvány,39991,2
781030738624077,Gyöngyösi Márton,Gyöngyösi Márton,39985,5
100241004684178,Balázs Endre - Momentum,Momentum Mozgalom,39830,2
265118580722429,Momentum Józsefváros,Momentum Mozgalom,39728,4
107123677458699,Külpologika,Tamás Novák,39659,5
107885967229027,Momentum Miskolc,Momentum Mozgalom,38841,1
1377431695828132,Nagy István,Dr. Nagy István,37901,5
104585898943925,Crystelle,These ads ran without a disclaimer,37707,2
228208347319442,Pécs Jövője,Pécs Jövője,37540,3
107714692006327,Szájensz Szeánsz,Tóth Amina,37481,7
670269189782610,Ficsak - Fiatal Családosok Klubja,Fiatal Családosok Klubja,37478,8
105426960813144,Gergely Bálint,Momentum Mozgalom,37135,3
1953380668110489,Paróczai Anikó,Momentum Mozgalom,36960,5
110069120361485,Dr.Dézsi Csaba András,Dr. Dézsi Csaba András,36781,3
158618604765401,Varga Gábor,Varga Gábor,36589,15
112694594992064,Mehr Licht,These ads ran without a disclaimer,35331,22
735877726607185,Momentum Zugló,Momentum Mozgalom,35135,2
113183730045421,Momentum Klímakörök,Momentum Mozgalom,35011,4
196523737056247,NESCAFÉ,Nestlé Hungária Kft.,34999,1
104352305708088,Elemi.hu,Elemi.hu,34997,7
102165631139761,Könczöl Dávid,Momentum Mozgalom,34820,5
102641477991941,bahir.hu - BAHÍR,ZÖLD BARANYA KFT.,34815,2
13204463437,"UNHCR, the UN Refugee Agency",These ads ran without a disclaimer,34770,5
106920862700810,JCC Budapest - Bálint Ház,Bálint Zsidó Közösségi Ház Alapítvány,34630,7
104120465115094,Schaller-Baross Ernő,Schaller-Baross Ernő,33977,2
320645820787,Haszon magazin,Haszon magazin,33733,19
1059773170712510,Őri László,Dr. Őri László Szabolcs,33593,9
353820462820,Napi.hu,Napi.hu,33561,7
106398255118247,Fonti Krisztina,Krisztina Fonti,33399,4
190624800967882,NANE Egyesület,NANE Egyesület,33166,2
103591687668484,Zag Gábor,Demokratikus Koalíció,32887,6
1947426878644256,Momentum Újbuda,Momentum Mozgalom,32652,2
215551471947529,Sajómente,Sajómente,32537,9
363496947104219,Párbeszéd - Zöldek / Debrecen,Párbeszéd Magyarországért,32490,4
509418276084719,Dömötör Csaba,Fidesz,32431,3
307618232709851,Hidvéghi Balázs,Fidesz - Magyar Polgári Szövetség,32187,1
1788976674749685,Törő Gábor,Törő Gábor,31978,16
115677839807666,Horváth Tibor,Horváth Tibor,31708,5
545872002109034,Matkovich Ilona,Matkovich Ilona Zsuzsanna,31665,8
222720184518334,Font Sándor,Font Sándor,31430,9
106980257578125,Velencei-tavi Sportért és Kultúráért Egyesület,Velencei-tavi Sportért és Kultúráért Egyesület,31221,3
713504822019923,Fidesz Székesfehérvár,Fidesz,31138,7
1848441158737473,Szegeder.hu,Szegeder.hu Alapítvány,30942,12
103520614495214,Ollero Marco képviselő,Momentum Mozgalom,30754,5
322445454936980,Nagy Károly,Károly Nagy,30645,5
111571011862964,Bajusz Gábor - Miskolc,Bajusz Gábor,30525,7
110519871432528,Erzsébeti Napló,Erzsébeti Napló,30131,8
202099276507678,24.hu,24.hu,30002,6
149302881895521,Pócs János,Fidesz,30000,1
803718556320915,Csöbör Katalin,Fidesz,30000,7
304163456311267,Oktatói Hálózat - OHA,Humán Platform,30000,1
100541785502566,Kovács Janka - Momentum,Momentum Mozgalom,29999,2
134352786582079,LMP Dél-Buda,Lehet Más a Politika,29680,3
421262681731198,Vasarnap.hu,Kovács K. Zoltán Alapítvány,29537,17
704631519609996,Hegedűs Barbara,Hegedűs Barbara Szilvia,29342,5
150836998898897,aHang,aHang,29114,14
108854513993720,Derda Ádám,Ádám Derda,29071,2
110292211697859,Erdélyi Rezső Krisztián Nézőpontja,Nézőpont,28350,11
100221074822970,Csizmadia Péter,Dr. Csizmadia Péter,28124,2
440197766088272,Jeszenszki András,MSZP,28023,5
1136434693220861,Banga Zoltán,LMP - Magyarország Zöld Pártja,27560,2
127539005484626,Very Important Planet,thevip.hu,27460,3
101383114803675,Szabó Csaba,Szabó Csaba,27169,3
177477379482620,MKKP BP XII. kerület,Magyar Kétfarkú Kutya Párt,27122,10
105857420778395,Együtt Veszprémért - Adamecz Zoltán,Adamecz Zoltán,26892,4
286146221590937,Direkt36,Direkt36,26814,5
1652741928333536,KPSVR,KPSVR Media,26230,2
438674070213065,Magyar Állampapír,Magyar Állampapír,25981,16
1215492498464496,Angyal Károly,LMP - Magyarország Zöld Pártja,25613,4
101715417969719,Erzsébetváros Hírei,Erzsébetváros Hírei,25448,3
876772425797119,Hölvényi György,Hölvényi György,25410,3
102980451300295,Párbeszéd - Zöldek / Győr és környéke,Párbeszéd Magyarországért,25381,6
2341539762837341,Vác Város Önkormányzata,Vác Város Önkormányzata,25283,9
614294538753164,Dunántúli Regionális Vízmű Zrt. hivatalos oldala,Dunántúli Regionális Vízmű Zrt.,24531,1
114459958225789,Újpesti Megmondó,Újpesti Megmondó,24207,3
113037915100577,Fidesz Fejér I.,Fidesz,24144,4
908539862613669,OTP Agrár,These ads ran without a disclaimer,24018,1
520804294719829,Trippon Norbert,Dr. Trippon Norbert,24000,5
166359293376130,Hévíz Város Önkormányzata,Papp Gábor,23713,11
247563431962015,tiszatajonline.hu,Tiszatájonline.hu szerkesztősége,23712,3
140360522682932,LMP Belváros,LMP - Magyarország Zöld Pártja,23622,2
110328363663045,Körmendi Zoltán,Momentum Mozgalom,23537,1
378262582292757,Vécsey László,FIDESZ Magyar Polgári Szövetség,23515,2
100932362790959,Juhász Veronika - képviselő,Magyar Kétfarkú Kutya Párt,23505,3
101836344507475,Sátly Balázs,Momentum Mozgalom,23228,1
1443354815880657,Salacz László,Dr. Salacz László,23166,4
454741134617936,MKKP - Fejér megye,Magyar Kétfarkú Kutya Párt,22935,7
108146403966754,Dr. Bagó Zoltán,Dr. Bagó Zoltán,22200,3
111696017972206,Bolygó,Greenpeace Magyarország,22162,3
108172140579789,Arzenál,These ads ran without a disclaimer,22097,1
200602616651296,Nézőpont,Nézőpont,22000,2
101866761388852,Szalay Kornél Géza,Szalay Kornél Géza,22000,3
233529653487142,Karsay Ferenc,Karsay Ferenc,21688,12
242038689992675,Somody László,Somody László Zoltán,21481,5
855293038157741,Momentum Kőbánya,Momentum Mozgalom,21114,3
122877491690853,MKKP Ajka,Magyar Kétfarkú Kutya Párt,21000,11
115562461467601,Ferenczi Norbert,Ferenczi Norbert,20990,6
109978090360353,Horváth Tamás - Rákosmente polgármestere,Horváth Tamás,20958,1
350338649023047,Kecsup hírek,KecsUP,20800,5
108429354944888,Mi Hazánk Edelény,Mi Hazánk Edelény,20732,2
130725390334944,Morton's Travel,These ads ran without a disclaimer,20630,2
585095911522471,"MKKP - Baranya megye, bevéve Komló",Magyar Kétfarkú Kutya Párt,20560,6
777343075710072,Migrációkutató Intézet,Migrációkutató Intézet,20524,17
113043410066839,Momentum Zala,Momentum Mozgalom,20500,6
204564332928305,National Geographic Magazin Magyarország,These ads ran without a disclaimer,20160,24
1867333200197695,Messer Hungarogáz,Messer Hungarogáz,20000,2
114266331595873,Rodrigo Ballester,Mathias Corvinus Collegium,20000,1
103936480985864,Győri Enikő,Győri Enikő,20000,1
2322801981324266,Óbudai hírek,Óbudai Hírek,20000,1
107446035589400,Demko Attila,Mathias Corvinus Collegium,20000,1
119531247751431,Dr. Somkuti Bálint,Mathias Corvinus Collegium,20000,1
18562323874,Élet és Irodalom,Székely János,20000,8
