Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
385546494895133,"UNSW Arts, Design & Architecture",These ads ran without a disclaimer,1098,4
360140661004824,Sarah Lovell MLC,Sarah Lovell MLC,1086,38
122095051312967,Tim Read MP,Tim Read MP,1082,5
276061352415442,The Australian Institute of Architects,The Australian Institute of Architects,1063,19
106867582081714,"Department of Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",1061,4
109560328795377,AU News,These ads ran without a disclaimer,1059,6
351048166130506,Ashton Hurn MP - Member for Schubert,Ashton Hurn MP,1054,10
1609771445950238,Peter Khalil,Peter Khalil,1019,129
160169784045845,Tasmanian Labor,Sarah Lovell MLC,1000,5
107605148346295,Cecily Rosol for Launceston,Cecily Rosol for Launceston,998,1
166663303514630,Musicians Australia,Musicians Australia,995,8
2005862956345687,Gary Maas MP,Gary Maas MP,993,2
327169760731815,Luke Gosling MP,Luke Gosling MP,985,10
100652584936212,Elder Abuse Action Australia,Elder Abuse Action Australia Limited,980,20
307014179414836,David Speirs MP,South Australian Opposition Leader,979,5
105307322261671,Faith in Action,Catholic Education Tasmania,967,26
250114505002383,Hume City Council,Hume City Council,961,12
109181699141315,Vanessa,These ads ran without a disclaimer,952,8
104936088727424,Sam Birrell MP,Sam Birrell MP,950,3
675483955936731,Julian Leeser MP,"Julian Leeser MP, Liberal Party, Pennant Hills, NSW",944,4
131323986885201,Senator Helen Polley,Helen Beatrice Polley,944,3
117806591312470,Not Enough,Advance Australia,924,24
545743365504124,Brittany Lauga MP,Brittany Lauga MP,913,8
8013404017,Crikey,Private Media,909,211
292873364640384,Mark Coulton MP,Mark Coulton MP,900,3
373523642668552,Energy - Queensland,Department of Energy and Public Works,890,22
100314522404427,Andrew Willcox MP,Liberal National Party of Queensland,886,4
1732951633627025,Farmers for Climate Action,Farmers for Climate Action,885,8
356730741034580,Maxima Group Australia,These ads ran without a disclaimer,883,16
107587478243450,Zaneta Mascarenhas MP,Zaneta Mascarenhas MP,883,4
110106958316248,Andrew Charlton MP,Andrew Charlton - Labor for Parramatta,877,6
708439212837712,Tasmanian Government,These ads ran without a disclaimer,876,1
543585802484989,Michael Pettersson MLA,ACT Labor Party,875,7
142560349088496,David Shoebridge,Senator David Shoebridge,872,10
2730963457129454,Senator Raff Ciccone,Senator Raff Ciccone,854,7
395201170875812,Colin Boyce MP,Colin Boyce MP,848,4
418405098224592,350.org Australia,350.org Australia,847,65
198830586850988,Sussan Ley MP,Sussan Ley,831,13
104946487519114,Hon Nick Goiran MLC,Office of Hon Nick Goiran MLC,822,3
427125817373739,Peter Malinauskas,South Australian Labor Party,819,27
1513078735604544,Dept of Communities and Justice NSW - safer together,Department of Communities and Justice,812,6
709617325724631,Jess Pugh MP for Mount Ommaney,Jess Pugh MP,810,2
1681355008768255,Country Needs People,Country Needs People,799,3
679366352419213,National Allergy Council,These ads ran without a disclaimer,793,9
172381239442699,City of Parramatta,City of Parramatta,792,10
423722634317667,Scott Buchholz MP,Scott Buchholz MP,778,4
1606513883009154,Kerrynne Liddle - Liberal Senator for SA,Kerrynne Liddle - Liberal Senator for SA,756,3
144975872321975,Market Forces,Market Forces,753,2
277978972375122,Lizzie Blandthorn,Lizzie Blandthorn,753,1
104420342951642,WIRE,WOMENS INFORMATION AND REFERRAL EXCHANGE INCORPORATED,750,15
101242369463631,MSI Asia Pacific,MSI Asia Pacific,750,2
397307097023253,Justine Elliot MP,Justine Elliot MP,743,2
360001881007767,Vicki Howard,Vicki Howard,726,4
544041956063892,Health Studies Australia,Health Studies Australia,716,2
356113427813761,Kevin Hogan MP,Kevin Hogan MP,706,11
112367425151721,Vicki Helps Members First,Victoria Helps,705,7
104234157625422,The Centre For Public Integrity,Centre For Public Integrity,705,5
143359625694786,Baptist World Aid Australia,Baptist World Aid Australia,699,13
107518852071608,Tom McIntosh MP,Tom McIntosh MP,696,17
1294961367324348,Councillor Fiona Cunningham,Fiona Cunningham,695,3
540911505996048,Steve Dimopoulos MP,Steve Dimopoulos MP,694,5
112598935458686,UQ Health,The University of Queensland,688,24
106867582081714,"Department of Climate Change, Energy, the Environment and Water",These ads ran without a disclaimer,687,2
616932805013929,MEAA,MEAA,675,5
236327493107508,Baw Baw Shire Council,Baw Baw Shire Council,673,7
351313714891862,Australian Good Meat,These ads ran without a disclaimer,667,1
103143595936910,Ryan Batchelor MP,Ryan Batchelor MP,666,8
103369851441851,Human Rights Law Alliance,Human Rights Law Alliance,661,11
165988000209270,Michael Sukkar MP - Member for Deakin,Michael Sukkar MP - Member for Deakin,660,5
283210225077432,Senator Mehreen Faruqi,Senator Mehreen Faruqi,659,2
161756303893852,Senator Bridget McKenzie,Senator Bridget McKenzie,658,4
328641501156991,United Workers Union,United Workers Union,653,13
574675379402221,Indigenous Desert Alliance,Indigenous Desert Alliance,651,7
1379031065741194,Daniel Mulino,Daniel Mulino,650,4
799440240453088,Penny Pratt MP,"Penny Pratt MP, Member for Frome",640,6
109032010961656,Stephen Bates - Greens MP for Brisbane,Stephen Bates MP,638,2
680274442059163,Animal Justice Party,Animal Justice Party,624,7
379688209713,LSKD,These ads ran without a disclaimer,623,4
223820240968967,Western Australian Electoral Commission,Western Australian Electoral Commission,623,2
107492935010781,Kylea Tink for North Sydney,Kylea Tink,621,6
129819533748295,Andrew Leigh MP,Andrew Leigh MP,619,2
211018298919743,Environmental Justice Australia,Environmental Justice Australia,616,8
120293124702126,Australian Monarchist League,Australian Monarchist League,616,1
115802574790597,Janssen ANZ,These ads ran without a disclaimer,615,1
103650197726925,Ali King MP,Ali King,611,2
274079142634253,National Tertiary Education Union - NTEU,National Tertiary Education Union,611,4
151481792068802,Cr Karen Wheatland,Karen Anne Wheatland,606,7
102801482742,Westpac,These ads ran without a disclaimer,604,2
108498912202989,Kangaroo Conversation,Nature Conservation Society of South Australia,602,3
580435042016921,Brian Mitchell MP - Federal Member for Lyons,Brian Mitchell  MP,602,15
181099198756800,Pauline Richards MP,Pauline Richards MP,602,2
461713630554622,Sharon Claydon MP,Sharon Claydon MP,601,1
134195116658191,UNSW Law & Justice,UNSW Sydney,600,1
11409809948,Deakin University,These ads ran without a disclaimer,600,1
1768283090073459,Senator Matt O'Sullivan,Senator Matt O'Sullivan,600,4
