Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),無國界醫生 / Médecins Sans Frontières (MSF),5392,7
435781560090230,EVOX,These ads ran without a disclaimer,5379,2
105077122161819,王文淵,These ads ran without a disclaimer,5323,14
129452013855801,RITE,RITE,5250,1
1043591575667511,後龍鎮公所,宗毅 吳,5151,3
850754301947812,鏡新聞,鏡新聞,5077,4
1680942122167263,Schneider Electric,品瑄 黃,5076,6
103919981024103,陳以信,Yuehmei Li,5036,21
652438848137404,連勝文,連勝文,5000,3
865203020330605,北回歸線和牛專賣（神戶牛海外指定登錄店）,These ads ran without a disclaimer,5000,2
1458370811147161,山中茶事,These ads ran without a disclaimer,5000,1
101643786051216,楊昌德 新竹縣議員,Maggie Chen,5000,1
347432368933987,LINE TODAY Taiwan,LINE TODAY Taiwan,5000,2
1659728604312270,台泥企業團,台泥,4968,4
107478432346054,郭台銘+1,Kaiwun Lin,4952,12
104013138750678,翁震州,震州 翁,4943,17
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,4902,10
105742975534267,吳明宜,吳明宜,4781,15
124616330906800,東森新聞,These ads ran without a disclaimer,4748,2
167913323845559,FNG世代設計｜為了下一代而設計,FNG世代設計｜為了下一代而設計,4709,10
1549881451947136,林筱淇,筱淇 林,4694,2
110699089014688,三立新聞,三立新聞,4655,3
872742159541735,財團法人台灣中小企業聯合輔導基金會,These ads ran without a disclaimer,4592,3
107717481526939,文茜的世界周報 World News,These ads ran without a disclaimer,4520,20
195890640463420,台灣永續能源研究基金會 Taiwan Institute for Sustainable Energy (TAISE),Che Hui Chu,4500,1
640060652802210,朝陽科技大學招生服務中心,Arex Lee,4500,2
112272141484784,游智彬：桃園阿彬哥,游智彬：桃園阿彬哥,4499,6
117437684611270,桃園有議事・民進黨議會黨團,民主進步黨桃園市議會黨團,4443,7
111209387895136,Fhsiws,These ads ran without a disclaimer,4428,1
1398002093793689,BNI 高屏區,BNI 高屏區,4400,3
1535242033367738,台灣知識種子計畫,台灣知識種子計畫,4399,4
1234106229938484,台灣健康空氣行動聯盟,慧琳趙,4351,8
106265361106594,海鼎離岸風電計畫 Formosa III,毛潔瑜,4320,2
452335334841822,愛康 ICON,These ads ran without a disclaimer,4259,5
103502559051736,穩定存股術,These ads ran without a disclaimer,4163,4
107162861090654,法律協會-前置協商  更生 清算  免費諮詢,Yaya Lin,4112,3
1036267299771902,Meta,These ads ran without a disclaimer,4093,1
117249274645993,必勝！最強補習班,These ads ran without a disclaimer,4065,2
1693856497304590,竹山鎮長陳東睦,吳信男,4000,1
161364814238853,葉孟龍,孟龍 葉,4000,2
180516279238465,桃園市立美術館 Taoyuan Museum of Fine Arts,桃園市立美術館 Taoyuan Museum of Fine Arts,3923,4
200795295882,謝金河 投資理財,耀賢黃,3873,3
119282744754924,台灣人權促進會 Taiwan Association for Human Rights,台灣人權促進會 Taiwan Association for Human Rights,3862,11
155906881874882,涂權吉市議員,權吉涂,3856,1
120426681494097,Cresa,These ads ran without a disclaimer,3843,1
352437819460,7-ELEVEN把愛找回來,These ads ran without a disclaimer,3810,2
101629185999930,永安理財專員-花花,永安理財專員-花花,3703,1
348320745336110,臺灣吧 - Taiwan Bar,These ads ran without a disclaimer,3676,1
285691048228640,新北市議員 劉哲彰,怡文 王,3674,3
110108978464780,文茜的世界周報 Sisy's World News,These ads ran without a disclaimer,3659,10
441685342920785,張廖乃綸,張廖乃綸,3659,12
282131515802876,新北民政保平安,采威國際資訊股份有限公司,3601,14
110125264121324,自由路上藝術節,林冠億,3600,5
165533803086,魏嘉賢,魏嘉賢,3591,5
118880518158214,育成社會福利基金會,These ads ran without a disclaimer,3578,1
100872548855960,曾銘宗,These ads ran without a disclaimer,3567,16
101793222704679,Jeni Ken,These ads ran without a disclaimer,3530,1
112272141484784,游智彬：桃園阿彬哥,Sha Tin Huang,3499,5
138654461200,康健雜誌,康健雜誌,3481,3
164872546882726,羅智強,鴻慶 練,3470,3
602353113208382,台灣法學基金會,財團法人台灣法學基金會,3443,2
1206024742797005,UBI Taiwan 台灣無條件基本收入協會,聖惟王,3441,7
1408144392828928,爆米花。小砡兒,These ads ran without a disclaimer,3379,1
1466476516978500,花現彰化-彰化縣政府新聞處,佳欣 蔡,3300,4
490158560999121,MR. LIVING 居家先生,These ads ran without a disclaimer,3290,4
109803990352026,南島魯瑪社 LUMA Association,貝殼放大,3266,4
109242475123102,Vip Video VIP page,These ads ran without a disclaimer,3260,1
267210596804238,啟德機械起重工程-股公司,鈺梅蔡,3243,2
739049559498402,元氣網,udn.com,3229,7
103500095404156,Võ Cát,These ads ran without a disclaimer,3167,2
109181965386223,花蓮囝仔 李振瑋,馮茂智,3141,2
1448047902111768,顏寬恒,顏寬恒,3084,3
100293479403636,吳宗憲線上東森直購（正品）,These ads ran without a disclaimer,3004,4
291249604828727,比特王,郁琪廖,3000,9
115469883546400,風睿能源 Synera Renewable Energy,風睿能源,3000,3
599314863445468,WUFI-Taiwan（台灣獨立建國聯盟）,台灣獨立建國聯盟,3000,1
805578896186426,邱鎮軍,邱鎮軍,3000,1
748193915263885,羅廷瑋,大銘阮,2982,18
103813459295711,平行政府,平行政府,2949,1
883534741671087,橙新聞 Orange News,These ads ran without a disclaimer,2859,13
101004738834938,China Development Financial 中華開發金控,These ads ran without a disclaimer,2838,4
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,2833,6
112466153598194,內門洪師傅,These ads ran without a disclaimer,2831,1
104303444906468,Haier海爾全球廚衛家電專家,Haier海爾全球廚衛家電專家,2818,1
125534862174582,法律萬狀通-書狀生成,法律萬狀通-書狀生成,2795,4
776257359221734,藍敏煌Blue,藍敏煌,2731,7
1494980514073617,故事 StoryStudio,故事：寫給所有人的歷史,2711,2
245416656372183,Avatar,These ads ran without a disclaimer,2706,1
230776738922933,顏蔚慈,琇雯顏,2695,7
829253007099726,張肇良會做事,肇良 張,2677,4
122912938347467,歐陽霆,霆 歐陽,2667,3
101676409324074,璽來登日朗,These ads ran without a disclaimer,2658,2
810120492410745,全國教育產業總工會,全國教育產業總工會,2656,6
100971679482122,2222-《未來選擇地》,2222,2642,5
1666902633528033,桃園市政府青年事務局,桃園市政府青年事務局,2625,8
221323424616286,吳祥輝 Brian Wu,吳祥輝,2619,33
241744040079991,春山出版,甘彩蓉,2586,6
469433823136537,CSRone永續觀點,CSRone永續觀點,2569,2
791039751042770,好民文化行動,好民文化行動,2558,7
628977937601680,Ｗetalk高雄,郁琪廖,2499,9
1636733309982216,黃明賢 屏東縣議員,沛旭 傅,2476,3
650500068416528,無國界醫生 / Médecins Sans Frontières (MSF),These ads ran without a disclaimer,2474,7
131795423172,徐欣瑩,依紋李,2447,8
1837929996451526,厚研吾尺,Yu Kai Hung,2445,3
107061308725353,京華廣場頂級商辦園區,These ads ran without a disclaimer,2433,19
975011942576859,MIRAE 未來美,These ads ran without a disclaimer,2411,3
784013591704650,彰化市公所,彰化市公所,2400,1
189841711101767,土庫 侯王府,These ads ran without a disclaimer,2388,1
101605421659110,許采蓁,許采蓁,2385,3
108803285304242,秀策法律事務所,士閎沈,2384,5
102475659251313,蘇婉真,蘇婉真,2374,5
376687563131189,謝衣鳯,衣鳯謝,2373,7
468821970567384,桃園市議員吳進昌,進昌 吳,2368,5
111695394938904,桃園市議員 陳韋曄,韋曄陳,2358,8
109946254161907,Tommy 獨立理財顧問,詠程 許,2341,1
102943834507641,立法委員 陳椒華,時代力量立委陳椒華,2272,2
104478515128771,自忠學堂,Kaiwun Lin,2241,16
231202420952272,新北市議員 廖先翔,新北市議員 廖先翔,2202,1
1734754080151654,曹桓榮．高雄繁榮,郁琪廖,2193,9
1645501069043806,科科性別,國立高雄師範大學,2154,5
162701220453187,新北市議員 陳永福,陳韋任,2110,4
1331398043619914,新北勞動雲,These ads ran without a disclaimer,2100,2
673035569401167,育田基金會 Mercyland,財團法人育田社會福利慈善基金會,2076,4
116806840188577,中華民國不動產經營管理協會,中華民國不動產經營管理協會,2076,8
118578984548008,國明中醫理療館,These ads ran without a disclaimer,2044,3
362947561186301,何禮臺-新城鄉公所,紳旭 李,2011,2
184899118190398,女人迷 womany,女人迷 womany,2009,2
639278369550939,余政憲,余政憲,2008,2
593374924100942,經濟民主連合,社團法人經濟民主連合,2003,2
1743825042576235,楊文科,楊文科,2002,2
158723167479444,再生能源資訊網,再生能源資訊網,2000,1
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,2000,1
115469883546400,風睿能源 Synera Renewable Energy,These ads ran without a disclaimer,2000,2
103658758740546,台灣民眾黨桃園市黨部,台灣民眾黨桃園市黨部,2000,1
101440729109825,吳旭豐,吳旭豐,2000,1
102286101328988,立法委員 林思銘,Shu-Hsuan Huang,1978,3
107079701135729,樂洋地產 x 樂于創藝 Leyang & You,緻霖高,1977,2
110751084984549,Phyllicia,These ads ran without a disclaimer,1968,2
467933563234921,南門書局-網路圖書名店、也有實體店面，誠信可靠！,These ads ran without a disclaimer,1919,1
104792919199978,早安總裁,These ads ran without a disclaimer,1907,2
132666307449531,溏風報傳媒,fongnews.net,1894,3
102794058683578,倡議家,These ads ran without a disclaimer,1894,9
270583859793300,臺中國家歌劇院 National Taichung Theater,These ads ran without a disclaimer,1885,1
105841078939720,王三郎嚴選,These ads ran without a disclaimer,1877,1
110101061963311,民視 Formosa TV New,These ads ran without a disclaimer,1845,1
159425621565,Inside 硬塞的網路趨勢觀察,The News Lens 關鍵評論網,1845,2
114922313713078,科達建築,科達建築,1845,1
121504021252255,台灣金融研訓院,台灣金融研訓院,1829,4
218229778615150,朱珍瑤,珍瑤朱,1799,7
118859501536389,iDeals Virtual Data Rooms,These ads ran without a disclaimer,1798,2
227597833442,鄭南榕基金會．紀念館,鄭南榕基金會．紀念館,1787,2
105884948803720,Zeffie Cauthen,These ads ran without a disclaimer,1784,1
114159468223784,張建焜-行動發光 照亮青商,林杰,1784,5
188014637904753,行政院環境保護署,行政院環境保護署,1779,6
105957556179860,遠雄人壽Hold生活,遠雄人壽Hold生活,1771,6
290769701616159,2020國際海報徵選,2020國際海報徵選,1751,1
719804228417042,未來生活實驗室 Lifeaholic,These ads ran without a disclaimer,1737,5
103993244913942,Milly & Sissy 台灣,Stephanie Hsu,1734,4
304982903476818,譜曲辰,These ads ran without a disclaimer,1727,2
139995871775,中國文化大學推廣教育部,These ads ran without a disclaimer,1718,2
598218730636680,彰化邱建富,邱建富,1700,5
104734137684558,洪申翰 Sun-Han,洪申翰 Sun-Han,1700,2
106962868779240,Gina Sonia 209,These ads ran without a disclaimer,1691,1
103916742589806,你聽我說哦,你聽我說哦,1650,1
211551409043883,Innergie,Innergie,1635,2
205109859504215,兩喜號 Liang Xi Hao,Liang Xi Hao,1628,1
111048064504149,珊騰天下 姜百珊律師,易宏謝,1618,4
101812532622958,日本Jmaaメディカル居家保健芳療協會,日本Jmaaメディカル居家保健芳療協會,1606,5
1539555259465968,陳賢蔚,賢蔚 陳,1597,3
103032645529885,菱傳媒,菱傳媒,1594,3
307448579410362,感染誌 Hivstory,感染誌 Hivstory,1593,2
114066468281861,It's Time to Chip in,These ads ran without a disclaimer,1582,3
112570843421623,社團法人台灣你不是一個人實踐協會,柏岑 葉,1579,4
111137218408266,Gonzalez Arnetha,These ads ran without a disclaimer,1515,5
103885472386681,台優精選,These ads ran without a disclaimer,1507,1
427581894682565,福林里里長-林柏翰,Krystal Wang,1502,1
1518661028370616,陳麗珍,陳麗珍,1500,1
1385225591717634,何權峰 高雄市議員,何權峰 高雄市議員,1500,2
220796314615357,楊曜Yangyao,俊廷 陳,1500,1
496684637111616,陳偉杰 Chen Wei-chieh,偉傑 陳,1500,1
132727540081371,立法委員賴惠員,立法委員賴惠員,1499,1
127254684043276,東森財經,These ads ran without a disclaimer,1476,2
1837393259853915,正直敢言-林祈烽,柏德 林,1460,2
429783684500510,微儲能/不斷電系統-Ai智慧電管家/高宇能源,These ads ran without a disclaimer,1453,1
101990615224455,朱正軒 Tsu Tsìng-hian,瑋婷劉,1448,3
546919432374583,台灣三井不動產－投資顧問部,緻霖高,1447,3
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,1445,3
100334982784555,Mutta沐塔,These ads ran without a disclaimer,1441,8
112364983768638,司法院,司法院,1418,1
100919304770294,開根好 SquareGood,妍孜 陳,1416,8
103640919705348,綠色公民行動聯盟Green Citizens' Action Alliance,綠色公民行動聯盟Green Citizens' Action Alliance,1415,2
116862351348060,臺股達人,These ads ran without a disclaimer,1406,1
1452376615040708,遠雄集團,遠雄集團,1400,2
1270267469761308,天平共筆,Cheng-Chieh Chen,1400,2
241403045973,IC 之音 FM97.5,IC 之音 FM97.5,1380,2
138613799555199,台北金融研究發展基金會,These ads ran without a disclaimer,1372,3
278578939305883,亞太肝臟研究學會,These ads ran without a disclaimer,1370,2
224716348398040,SMAT台灣智慧移動產業協會,台灣智慧移動產業協會,1347,5
1025786357451330,"范雲  FAN, Yun","范雲  FAN, Yun",1334,4
128818803902,兩岸犇報,兩岸犇報,1330,9
131410820262008,宏其婦幼醫院,宏其婦幼醫院,1309,1
805578896186426,邱鎮軍,聽儷科技股份有限公司,1304,4
156810494451962,尚鼎之茶,These ads ran without a disclaimer,1274,3
149528525248173,富邦人壽是怎young,These ads ran without a disclaimer,1261,1
103921062032627,苗栗縣非都市土地再生能源發電案場巡監綠電巡守隊,振宏林,1257,2
398746854048810,Right Plus 多多益善,These ads ran without a disclaimer,1253,2
292249757967340,陳善慧【善於服務 • 慧做代誌】,高雄市議員陳善慧服務處,1251,8
397602236982040,三立iNEWS,三立新聞,1250,2
110647840532680,Merge Mayor,These ads ran without a disclaimer,1222,1
556809414798107,綠獎 Eco Echo Award,These ads ran without a disclaimer,1216,2
134086613358799,立法委員孔文吉,Wenchi Kung,1200,4
105918421702452,王沈剛竹 比紹,王沈剛竹,1199,1
109294944190642,pama_yvonne,These ads ran without a disclaimer,1196,1
167913323845559,FNG世代設計｜為了下一代而設計,These ads ran without a disclaimer,1194,4
144181272662168,台南新芽,台南新芽,1184,8
158422268047235,龍潭里里長 古智仁,智仁 古,1167,3
108453130785438,SMA Solar Technology艾思瑪太陽能技術,These ads ran without a disclaimer,1154,2
773445392783613,嘉義多一點,嘉義多一點,1122,1
397434441163,左岸文化,左岸文化,1118,2
112233633467139,HowJobs,These ads ran without a disclaimer,1102,1
1466476516978500,花現彰化-彰化縣政府新聞處,These ads ran without a disclaimer,1080,1
116275114771430,阿湯哥筆記,These ads ran without a disclaimer,1072,1
109358201564879,反廢死Q&A,天恩鄭,1068,2
172369459534,工業技術研究院,These ads ran without a disclaimer,1065,1
110858134884421,楊仲傑 潭陽里里長,仲傑楊,1033,5
647774598986133,深聽嘉義-黃思婷議員,林政翰,1009,2
1379388662325800,胡仁順-花蓮縣議員,仁順 胡,1006,2
1141695282670470,張博洋,張博洋,1000,1
1648387955210132,招名威教授 毒理威廉,These ads ran without a disclaimer,1000,1
103027032310003,嘉義市議員-郭定緯,淳芳林,1000,1
294625894324536,詠少年 市民代表 張詠勝,詠少年 市民代表 張詠勝,1000,2
137143073105957,愛秀團隊－林碧秀,碧秀 林,1000,3
727855827262810,林家興 Alfred Lin,Alfred Warjas Lin,1000,1
152792671915134,涂力旋-用力旋轉未來,力旋涂,1000,1
106342675104946,Tougher堅韌者,These ads ran without a disclaimer,1000,1
102005748920346,王宣貿,王宣貿,1000,1
102429412411676,桃園市新住民培力中心,桃園市新住民培力中心,1000,2
2430390413849261,奕綸有限公司,京昀,1000,1
100806002691584,陳識明,郁琪廖,1000,3
113312950405891,Q嘉義,Q嘉義,1000,1
826534787556756,遠智國際開發/遠智人力銀行,These ads ran without a disclaimer,994,1
101383501930218,永康黃肇輝,黃肇輝,993,2
116906978005986,讓中正，更傑出,讓中正，更傑出,988,2
101167718281657,徐勝凌,勝凌徐,979,2
689837094426996,邱靖雅-乘風破浪的姐姐,靖雅 邱,970,3
112830608131440,許睿慈．許願池,許睿慈．許願池,963,3
419217714880192,TVBS娛樂頭條,These ads ran without a disclaimer,959,1
188311137478,中時新聞網,時報資訊,952,1
106713665378826,A+ Infinity - A佳的無限可能,These ads ran without a disclaimer,949,1
120763392659625,屏東土青-趙文俊,趙文俊,949,1
530009350425070,台灣職業安全健康連線,台灣職業安全健康連線,942,1
1409006279407668,美麗而剽悍 婦產科女醫 新竹竹北 張瑜芹醫師,荏傑 楊,938,5
109269030824677,傑尼斯時尚醫美整形外科診所,These ads ran without a disclaimer,933,1
725501890978632,游淑慧 台北市議員,游淑慧,931,2
101444182888371,陳經理 小額互助,These ads ran without a disclaimer,923,1
113389661672258,Stevan,These ads ran without a disclaimer,923,1
606321216096498,李彥秀,李彥秀,918,2
456170574528072,蘇巧慧,蘇巧慧,914,1
2155864991308675,勞動黨 羅美文- 為了勞工一直在這裡,Juhsing Tsang,900,3
105931358099314,遠雄文教公益基金會,遠雄文教公益基金會,900,4
103543475432082,森原樹𝟐,These ads ran without a disclaimer,899,1
111829661616679,減肥營養師,These ads ran without a disclaimer,892,3
1654711658120785,鳩澤郎 日式串燒 料亭 酒場,These ads ran without a disclaimer,862,1
100643885569863,方凱數學．趣味數學,These ads ran without a disclaimer,861,2
290313224668268,CMoney-人生投資學,These ads ran without a disclaimer,851,8
102877246139738,邱正宏醫師瘦身所,These ads ran without a disclaimer,818,1
972132016144408,施佩妤《十年有妤．感恩有您》,施佩妤《十年有妤．感恩有您》,809,1
101278561893503,永續實現的∞種可能,永續實現的∞種可能,806,2
