Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
277779139787306,Piráti Bílovec,Piráti Bílovec,1840,8
297228640376151,Sociální demokracie • Zlínský kraj,SOCDEM Zlínský kraj,1784,3
375824363195,jewish-eshop.cz,jewish-eshop.cz,1754,6
101546722562717,Easy Hiring,These ads ran without a disclaimer,1752,4
1701718886552103,Moje Evropa,Moje Evropa,1730,7
662196877287140,Tomáš Třetina,PRodukujeme,1707,2
206284412716963,Plzeňský kraj,Plzeňský kraj,1693,2
1681478228766601,Jan Grolich I Hejtman JMK,KDU-ČSL,1681,6
251245588083351,Marta Peterková,Sociální demokracie,1666,7
104659657998241,David Vychytil - náměstek hejtmana Zlínského kraje,David Vychytil,1618,4
200800880372384,Nový Prostor,"Nový Prostor, z.ú.",1604,2
359111827288294,Ladislav Bílý - furt v pohybu,Spojenci24 s vámi,1599,6
259737510550867,Adam Joura • správnej hejtman pro Vysočinu,Starostové pro Vysočinu,1586,8
113743658978459,Meltingpot,Meltingpot,1580,4
281612878360690,MUDr. Miroslav Jiránek,Česká pirátská strana,1576,4
286752372142599,Jakimczuk Radek,Jakimczuk Radek,1573,2
375868542113,Piráti Jihočeský kraj,Česká pirátská strana,1544,3
119624098506,Kateřina Konečná,Kateřina Konečná,1536,2
114209374953190,Sharayu Sonawane,These ads ran without a disclaimer,1534,1
104419282197418,Moise Asman,These ads ran without a disclaimer,1521,1
113339861358429,Vojtěch Mikoláš - místostarosta Prahy 12,Vojtěch Mikoláš - místostarosta Prahy 12,1500,5
290464181002849,Koalice pro Pardubický kraj,Koalice pro Pardubický kraj,1500,5
1458827397686128,Koalice Vlasta,Koalice Vlasta,1500,5
40155481542,ROMEA,"ROMEA, o. p. s.",1491,2
108523378556809,My jsme Přísaha Jihomoravský kraj,My jsme Přísaha Jihomoravský kraj,1469,1
1060889564019324,Tomáš Prouza,Tomáš Prouza,1430,6
1649724681776439,ProMOST,ProMOST,1426,7
2198949580361251,Marek Viskot,Marek Viskot,1424,2
109426895534368,Lucie Cirkva Chocholová - kandidátka na hejtmanku Středočeského kraje,Česká pirátská strana,1408,3
415472211798220,Prague Pride,Prague Pride z.s.,1407,8
101703942538470,René Černý - 1. náměstek primátorky města Brna,René Černý - 1. náměstek primátorky města Brna,1395,2
378827025796132,Peak.cz,Peak.cz,1382,6
113575165174742,Učím o klimatu,Člověk v tísni o.p.s.,1378,4
2244726532215982,Senátorský klub - Starostové a nezávislí,Senátorský klub Starostové a nezávislí,1310,3
223070300897259,Divokej Západ,ZKTV Production s.r.o.,1287,2
100647378751279,Pavla Pivoňka Vaňková STAN,Pavla Pivoňka Vaňková STAN,1278,2
334203283397849,Martin Bednář pro Ostravu,ANO 2011,1273,3
146713862010620,Martin Baxa,Martin Baxa,1252,6
574403236101561,Ivo Vondrák,hnutí O.k.,1235,5
283796335522682,Lepší Beroun,Lepší Beroun,1232,10
288004403427,"Friedrich-Ebert-Stiftung, zastoupení v České republice","Friedrich-Ebert-Stiftung, zastoupení v České republice",1227,8
163922593467373,Advokátní kancelář LEGISTES,Lucie Slováková (AK Legistes),1206,1
229294384295513,"Přemysl Rabas, senátor",SEN 21,1197,3
107744397623418,Pavel Křeček • radní Prahy 3,Pavel Křeček • radní Prahy 3,1187,4
60095113826,Johnson Righeira,These ads ran without a disclaimer,1173,7
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",1173,6
413781585866108,Zuzana Böhmová - místostarostka Prahy 11,Česká pirátská strana,1161,2
147547541961576,Council of the European Union,Council of the European Union,1151,11
321754948555757,Vojtěch Krňanský - starosta,Vojtěch Krňanský - starosta,1151,2
364077133451941,Pavel Šaradín - Hlas pro náš kraj,SOCDEM,1138,3
101937231589371,Čestmír Bouda,Čestmír Bouda,1120,6
530380730486148,alerty.cz,These ads ran without a disclaimer,1109,1
114723720265985,Pavel Staněk - poslanec,Pavel Staněk,1086,4
101954531415600,Lukáš Vlček • poslanec za Vysočinu,Lukáš Vlček • poslanec za Vysočinu,1084,5
470593056405865,Kde fondy EU pomáhají,These ads ran without a disclaimer,1065,1
745675252162748,Národní pedagogický institut ČR,Národní pedagogický institut ČR,1059,2
110199885033988,SPOLU pro Frýdek-Místek,SPOLU pro Frýdek-Místek,1050,3
1393826507513693,"Jan Recman, místostarosta Prahy 2",Občanská demokratická strana,1020,2
548487565163265,"Buď Čech, buď laska","Buď Čech, buď laska",1017,7
139379141293,Paměť národa,"Post Bellum, z.ú.",1014,16
109323929038,Česká pirátská strana,Česká pirátská strana,1003,10
105828531449853,Bydlení Hořovice,Bydlení Hořovice,1000,2
189453853156222,"Ondřej Dostál - zdraví, právo, spravedlnost","Ondřej Dostál - zdraví, právo, spravedlnost",1000,1
105998488267274,Robert Teleky,Robert Teleky,1000,3
105549357880586,Romana Fischerová,Romana Fischerová,1000,1
416970502094774,Jarda Chalupský,Chalupský,1000,1
461430503957309,TOP 09 - Praha 6,TOP 09,1000,1
100890401934100,Pavel Bulíček - náměstek hejtmana Královéhradeckého kraje,Česká pirátská strana,1000,2
114216794363739,Žijeme Pardubice,ProPce21,1000,1
109431260876425,Jan Paparega,ProMOST,1000,2
353821314687878,Ondřej Benešík,KDU-ČSL,999,2
103895482145144,Zdeněk Kettner - SPD,Zdeněk Kettner - SPD,989,2
104749474243725,Tetín,Obec Tetín,988,1
310379808821099,Zhanna Tsarik,These ads ran without a disclaimer,986,1
121414737897090,"LEXUM - oční kliniky, ambulance, optiky","LEXUM - oční kliniky, ambulance, optiky",966,6
989225617882268,"Martin Benkovič, 1. místostarosta Prahy 17 - Řepy","Martin Benkovič, 1. místostarosta Prahy 17 - Řepy",961,2
101134762378681,Michaela Šebelová,STAROSTOVÉ A NEZÁVISLÍ,960,3
590249011043899,Skautský institut,"Junák - český skaut, Skautský institut, z. s.",956,1
192989578217526,Deník N,These ads ran without a disclaimer,945,1
242117635912490,ODS - Plzeňský kraj,Občanská demokratická strana,931,4
305841779280815,Standa Balík do Senátu,Stanislav Balík,917,3
111041662264882,Sociální demokracie,Sociální demokracie,917,3
126192198099,Richard Vereš,ANO,908,1
1724429451179435,Alternativa středočeské D3,Alternativa středočeské D3,900,3
102500511866371,Karel Smetana,Karel Smetana,900,3
100393009795206,Jan Papajanovský,Jan Papajanovský,896,2
104041204997997,Hussaini Islamic Academy,These ads ran without a disclaimer,875,2
1201085733241671,Café Evropa,EUROPEUM Institute for European Policy,872,1
113808937976589,Makwa Prince,These ads ran without a disclaimer,835,3
100873939504989,PRO NÁŠ KRAJ,PRO PLZEŇ,834,6
352991961225671,Zateplení zdarma,These ads ran without a disclaimer,834,3
1240809492610426,Jan Jakob,Jan Jakob,814,3
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,808,3
244192865606024,People in Need,Člověk v tísni o.p.s.,805,1
106967874570478,"Giancarlo Lamberti, zastupitel Prahy 1","Giancarlo Lamberti, zastupitel Prahy 1",803,5
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,801,5
1780099722095158,Filip Chvátal,Filip Chvátal,800,1
111152388465014,"Ivana Solařová - kandidátka na hejtmanku za hnutí ANO, starostka Znojma",ANO 2011,800,1
101722985492419,Klára Kocmanová,Česká pirátská strana,784,1
