Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
154462904588700,Enbridge Gas,Enbridge Gas,2290,35
283195431555035,Creative Innovations,These ads ran without a disclaimer,2274,83
169042736456594,All Out,ConnectAd,2247,71
108440668610943,Barb Martens,Barb Martens,2233,7
407647806067943,PCNB,Progressive Conservative Party of New Brunswick,2227,11
109850542125989,Kimberly Murphy,These ads ran without a disclaimer,2206,7
100798845353402,We Are A Coal Town,We Are A Coal Town,2185,7
121127820923190,The Canada Africa Growth Coalition,The Canada Africa Growth Coalition,2184,2
228128483994287,RBC Race for the Kids Toronto,RBC Race for the Kids Toronto,2182,196
80851911931,Canadian Civil Liberties Association,Canadian Civil Liberties Association,2167,42
108635379686,CNIB,CNIB,2148,49
136430996210292,Glencore Canada,Glencore Canada,2107,12
108587420188,United Way Greater Toronto,United Way Greater Toronto,2105,182
104321259649840,CATIE,CATIE,2070,22
161817467263,Nova Scotia Government,Government of Nova Scotia,2037,55
697054543964339,"Adam Walker, MLA","Adam Walker, MLA",2017,16
96225168773,TELUSfr,TELUSfr,1982,3
136350861428,Sierra Club BC,Sierra Club BC,1966,7
823970554364200,Ancient Forest Alliance,Ancient Forest Alliance,1923,8
125192811522562,Susan Holt,Susan Holt,1915,12
307563279115887,Strategic Shifts,These ads ran without a disclaimer,1899,43
259187344111223,Coastal First Nations,Coastal First Nations,1881,4
328849260317850,Future Focus,These ads ran without a disclaimer,1875,7
100286166026955,Beginning 1,These ads ran without a disclaimer,1874,25
633812813408377,Elections Canada,Elections Canada,1857,8
392629388021829,Ally Global Foundation,Ally Global Foundation,1732,11
107385241806,Plan International Canada,Plan International Canada,1726,13
226152457249175,Generation Uranium,Generation Uranium Inc.,1687,19
259643410576022,Lucky Clover Lottery Tickets,These ads ran without a disclaimer,1677,48
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,1652,2
597902120327040,"Martin Shields, MP","Martin Shields, MP",1643,6
699539606774997,Scott Aitchison,Parry Sound-Muskoka Conservative Association,1636,12
362165383637111,Langley Township Watch,Langley Township Watch,1604,4
323253707533972,RHEW GM,These ads ran without a disclaimer,1549,42
142350732304902,Our Saskatchewan RCMP,National Police Federation,1548,29
111231197686977,The Breach,The Breach,1545,13
203135665808,Mississauga Parks & Recreation,City of Mississauga,1524,9
245013842275891,CUPE Alberta,CUPE Alberta,1523,1
152011964819862,White Ribbon Campaign,whiteribbon.ca,1520,47
1617753965111540,Oil and Gas World/Oil Sands Strong,Oil and Gas World/Oil Sands Strong,1512,7
105288666168351,SOS Children's Villages Canada,SOS Children's Villages Canada,1509,12
172097365984523,Speak Up Saskatchewan,Saskatchewan Federation of Labour,1478,30
182452388854875,Goodman Commercial,Goodman Commercial,1477,21
1412266529076632,Save on Energy,Save on Energy,1475,6
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),Doctors Without Borders/Médecins Sans Frontières (MSF) Canada,1466,8
105533901551407,Advance Regina,Advance Regina,1375,8
103218205790303,Rodeo Truth,Rodeo Truth,1349,16
186898398016771,FRONT - Femmes Regroupées en Options Non Traditionnelles,FRONT - Femmes Regroupées en Options Non Traditionnelles,1285,21
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,1282,4
362522836940434,Waiting zephyr,These ads ran without a disclaimer,1278,39
572892516092329,"Yvan Baker, MP","Yvan Baker, MP",1274,6
6954922243,Green Party of Canada | Parti vert du Canada,Green Party of Canada | Parti vert du Canada,1270,4
117993172798,Halifax Regional Municipality,Halifax Regional Municipality,1270,2
112231341386348,Nagwan Al-Guneid,Nagwan Al-Guneid,1215,3
316302965122489,Clean Energy Canada,Clean Energy Canada,1214,17
134455149912301,Seva Canada,Seva Canada,1203,5
278388139026064,Patrick Brown,Patrick Brown,1195,4
177872532253393,National Citizens Coalition,National Citizens Coalition,1166,4
281584635044515,Evolutionary enterprises,These ads ran without a disclaimer,1165,22
78753328415,Dogwood BC,Dogwood BC,1156,25
151415004877917,Institut économique de Montréal,Institut économique de Montréal,1131,9
262370800536,CanadaHelps,CanadaHelps,1121,9
105754167560390,Ekō Canada,Ekō,1116,4
436380846546476,CertainTeed Canada,These ads ran without a disclaimer,1115,1
476796182369573,Alberta Medical Association,Alberta Medical Association,1113,16
513913392293367,Saskatchewan Pulse Growers,Saskatchewan Pulse Growers,1098,8
120435524641099,Food Banks Canada,These ads ran without a disclaimer,1068,5
1662424300678700,Montreal Economic Institute,Montreal Economic Institute,1056,6
100373975829221,Fòs Feminista Org,These ads ran without a disclaimer,1051,1
315388131828645,Michael de Jong,Michael de Jong,1050,12
143249880633,World Animal Protection Canada,World Animal Protection Canada,1049,33
100929739659829,Bodywell,These ads ran without a disclaimer,1041,1
100584352908434,Status Code Red,Status Code Red,1036,5
401547160292351,Eric Woodward,Eric Woodward,1024,18
218916525819,Canadian Association of Physicians for the Environment (CAPE),Canadian Association of Physicians for the Environment,1018,52
216530854887629,Ignite Your Drive,These ads ran without a disclaimer,1013,1
313239451872774,Apex AudioArcadia,These ads ran without a disclaimer,1005,24
102864209001393,Max Power Mining Corp.,MAX Power Mining Corp.,1000,4
1547351742002843,Recovery Capital Conference - Overcoming Addiction,Recovery Capital Conference - Overcoming Addiction,1000,1
1889849914634460,Shuv Majumdar,"Shuvaloy Majumdar, MP",997,4
312380892116930,Cuso International,Cuso International,995,35
446173666197598,BC Health Care Assistants,Health Match BC,983,31
327458723781820,Precision Auto Repair Workshop,These ads ran without a disclaimer,981,34
1522162571382952,Oceana Canada,Oceana Canada,972,7
21746462235,CPAWS · SNAP Canada,CPAWS,970,31
39168823065,Sierra Club Canada Foundation,Sierra Club Canada Foundation,967,196
590117937780756,Oil Sands Action,Canada Action,960,12
868589909847623,Action Canada for Sexual Health and Rights,Action Canada for Sexual Health and Rights,958,13
109246138604572,Bio buckwheat,These ads ran without a disclaimer,940,13
213671857639,BCGEU,BC General Employees' Union,936,3
179642688739082,Amnistie internationale Canada Francophone,Amnistie Internationale Canada Francophone,934,49
1235924409886067,Tri-Cities Pride Society,Tri-Cities Pride Society,917,2
1433468016919199,Go Dodge Surrey,These ads ran without a disclaimer,912,1
149637145096756,Conservative Party of BC,"Financial Agent for Mike Harris, Bob Bray",911,2
541315122557352,CODE NGO,CODE NGO,903,4
1422990784605742,iA Financial Group (Industrial Alliance),iA Financial Group (Industrial Alliance),902,20
243435756499271,Dan Mazier,Dan Mazier,900,13
240106655862924,heart of flowers,These ads ran without a disclaimer,894,7
417286065328939,New Statement-10,These ads ran without a disclaimer,890,58
377043765490241,Alecsando guhoiho,These ads ran without a disclaimer,875,15
111513183665769,Jean Coutu Bertrand & Rouisse Pointe-aux-Trembles,PHARMALEAD,871,23
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,864,7
880564898680747,Saskatchewan School Boards Association,Saskatchewan School Board Association,840,2
516401211852429,ICBA - Independent Contractors and Businesses Association,Independent Contractors and Businesses Association of BC,830,4
111404328067824,Friends of Land Use Planning,Friends of Land Use Planning,826,7
114312524502,City of Surrey,City of Surrey,817,1
327834357078866,BCCodeBlue,BC Code Blue,817,32
250592478295316,C2C Journal,C2C Journal,811,42
106957969374232,Columbia Chrysler,These ads ran without a disclaimer,808,1
229210687246118,Michael Cooper,"Michael Cooper, M.P.",800,14
168617319831578,Nature Canada,Nature Canada,800,2
335684196301086,SportPeak,These ads ran without a disclaimer,796,11
381436075047167,Imperial Invest G&O,These ads ran without a disclaimer,778,20
381457348379671,Espreso CA,These ads ran without a disclaimer,776,27
177741812241442,SCFP-Québec,le SCFP,774,5
227339410465956,Don Stewart,Don Stewart,745,5
357586887440827,Home Sweet1,These ads ran without a disclaimer,742,13
121099651233937,RAVEN,RAVEN Trust,741,47
1202426206441326,Honveer Singh Randhawa,Honveer Singh Randhawa,740,15
398088657055554,City of Brampton – Your Local Government,The City of Brampton,726,2
298540300287087,Francesco Sorbara,Francesco Sorbara,725,4
325509447306884,Julie White - Nominee,Julie White,724,17
100264526058060,Robert Kolosowski For Trustee,Robert Kolosowski's Campaign,713,6
103912195154922,CiviX West Vancouver,CIVIX WEST VANCOUVER ELECTOR SOCIETY,712,11
103970858609842,Fightcade Callejero,These ads ran without a disclaimer,711,32
1243765649000963,"Silver""N""Gold",These ads ran without a disclaimer,710,1
104128641336287,Indigenous Resource Network,Indigenous Resource Network,707,4
39315431246,Fair Vote Canada/Représentation équitable au Canada,Fair Vote Canada/Représentation équitable au Canada,702,2
111594648606327,CC Finance Invest Groupe,These ads ran without a disclaimer,700,23
276842008855236,Smart Investments 2.0,These ads ran without a disclaimer,689,18
320234981177619,Amiable slope,These ads ran without a disclaimer,686,14
207408135939027,CSSSPNQL / FNQLHSSC,Commission de la santé et des services sociaux des Premières Nations du Québec et du Labrador,650,3
93901634330,Children's Health Foundation of Vancouver Island,Children's Health Foundation of Vancouver Island,623,10
146942921836772,Moxie Media Marketing Inc.,These ads ran without a disclaimer,623,1
250225271678009,Canadian Generic Pharmaceutical Association,Canadian Generic Pharmaceutical Drug Association,621,4
268163004562,YWCA Metro Vancouver,YWCA Metro Vancouver,621,4
535892306607090,Michael Lee,Michael Lee MLA for Vancouver-Langara,621,9
319433254583819,Trailblazing trajectories,These ads ran without a disclaimer,615,16
133631310011919,Blaine Higgs,Blaine Higgs,610,14
130494230321442,Cystic Fibrosis Canada,Cystic Fibrosis Canada,603,9
183635938695983,Canadian Police Association,Canadian Police Association,602,4
257269300810807,Forestry Works for BC,Forestry Works for BC,600,6
107647832174764,Assessmeny,These ads ran without a disclaimer,599,63
257239864139728,British Columbia Short-Term Rental Association,British Columbia Short-Term Rental Association,598,2
368355790316073,Municipality of Trent Hills,Municipality of Trent Hills,596,3
241757415692991,Len Carby Campaign,Len Carby Campaign,589,2
110483088265211,Take Back Alberta,Take Back Alberta,584,3
605582973434788,Doctors Without Borders/Medecins Sans Frontieres (MSF),These ads ran without a disclaimer,582,32
2424592771126530,Jean Coutu La Plaine,PHARMALEAD,581,16
629756027442310,Kody Blois,Kody Blois,578,14
367268373361005,Familiprix Extra - Frédéric Dupéré et Andrée Gélinas,PHARMALEAD,576,15
358626320660104,Sonix Inroads,These ads ran without a disclaimer,570,21
685839561442324,Tim S. Uppal,Tim S. Uppal,567,6
165777096819193,Elementary Teachers of Toronto,Elementary Teachers of Toronto,561,3
103515444788385,Vaughan Voices,Vaughan Voices,556,7
25553935482,BC United,BC United,553,7
379923131865699,New Day Canada TV,These ads ran without a disclaimer,549,20
132529559942105,unitedwestandpeople,These ads ran without a disclaimer,547,3
101709039118561,Provincial Rebates,These ads ran without a disclaimer,546,1
409786973169158,Tru Earth,These ads ran without a disclaimer,546,5
171760333399108,Ludovic Grisé Farand - Maire de Saint-Bruno,Ludovic Grisé Farand - Maire de Saint-Bruno,545,6
367659379761899,CA Canada News,These ads ran without a disclaimer,540,14
46085362644,Regional Municipality of Wood Buffalo,Regional Municipality of Wood Buffalo,530,6
117266572191411,Brunet Val-Bélair,PHARMALEAD,527,14
17344334844,Frontier Centre for Public Policy,Frontier Centre for Public Policy,526,3
306509560692,Friends of Canadian Media/Les Amis des médias canadiens,FRIENDS of Canadian Broadcasting,525,2
391484890705754,Home Sweet4,These ads ran without a disclaimer,524,7
107429677776963,Clini Plus Lisa Gaudreault et Suzie Desmarais,PHARMALEAD,522,12
289546944232634,Davidebysego,David Eby's Ego,519,2
145655439443421,"Jean Coutu 515 Boul. Lacombe, Repentigny - secteur Le Gardeur",PHARMALEAD,519,14
113093824965134,UFCW Eastern Provinces Council,UFCW Eastern Provinces Council,515,2
321563531037220,Leslie Church,"Leslie Church, Liberal Party of Canada Candidate for Toronto-St. Paul's",512,29
108604005427609,Neil Lumsden MPP,Neil Lumsden MPP,507,1
146415539029709,"Brad Vis, MP","Office of Brad Vis, MP",505,4
166935516700878,Last Door Recovery Society,Last Door,500,1
630616020375073,"Mark Strahl, MP","Mark Strahl, MP",500,2
1405584859700126,Uniprix Daniel Lachance,PHARMALEAD,499,14
674109146110155,Debunk Inc,Debunk Inc,498,10
181481865228746,International Justice Mission,International Justice Mission Canada,490,7
453390228155672,Ziad Aboultaif,Ziad Aboultaif,488,7
100345752618521,Neighbour Media,neighbour media,485,9
174000851080,Centraide Québec et Chaudière-Appalaches,Centraide Québec et Chaudière-Appalaches,473,2
101095165043821,Accès pharma Jean-François Rochette chez Walmart,PHARMALEAD,472,13
207513175076,Calgary Herald,These ads ran without a disclaimer,469,9
109845374517061,Ned Kuruc,Ned Kuruc,464,4
109210999137883,Canada's History,Canada's History,463,12
413579795366320,Collège Villa Maria High School,Collège Villa Maria High School,456,1
6017214773,Toronto Metropolitan University,Toronto Metropolitan University,451,3
2349053895373277,Kyle Seeback,Kyle Seeback,448,5
101383048024137,Jean Coutu M. D'Amours,PHARMALEAD,441,12
807771175956127,Sonia Sidhu,Sonia Sidhu,438,11
102285745958242,Brian Johns,Brian Johns,437,2
1430097903911988,TOES Niagara,Brock University,436,2
319053404633130,AuralAmbient,These ads ran without a disclaimer,435,4
195823893615309,CMPA - APMC,Canadian Association of Military Personnel/Association du Personnel Militaire Canadien,431,3
103940668400885,"Louise Lortie, conseillère municipale de Marc-Aurèle-Fortin","Louise Lortie, conseillère municipale",430,16
419813708382526,"Claude Larochelle, conseiller municipal de Fabreville","Claude Larochelle, conseiller municipal de Fabreville",430,16
104799750036183,New Statement-4,These ads ran without a disclaimer,428,33
1968451243484787,Brad Redekopp MP,Brad Redekopp MP,424,6
100778215208215,Melissa Lantsman,Melissa Lantsman,422,5
302563550666,Nutrite Mario Lambert,Réseau d'experts Nutrite,417,4
60739884425,Samaritan's Purse Canada,Samaritan's Purse Canada,415,7
298611816674988,Success spectrum,These ads ran without a disclaimer,413,5
105091807647339,Jean Coutu Île-Perrot,PHARMALEAD,413,9
143878685642858,Canadian Foodgrains Bank,Canadian Foodgrains Bank,412,9
183332455018035,FSC Canada,FSC Canada,412,8
2120611884638218,Scot Davidson,Scot Davidson,409,1
1459524474331964,Jean Coutu Briggs Drugs,PHARMALEAD,409,5
109259964070785,Skeena Strong,The Skeena,409,21
103332909346120,Raveena Rajasingham,Raveena for MP,404,7
138590099531577,City of Burnaby - Local Government,City of Burnaby,400,11
110385933727922,Info-tabac,Info-tabac,400,27
490918314254385,Partners In Health Canada,Partners In Health Canada,400,2
1344251769044889,BC Rental Project,BC Rental Project,400,2
372498358268,Manitoba NDP Caucus,Manitoba NDP Caucus,400,8
324943121306572,New Brunswick Proud,New Brunswick Proud,399,4
359511127237821,Daily News,These ads ran without a disclaimer,399,5
1203834589753669,Prabmeet Singh Sarkaria,Brampton South PC Riding Association,399,2
