Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
164775774044498,Microsoft Partner Innovation,These ads ran without a disclaimer,655,1
105100587598583,Loopify,These ads ran without a disclaimer,654,2
373438566445824,Joshi Hyundai,These ads ran without a disclaimer,653,2
101035556321468,Deepak kumar rajauriya,These ads ran without a disclaimer,652,2
102250202270791,Karni Singh Ladnun,Karni Singh Rathore,652,9
591308381263516,Nitesh Gholap,These ads ran without a disclaimer,650,1
2088778371335357,Tank Ram Verma,Pushpendra Verma,650,3
106654521946661,yaminijaipuria,These ads ran without a disclaimer,650,1
169384899780262,Lokayat,Lokayat,650,2
100906936208444,Amit Chauhan,Amit Chauhan,650,1
642581262461206,Hemant Singh Phogat,Hemant Singh Phogat,650,5
105404231474873,Satish Vishwakarma,Udaysingh,650,2
1933053633633073,Sankalp Goswami,Bharat Kushwah,650,2
102951287821252,Gaurav Sanjeev Suri Bhartiya,Gaurav Suri,649,3
836445993379766,Ram Pratap Verma MLA,Ankaj Tiwari,646,1
116631481390041,स्मिता मिश्रा पार्षद प्रत्याशी इन्दिरा नगर वार्ड,Pranesh Kumar Mishra,646,2
107575770753182,Educo in India,These ads ran without a disclaimer,646,2
110926461513624,Egram post,Chaudhari Pravin K,646,3
112202090641860,G Pradeep,Suthaharan  Nagarathinam,645,5
102926174753989,Nigam Bhandari,Manoj Kumar,645,1
299741243498722,Aduram Meghwal,These ads ran without a disclaimer,644,5
107109915711484,Power financial,These ads ran without a disclaimer,643,1
108318774063680,Pinky Promise,These ads ran without a disclaimer,643,1
113168151756009,ममतेश कुशवाह,Mamtesh Kumari,642,2
118632417870995,Anurag,These ads ran without a disclaimer,642,1
102749268302788,Vishwas Kashid - विश्वास काशिद,Shivray Production,642,2
110751205326199,Sandeep Gopalrao Gulve,Aher Bhushan Ambadas,642,2
105625338928748,DR. Ramkishor choudhary,DR. Ramkishor choudhary,640,1
154346268302563,Tender Palm Hospital,Vatshalya Sharma,639,8
219964054802262,Vijay Khetan BJP,Goldy Tyagi,636,2
105284295455332,Raghuraj Singh Yadav,Raghuraj Singh,636,3
106839315734166,Veena Rana Mishra,Veena Rana,636,4
102725741271011,Amrit Pal Singh AAP-Chairman District Planning Board Jal.,Sukhneet Singh,635,3
110363561802644,Kausar Abbas,These ads ran without a disclaimer,635,3
1512339905644629,Abdul Kadeer Maulana,Zubair Abdul Kadeer Sayyed,635,2
112808033567845,Gajendra Singh Odint,Engitech Media,635,1
106802937934432,Padma venkat reddy,Banappagari Naren Sai Reddy,634,8
376224865747238,Servier,These ads ran without a disclaimer,634,1
102688189181011,Immunify.Life,These ads ran without a disclaimer,632,3
194537700623491,David Rocaberti Photography,These ads ran without a disclaimer,632,3
106615352099209,maritimes_crimes,These ads ran without a disclaimer,632,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,630,1
102766972054067,Pradeep Yadav,These ads ran without a disclaimer,627,2
104173615952889,Divyansh Dhami,Trilok Singh,627,2
108399775568806,Shafeek Ahamad Ansari,Kumar Ratnam Sharma,626,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,626,7
106852829033123,Digital News,These ads ran without a disclaimer,626,1
111271545234047,Telangana Singidi,Pudari Prashanth,626,1
100517395525386,Bhai Naveen Dahiya Parshad,Ajay Kumar,625,1
105016704427994,Yavatmal Premier League,Sachin Bhalchandra Kale,625,17
116820444646397,Ramesh Singh,Ramesh Singh,625,4
107111438622718,abhinav_d_chavan_official,These ads ran without a disclaimer,624,3
112331255034655,Radhey Shyam Tyagi,Radhey Shyam Tyagi,624,2
803324643086846,Vishal Tandel,Vishalchandra Chhaganlal Tandel,624,4
192673621337392,Kunal Prakash,Kunal Prakash,623,1
118633394545542,Sanjivkumar Baburao Wadikar,Sandesh Sanjivkumar Wadikar,623,1
104768715943439,सुमन सिंह,Brajesh Kumar Singh,622,2
112383551820255,Savedi Prabhag No 6,Saurabh Shrikant Deshmukh,621,1
309376762413089,Gopal malviya,These ads ran without a disclaimer,621,5
45413563867,The Free and Equal Elections Foundation,These ads ran without a disclaimer,621,1
110835681871560,Saliesh Kumar,Abhinabh Kumar Das,621,1
411581785652009,Karamjit Singh Rintu,Karamjit Singh Sandhu,620,2
1194392907305611,Ram Niwass Yadav,Ram Niwass Yadav,619,2
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,618,2
63122812048,International Electrotechnical Commission (IEC),These ads ran without a disclaimer,618,1
1023355984389705,Ankur Verma,Ankur Verma,618,1
371431979647138,Rajesh Tantri,Rajesh Tantri,617,8
103291602757447,अरविन्द कुमार बरनवाल,Brajesh Kumar Singh,617,2
168205947057352,Madan Singh Chouhan,Madan Singh Chouhan,617,1
102446801464120,Anubhav Gupta,Shivam Agarwal,615,1
102573709499467,pen pencil packing Home job Natraj company selry 30000 Advance 15000,These ads ran without a disclaimer,614,1
108959328106715,LiveNews24TV.com,Online Spot,614,8
102479709013318,"Rajat Tiwari ""राहुल""",Rajat Tiwari,614,5
247471387185964,Diganta Baruah,Dipankar Deka,614,4
1252824434844737,Abhijit Sapkal,Zaid Ahmed Khan,613,4
103219611348813,कलयुग का नारद,Ajay Kumar,613,6
105251429217820,Natraj pen pencil company salary 30000 advance 15000 home job,These ads ran without a disclaimer,613,1
118510697879298,Ankit Bhaiya,Akash Rai,612,6
440054739665784,लोटपोट.,Adarsh Sharma,612,1
107253919015570,Napanda Muthappa - JDS,Kiran Kumar T R,612,1
103255537898157,Avnish Singh Angad,Ankaj Tiwari,611,3
108103145599170,minister0082,These ads ran without a disclaimer,611,1
383547511821149,Rajan malakar mali,Engitech Media,610,1
105845759168508,vinayaksope,These ads ran without a disclaimer,610,1
971264999701629,Santosh Khatua,Santosh Khatua,610,3
110489775337766,Thakur Jagdev Chand,Dharamvir Rana,610,1
113240750508110,B N Ravikumar,B N Ravikumar,610,3
2610079412396734,Amaresh Rai,Amaresh Kumar Rai,609,3
101287129555091,Global News Hindi,Global News Hindi,609,1
1476946025935650,Yoga Ramesha,Sharva Creative Communications,608,2
102726924591968,ख़बरें जरा हटके,Adarsh Sharma,606,1
912964308811725,Virender Singh Bisht,Balram Singh,604,6
104402617853047,मोदी में है दम,Jayshree Kaushik,603,1
2149423185369401,Hari Shankar Sharma,Hari Shankar Sharma,602,3
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,601,1
102102996161818,Vikash Singh,Akash Singh,601,2
105376279078613,ferozsyedfoundation,These ads ran without a disclaimer,600,1
371738266321011,Anil Sharma,Anil Sharma,600,8
102646393488718,Manoj Agarwal,Manoj Kumar Agarwal,600,1
105112579108483,No Comments,Sai Kiran,600,6
343314159208480,seniorworld.com,These ads ran without a disclaimer,600,2
121394507599323,Braj Gopal Dhangar,Sakshi Goyal,600,1
174392443346814,I Support Shilpa Ganesh,Sai Kiran,600,6
116610474747302,Roop Kishor Parshad,Sakshi Goyal,600,1
190957521502496,Karyakartha - ಕಾರ್ಯಕರ್ತ,Sai Kiran,600,6
2350975254913241,Pramod K Mall,Sumit Kumar Baitha,600,2
1109667252543497,Rajubaba Awale,Rajubaba Awale,600,1
219721531701147,Sahara Haryana News,Ankit,600,2
265201520271482,P.N.Pathak,Rudra Prakash Singh,600,4
200613970392067,Kyuki principal hai hum,Kyuki principal hai hum,600,1
108161761783438,Itihasa - ಇತಿಹಾಸ,Sai Kiran,600,6
105521424486512,Unlock,Sai Kiran,600,6
104731824238486,Gurrjit Singh Kohlii,Gurneet Kaur,600,3
