Page ID,Page name,Disclaimer,Amount spent (PKR),Number of ads in Library
110078248723789,The Memon Tv HD,Muhammad Salman,1200,1
482423005156668,VoiceOfHazara.com,Voice Of Hazara,1200,4
113440988409395,Irfan Aziz,These ads ran without a disclaimer,1200,1
106737117452742,Khaddar Makhdoom Pur,These ads ran without a disclaimer,1194,1
101985378908440,Mohsin Balouch - PTI PP273,These ads ran without a disclaimer,1186,1
119638734428379,Mr.X 𝔒𝔣𝔣𝔦𝔠𝔦𝔞𝔩,These ads ran without a disclaimer,1183,1
103295255985885,Jamaat e Islami Johar Block 18,M Uzair Riaz,1160,1
101887446018660,Anwaar Ul Haq Mughal_Official,These ads ran without a disclaimer,1160,2
100362026360661,_mariab_fatimab_,These ads ran without a disclaimer,1158,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,1135,9
614005235388955,Barrister Taimur Malik,These ads ran without a disclaimer,1135,1
116304634745813,Waqas Ahmad Butt,These ads ran without a disclaimer,1111,2
104607522302179,Nadeem khan,These ads ran without a disclaimer,1097,1
28312410177,World Food Programme,These ads ran without a disclaimer,1074,2
103658908677505,Pakistan Tehreek e Insaf Kallar Kahar,These ads ran without a disclaimer,1069,1
104079271836558,Tanweer Ahmed,These ads ran without a disclaimer,1067,1
116694381370695,Hasan Akhtar Qureshi,These ads ran without a disclaimer,1044,1
113578877760214,Shahid Khan,Shahid Khan,1039,3
208338536239798,This Is Beijing,These ads ran without a disclaimer,1026,1
102762028619243,Ch Bilal Ashraf Basra,These ads ran without a disclaimer,1014,4
224263390969298,Haji Sajid Tareen,These ads ran without a disclaimer,1012,2
101080725159933,Allama Shabbir Hasan Maisami,These ads ran without a disclaimer,1004,2
108032181861181,Suno News HD,These ads ran without a disclaimer,1003,2
121260040949957,ویزا کمپنی پاکستان,These ads ran without a disclaimer,1000,1
107883631529472,Dr H.M.Bilal Shabbir,Hafiz Muhammad Bilal Shabbir,1000,1
454861291360688,Asim Khan,Abdur Rahman Sherin,1000,1
731698030293153,Faisal Javid,Faisal Javid,1000,2
109120134877733,Saif ur Rehman - PP 147,Muhammad Musa,1000,1
102605471203338,Ch Imran Irshad Mehrana Doiyan,These ads ran without a disclaimer,1000,1
104342695884265,Pakistan Markazi Muslim League,These ads ran without a disclaimer,1000,1
108074574926706,Dawate Islami Phalia,These ads ran without a disclaimer,985,2
100467368650177,CH Abdul Rauf Tatlah,Sheraz Riaz,971,7
101810536004283,Book Block,These ads ran without a disclaimer,963,1
584462848713978,Oliveira Labs,These ads ran without a disclaimer,963,2
114721067025363,CH Muhammad yousaf PP 51,These ads ran without a disclaimer,957,3
1484811075123691,Asarulislam,These ads ran without a disclaimer,920,1
271544803040803,Mehr Sultana Advocate,These ads ran without a disclaimer,908,1
108350544421634,How&Why,These ads ran without a disclaimer,903,1
597860000415785,Pakistan Islamic Republican Party,Azhar Mahmood,900,1
273161129539624,Khalid Javed Warraich,Khalid Javed Warraich,900,1
113290413643908,Azhar Mahmood,Azhar Mahmood,900,1
576690225840098,Contending Modernities,These ads ran without a disclaimer,885,2
285530825204,Klitschko,These ads ran without a disclaimer,883,5
330546873795572,Mehar Muhammad Saleem,Mehar Muhammad Saleem Ex MPA,882,1
165087873895803,SuperTech Institute of Computer Sciences,These ads ran without a disclaimer,875,1
131189377574,MDPI,These ads ran without a disclaimer,873,2
100192166133172,Nasreen Palijo- PPP,Muhammad Ashir,864,1
108671532037355,Forever Builders and Developers,These ads ran without a disclaimer,859,2
110674782014303,M Wali Khan,These ads ran without a disclaimer,851,1
484567214958993,Minhaj University Lahore,These ads ran without a disclaimer,850,1
167790330582122,Malik Saif Ul Malook Khokhar,These ads ran without a disclaimer,849,1
829468670511545,Pakistan Political Parties Debate,These ads ran without a disclaimer,837,1
101700612817114,Muhammad Ahmad Faizi,These ads ran without a disclaimer,826,1
104789632113642,Republic URDU,Republic URDU,825,2
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,817,1
102214605998910,E-commerce Solution,These ads ran without a disclaimer,801,1
115229648159376,Osman Beam,These ads ran without a disclaimer,768,1
919831974741626,PEARL Satellite Educational Institute,These ads ran without a disclaimer,734,2
17043549797,MIT Technology Review,These ads ran without a disclaimer,704,7
100175376407156,Imran_khan_For_VicePresident,These ads ran without a disclaimer,687,1
103659765532260,華夏focus,These ads ran without a disclaimer,684,3
113289731748102,Ali raza,These ads ran without a disclaimer,680,2
106310985616296,Ch Rauf Ahmad Hundal,These ads ran without a disclaimer,653,2
103052169451254,AMZ Institute Mianwali,These ads ran without a disclaimer,648,1
621153604619939,PTI Labour Wing Pakistan - Official,Muhammad Rafique Khan,641,1
103669542339889,Arbab Zain Omar,These ads ran without a disclaimer,639,1
100115883509937,SURAJ KHAN YOUTH WING,Muhammad Rafique Khan,632,1
124853080599921,Rana Rohail Khan,These ads ran without a disclaimer,622,1
126500487018240,Malik Waqas,These ads ran without a disclaimer,615,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,609,2
112976148444704,PP-39 Sialkot Updates,These ads ran without a disclaimer,602,2
108731623986929,Voice of Sindh,Voice of Sindh,600,2
2107858016193986,Voice of Sindh,Voice of Sindh,600,2
223233617855987,Shayan Raza,These ads ran without a disclaimer,600,1
106573632404586,NYCrippyK,These ads ran without a disclaimer,599,1
1723300324586437,The American Muslim & Multifaith Women's Empowerment Council,These ads ran without a disclaimer,596,1
108929288547646,The Funkies Store,These ads ran without a disclaimer,595,1
111101597290961,سید ذوالفقار علی شاہ,These ads ran without a disclaimer,593,1
312803355447477,Uzair Hasan,These ads ran without a disclaimer,584,1
109211218749813,Sajid Sardar Joiya,These ads ran without a disclaimer,579,1
410677872312975,ICAP,These ads ran without a disclaimer,570,1
115623520139162,Ejani Studio,These ads ran without a disclaimer,567,1
112220134851421,Under the Sisterhood,These ads ran without a disclaimer,567,2
897304677028194,Ch Rizwan Mustafa Sian,These ads ran without a disclaimer,567,1
795663433908531,Kayhan Life,These ads ran without a disclaimer,567,1
197444787675616,Neo News HD Pindi Gheb,These ads ran without a disclaimer,567,1
139336407890,"StellarNet, Inc.",These ads ran without a disclaimer,564,1
104999902237117,muzi_112,These ads ran without a disclaimer,564,1
627119327914299,Ashok IT,These ads ran without a disclaimer,562,1
113401698346055,Rana Javed Khan,These ads ran without a disclaimer,556,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,551,1
841083336031049,PACES I Consultants,These ads ran without a disclaimer,549,1
100117556048980,newworldreformer,These ads ran without a disclaimer,547,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,536,1
356097774970187,Ch Shahid Munir Azhar,Ch Shahid Munir Azhar,530,1
2047454728878490,Pakwatan.tv,These ads ran without a disclaimer,500,1
172370166690381,Kazim Law Book House,These ads ran without a disclaimer,500,1
103430555733473,Raja Talia Saeed Khan,Raja Talia Saeed Khan,500,1
110585032023419,oman tariq,These ads ran without a disclaimer,500,1
820723621307640,Sheikh Rashid Shafiq,These ads ran without a disclaimer,493,1
104151878893017,Surkhab Entertainment,These ads ran without a disclaimer,490,1
167671470250425,Nearpeer.org - Pakistan's #1 Online Education Platform,These ads ran without a disclaimer,489,1
1195191507161580,Senator Seemi Ezdi,Senator Seemi Ezdi,485,4
103447032720703,Jan Muhammad Javaid - JMJ,These ads ran without a disclaimer,473,1
100331045336083,moiz_iqbal33,These ads ran without a disclaimer,472,1
2060049387610062,WARIS KHAN NA19 Swabi,WARIS KHAN NA19 Swabi,467,1
686141921450077,Good Thinkers Organization,These ads ran without a disclaimer,453,1
107859995548313,texpo_official,These ads ran without a disclaimer,439,2
100985089430508,Ch Mumtaz Akhtar kahloon,Ch Mumtaz Akhtar kahloon,428,1
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,428,1
109943027544114,Muhammad Yousuf,Muhammad Yousuf,425,2
279870685422915,Eviance,These ads ran without a disclaimer,419,1
107376812165881,MediaZone Update,These ads ran without a disclaimer,410,2
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,409,1
1066668970075070,Chaudhary Haider,These ads ran without a disclaimer,405,2
102508299154893,The Rising Republic,Muhammad Mohsin,385,1
110457575016790,Faces Pakistan,These ads ran without a disclaimer,383,1
105978808032516,Naeem Masood - NM,These ads ran without a disclaimer,383,1
101404432851592,Malik Bilawal Awan,These ads ran without a disclaimer,364,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,360,88
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,358,1
591924374347307,VoxDev,These ads ran without a disclaimer,357,1
104379275946972,publichealth_sarim,These ads ran without a disclaimer,357,1
101702912469383,Team Iqbal Ahmed Khaskeli,These ads ran without a disclaimer,355,1
105675345610014,Dr Muhammad Irfan Ullah Malik,These ads ran without a disclaimer,350,1
1862467990707098,Nasir Rahim Lodhi,Nasir Rahim Lodhi,344,1
13477887709,New Tactics in Human Rights,These ads ran without a disclaimer,343,1
102108529114085,Sher Azam Khan,Naveed Khan,343,1
102865016048162,Muhammad Essa Roshan,These ads ran without a disclaimer,328,1
106931698352366,Materials MDPI,These ads ran without a disclaimer,318,1
679690082100569,SapnaPakistan,These ads ran without a disclaimer,316,1
405379246524515,DHL Express,These ads ran without a disclaimer,313,1
141111232580541,DW درى,These ads ran without a disclaimer,313,1
120476540994681,Rashida Shaheen راشدہ شاہین,Waqas Ali Khan,313,1
837539666329213,AGHA FAZAL SHAH Ex Chairman Municipal.committee.kalat,Qasim Shah,313,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,311,1
375081333293774,Dysfunctional Indian,These ads ran without a disclaimer,309,2
105396702494814,Unbound Unchained,These ads ran without a disclaimer,304,1
116697091407773,Justice for shahbaz,These ads ran without a disclaimer,300,1
115888954817209,ehsaas Program,These ads ran without a disclaimer,300,1
113184843838588,The DailyShow With Munir Memon,These ads ran without a disclaimer,300,1
1435563640027630,CH Ali Asghar MANDA - Ex Parliamentary Secretary,These ads ran without a disclaimer,300,1
103066699117260,BA KHABR TV,These ads ran without a disclaimer,300,1
112829097152993,Chaudhry Asif Warraich- PP222,These ads ran without a disclaimer,299,2
100726279681501,Imran Khalid Butt,These ads ran without a disclaimer,295,1
107734554385030,Noori Sons,These ads ran without a disclaimer,294,1
104895744374125,The Urdu Club,These ads ran without a disclaimer,290,1
107369848969858,BBN News HD Tv,These ads ran without a disclaimer,285,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,284,1
116428714767794,Aliya mobiles,These ads ran without a disclaimer,284,1
104707422460935,Pir Moammar Housni Rasool,These ads ran without a disclaimer,284,1
104124119225130,Abid Sher,These ads ran without a disclaimer,284,1
349262239259962,Justice For KP Police,These ads ran without a disclaimer,284,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,284,2
101179095098420,Zone Optimum Health,These ads ran without a disclaimer,284,1
340577086006224,CRI German,These ads ran without a disclaimer,284,2
316496640057,7iber,These ads ran without a disclaimer,284,2
2092924957605425,Solis,These ads ran without a disclaimer,284,1
108211672155757,datdesibaji,These ads ran without a disclaimer,284,1
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,284,1
112063658502285,makubaaffects,These ads ran without a disclaimer,284,1
109062828734912,Юридические услуги,These ads ran without a disclaimer,284,2
49496547500,Rehan Allahwala,These ads ran without a disclaimer,284,1
995364323853916,Lighthouse Media,These ads ran without a disclaimer,284,1
188872144758,CCTV,These ads ran without a disclaimer,284,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,284,1
484816151665523,Asadullah khan wazir,These ads ran without a disclaimer,281,1
31292782350,Deutschland.de,These ads ran without a disclaimer,276,6
100851609659466,unrisd,These ads ran without a disclaimer,269,1
116916221311072,Hafiz Shoukat Ali Seddiqui,These ads ran without a disclaimer,267,1
105130779087864,Antony Hylton,These ads ran without a disclaimer,266,1
567784360408219,Tangi Media Network,These ads ran without a disclaimer,266,1
293937480708088,Clement Hii,These ads ran without a disclaimer,264,3
124252504303223,UNICEF (FR),These ads ran without a disclaimer,264,2
131664893560695,Origins OSU,These ads ran without a disclaimer,255,1
101925135527123,Bahrain Documents Clearance & Visa Services,Bahrain Documents Clearance & Visa Services,249,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,241,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,238,2
121418514213128,Bilawal Khan Bhatti,Adil Zaman Tahir,231,5
107260319031301,Ehsaas Programme,These ads ran without a disclaimer,230,1
110311445241777,Wahid International Group of Pakistan,These ads ran without a disclaimer,226,1
105564432435339,Waqar Ahmed Kiyani,These ads ran without a disclaimer,225,1
373539756442658,Graana.com,These ads ran without a disclaimer,222,1
154680184946903,Superplastic,These ads ran without a disclaimer,221,1
435579509962729,Karachi Haleem,These ads ran without a disclaimer,219,1
