Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
102289782502796,Prensa Digital,Prensa Digital,315467,41
219071504942788,Pedro Albornoz Piossek,Pedro Albornoz Piossek,315036,22
107590944370114,Voz de Santa Fe,www.vozdesantafe.com.ar,311626,101
436246103621788,Damián Selci,Unidad Ciudadana Hurlingham - UCH,311116,32
819240928422696,César Treffinger,Cesar Treffinger,307012,19
1873797869608613,Frente Renovador de la Concordia,Frente Renovador de la Concordia,306832,23
124987757169972,Máximo 2023,La Campora de Salta,306770,3
688001708286948,Juan Pablo Luque,Juan Pablo Luque,306153,13
592277534117124,Graciela Ocaña,Fundación Confianza Pública,304162,35
289594974509402,Senado BA,Senado BA,299952,12
106683794885574,Andrés Petrillo,Andres Petrillo,297678,9
805670376206651,Ramón Lanús,Ramón Lanús,293992,22
214152438919953,Municipio de Resistencia,Municipio de Resistencia,293477,29
102501249471351,Por Amor a Salta,Por Amor a Salta,293374,14
113759564969446,El Ojo Salteño,Noticias la Plata,287305,19
107168045702149,Elige Santa Fe,Elige Santa Fe,286723,15
899213630149636,Carlitos Koth,Carlitos Koth,286710,30
715474465134422,Patricia Hucena,Patricia Del Carmen Hucena,286348,59
1466119057008930,Fundación IDEAR Córdoba.,Fundación IDEAR Córdoba.,286029,1
726998547382753,Martin Tetaz,Martín Tetaz,285790,14
1884291398465992,Miky González Coria,Selva Mikaela Daniela González Coria,285625,13
1558028877808328,Lucía Varisco,Lucia Varisco,283527,6
102599399406034,Héctor Negrito Rodríguez,Héctor Negrito Rodríguez,282070,12
183940131655054,María Eugenia Vidal,María Eugenia Vidal,281800,9
110276628358382,El Autónomo,El Autónomo,281622,33
114978559901087,Frente a Frente,Frente a Frente,281355,7
162975431069266,Lucas Aparicio,Lucas Aparicio,278178,20
136275719722184,Diario El Litoral Santa Fe,El Litoral,277998,27
59772763998,Mauricio Ibarra,Eduardo Mauricio Ibarra,275935,16
225775371383621,Fernanda Alonso,Fernanda Alonso,275340,22
112090455034177,El Portavoz Oficial,El Portavoz,274073,37
1479745175587393,Tito Stefani,Tito Stefani,273963,12
1173314802698852,Gabriel Castro,Gabriel Castro,273146,32
227513130941976,Ignacio Torres,Pro Chubut,271372,59
190516878133863,Guillermo Snopek,Guillermo Snopek,269860,46
272338312973462,Santiago López Medrano,Santiago López Medrano,269528,107
113898744658728,El Progreso Web,El Progreso,269246,27
109029088772667,Todo Zona Norte,Todo Zona Norte,267995,6
103228681837678,Gaston Moran,Gaston Moran,267977,64
192108560832888,Luis Petri,Mendocinos por el futuro,266674,19
1279140805478956,Baires POST,Baires POST,265595,3
109651888731321,Juan José Laudin,Juan José Laudin,265486,15
397996497678742,Rodrigo Lugo,Hector Rodrigo Lugo,265317,36
113995199295617,Pablo Velazquez,Pablo Velazquez,264351,22
362204533804292,Municipio de Río Grande,Municipio de Río Grande,262508,29
101594852755793,El Bonaerense,El Bonaerense,261939,29
643960995713326,CPC Guiñazú MuniCba,municipalidad de córdoba,259819,4
1643352192630981,Marcos Ferrer,Marcos Ferrer,258763,15
100574855548016,Diego Granda,Diego Granda,257233,22
113138195384719,Nestor Grindetti,Néstor Grindetti,256785,9
353492111467605,Julio Garro,Land,256401,10
122876064052033,Liberales de Salta,La Comunidad,256085,6
158710428055014,Isaac Lenguaza,Pablo Isaac Lenguaza,254726,28
105146449212336,Manuel Saravia,Manuel Saravia,252992,11
102436695787908,Chubut por el Cambio,Juntos por Chubut,251667,21
480129710135,Municipio de Tigre,Municipalidad de Tigre,250941,52
116904127980718,Ernesto Nanni,Ernesto Nanni,248696,18
220315757987334,Martín Perez,Martín Perez,247829,16
103261945328743,Autos en cuotas,These ads ran without a disclaimer,247026,2
105434454484182,Difusión de Prensa Argentina,Difusión de Prensa Argentina,246749,32
232102743650781,Tomás Bertotto,Tomás Bertotto,246616,43
113677188301150,Matias Porta,Matias Alejandro Porta Aldave,246562,16
564830380326427,Juan Carlos Polini,Polini,245215,27
103729412624985,Nueva Pampa,Nueva Pampa,245129,50
642047375905348,Gastón di Castelnuovo,Gaston Di Castelnuovo,244517,19
113743400267523,Salud Hoy,Salud Hoy,243083,28
1183174355033526,Municipalidad de La Plata,Land Comunicación,242266,8
537902999681634,Pablo Grasso,Construyamos Juntos,240609,18
109064367346748,Javier Branca Concejal,Javier Eduardo Branca,240006,26
116838891378002,Moisés Solorza,Moisés De La Cruz Solorza Correa,238828,25
