Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,486960,13
114400445304441,Suunto Diving,These ads ran without a disclaimer,469737,1
203242799706913,Timbas Tarigan,Mhd Rizki Syahputra,452172,2
111261231404843,Mileanies - Relawan Milenial Anies Baswedan,Asri Tadda,450000,2
110037828037739,Jateng Pedia,Bayu Wicaksono,449305,5
105313791512717,Jateng Sentris,Bayu Wicaksono,448782,5
104533848318771,Pemalang Today,Bayu Wicaksono,448480,5
106920001531083,Filosofi Jateng,Bayu Wicaksono,448339,5
103306192050768,"Drs. Roem Kono, M.Ipol","Ryan Fahrichsan Kono, B.Com",442701,4
104799384898162,Indonesia Berkabar,Ganjar Nusantara Indonesia,441512,3
108676115131939,Nusantara Cerdas,Ganjar Nusantara Indonesia,441291,3
107565455160464,Indonesia Opini,Ganjar Nusantara Indonesia,440617,3
105308715676825,Filosofi Indonesia,Ganjar Nusantara Indonesia,440524,3
101338198587608,Indonesia Luar Biasa,Ganjar Nusantara Indonesia,440490,3
110056788323890,Pikiran Indonesia,Ganjar Nusantara Indonesia,440302,3
100147872667354,Kata Nusantara,Ganjar Nusantara Indonesia,440153,3
112417251582480,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,APEL - Aplikasi Pemenangan Eksekutif & Legislatif,423635,5
105292931242630,Ilham Arief Sirajuddin,SUN Supporting,416676,1
107201140790723,CHD,These ads ran without a disclaimer,411853,3
1008565046000997,Saka Mese Maluku,These ads ran without a disclaimer,404946,1
103663435776469,Figur jakarta barat,Ganjar Nusantara Indonesia,400000,3
109506435180993,Gowa terbuka,Ganjar Nusantara Indonesia,400000,2
258766034712136,Sabam Rajagukguk,Marenda Deni Pradana,400000,1
105193322287911,Ideal jakarta selatan,Ganjar Nusantara Indonesia,400000,3
107713638697378,Filosofi jakarta timur,Ganjar Nusantara Indonesia,400000,3
100780439404059,Aspirasi jakarta utara,Ganjar Nusantara Indonesia,400000,3
101601538648991,Gerindra Lampung Official,"Asroni Paslah, S.Pd",400000,1
106079928863841,Kepulauan seribu bersatu,Ganjar Nusantara Indonesia,399998,3
110827921712816,Melihat jakarta pusat,Ganjar Nusantara Indonesia,399998,3
108705558596782,Makassar berteman,Ganjar Nusantara Indonesia,399990,2
1836083836427228,"H. Muhsinin Fauzi, Lc, MSi",These ads ran without a disclaimer,399593,10
108971878372258,ILHAM AKBAR,Konsultan Strategi Pemenangan Politik,383421,7
771462172882741,OnePath Network,These ads ran without a disclaimer,380845,2
102452785528939,ngerumahyuk,These ads ran without a disclaimer,380697,1
113058461386521,Mercusuar Indonesia,Bayu Wicaksono,380228,17
105308715676825,Filosofi Indonesia,Bayu Wicaksono,380067,17
100615419601107,Simson Polin,Simson Polin,379189,3
101284185918970,Rumah Kita Riau,Ganjar Nusantara Indonesia,378610,2
753113741702235,Tomy Andri Zulpa,Tomy Andri Zulpa,378499,6
101041975397915,Indonesia Satu,Bayu Wicaksono,373426,14
349963858704476,Komit Digital,These ads ran without a disclaimer,367211,1
107106775193019,Creativefitri,These ads ran without a disclaimer,365585,7
138564054486639,Voilà Ai Artist,These ads ran without a disclaimer,365528,2
127232094369851,Sayed Abubakar A. Assegaf - Fanspage,Sayed Abu Bakar Abdullah,365219,8
177706515594669,Azimut Yachts,These ads ran without a disclaimer,364615,1
384102498360094,"Made Muliawan Arya, SE,. MH",These ads ran without a disclaimer,360294,1
40841178757,Elnino Mohi,Elnino Mohamad Husein Mohi,360000,4
105195635486519,Klise Nusantara,Bayu Wicaksono,359991,17
102114435036822,Filosofi Jatim,Dwi Wantoro,358704,2
1824152721248355,Berita Kita,Berita Kita,355723,5
197930674140927,Gerindra Jawa Tengah,Azka Najib,354577,4
102980192732544,Sutrisno Lim,These ads ran without a disclaimer,353692,1
104799384898162,Indonesia Berkabar,Bayu Wicaksono,350380,17
166725880125798,"H. Helldy Agustian, SE, SH",Horas Kasih Sirait,350000,1
108676115131939,Nusantara Cerdas,Bayu Wicaksono,349696,17
102114435036822,Filosofi Jatim,Bayu Wicaksono,347634,17
103910137805351,Pondok Sanad,These ads ran without a disclaimer,346947,3
371274723582677,Cak Salam,Ranudirjo Adi,342468,2
108401655217559,Layanan Kemanusiaan DPP  Partai Gerindra,Layanan Kemanusiaan DPP  Partai Gerindra,336110,2
107241861191421,Ilmu Tambang,Ilmu Tambang,334653,10
107988231519828,Dulur Kang Masduki,Muhamad Laksono,333696,6
108346091544917,Katalis IA,IA-CEPA ECP Katalis,331487,3
107565455160464,Indonesia Opini,Bayu Wicaksono,329996,16
108594254115742,Muhammad Alif Ananda,Muhammad Alif Ananda,329951,5
103581752405141,Sobar Harahap,Septian Raharjo,329856,11
160355148441,Tempo Media,These ads ran without a disclaimer,329108,2
109080054719110,Jakarta Trend,Bayu Wicaksono,321279,13
105333581077904,PT Pupuk Kaltim,PT Pupuk Kaltim,319811,7
104317482149268,DPRD Provinsi Jawa Timur,Arik Luviani Putri Yasa,316974,11
106705804357319,Bluetti Global,These ads ran without a disclaimer,308153,1
101236088186610,Ahmad Syaiful Acong,"Ahmad Syaiful Acong, SH",300000,2
104732402342782,Filosofi tangerang selatan,Ganjar Nusantara Indonesia,300000,2
105988245561028,Edi Sutrisno,Reza Fauzi,299999,2
101221822692653,Filosofi Serang,Ganjar Nusantara Indonesia,299969,2
104529685103842,Fraksi Gerindra DPRD Jawa Barat,Andre Lukman,298654,6
1926058747652965,"Ferdiansyah, SE, MM.","Ferdiansyah, SE, MM.",298208,1
105978809075006,Curva Survey Indonesia,Curva Survey Indonesia,289999,5
116472660226900,putriabner,Partai Solidaritas Indonesia,289270,1
1618184548438954,Aqilla Brownies Lava Oleh-oleh Khas Batam,These ads ran without a disclaimer,283095,2
735179230603344,Rahmat Dermawan,Rahmat Dermawan,282496,6
114862318264218,Marketing 2024,These ads ran without a disclaimer,274551,6
1377479485884669,ADGI,These ads ran without a disclaimer,270102,1
1969706383244592,Junaedi St,Junaedi St,270000,1
1765558303502653,Sahari - Sahabat Hariadi,Hariadi Hardy,270000,1
969638999781691,DPD PKS KOTA BATAM,PKS KOTA BATAM,269916,1
543044775707232,Indonesia Mengaji,Yayasan Nurul Muwahhid Bali,269737,1
252369521494578,ANTVLovers,These ads ran without a disclaimer,266896,1
111967013731903,Goldwind,These ads ran without a disclaimer,264131,1
202555993805088,Caption,Bayu Wicaksono,260002,13
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,259653,1
