Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
101876525102146,Alternativa dos Veciños A Coruña,These ads ran without a disclaimer,60589,1
112570470567715,Thẩm mỹ viện SOHEE,These ads ran without a disclaimer,59874,2
101692666268528,Vina Chuối Vincom Cộng Hoà,These ads ran without a disclaimer,57310,2
107668468648087,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,56346,1
105845511087981,TRUYỀN HÌNH AN VIÊN,These ads ran without a disclaimer,54494,1
108970177307778,HÀ NỘI News,These ads ran without a disclaimer,52782,1
1433703283355526,Tủ Sách Pháp Luật,These ads ran without a disclaimer,52514,1
108681778874814,XKLD VIỆC LÀM,These ads ran without a disclaimer,50927,1
107119879055610,Chí Linh 247,These ads ran without a disclaimer,50116,1
423618915149631,Tạp Hóa Ông Pe,These ads ran without a disclaimer,47489,1
1420618411490458,MỸ PHẨM SPA Huyềnphi,These ads ran without a disclaimer,47386,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,46918,2
104991921490999,Nha Khoa Paris,These ads ran without a disclaimer,46918,1
116296841445081,Bản Tin Hôm Nay,These ads ran without a disclaimer,45339,1
114793776883689,Chào mào 198,These ads ran without a disclaimer,43902,1
28312410177,World Food Programme,These ads ran without a disclaimer,43771,2
103783255897108,Glow Books - Hành Trình Tỏa Sáng,These ads ran without a disclaimer,43492,1
105788461306841,Bình Book,These ads ran without a disclaimer,42913,2
107706102295108,Wire Tool,These ads ran without a disclaimer,42226,2
289312207914639,LV Solutions,These ads ran without a disclaimer,42112,1
1509508005939553,DO TRINH HOAI NAM,These ads ran without a disclaimer,41851,1
1567479736839984,FIT Group,These ads ran without a disclaimer,41736,2
107068545512030,Hoàng Hữu Thắng,These ads ran without a disclaimer,41460,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,38707,2
1023254324396572,Ariyana Convention Centre Danang,These ads ran without a disclaimer,36182,1
100378019218044,Nhà Sách Anh Khang 1,These ads ran without a disclaimer,35932,1
112358011809259,Review Game Tiên Hiệp Mobile,These ads ran without a disclaimer,34484,1
304102327072661,Hội đồng bác sĩ - Chuyên khoa Kiểm soát cơ thể,These ads ran without a disclaimer,33579,1
115108741544992,Tinh Dầu Nước Hoa Pháp : LD Perfume OIL”.,These ads ran without a disclaimer,33117,1
1469752156670918,Youth China,These ads ran without a disclaimer,33077,1
229235710559691,Trang Phục Múa Cần Thơ,These ads ran without a disclaimer,32868,1
120005451080385,Tham gia miễn phí-31,These ads ran without a disclaimer,30704,3
109689354535282,Helen Express,These ads ran without a disclaimer,28093,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,27212,3
113653084862240,The Gocnha - Tiệm đồ an yên,These ads ran without a disclaimer,26404,1
112067601508082,Hoạt huyết Ngự Y Mật Phương Nhất Nhất,These ads ran without a disclaimer,26103,1
107046662320915,สมบัติ สุริยันต์,These ads ran without a disclaimer,25454,1
