Page ID,Page name,Disclaimer,Amount spent (NZD),Number of ads in Library
134897166534680,The Fred Hollows Foundation NZ,These ads ran without a disclaimer,≤100,11
309846686264586,Scott Watson Fact,Thomas John Watson,≤100,2
102358139058478,freedom ed,These ads ran without a disclaimer,≤100,1
1820592608152727,Tim van de Molen MP,Parliamentary Service on behalf of Tim van de Molen - MP for Waikato,≤100,4
107441082151991,Wood - Our Low Carbon Future,These ads ran without a disclaimer,≤100,5
700679639984258,Kāpiti Coast District Council,These ads ran without a disclaimer,≤100,2
111961788300105,Melissa White Candidate Arrowtown-Kawarau Ward QLDC By-Election 2023,Melissa White,≤100,1
104501819255827,Vanessa Weenink for Banks Peninsula,Vanessa Weenink for Banks Peninsula,≤100,4
101181700276551,Salvation Army Women's Ministries,The Salvation Army Women's Ministries NZFTS,≤100,2
145369805524033,HELP: Auckland,These ads ran without a disclaimer,≤100,1
110077017479600,One Sun in the Sky,Ewen Frank Mcqueen,≤100,4
1966234280281774,Brooke van Velden MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,2
167649839918105,Nelson City Council,Nelson City Council,≤100,2
100836489646592,Rosemary Bourke for Māngere,Rosemary Bourke for Māngere,≤100,8
520830134704591,National Centre for Research on Europe,Cashias Gumbo,≤100,2
623394081159965,Te Pou Theatre,Te Pou Theatre,≤100,2
119798114390625,Tracy Summerfield for Wigram,Tracy Sheree Summerfield,≤100,2
104458421275553,Hawke's Bay Future Farming Trust,Hawke's Bay Future Farming Trust,≤100,2
166416393373850,Diversity Works NZ,These ads ran without a disclaimer,≤100,1
640804959876113,Joseph Mooney MP for Southland,New Zealand Parliamentary Service on behalf of Joseph Mooney MP,≤100,3
100354618899524,PMN Rotuma,These ads ran without a disclaimer,≤100,1
224272831430679,Voice for Life Dunedin,Voice for Life Dunedin,≤100,2
159355309690,Otago Daily Times,These ads ran without a disclaimer,≤100,1
102545246027646,The Real Marc Spring,These ads ran without a disclaimer,≤100,1
110444822368666,Ōtara-Papatoetoe Local Board,Auckland Council,≤100,2
100469685056180,Angela Roberts MP,NZ Parliamentary Service on behalf of Angela Roberts MP,≤100,6
2226044714322838,Mark Peters - Councillor for Hornby Ward,Mark Jonathan Peters,≤100,5
1609645495950424,James Shaw,The NZ Parliamentary Service on behalf of the Green Party,≤100,1
112972538069856,catnipandcannabis,These ads ran without a disclaimer,≤100,1
102959565616482,Pou Architecture,These ads ran without a disclaimer,≤100,1
103403094634162,Ethan Reille for Waitaki,Ethan Mark Reille,≤100,4
114731636915763,Simon Court MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,1
103503756036187,Housing Survey: Residential Choices and Constraints,These ads ran without a disclaimer,≤100,4
100618666013922,CATA Child and Adolescent Therapists Association,CATA.org.nz,≤100,3
1390745591150821,NRC - Norwegian Refugee Council,These ads ran without a disclaimer,≤100,2
111518076963780,Nicola Grigg MP,New Zealand National Party,≤100,1
127922087253478,Dunedin City Council,Dunedin City Council,≤100,3
108056570909783,Electra Business Breakfast,Helene Maree Judge,≤100,2
104411054853609,Mark Cameron - ACT List MP,the Parliamentary Service on behalf of ACT New Zealand,≤100,2
112893780842747,HIRE HER,These ads ran without a disclaimer,≤100,1
102395906106072,Mayor Wayne Brown,"Office of the Mayor of Auckland, New Zealand",≤100,2
205982996196509,St. Peter's on Willis (Wellington),St Peter's on Willis,≤100,1
1772213219772184,Harete Hipango MP,"Parliamentary Service on behalf of Harete Hipango, Parliament Buildings, Wellington",≤100,5
447273392074018,Mike Fowler - Comedy,Mike Fowler,≤100,1
120241021380606,Tasman District Council - Te Kaunihera o te tai o Aorere,These ads ran without a disclaimer,≤100,2
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
447273392074018,Mike Fowler - Comedy,These ads ran without a disclaimer,≤100,1
23625700722,Oxfam,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,3
1326183970737367,OMV,These ads ran without a disclaimer,≤100,1
108217938914452,Bill Dyet - Democracy NZ Candidate for Whangaparaoa,Democracy New Zealand,≤100,2
855241064526260,Aotearoa Gaming Trust,These ads ran without a disclaimer,≤100,2
109124545141371,Otago Socialist Society,These ads ran without a disclaimer,≤100,1
297551197024816,Shane Jones,These ads ran without a disclaimer,≤100,2
104137689061268,Point of Order,These ads ran without a disclaimer,≤100,2
14590437963,Louise Upston MP,Parliamentary Service on behalf of Louise Upston MP,≤100,4
113739291232474,Heart Mind Institute,These ads ran without a disclaimer,≤100,14
454204961447807,Student Christian Movement Aotearoa,Student Christian Movement Aotearoa,≤100,1
19648092895,Tearfund New Zealand,These ads ran without a disclaimer,≤100,4
2664407520240811,VUW International Socialists,ISO Te Whanganui-a-Tara branch,≤100,1
1244770205593069,Matt King Northland,Ronald Matthew King,≤100,1
106242052175616,RAJ MODI,These ads ran without a disclaimer,≤100,1
104933318726067,Inspiring Pets Christchurch,Inspiring Pets Christchurch,≤100,1
21591025194,The University of Melbourne,These ads ran without a disclaimer,≤100,1
110600578614349,Stephanie Rodgers for Ōhāriu,Stephanie Rodgers for Ōhāriu,≤100,2
786724111407709,Kumara Vine,These ads ran without a disclaimer,≤100,1
1846207688941551,Ministry for the Environment,Ministry for the Environment,≤100,5
641351882638282,Squirrel Financial Services,Squirrel Financial Services,≤100,1
203970686287562,Sustainability Trust,These ads ran without a disclaimer,≤100,2
83022598290,Trade Aid New Zealand,Trade Aid New Zealand,≤100,2
128872083791896,Greater Wellington,These ads ran without a disclaimer,≤100,4
108671730551254,"Debbie Ngarewa-Packer, MP","Debbie Ngarewa-Packer, MP",≤100,1
1847988401983115,Watercare,These ads ran without a disclaimer,≤100,1
119344539932039,OptaPower,These ads ran without a disclaimer,≤100,9
280523953784252,Help An Animal,These ads ran without a disclaimer,≤100,13
704246323260758,New Zealand Certified Builders Association,These ads ran without a disclaimer,≤100,2
98673036962,ROLDA,These ads ran without a disclaimer,≤100,5
105750545018529,Handing the Shame Back,These ads ran without a disclaimer,≤100,1
109736720527010,Glen Bennett for New Plymouth,NZ Parliamentary Service on behalf of Glen Bennett MP,≤100,2
117710158319269,Selwyn District Council,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,2
148225508730,Mrs Rogers,These ads ran without a disclaimer,≤100,1
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100,4
106059942804231,Michael Wood,NZ Parliamentary Service on behalf of Michael Wood MP,≤100,1
101431535833189,Paul McMahon: Linwood Community Board Member,Paul George Mcmahon,≤100,1
102546305868215,Marcus Buddo - Hastings District Councillor,Marcus Buddo,≤100,1
21714516610,Servilles Academy,These ads ran without a disclaimer,≤100,3
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
217519028785017,Nature Research Custom Media,These ads ran without a disclaimer,≤100,5
100254098424285,Waka Kotahi NZ Transport Agency - Hawke’s Bay and Gisborne,These ads ran without a disclaimer,≤100,1
101075384957757,Penny Simmonds MP,Penny Simmonds MP,≤100,1
666096106755488,Banks Peninsula Greens,Rosemary Anne Neave,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,20
138975959472596,Family Planning New Zealand,These ads ran without a disclaimer,≤100,1
104137689061268,Point of Order,Point of Order,≤100,1
1227005797337684,Vetora Waikato,These ads ran without a disclaimer,≤100,2
179853765497519,ADLS,These ads ran without a disclaimer,≤100,1
243362776583569,Air Mail,These ads ran without a disclaimer,≤100,1
2314130438806563,Our Kerikeri Community Charitable Trust,These ads ran without a disclaimer,≤100,1
109211515409715,Cog-Pkg Media,These ads ran without a disclaimer,≤100,1
