Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
105322721599496,الدكتور محمد زكي الوحش,الدكتور محمد زكي الوحش,454,2
184332511590579,Event Planet,These ads ran without a disclaimer,451,1
100717102971115,خبيرالأبراج محمد صبحي,These ads ran without a disclaimer,449,1
102478281118292,مكتب الدكتور محمود رجب فتح الله دكتور القانون الجنائي والمحامي بالجنايات,These ads ran without a disclaimer,446,1
531486050597182,مركز الإبراهيمية للإعلام - قسم المشروعات التنموية,These ads ran without a disclaimer,441,1
103086629281243,محمد الشنراوي,محمد الشنراوي,439,11
100335768679527,النائبة/ نشوى رائف - الصفحة الرسمية,النائبة/ نشوى رائف - الصفحة الرسمية,430,1
100210385187886,الصفحة الرسمية للنائب الدكتور ايهاب وهبة عضو مجلس الشيوخ عن محافظة القاهرة,Karim Ahmed Abd Alghany,429,4
101214828876289,زهرة العلمين الجديدة,These ads ran without a disclaimer,424,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,421,4
927829383900542,وزارة التخطيط والتنمية الاقتصادية,وزارة التخطيط والتنمية الاقتصادية,420,1
104315038062104,علاء حسن جعفر -عضو مجلس النواب,علاء جعفر,409,2
104980215815272,حزب حماة المستقبل - تحت التاسيس,These ads ran without a disclaimer,406,18
100410139482755,صفحة النائب محمد الجارحي لخدمات المواطنين,محمد السيد عبد الستار,400,1
100391255098382,Amal Ramzy,Basem Ragab,400,2
104498482361244,شفرة الحقيقة - Eslam Elbahrawy,إسلام البحراوي,400,2
104864037834748,المستشار شعبان رأفت عبداللطيف,Mohamed Helmy,395,4
102143781669277,دكتورة غادة قنديل  - عضو مجلس النواب,Mostafa Ahmed Heshmat,390,1
106586485351141,صفحة النائب اشرف الشبراوي ابو العلا,Elsayed Mohamed Ali,380,3
118932207798163,Rehab Eltehewy - رحاب التحيوي,حسين السيد,379,1
117197414641940,أحمد سمير - الصفحــة الرسمية,These ads ran without a disclaimer,375,5
206758816114269,حررني يسوع,These ads ran without a disclaimer,374,1
174006845950493,European Institute,These ads ran without a disclaimer,373,1
103074265769808,Elder J. Samuel Canion,These ads ran without a disclaimer,371,1
110813720486720,Roomba SPORT,These ads ran without a disclaimer,371,1
103610138594205,مسجد ودار مناسبات أبو شُقة,مسجد ودار مناسبات أبو شُقة,365,3
107224554102175,Kung fu Wushu Academy,These ads ran without a disclaimer,361,6
175590267993,Al Majalla,These ads ran without a disclaimer,361,5
231494494748857,أمانة المجالس النيابية والمحلية - حزب حماة الوطن أمانة القاهرة,محمد عبدالبارى الشليمى,358,6
1580777865479495,الصفحة الرسمية للعميد علاء خيرالله - عضو مجلس النواب,Mohamed Rashad Khirallah,358,12
100226541961281,Vera clinic egypt,These ads ran without a disclaimer,357,1
104657531410017,خالد احمد شلبي - Khaled Ahmed Shalaby,Ahmed Abd-Elkareem,356,1
101288461667738,Senator Yasser Zaki - النائب ياسر زكى,محمود عبدالعال محمد,352,4
100120566230975,دوائر,معتز عادل,340,3
108837195521394,الحملة الرسمية لمنير الوسيمي,Mohamed El-kadi,337,2
111765364910685,حماده عطيه,Mazen Attia,330,3
100349558507549,النائب حسام زكي - Senator Hossam Zaki,محمود عبدالعال محمد,324,4
1795511897343814,مركز التقوى للخدمات الحكومية والرقمية,بهاء الدين عبد الواحد محمد عبد اللطيف,324,1
101248379544698,حزب صوت الشعب - الأمانة العامة,حزب صوت الشعب - الأمانة العامة,321,1
110031078652299,جمعية البر والتقوى المصرية - الصعيد,جمعية البر والتقوى المصرية - الصعيد,319,1
349430072209360,علي أحمد العمراني Ali Ahmed Al-imrani,These ads ran without a disclaimer,318,5
2298420967037841,النائب محمد عزت عرفات,النائب محمد عزت عرفات,304,1
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,303,3
