Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
103480862680636,Erna Maldonado Consejera Constitucional,Erna Marjorie Maldonado Casanova,629934,31
105216321995280,Pivotes_cl,Fundación Pivotes,621153,35
112303492123355,Rodrigo Delgado,Christian Oviedo,620261,26
107472658958129,Cecilia Cárdenas Consejera Constitucional,Cecilia Yaneth Cardenas Reyes,612900,8
107826762240781,"Lu Pruzzo, Candidata Constituyente","Lu Pruzzo, Candidata Constituyente",612599,27
104924965916752,Pilar Barrientos,María Del Pilar Barrientos Hernández,608307,6
2081250478844624,Manuel Tobar Leiva,Manuel Tobar Leiva,607495,15
344500636710159,Brunella Vinet,Brunella De Lourdes Vinet Mattasoglio,596182,34
113608701652984,Victoria Trapp Moreira,Victoria Trapp Moreira,589554,16
1548643738480723,Asistencia Deudores,Asistencia Deudores,586169,10
105188815832655,Carolina Fernández Quezada,Carolina Fernández Quezada,579043,15
103966845037915,Rodrigo Rettig - Consejero Constitucional,Rodrigo Alfonso Rettig Vargas,556215,11
995097183940708,Vittorio Ghiglino Consejero Constitucional,Vittorio Ghiglino Consejero Constitucional,554201,20
103259918760204,Lista negra política La voz de la Muchedumbre.,Cristian Alejandro Vivian Troncoso,552341,18
114824831560339,Jorge Carrillo,Jorge Carrillo Villalobos,547553,12
710390285658166,Ximena Rincón,Ximena Rincón,542205,29
112350568479579,Romina Ramos Rodríguez,Romina Ramos Rodríguez,537377,18
110470183711883,Romina Terrazas Consejera Constitucional Tarapacá,Romina Terrazas Consejera Constitucional Tarapacá,535231,4
105877901417702,Rodrigo Muñoz Ponce,Rodrigo Leonardo Muñoz Ponce,532115,28
100702245161627,Norma Córdova,Norma Córdova,530944,14
355650785544749,Sebastián Figueroa,Sebastián Alberto Figueroa Melo,525992,29
860605540813125,BTG Pactual Chile,BTG Pactual Chile,519274,14
100214049680961,Carlos Solar Barrios,Carlos Solar Barrios,511591,12
108008248880502,Gloria Paredes Diaz,Gloria Paredes Diaz,510835,27
119905321044704,Jose Antonio Jerez Constituyente Araucanía D22,Jose Antonio Jerez Constituyente Araucanía D22,499354,6
112965545055332,"Gemita Alvarez Sepulveda, Candidata a Consejera Constitucional","Gemita Alvarez Sepulveda, Candidata a Consejera Constitucional",494057,12
102713709451980,Gloria Maritza Hurtado Garay,Gloria Maritza Hurtado,493270,15
113335468364018,Jazmín Murillo Constituyente,Jazmín Amanda  Murillo  jorquera,492794,10
191871627527097,INGENIERIAUDD,Ignacio Rivas Fernandez,486900,1
