Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
131413601654524,Vereador Waldecir Fernandes,Camila Soares Santana,≤100,1
103371694733263,Vereador Donizete Medeiros,Vereador Donizete Medeiros,≤100,1
841280456012395,Vereador Cleiton Lima,Cleiton Alves Lima,≤100,1
108361241879943,conselhopoplgbt,These ads ran without a disclaimer,≤100,1
442201405811231,Ciência Hoje das Crianças,These ads ran without a disclaimer,≤100,2
112138127229890,Hayde Marinho - Monte Mor,These ads ran without a disclaimer,≤100,2
1565146960461375,Juraci Scheffer,These ads ran without a disclaimer,≤100,1
183645365602945,Ricardo Oliveira,Edson Oliveira,≤100,1
103485942710607,Carlos Santiago 22.,These ads ran without a disclaimer,≤100,1
104807052460800,jvamaraltv,These ads ran without a disclaimer,≤100,3
915535245266202,Lucimar P. da silva Vidal,These ads ran without a disclaimer,≤100,1
346414139556049,Chita Menezes,These ads ran without a disclaimer,≤100,2
100104169025110,chicaolino,These ads ran without a disclaimer,≤100,1
106375424542687,geraldo_assisveg,These ads ran without a disclaimer,≤100,1
695186327565380,Pour Les Jeunes,These ads ran without a disclaimer,≤100,2
107590121289728,marcos_economista_rural,These ads ran without a disclaimer,≤100,1
1687793878109812,Pau Brazilis,These ads ran without a disclaimer,≤100,3
100179331628326,Vereadora Meiranny Reis,Vereadora Meiranny Reis,≤100,2
207518726005432,PSTU Nacional,PSTU,≤100,1
632708170701018,Marques Advocacia,These ads ran without a disclaimer,≤100,3
107416816264549,Katia da Saúde,Katia Alves Tourinho,≤100,1
297785830288053,Rosenverg Reis de Oliveira,These ads ran without a disclaimer,≤100,1
110055030701548,Juninho Dutra,These ads ran without a disclaimer,≤100,1
117819841290855,jockerdasilva,These ads ran without a disclaimer,≤100,1
100477512877228,celijaneescobaradvocacia,These ads ran without a disclaimer,≤100,1
103180056090939,Norte em Foco,These ads ran without a disclaimer,≤100,1
105404158966166,ludmila.r01,These ads ran without a disclaimer,≤100,2
782204908459763,NasRuas Prata,These ads ran without a disclaimer,≤100,1
1030441090348505,Consuelo Machado,These ads ran without a disclaimer,≤100,1
108059061058983,Paty steger Cwb,These ads ran without a disclaimer,≤100,2
101393579408430,andresa.vaz_,These ads ran without a disclaimer,≤100,1
2069699199813614,Dr. Flávio Arbex,These ads ran without a disclaimer,≤100,1
1319821041469616,Dr. Thiago Menezes Neurologia Infantil,These ads ran without a disclaimer,≤100,1
102096756595492,Irmão Ozelito,Alexandra Prado,≤100,1
105007092200324,tavoraadvogados,These ads ran without a disclaimer,≤100,1
175811582588343,Prefeitura Municipal de Patos,Prefeitura Municipal de Patos,≤100,1
114686378203000,barbarasaldanha.advocacia,These ads ran without a disclaimer,≤100,1
272715549888545,Provocações sobre o Duplipensar,These ads ran without a disclaimer,≤100,1
263963182174134,oluisfelipedias,These ads ran without a disclaimer,≤100,1
295576507179321,Partage Shopping Marabá,These ads ran without a disclaimer,≤100,1
108637815110296,Bruna Blank - Direito Médico e da Saúde,These ads ran without a disclaimer,≤100,1
355228194687560,Grupo Rohden,These ads ran without a disclaimer,≤100,1
644975535590108,Vandinho Leite,Vanderson Alonso Leite,≤100,1
405194643019398,In Labor Laboratorio Clinico,These ads ran without a disclaimer,≤100,1
117646804625029,Portal Conexão Muaná News / TV Norte,These ads ran without a disclaimer,≤100,1
100394402350644,advogadoalexandrecorrea,These ads ran without a disclaimer,≤100,1
101394059371710,ana.flauzina,These ads ran without a disclaimer,≤100,1
100515993046976,Reconquiste seu relacionamento,Ana Maria Fernandes Leao,≤100,1
105534345607574,arionaugusto,These ads ran without a disclaimer,≤100,1
102704975370119,socialwork_napratica,These ads ran without a disclaimer,≤100,1
231888902083581,procuradorjoaoluizesteves,These ads ran without a disclaimer,≤100,1
103098672198351,psicopedagogaalineoliveira,These ads ran without a disclaimer,≤100,1
347988153059020,leal_tatuador,These ads ran without a disclaimer,≤100,1
107552365163129,Ludimila Heringer,These ads ran without a disclaimer,≤100,1
643337012496894,Vereador Cristian,Vereador Cristian,≤100,1
585068421576696,Revista Afirmativa,These ads ran without a disclaimer,≤100,1
113827157882789,gessica_cruvinel,These ads ran without a disclaimer,≤100,1
107288945192737,majuviana.arq,These ads ran without a disclaimer,≤100,1
123666839909805,ht.hiago1,These ads ran without a disclaimer,≤100,1
1438563193119250,Jean Ricardo,These ads ran without a disclaimer,≤100,1
115789441431482,defesatecnicajuridica,These ads ran without a disclaimer,≤100,1
420402042087137,Gicely van Egmond Psicopedagoga,These ads ran without a disclaimer,≤100,2
1523284481241485,Unimed Jaboticabal,These ads ran without a disclaimer,≤100,1
240114197915464,douglasresolve,These ads ran without a disclaimer,≤100,3
110863978483252,edificar.ong,These ads ran without a disclaimer,≤100,1
113688844648047,casenegociosbr,These ads ran without a disclaimer,≤100,1
101380209301127,rebeloromulo,These ads ran without a disclaimer,≤100,1
104361432477531,jaquelinesantana_advogada,These ads ran without a disclaimer,≤100,1
1612475728974327,Núbia Oliveira,These ads ran without a disclaimer,≤100,3
448883095174498,Turismo Garibaldi,These ads ran without a disclaimer,≤100,2
278860565603952,Hinaldo Castro,These ads ran without a disclaimer,≤100,1
326447740777178,Prof. Célio Lupparelli,These ads ran without a disclaimer,≤100,1
339609756526125,Atitudedobem,These ads ran without a disclaimer,≤100,1
239526706175202,Escola do Pensar,These ads ran without a disclaimer,≤100,1
1051860371520486,Ponciano Aleixo - Advocacia e Consultoria Jurídica,These ads ran without a disclaimer,≤100,1
1418011801777506,Sest Senat Santo Andre - Sp,These ads ran without a disclaimer,≤100,1
101020325035365,Menezes do Canil,Silvio Menezes,≤100,1
102299966023865,Conexão AM,These ads ran without a disclaimer,≤100,1
157569750979952,Instituto de Políticas Relacionais,These ads ran without a disclaimer,≤100,2
108715105306833,Blog do Homem,S Balem,≤100,1
108569405510536,adv.andrefelipe,These ads ran without a disclaimer,≤100,1
100687102712761,bandnewsdifusora,These ads ran without a disclaimer,≤100,2
271284990283430,Cleonice Back,These ads ran without a disclaimer,≤100,1
114385338250420,erickakaminee,These ads ran without a disclaimer,≤100,2
103466575995963,paracatunetnoticias,These ads ran without a disclaimer,≤100,1
116696851399221,Camila Daniele,These ads ran without a disclaimer,≤100,21
108057992279269,Solange Rodrigues IFMG,These ads ran without a disclaimer,≤100,1
116973368035545,Caminhada pela Paz,These ads ran without a disclaimer,≤100,2
101756048298834,Prof. Toninho Morgado,These ads ran without a disclaimer,≤100,1
104163104985602,Edvânia Voitzszn,These ads ran without a disclaimer,≤100,1
113169930068041,Rede Onda Digital,Rede Onda Digital,≤100,1
103106492742187,Foofocass,These ads ran without a disclaimer,≤100,1
111129738583933,Gesta - Cultura em Crescimento,These ads ran without a disclaimer,≤100,2
264538577602183,DANP Doar amor não tem preço,These ads ran without a disclaimer,≤100,1
106543971963542,Você Recrutador,These ads ran without a disclaimer,≤100,1
104158038846206,enf.michelliflor,These ads ran without a disclaimer,≤100,1
2251460281787967,Projeto Living,These ads ran without a disclaimer,≤100,2
101004083330217,Miguel Haddad,These ads ran without a disclaimer,≤100,1
100637116354666,dialogo.aberto,These ads ran without a disclaimer,≤100,1
156696901082191,Vereadora Camila Moura,Vereadora Camila Moura,≤100,1
173698339802515,Rafael Brito,These ads ran without a disclaimer,≤100,1
234606016649878,EcoRodovias,These ads ran without a disclaimer,≤100,2
104200352606842,2minutespunkbr,These ads ran without a disclaimer,≤100,1
338626049920354,Vaguinho Estágios Niterói/São Gonçalo,These ads ran without a disclaimer,≤100,1
1950832975190162,Percursos da Arte,These ads ran without a disclaimer,≤100,1
113925220352840,Alexandra Silva,Alexandra Silva,≤100,1
943487329192246,liviabandeira_adv,These ads ran without a disclaimer,≤100,1
293904347354966,Cassems,These ads ran without a disclaimer,≤100,1
786054828399892,Josmacelio_Oficial,These ads ran without a disclaimer,≤100,1
102596265876050,Depósito Fumagalli,These ads ran without a disclaimer,≤100,2
114073694966941,Exposição Artistas e Intelectuais Negros,These ads ran without a disclaimer,≤100,1
111257198607678,Zeladoria Pelo Bairro,These ads ran without a disclaimer,≤100,1
1414208152137138,TopMídia News,These ads ran without a disclaimer,≤100,1
112974028384065,roberthmagnago,These ads ran without a disclaimer,≤100,1
104772221982385,Alessandra Algarin,These ads ran without a disclaimer,≤100,1
100260022882944,alexandrek1959,These ads ran without a disclaimer,≤100,1
104645672301851,christovao_billy,These ads ran without a disclaimer,≤100,2
110830171872202,ladob_rockbar,These ads ran without a disclaimer,≤100,1
968582706553469,Patrícia Leiloeira,These ads ran without a disclaimer,≤100,1
109388078797205,Amanda Oliveira,These ads ran without a disclaimer,≤100,3
104043301044805,"Saúde da Alma, Mente e Corpo",These ads ran without a disclaimer,≤100,2
804193486285475,Fortaleza Abandonada,ELEICAO 2022 FRANCISCO DE QUEIROZ BARBOSA DEPUTADO ESTADUAL - CNPJ 47529321000141,≤100,1
1116599641741010,Capitão Wagão Camargo,Wagner Camargo Da Costa Macedo,≤100,1
418882131507707,Teatro Produção Urbana,These ads ran without a disclaimer,≤100,1
282801448896826,Jotta Rios,These ads ran without a disclaimer,≤100,1
116001934691161,psico_giovannasaadg,These ads ran without a disclaimer,≤100,1
114746394753208,Fernando Aguiar,These ads ran without a disclaimer,≤100,1
117195261336208,Karol Oliveira Advocacia,These ads ran without a disclaimer,≤100,2
100254606278776,Jornal Caxias News,These ads ran without a disclaimer,≤100,1
212786612536370,IDEAL Energia Solar,These ads ran without a disclaimer,≤100,1
112729271326817,adv.lorranecarvalho,These ads ran without a disclaimer,≤100,1
268267790586371,Dalla Valle Advogados,These ads ran without a disclaimer,≤100,3
115214946836851,Primeiro Ofício Parnamirim,These ads ran without a disclaimer,≤100,1
141995762515702,Centro Universitário IESB,These ads ran without a disclaimer,≤100,2
289738031135845,Sindcongru,These ads ran without a disclaimer,≤100,1
333919720136199,SASEC - Sindicato dos Assistentes Sociais do Estado do Ceará,These ads ran without a disclaimer,≤100,1
107602341006718,dtecsolar,These ads ran without a disclaimer,≤100,1
106759915668415,Geilson Fergus,These ads ran without a disclaimer,≤100,1
100459902106274,Vereador Pastor Bira,Vereador Pastor Bira,≤100,1
430594857141151,Vilar aromas,These ads ran without a disclaimer,≤100,1
104061002642254,O Poder do Voto,O Poder do Voto,≤100,1
104229625840377,Carina Assunção,These ads ran without a disclaimer,≤100,2
101457262411754,ogbon_contabilidade,These ads ran without a disclaimer,≤100,1
440023182697153,Instituto Saber Social,These ads ran without a disclaimer,≤100,1
102245875951453,Dra. Hevelyn Mendes,These ads ran without a disclaimer,≤100,1
102197194725525,Sinpeem,These ads ran without a disclaimer,≤100,1
119836917759936,Future Solar - Manaus,These ads ran without a disclaimer,≤100,2
111009965315606,Mariaeliza santos,These ads ran without a disclaimer,≤100,1
105730541783948,tianedeberg,These ads ran without a disclaimer,≤100,1
119185227810470,Mohamad Kassen Advogados,These ads ran without a disclaimer,≤100,1
114987314904491,TBK Energia,These ads ran without a disclaimer,≤100,2
104315834773211,Fernando Linhares,Fernando Linhares Pereira,≤100,2
1813592025383052,Gustavo Galant,These ads ran without a disclaimer,≤100,1
475521232975963,Cadu Salgado,These ads ran without a disclaimer,≤100,1
106690288129997,dra.kellcsilva,These ads ran without a disclaimer,≤100,1
107898444043656,RT Net,These ads ran without a disclaimer,≤100,1
501745999957209,Prof. Nelson,These ads ran without a disclaimer,≤100,1
275762259698953,Psicóloga Elma de Castro,These ads ran without a disclaimer,≤100,1
104139619668608,Ortho Pauher,These ads ran without a disclaimer,≤100,1
202448396568626,Vereadora Lívia Guimarães,Livia Guimaraes Carvalho,≤100,1
100248502973873,Jaco Coelho,These ads ran without a disclaimer,≤100,1
106705804357319,Bluetti Global,These ads ran without a disclaimer,≤100,1
1955868237788643,Elcimara Loureiro,Elcimara Rangel Alicio,≤100,2
118045406697479,Marco Antônio Lima,These ads ran without a disclaimer,≤100,2
103778804813597,Marcão gb,These ads ran without a disclaimer,≤100,1
101355501309042,Cléber Gerage,Cleber Gerage,≤100,1
112395591838134,ViA Vila Isabel Associados,These ads ran without a disclaimer,≤100,1
134679453570137,Fabio Gonçalves,These ads ran without a disclaimer,≤100,1
115811974729747,rad7concept,These ads ran without a disclaimer,≤100,1
201024389996790,Associação Brasileira do Alumínio,These ads ran without a disclaimer,≤100,1
105168354249728,allexcastrovasc,These ads ran without a disclaimer,≤100,1
116714671369596,mairabstocco,These ads ran without a disclaimer,≤100,1
2205453956357609,Sostisso Energia Solar e Sistemas de Segurança,These ads ran without a disclaimer,≤100,1
102399189080924,Oliveira Cred soluções financeiras,These ads ran without a disclaimer,≤100,1
101255599159700,Editora Periferias,These ads ran without a disclaimer,≤100,2
104047706024886,cesarbabler,These ads ran without a disclaimer,≤100,1
1505339059687464,Herbarium,These ads ran without a disclaimer,≤100,3
113335702711586,Educad,These ads ran without a disclaimer,≤100,2
432213660495675,Vereador Claudemir de Araújo,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,3
104193265384586,potenciasolar_,These ads ran without a disclaimer,≤100,1
106851421802944,Sva Contabil,These ads ran without a disclaimer,≤100,1
161073107395874,Santo Ângelo em Dança,These ads ran without a disclaimer,≤100,1
200535639977378,Beauty Fair,These ads ran without a disclaimer,≤100,2
116941601322893,Coari Champions,These ads ran without a disclaimer,≤100,1
107095507825507,Vagner Martins,Vagner Martins,≤100,1
100628772316123,amarildocarvalho1,These ads ran without a disclaimer,≤100,1
832810096800060,Varaschin Cidadania Italiana,These ads ran without a disclaimer,≤100,1
1250223778327652,Soleri Energia,These ads ran without a disclaimer,≤100,2
107513364476677,calamari.art.br,These ads ran without a disclaimer,≤100,2
107505782338867,Gov Auxílio Brasil,These ads ran without a disclaimer,≤100,1
232264546798998,Portal do Marcos Santos,These ads ran without a disclaimer,≤100,3
217632202866,Fisk - Centro de Ensino,These ads ran without a disclaimer,≤100,1
108358115537645,natitamura,These ads ran without a disclaimer,≤100,1
100865292930787,Arena Club,Mario Mandelli,≤100,1
616922321670019,Afonso Lins,These ads ran without a disclaimer,≤100,4
841990789217594,Claudinei Marques,ELEICAO 2022 CLAUDINEI MARQUES DEPUTADO FEDERAL,≤100,1
269300393787038,Fases de Mim: Poemas adormecidos,These ads ran without a disclaimer,≤100,1
310950626139923,Paloma Souza,These ads ran without a disclaimer,≤100,1
114443934986531,BetterLife,Jamil Junior Alves De Campos,≤100,1
113016161793175,Magno Lima,These ads ran without a disclaimer,≤100,1
883300018704489,teatroindicarj,These ads ran without a disclaimer,≤100,1
151626828228054,Ibase,These ads ran without a disclaimer,≤100,1
107043431956232,migueltorresoficialfs,These ads ran without a disclaimer,≤100,1
117538044656637,anneterentowicz.adv,These ads ran without a disclaimer,≤100,1
303036259734550,MARCO - Preparação para Concursos,These ads ran without a disclaimer,≤100,1
103892682690661,Luciana Pestana Campos Advogada,These ads ran without a disclaimer,≤100,1
100286678449938,psicologarayana,These ads ran without a disclaimer,≤100,1
109736541871091,Helton Carlucho,These ads ran without a disclaimer,≤100,3
278302786159112,Aleomar Rezende,These ads ran without a disclaimer,≤100,1
107021625597644,luizaalbq.adv,These ads ran without a disclaimer,≤100,1
117141634691331,Jhonatan Molina Advocacia,These ads ran without a disclaimer,≤100,2
217959168355385,Gacc Ribeirão -  Grupo de Apoio à Criança com Câncer.,These ads ran without a disclaimer,≤100,1
103461778939662,alineramalhocombr,These ads ran without a disclaimer,≤100,1
113140755409376,CDLRio,These ads ran without a disclaimer,≤100,1
1614001982254142,Grupo Orzil,These ads ran without a disclaimer,≤100,1
136544233666816,Diego Hernandez,These ads ran without a disclaimer,≤100,2
109575561952344,maes.direitas,These ads ran without a disclaimer,≤100,1
276590569142119,Rolé Carioca,These ads ran without a disclaimer,≤100,1
100832839304781,elloscastra.pet,These ads ran without a disclaimer,≤100,1
655299947834552,César Kaab Ncobe Abdul - Muslim,These ads ran without a disclaimer,≤100,1
180934412249078,Arte Plena,These ads ran without a disclaimer,≤100,2
101749388990979,BN Hall,These ads ran without a disclaimer,≤100,3
100644422303321,Sara Queiroz,These ads ran without a disclaimer,≤100,1
1517832955186767,"Dr. Amilton Augusto - Advocacia, Política e Cidadania",These ads ran without a disclaimer,≤100,1
104489109206445,carina.gullo,These ads ran without a disclaimer,≤100,1
108201415279534,Clube do Ceratocone,These ads ran without a disclaimer,≤100,1
403231677093422,Dr. Vinicius Nascimento,Vinicius Pontes do Nascimento,≤100,2
113058188429969,Gestão - Techfin - Busines Performance,These ads ran without a disclaimer,≤100,1
892688067454021,Senhasegura,These ads ran without a disclaimer,≤100,1
112530646836244,Lucas Almeida,These ads ran without a disclaimer,≤100,1
121703700429887,likeburgerr,These ads ran without a disclaimer,≤100,1
305328130304619,Celsinho,These ads ran without a disclaimer,≤100,2
104202779308981,cynthiahossadv,These ads ran without a disclaimer,≤100,1
101735352013803,Caixeiro Viajante,These ads ran without a disclaimer,≤100,1
105378451588916,amuiraquita,These ads ran without a disclaimer,≤100,1
105604486191691,Sensei Jorge Kishikawa,These ads ran without a disclaimer,≤100,1
126006774251803,Benefício Certo,These ads ran without a disclaimer,≤100,2
892490714100175,Turismo e Desenv. Econômico,These ads ran without a disclaimer,≤100,1
434268033372426,Prefeitura de Nova Lima,Prefeitura de Nova Lima,≤100,1
108290921777924,idevinni,These ads ran without a disclaimer,≤100,1
105235945725794,Torres e Andradade Advocacia,These ads ran without a disclaimer,≤100,1
101876541660764,Agriculturas e Ancestralidades,These ads ran without a disclaimer,≤100,2
103490448842357,trassus.ufc,These ads ran without a disclaimer,≤100,1
103711448207486,Lucas Gates,These ads ran without a disclaimer,≤100,1
114940018241887,Aime Leticia,These ads ran without a disclaimer,≤100,1
731228530411931,Alessá - Marketing,These ads ran without a disclaimer,≤100,2
107737662086486,Conversar Protege - Educação Sexual,These ads ran without a disclaimer,≤100,6
490701704288116,Supermercado Laminense Ltda,These ads ran without a disclaimer,≤100,1
101722706038236,Teacher Carol Gomes,These ads ran without a disclaimer,≤100,1
104519742003662,Davi é luz,These ads ran without a disclaimer,≤100,1
1587902131493750,Feira Expomafe,These ads ran without a disclaimer,≤100,1
101294401344944,Carol Rios Curly Hair,These ads ran without a disclaimer,≤100,1
100234216340071,coletivizar.a.palavra,These ads ran without a disclaimer,≤100,1
101453166264476,Leandro da Silva Palestrante,These ads ran without a disclaimer,≤100,2
102125765605493,rolph.casale,These ads ran without a disclaimer,≤100,1
112863765112418,Energy Brasil SJC,These ads ran without a disclaimer,≤100,1
102949544469297,bruno_vsales,These ads ran without a disclaimer,≤100,2
100471808758250,Calu - Tarot e Magia Natural,These ads ran without a disclaimer,≤100,1
101511632163869,lucascordeiro40,These ads ran without a disclaimer,≤100,1
103574051815344,francimones,These ads ran without a disclaimer,≤100,1
112687318485363,professorthiagorocha,These ads ran without a disclaimer,≤100,1
200876183649090,Luiz Eustáquio,Luiz Eustáquio,≤100,1
106006162141869,Empreende Show,These ads ran without a disclaimer,≤100,2
116818791387562,levybricio.adv,These ads ran without a disclaimer,≤100,1
1036121146507710,Robertinho Vermelho,Robertinho Vermelho,≤100,2
115972838139271,Houston Acaademy,These ads ran without a disclaimer,≤100,1
109361464176820,Roberta Leitão,These ads ran without a disclaimer,≤100,1
102486536117448,Augusto Loureiro Advogados - ALADV,These ads ran without a disclaimer,≤100,1
393186284146106,Eletro LIMA,These ads ran without a disclaimer,≤100,1
114682320362498,Daniel Gaioto Aniceto,These ads ran without a disclaimer,≤100,1
100793848721444,brunoliman,These ads ran without a disclaimer,≤100,1
535431143163153,Providenciando a Favor da Vida,These ads ran without a disclaimer,≤100,1
108597165544449,Camila Silva,These ads ran without a disclaimer,≤100,1
111023525113776,institutomaossolidarias,These ads ran without a disclaimer,≤100,1
107909822068780,Ethimos Investimentos - BTG,These ads ran without a disclaimer,≤100,1
110004921840381,paulacolicigno,These ads ran without a disclaimer,≤100,1
134441789986065,Associação Brasileira de Qualidade de Vida,These ads ran without a disclaimer,≤100,2
103755525324118,bavilches,These ads ran without a disclaimer,≤100,1
108681790860300,As Pensadoras,These ads ran without a disclaimer,≤100,3
103521349168873,anoarsamadam,These ads ran without a disclaimer,≤100,2
103550665022308,Luana Flor,These ads ran without a disclaimer,≤100,1
1732139690385499,Vereador Ruy Wanderley,Vereador Ruy Wanderley,≤100,2
118714187878648,williamgcavalcante,These ads ran without a disclaimer,≤100,1
100768639262013,vereadorcabeludo_,These ads ran without a disclaimer,≤100,2
106971491678389,Telini e Falk Advogados,These ads ran without a disclaimer,≤100,2
367426926631555,"Cascaes, Hirt & Leiria - Advocacia Empresarial",These ads ran without a disclaimer,≤100,2
104720485894282,Ana Paula Bittencourt Mentoria,These ads ran without a disclaimer,≤100,1
103463535933787,Professor Vitor Moura,These ads ran without a disclaimer,≤100,1
730473880427651,Centro Educacional Gandra Moretti,These ads ran without a disclaimer,≤100,1
587458151714913,Professora e Mentora Vandinara Lopes,These ads ran without a disclaimer,≤100,1
397694950798667,Loreen,These ads ran without a disclaimer,≤100,1
353944958595111,Macaé do Povo,These ads ran without a disclaimer,≤100,2
110663804836021,Psicóloga Fernanda Jaeger,These ads ran without a disclaimer,≤100,1
115191708182860,Escritório de Advocacia José Bitencourt,These ads ran without a disclaimer,≤100,1
344584442241845,Viver em Santos e região,These ads ran without a disclaimer,≤100,1
111082344827615,raquelmandy,These ads ran without a disclaimer,≤100,1
101526775227985,Braga News,These ads ran without a disclaimer,≤100,1
100934806001746,neusapavaoassessoria,These ads ran without a disclaimer,≤100,1
103449052183318,Super Imperatriz,These ads ran without a disclaimer,≤100,2
100183719709750,isaquerabelo,These ads ran without a disclaimer,≤100,3
104181968939579,Portugues Com Ab,These ads ran without a disclaimer,≤100,2
117362524656460,marcelinodejesusoficial,These ads ran without a disclaimer,≤100,1
103313742034911,Luiza Zacharias,These ads ran without a disclaimer,≤100,2
112422475013509,Marcelo Lessa,These ads ran without a disclaimer,≤100,1
110727076963114,Eu quero eu posso,These ads ran without a disclaimer,≤100,5
114307104889511,prof_leiarodriguess,These ads ran without a disclaimer,≤100,1
100742011804929,Marcelo Bras do Sacolão,Marcelo Porfirio Da Silva,≤100,5
323321181084151,Saúde Bahia - Sesab,These ads ran without a disclaimer,≤100,2
1532956077001855,Marcelo Cavinato,Marcelo Cavinato,≤100,2
209035869135684,"Pais Atentos, Criança Protegida por Kennya Gralha",These ads ran without a disclaimer,≤100,1
1683682261907001,Coach Aylana Gazar,These ads ran without a disclaimer,≤100,2
224892908185407,Gabriel Nadipeh,These ads ran without a disclaimer,≤100,2
121149280885704,Meninas do Jiu,These ads ran without a disclaimer,≤100,1
113895157993586,nandagavi,These ads ran without a disclaimer,≤100,1
106283144372677,IWG,These ads ran without a disclaimer,≤100,3
678578735500865,Rita Passos,Rita de Cássia Trinca Passos,≤100,1
270534889645562,Prefeitura de Extrema,These ads ran without a disclaimer,≤100,1
106832325548834,sonhodebolaoficial,These ads ran without a disclaimer,≤100,1
1958915751012537,Cris Nunes - Boutique Brechó,These ads ran without a disclaimer,≤100,1
106112551898365,Faculdade 8 de Julho,These ads ran without a disclaimer,≤100,5
101757872708106,Barbeariazero21,Barbeariazero21,≤100,2
103997418088571,samuelceraso,These ads ran without a disclaimer,≤100,1
104807524604152,Rodrigo Gonzaga,Rodrigo Gonzaga,≤100,1
376066362557648,Abradee - Associação Brasileira de Distribuidores de Energia Elétrica,These ads ran without a disclaimer,≤100,2
372115733361620,Amigo Vavá,These ads ran without a disclaimer,≤100,1
102180385517699,Isaias Oliveira,Isaias Oliveira,≤100,1
120589677674008,Anderson Santos,These ads ran without a disclaimer,≤100,1
110591174984579,Connect Energia Solar - Vitória da Conquista BA,These ads ran without a disclaimer,≤100,2
460263200702898,Sicredi Conexão,These ads ran without a disclaimer,≤100,1
475282579237715,Sindsaúde Ceará,SINDICATO DOS EMPREGADOS EM ESTABELECIMENTOS DE SERVIÇOS DE SAÚDE NO ESTADO DO CEARÁ - SINDSAÚDE-CE,≤100,1
170684183334456,Lucas Coelho,Lucas Coelho Ferreira,≤100,1
100310168620326,francisco_tojal,These ads ran without a disclaimer,≤100,1
104046795769997,Adailsonvieiraoficial,These ads ran without a disclaimer,≤100,44
100729529596257,Lucas Ramos,These ads ran without a disclaimer,≤100,6
155526595092557,Presley,These ads ran without a disclaimer,≤100,1
740454936145337,Veloe,These ads ran without a disclaimer,≤100,2
119024964507749,narrativacastanhal7,These ads ran without a disclaimer,≤100,1
110502018383070,Joice Gonçalves,These ads ran without a disclaimer,≤100,1
101878722479647,sociologodafavela,These ads ran without a disclaimer,≤100,3
286514478173463,Além do Fato,Além do Fato,≤100,2
111800438304535,desmistificandoaarmadefgbr,These ads ran without a disclaimer,≤100,1
105153732521061,adinilsonalmeida,These ads ran without a disclaimer,≤100,1
1722627031349126,NTL - Nascimento & Toscano Leite Advogados,These ads ran without a disclaimer,≤100,1
375453762611472,MLF Consultoria Tributária,These ads ran without a disclaimer,≤100,1
416830225093275,Sindicato dos Policiais Federais no DF - Sindipol/DF,These ads ran without a disclaimer,≤100,4
1145189558996151,Jewish Arte e Moda - Design de Produtos Judaicos,These ads ran without a disclaimer,≤100,1
242961689472491,Prefeitura Municipal de Pompeia,These ads ran without a disclaimer,≤100,1
217272965880048,Anderson da Farmácia,Anderson da Farmácia,≤100,2
1692850190981795,Dukphin,These ads ran without a disclaimer,≤100,1
113713558296868,diario_do_cabo,These ads ran without a disclaimer,≤100,3
100200433428505,PORTAL VELHO CHICO NEWS,These ads ran without a disclaimer,≤100,1
243517229492453,Blog da Cris,These ads ran without a disclaimer,≤100,1
2269019336656684,Professor Daniel,Professor Daniel,≤100,1
953625961415709,Gove,These ads ran without a disclaimer,≤100,1
101636519056838,ed.barros.batista,These ads ran without a disclaimer,≤100,1
1809640755958221,Proinst Engenharia,These ads ran without a disclaimer,≤100,1
379791935695357,Epitácio De Souza,These ads ran without a disclaimer,≤100,1
102200178767012,dr.raphaeldomonte,These ads ran without a disclaimer,≤100,2
1442882979308036,Bruno Gonçalves,These ads ran without a disclaimer,≤100,1
102711812463549,sustenare,These ads ran without a disclaimer,≤100,3
122305117514385,liliancastro.adv,These ads ran without a disclaimer,≤100,1
103104745996193,vitaooficial,These ads ran without a disclaimer,≤100,2
151903358562725,Vereador Henrique de João Gogó,These ads ran without a disclaimer,≤100,3
1739271512955581,Altino,These ads ran without a disclaimer,≤100,1
100437902970127,Eita Nordeste,These ads ran without a disclaimer,≤100,1
511869708869880,Brphonia Telecom,These ads ran without a disclaimer,≤100,1
100739869386287,Progressistas Ribeirão Pires,Fabio Rossi,≤100,1
102526121716727,Talk com Wang,Wang Osmar,≤100,1
847094242030512,Deputado Robinho,Deputado Robinho,≤100,1
100430018925969,IsnaldoCordeirooficial,IsnaldoCordeirooficial,≤100,1
102981361870286,calmoreiraa,These ads ran without a disclaimer,≤100,1
584368165092796,Lamy & Faraco Lamy - Advocacia e Compliance,These ads ran without a disclaimer,≤100,1
546862722030959,Dary Pagung,Dary Pagung,≤100,1
101915912764411,José Wilson Rosa - JWRosa,These ads ran without a disclaimer,≤100,1
101533985016418,Rodolfo fenix,These ads ran without a disclaimer,≤100,1
106527410937850,Clínica Bertoni,These ads ran without a disclaimer,≤100,1
101853605483032,Advocacia Tamara,These ads ran without a disclaimer,≤100,1
292658164172488,Vereador Enio Brizola,Vereador Enio Brizola,≤100,1
101165605992292,Amigos da Palestina,These ads ran without a disclaimer,≤100,2
109883661949563,asseff_zonenschein,These ads ran without a disclaimer,≤100,1
100214129227365,Airtonnamed,These ads ran without a disclaimer,≤100,1
110112165398471,Delegada Thuanny,These ads ran without a disclaimer,≤100,1
100912048975738,Kinea Investimentos,These ads ran without a disclaimer,≤100,1
113052534350197,Aline Soares,These ads ran without a disclaimer,≤100,1
494717690672796,Programa Fala Caboco,Malbi,≤100,2
