Page ID,Page name,Disclaimer,Amount spent (BRL),Number of ads in Library
650190518395498,Fabio Garcia,FÁBIO PAULINO GARCIA,3444,64
105730118446802,Vinicius Cozzolino,Vinicius Cozzolino Abrahão,3441,8
106091268052699,Prefeitura de Diadema,Prefeitura de Diadema,3410,23
108015435927747,FAS - Fundação Amazônia Sustentável,Fundação Amazonia Sustentável,3387,12
270377486357382,Crea-PR,CONSELHO REGIONAL DE ENGENHARIA E AGRONOMIA DO PARANA,3387,7
100475615641105,PHVox,PHVox LTDA,3380,18
780458271981477,Prefeitura de Gravataí,AD3Plus,3355,7
118678938210868,SIMPI,SIMPI,3350,19
543175155700057,Fernando Fernandes Filho,Claudia Vicenza Funari Sa Borges,3337,6
1382107615166116,Juliana Leite,These ads ran without a disclaimer,3336,17
450434818689951,Spartakus Santiago,These ads ran without a disclaimer,3333,2
220778897969256,Zeca Dirceu,Zeca Dirceu,3324,30
859265584231622,CADQ,CADQ - Centro de Atenção ao Dependente Químico,3321,4
142099522556207,Weverton,Weverton Rocha,3299,6
100616882690814,Evandro Pereira Advogados e Associados,Jose Evandro Pereira Da Silva,3291,13
587065281989375,Topazio Neto,Topazio Silveira Neto,3281,38
105903775544880,Alexandre Braga,Alexandre Braga,3251,23
142675389152460,Governo do Estado da Paraíba,SECRETARIA DE ESTADO DA COMUNICACAO INSTITUCIONAL - SECOM,3250,40
1467758140118814,Governo de Goiás,Governo de Goiás,3227,10
531954626987123,Eu Ideal,Eu Ideal,3218,3
540247616482635,Nohs Somos,Nohs Somos,3212,6
746572915467655,Junior Muniz,Junior Muniz,3192,16
106177618923389,Uniodontoms,Uniodonto Mato Grosso do Sul,3180,3
102275945221840,Portal Tucumã,Portal Tucumã,3179,564
253615198009828,Anglo American,These ads ran without a disclaimer,3168,1
104088705327627,Destaques Digitais,Talquimy Comunicação LTDA,3155,16
100553136170825,Fena Saude,Fena Saude,3137,38
131497886977001,Associação Paulista de Medicina,Associação Paulista de Medicina,3101,10
190833037616321,Jornal Extra,Jornal Extra,3100,3
321727954527324,Prefeitura de Santana de Parnaíba,Municipio de Santana de Parnaíba,3092,46
240375129693418,Paulo Briguet,These ads ran without a disclaimer,3079,141
111326818564734,Projeto Opaoma,Camila Capel,3072,62
103815102693382,Camila Dias,These ads ran without a disclaimer,3064,8
1678605519056745,Rodrigo Goulart,Rodrigo Goulart,3053,19
1488617011373413,Thiago Surfista,Thiago Surfista,3043,7
241839765912021,Estratégia Concursos,ESTRATÉGIA CONCURSOS SA,3029,8
651900074836103,Dr. Laércio Sandes,Laercio Sandes De Oliveira,3027,25
173698339802515,Rafael Brito,Rafael Brito,3020,16
116800608011696,Compol Brasil,FEPESE - Fundação de Estudos e Pesquisas Socioeconômicos,3015,12
105262805652284,Summit Cidades,FEPESE - Fundação de Estudos e Pesquisas Socioeconômicos,3014,44
197587446941661,Valor Econômico,Editora Globo,3006,4
194032184000941,Chico Rodrigues,Chico Rodrigues,2980,25
175072079887754,Sindicatos Online,Sindicatos Online - SON,2967,7
100230636059140,Tv Cidade online,Tv Cidade online,2948,14
110647840532680,Merge Mayor,These ads ran without a disclaimer,2923,1
380460338716108,Prefeitura de Araucária,Prefeitura de Araucária,2914,38
363140553718136,Epoch Times Brasil,EPOCH TIMES BRASIL LTDA,2894,13
248917521893324,Prof. Heron Bonadiman UFVJM,Heron Laiber Bonad Iman,2871,61
2034754990120059,Ibrachina,Ibrachina Instituto Sociocultural Brasil-China,2850,168
313991695374674,Senac RJ,These ads ran without a disclaimer,2847,6
108258263887995,Débora Menezes,Debora S. de Menezes,2826,19
287241588030040,Cidade de Presidente Prudente,Prefeitura Municipal de Presidente Prudente,2822,28
214687541970095,Ed Pereira,Ed Pereira,2820,71
109243215854131,Fábio Núñez Novo,Fabio Novo,2819,9
337834286345988,Fundação Milton Campos,Fundação Milton Campos,2814,4
1453730484882193,Arilson Chiorato,Arilson Maroldi Chiorato,2809,50
656965247684115,Zequinha Marinho,Zequinha Marinho,2800,33
109779564998729,Jeferson Brun,Jeferson Rodrigo Brun,2770,48
191591598062172,Duda Ramos,Duda Brito Ramos,2757,29
104298494763365,Renata Bravo,Renata Costa Bravo Oliveira,2754,39
235356953965179,Senador Jaime Bagattoli,Senador Jaime Bagattoli,2728,5
1333583893323350,Edson Santos,Edson Santos De Souza,2717,46
200145534070790,FEBRABAN - Federação Brasileira de Bancos,Febraban,2714,24
342018609288918,Adriano Lima,Adriano Silva Lima,2706,19
404028499633505,Pedro Matos,Pedro Matos,2689,21
367980806622995,Bruna Furlan Deputada Estadual,Bruna Furlan,2672,68
695903437104290,Deputado Estadual Luiz Fernando,Luiz Fernando Teixeira Ferreira,2672,59
175881962421988,Sesc RJ,These ads ran without a disclaimer,2653,6
998620913587874,TC,TC TRADERS CLUB SA,2645,4
105520569004820,Absolar Comunica,Associação Brasileira de Energia Solar Fotovoltaica,2639,84
248844375207062,Jorge Wilson Xerife do Consumidor,Jorge Wilson - Xerife do Consumidor,2637,52
102138423231691,Revista Semana Online,Revista Semana On,2609,211
632161500194120,Omar Aziz,Omar Aziz,2591,5
179856875529257,Padre João,Candidato a deputado Federal Padre João,2565,30
197641483663137,Deputado Antonio Carlos Arantes,Deputado Antonio Carlos Arantes,2564,73
391175961040598,ADE SAMPA,ADE SAMPA,2563,11
104553347942750,Eder Borges,Eder Fabiano Borges Adao,2542,27
