Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
307374072686750,MHP Şanlıurfa İl Başkanlığı,MHP Şanlıurfa İl Başkanlığı,3325,6
229563724593,Davut Güloğlu,Davut Güloğlu,3309,12
105528367640729,Şanbaz Yıldız,Mehmet Salih Acar,3259,13
788593847885854,Nermin Yıldırım KARA,Nermin Yıldırım Kara,3249,10
121496655382974,Burak Akburak,Burak Akburak,3244,11
2028274240749386,Celal Köse,Celal Köse,3232,20
1573208652936912,Mustafa Erdem,Mustafa Erdem,3227,39
483282718428036,Meral Akşener,These ads ran without a disclaimer,3218,1
118229034584834,Alptürk Kaya - Zafer Partisi,Alptürk Kaya,3203,15
103331031478719,Rıfat T. Nalbantoğlu,Rıfat T. Nalbantoğlu,3130,4
1915216385271936,Celalettin Kesikbaş Sayfası,Necat Coşkuntuna,3065,2
101266518683104,Büyük Birlik Partisi Erzurum İl Başkanlığı,Yakup Demir,3053,19
111401735197044,Mehmet Aydemir,Mehmet Aydemir,3049,13
72489021761,SOL Parti,SOL Parti,3017,6
118447084505267,Av. Hakan Özışık,Hakan Özışık,3002,5
113673790352749,180 تحقيقات,180 تحقيقات,2967,14
1424394931135090,AK Parti Samsun İl Başkanlığı,Betul Zer,2963,2
117491812983397,Yurttan Sesler,Yurttan Sesler,2941,10
100804794823150,Ali Ünal,Ali Ünal,2929,9
