Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
109050531235356,Clementina Guayacán Guevara,Clementina Guayacan Guevara,234511,1
1649671688486614,Juan Carlos Muñoz Sepulveda,Juan Carlos Sepulveda Muñoz,234365,7
100417346206181,Freddy Eduardo Pinzón Valverde,Freddy Eduardo Pinzón Valverde,231239,9
362827957704531,Marco Adrián Artunduaga Gómez,Carlos Alberto Carrillo Perez,230000,3
100411006377073,Yolanda Silva,Marco Aurelio Castellanos Flores,224075,6
548129555720726,Jesús David Contreras,Jesús David Contreras,223199,2
832764363485573,Roberto Rodríguez Z.,Oscar Alexander Garcia Lopez,220710,5
105693777827176,Jorge Enrique Sánchez Cerón,Jorge Enrique Sánchez Cerón,218940,2
1737937156478529,Carlos Felipe López López,Carlos Felipe Lopez Lopez,218592,3
114368596673165,Publicalo,Claudia Liliana Pardo Mendoza,217976,4
497475647076975,Fabian Oviedo,Fabian Oviedo,215380,1
465572140144556,Juan Diego Castrillón Orrego,Henry Leonardo Romero Moncayo,214696,9
106083021215996,Todos por Medellín,Todos por Medellín,214080,4
110982620241992,Fabian Chaparro,Fabian Chaparro,210367,1
201155736602572,Hernán Alberto Bedoya,Hernan Alberto Bedoya Cadavid,210171,2
101772341304724,HUILA Digital,HUILA Digital,208955,25
1529335724037224,Aeropuerto del Café,INTUAL,206750,11
104849691855707,julianelpolitologo,These ads ran without a disclaimer,206156,1
569978373130700,Andrés Lizarralde Henao,Andrés Lizarralde Henao,204519,4
613802325384440,Diego Arboleda,Diego Arboleda,204208,9
107346928933328,Guillermo Artunduaga,Guillermo Artunduaga Acosta,201679,4
266442720918096,Ronald Suarez Cruz,Space Marketing,200000,1
1683544555207079,Rafael Martínez,Rafael Martinez,200000,2
100304338642614,Toro Digital 1972,Toro Digital 1972,199999,1
2248569068714530,Álvaro Andrés Raad,Álvaro Andrés Raad,199077,1
734195543347719,Javier Julio Bejarano,Javier Julio Bejarano,197803,2
114940274892881,Digital Revolution,These ads ran without a disclaimer,196996,1
107787104895388,La Ópttica Popayán,La Óptica Popayán,196676,6
2203948933156649,Oriana Zambrano Montoya,Oriana Teotiste Zambrano Montoya,194450,5
107435990598450,Rosita Guevara,Jaime Armando Rodriguez Torres,193226,4
103084375858203,Mi Campaña Aplicación,Mi Campaña Aplicación,191970,12
2355517858002528,Página: Yeison Miranda,Página: Yeison Miranda,191864,8
366661700340694,Carlos Javier Navas M,Carlos Javier Navas Murillo,191634,15
125807057434859,laschivasdelllano.com,laschivasdelllano.com,190809,4
110673818587137,Eicman Murillo,Eicman Murillo,190529,3
117823701712681,Cedinsi Escuela de Entrenamiento en Herramientas Digitales,These ads ran without a disclaimer,188087,1
110406578590674,Astrid Rodriguez,Astrid Rodriguez,186402,5
843197419029270,Jose Elías Chams,Jose Elías Chams,185761,10
159096910834443,Jimmy Triana,Jimmy Triana,185096,36
472904709784824,Jefferson Tuta,Jefferson Tuta,183523,3
494796217322155,Antonio Sanguino Páez,Daicy Celiani Echeverri Castillo,182722,2
109926928389181,Gabriel Nunes,These ads ran without a disclaimer,177284,10
1519510178128827,Carlos Andrés Hernández Zuluaga,Carlos Andrés Hernández Zuluaga,177138,5
861234197280988,Stefany Gómez Concejala de Armenia,Stefany Gomez Murillo,177072,3
