Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
166178460072395,اليونيسف بالعربية - UNICEF in Arabic,اليونيسف باستخدام اعتمادات الإعلان على الفيسبوك,≤100,3
105268685019332,사마리안퍼스 코리아,These ads ran without a disclaimer,≤100,2
1495062327433191,Sunhak Peace Prize,These ads ran without a disclaimer,≤100,8
756877521031964,CCTV+,These ads ran without a disclaimer,≤100,3
1730405343704287,Live It Nation,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,7
204847128458,World Parrot Trust,These ads ran without a disclaimer,≤100,4
70877580782,IFC - International Finance Corporation,These ads ran without a disclaimer,≤100,11
184661098229492,Global Development Network,These ads ran without a disclaimer,≤100,2
103286731467883,Psychedelic Spotlight,These ads ran without a disclaimer,≤100,23
262370800536,CanadaHelps,These ads ran without a disclaimer,≤100,1
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100,3
75608370019,United States Institute of Peace,These ads ran without a disclaimer,≤100,46
101971649108245,SOFARSOLAR,These ads ran without a disclaimer,≤100,2
100567615811103,Protect Our Pacific,These ads ran without a disclaimer,≤100,1
103733191524431,Liuxininbeijing,These ads ran without a disclaimer,≤100,6
110098284995663,papuanize,These ads ran without a disclaimer,≤100,2
1010847105623136,NowThis Earth,These ads ran without a disclaimer,≤100,3
177132129718974,Lenora Qereqeretabua 433,These ads ran without a disclaimer,≤100,1
101229819148814,Reen Records,These ads ran without a disclaimer,≤100,8
104238192067446,Fox'oclock,These ads ran without a disclaimer,≤100,2
202655389892988,Coconut Wireless,These ads ran without a disclaimer,≤100,1
449227798616641,Pacific Kids' Learning,These ads ran without a disclaimer,≤100,1
7783116506,Animals Asia,These ads ran without a disclaimer,≤100,41
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,63
33575580843,Microsoft Research,These ads ran without a disclaimer,≤100,2
105199478725695,Centre for Credible Election Information,These ads ran without a disclaimer,≤100,1
