Page ID,Page name,Disclaimer,Amount spent (BOB),Number of ads in Library
1521885571463705,Bufete Heredia & Asociados - Abogados Asociados,These ads ran without a disclaimer,140,2
104256864908359,Sergio Huanca,Juan Sergio Huanca Montoya,140,2
102827978394796,Eustaquio Huiza Alcalde de Caranavi 2021-2026,Reyna Choquehuanca Pairumani,140,1
101222482153979,Unidad Autonomista UTO,These ads ran without a disclaimer,140,1
167654607363333,Contacto Económico,These ads ran without a disclaimer,140,3
101510037940847,La Prensa Digital,LP Digital,140,2
100283661845018,Social NET,Fabian Meneces Portugal,140,4
102820591642873,Indignados,Leonardo Alberto Obando Cano,140,2
102440051673086,Es lo que es,Benjamin Reydet Arce,140,2
336434370375246,Draco's Sur América,These ads ran without a disclaimer,140,2
6431878727,The Economist Intelligence Unit,These ads ran without a disclaimer,140,22
1518567251722851,Ministerio de Justicia y Transparencia Institucional Bolivia,Ivan Manolo Lima Magne,140,1
2245422042364456,Bolivia LIBRE,These ads ran without a disclaimer,140,1
101063321716808,Comunidad Ciudadana C-35,Maribel Callahuanca Espiniza,140,1
100604564682010,SUPERATE.com Bolivia,These ads ran without a disclaimer,139,3
111101294135679,Álvaro Blondel,These ads ran without a disclaimer,139,2
110794824169335,Innovación académica - Innova UMSS,Paulo Andres Lopez Rodriguez,138,4
104010429137092,Claudia Guzmán / Adm. Financiera,Claudia Guzman Vasquez,138,1
1281741735193894,Alvaro Ruiz,These ads ran without a disclaimer,138,1
102336458246374,Sedede Tarija - Servicio Departamental del Deporte,Gobierno Autónomo Departamental de Tarija,138,4
123259362601990,Lightning Stickers,These ads ran without a disclaimer,138,2
148980668463920,eju.tv,eju.tv,138,3
134278719946186,Bayer,These ads ran without a disclaimer,137,9
108500750786197,Inversiones y Trading,These ads ran without a disclaimer,137,2
584424221716382,Big Lito,These ads ran without a disclaimer,137,8
103157331304589,ncd_corporation,These ads ran without a disclaimer,136,11
103697735113305,Publicidad Mark-Bol.,These ads ran without a disclaimer,135,2
430866040780910,BDS - Bolivian Debate Society,These ads ran without a disclaimer,135,5
1489085394743938,Curandero Hermano Lázaro,These ads ran without a disclaimer,135,4
117747686290536,Hesperian Apps - Salud Reproductiva,These ads ran without a disclaimer,135,2
101964195262320,Wilma Alanoca,These ads ran without a disclaimer,135,1
126052760507,Mama Cash,These ads ran without a disclaimer,134,80
1561545047402131,Tribunal Electoral Departamental de Chuquisaca,Sebastian Rivas Orellana,133,1
105532871541943,Rommy Ayala Asambleista,Calixto Melvyn Fernandez Cuba,133,1
181534323456219,Richard Paz,Ana Lilian Justiniano Cabral,133,3
216741958412414,Avon Worldwide,These ads ran without a disclaimer,133,10
113784890401067,Frente Para La Victoria - Circunscripción 8,These ads ran without a disclaimer,133,7
107536584117593,Remberto Calani Jaillita,Natalia Fernandez Loayza,132,2
581190295739390,Sacaba de Corazon,Diego Olmos Gómez,132,4
115255266772934,Gustavo Pereira Alcalde,These ads ran without a disclaimer,132,7
116551523551541,Tu Frase,These ads ran without a disclaimer,132,2
111279384085544,FINI SOMOS TODOS,Milton Condori Choque,131,2
100648278663831,Siles Luna - ExCandidato a la Alcaldía de Caracollo,Roger Luna Quispe,131,5
104864678120869,Súmate,Ale Pita Romero Loza,131,2
103701711411531,Tarjeta 360x2,These ads ran without a disclaimer,131,1
106401928094823,Denice Berrios Asambleista Regional,Ariel Vedia,131,3
104705375120714,Sub Alcaldía Distrito 4 - Santa Cruz de la Sierra,Jose Antonio Mendez Acebo,130,8
100569089673267,Jesús Cuellar C. de Administración y Cidar oporto al C. de Vigilancia,These ads ran without a disclaimer,130,2
109860234954146,Urbanización Flores Rancho 3,These ads ran without a disclaimer,130,5
101539798574720,Comunidad Ciudadana - Autonomías Chuquisaca,Rodolfo Payllo Duran,130,7
101448001862747,Joselinne Pinto,Kevin Marcelo Anibarro Guerrero,130,2
199080090110576,doinGlobal - Global Community.,These ads ran without a disclaimer,129,3
106599278088365,José Luis Fernández,Juan Pablo Rojas Gomez,129,2
105182117539697,Beyerdynamic Bolivia,These ads ran without a disclaimer,129,1
101029268584854,José Carlos Sánchez Verazaín,These ads ran without a disclaimer,128,7
635321196665167,Alvaro Ruiz Gobernador - Asuncion Ramos Alcalde,Alex Anatolio Diaz,128,4
107298994210175,Elena Aguilar Flores Senadora de Potosí,Juan Montoya,128,2
101625794824211,FBS Trader,These ads ran without a disclaimer,128,31
335343807715360,Uma khanaki,Coordenada Digital,127,3
100859828211690,Feria de Frutas de La Paz,These ads ran without a disclaimer,127,1
106831311381837,Jenny Montaño Daza,Jenny Marta Ajhuacho Renteria,127,1
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,126,115
1411574912505900,Infante - Promoción Integral de la Mujer y la Infancia,These ads ran without a disclaimer,126,2
22105461854,Miss Rosi,These ads ran without a disclaimer,126,10
101613581921983,Unidos - Los Capos de la Sub,These ads ran without a disclaimer,126,6
107606044127310,Estudios de opinión Bolivia,Juan Quiroga Moscoso,126,18
687589164666184,MasterClass,These ads ran without a disclaimer,126,5
106951491035107,El Portal de Noticias,Cristhian Junior Araoz Ajhuacho,126,2
1126733100673780,Gobierno Autónomo Municipal de San Lorenzo,Fernando Portal,125,1
105158527994571,Cristina Huallpa Diputada C-33,Israel David Tacuri Quispe,125,9
141251219227102,SeguroParaViaje.Com,These ads ran without a disclaimer,124,2
105122941812932,Private-unlimited VPN-1,These ads ran without a disclaimer,124,1
164848214209910,Academia Journals,These ads ran without a disclaimer,124,1
115849549887027,Dawere Global,These ads ran without a disclaimer,124,3
397931903903240,Raised on Concrete,These ads ran without a disclaimer,124,7
100601615341109,Claudia Leslie Aguilar Alcaldesa,Rebeca Hortencia Durán Quiroga,124,7
1385462081680581,UK in Bolivia - Embajada Británica La Paz,These ads ran without a disclaimer,124,1
100279235672450,Papi Gonza Rector,Roberto Vaca Raznatovich,123,2
