Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
178462708688508,Sinem Dedetaş,Sinem Dedetaş,420962,276
101495115896210,Abdullah Özdemir,Abdullah Özdemir,418929,72
172932955893106,Erol Aydın - CHP Sarıyer Belediye Başkan A. Adayı,Erol Aydın,418526,199
260298460786512,Mustafa Savaş,Mustafa Savaş,418475,68
224394714091248,Mehmet Duduoğlu,Mehmet Duduoğlu,418107,73
108764848274202,İsmail Yaşar,İsmail Yaşar,411252,132
1581936098727585,Bilal Uludağ,Bilal Uludağ,409231,144
209554638910704,Aziz Yeniay,Aziz Yeniay,402304,232
2222003764721494,Halit Doğan,Halit Doğan,402044,246
802277873153241,Emine Gülizar Emecan,Emine Gülizar Emecan,400092,148
352176072180752,Ahmet Cin,Ahmet Cin,399773,307
220319391464566,Vahap Akay,Vahap Akay,390281,257
227864364826563,Yücel Yılmaz Sevenleri,Yücel Yılmaz Sevenleri,387093,95
218049454725460,Özgür Erman Çağlar,Özgür Erman Çağlar,385245,175
101319864990486,BTP Ankara,BTP Ankara,383839,72
115203036969497,Mehmet Yunus Seven,Mehmet Yunus Seven,363344,509
167858603077755,Özcan Belen,Arazoz Yapım Medya,362364,86
200224203421400,Yalova Gazetesi,Yalova Gazetesi,362109,379
213844851810819,Gencay Yıldıztekin,Gencay Yıldıztekin,357078,95
1774608515995321,Bora Balcıoğlu,Bora Balcıoğlu,356312,220
1607304669378571,İlk Oy Hareketi,İlk Oy Hareketi,349828,84
2068706699824406,Kadir Aydar,Kadir Aydar,348316,204
386477004760284,MUSTAFA DÜNDAR,MUSTAFA DÜNDAR,347853,115
434922683364059,Serkan Yazıcı,Serkan Yazıcı,347126,84
178293429557896,Fatih Kocaispir,Fatih Kocaispir,344334,52
231416650051734,Mehmet Erdoğan,Mehmet Erdoğan,342085,22
226410901315304,Areda Survey,Areda Survey,341801,397
2034462006817180,Naim Osman Erem,Naim Osman Erem,341247,375
105814402331481,Sadık Doğruer,Sadık Doğruer,339862,157
157660720774338,Engin Özkan,Engin Özkan,338426,99
319944568468149,İYİ Parti,İYİ Parti,338226,66
763015273779606,Suat NEZİR,Suat NEZİR,337959,144
118308491265434,KADİR AYDAR,KADİR AYDAR,333726,179
505757142770713,Rönesans Holding,Rönesans Holding Anonim Şirketi,329520,72
172409434078,Suat Kılıç,Suat Kılıç,328999,76
304255676593422,Türkay Berberoğlu,Türkay Berberoğlu,326195,92
815352198818985,Reha Kars,Reha Kars,322090,126
733679456695019,Özkan Alp,Özkan Alp,321530,136
747131228723134,Ceyda Bölünmez Çankırı,Ceyda Bölünmez Çankırı,320360,316
186031154590222,İbrahim Öztürk,Tekbiz Teknoloji Ürünleri ve Elektronik San. Tic. Ltd. Şti.,320164,11
1539520989621920,AK Parti Gönüllüleri,Woo Medya ve Organizasyon Ltd Şti,319999,60
831405307219875,A.Burak Kunt,A.Burak Kunt,319824,148
258008938179003,Kadri KABAK,Kadri KABAK,319501,163
580908135734040,Abdullah Küçükoğlu,Fikirdaş Medya Abdulabaki Başer,315682,8
369402276875499,Binance Global Türkçe,These ads ran without a disclaimer,313782,1
224014787458254,Yakup Odabaşı,Yakup Odabaşı,310496,141
115746114760205,av.aslansezgin,av.aslansezgin,310024,67
106245845723334,Balıkesirlilerin Kararı,Balıkesirlilerin Kararı,309947,803
1633804936875233,Ömer GÜNEL,Ömer GÜNEL,308019,88
101935939558401,Özgür Türkiye,Özgür Türkiye,306965,13
294889615437,Sinan Oğan,Sinan Oğan,304611,31
202138632987890,İrfan Yılmaz,Berkay Ekin,303791,159
128622247012330,Durmus Kaan Sahin,Durmuş Kaan Şahin,301258,69
129885233341922,İmren Nilay Tüfekci,İmren Nilay TÜFEKCİ,301145,56
116281146900902,Muğla Postası,Muğla Postası,299080,50
286724078913557,Mustafa Varank,Mustafa Varank,298492,67
795099293969459,Mehmet Uğur Tatar,Mehmet Uğur Tatar,296994,227
105376981385020,Referandom,Referandom,293949,693
134412579744548,Oğuz Alper Öktem,Oğuz Alper Öktem,291878,1
190572934131462,Av.Durmuş Kaan Şahin Cumhur İttifakı Aksu Belediye Başkan Adayı,Durmuş Kaan Şahin,289983,89
804210899660885,Ahmet Katar,Ahmet Katar,289108,150
233040383228249,Erdal Hatipoğlu,Erdal Hatipoğlu,286853,125
373938392217,AK PARTİ ANKARA İL BAŞKANLIĞI,AK PARTİ ANKARA İL BAŞKANLIĞI,286037,17
110512660318867,Milli Direniş,Milli Direniş,285384,14
270030242851855,Burhan Asaf ŞAFAK,BURHAN ASAF ŞAFAK,283735,98
108754208866107,Milli Görüş,Milli Görüş,281885,27
251604351378004,Mehmet Tolga Akalın,MEHMET TOLGA AKALIN,281711,98
310857075450598,Menesa EFNAN,These ads ran without a disclaimer,281478,1
2055232158049015,Dr.Şahin Talus,Dr.Şahin Talus,279020,308
196670610475418,Mesut Kösedağı,Meta Bilgi Teknolojiler,277378,38
350743668462426,Av.Serkan TOPER,Av.Serkan TOPER,270863,101
170675512801995,Filiz Gencan Akın,Filiz Gencan Akın,270617,103
380365151990113,Denizli Haber,Denizli Haber,269795,55
383101678393767,Mehmet Siyam Kesimoğlu,Mehmet Siyam Kesimoğlu,265219,128
28312410177,World Food Programme,These ads ran without a disclaimer,262540,220
200144286511357,Mustafa Kara,Mustafa Kara,259059,33
100474483029551,Trabzon için Hemen Şimdi,Adil Çözüm,259000,23
1294038143955689,Av. Oya Tekin,Av. Oya Tekin,258253,581
112238804700437,smaeyupensar.yedek,These ads ran without a disclaimer,257875,1
259534587441664,TBMM,TBMM,254999,2
102890345345963,Özkan Çetinkaya,Özkan Çetinkaya,253059,93
196191116914281,Cem Kotan,Cem Kotan,252560,195
592404507501791,Dr. Mehmet Çerçi,Dr. Mehmet Çerçi,250328,85
102911415086731,Ömer Yazıcıoğlu,Ömer Yazıcıoğlu,249405,66
1735006563398877,Hamid Yüzügüllü,Hamid Yüzügüllü,248404,52
168605619673125,Hayalim Muğla - Mehmet Melih Tatlıcı,Mehmet Melih Tatlıcı,247472,73
215933338271849,Gökhan Yüksel,Mimar Gökhan Yüksel,246728,58
219167277955814,Hüseyin Mete Ekşi,Ouno Dijital İletişim Anonim Şirketi,245784,46
100917251417922,Haberimiz Olsun,Biliniyo,245487,45
268340433836130,Mesut ÜNER,Mesut ÜNER,244690,76
355906905169362,M.Erkut Ekinci,M.Erkut Ekinci,244423,319
228102333726305,Hatırla Antalya,HATIRLA ANTALYA,243650,32
1862390224059141,Erol Kahraman,Erol Kahraman,243179,106
239551122566216,Sma Hulusiyeumutolll,Sma Hulusiyeumutolll,240939,49
209195435613530,Sedat Yalçın,Sedat Yalçın,240000,7
254477977745267,Atasoy Bilgin,Atasoy Bilgin,238925,115
247147425140261,Geleceğe Katıl,Geleceğe Katıl,238820,95
245648438628115,Onur Soytürk CHP Zeytinburnu Belediye Başkan Adayı,Onur Soytürk,237990,166
158077404753235,Çanakkale Zafer Gazetesi,Çanakkale Zafer Gazetesi,236940,1064
192544320619361,Meryem Gökay Balkıç,Meryem Gökay Balkıç,236417,63
224445460758429,Ali Rıza Ertemur,Ali Rıza Ertemur,236326,85
172599700012793,Orhan Bayram,Orhan Bayram,233327,110
224998430691301,Erol Demirhan - Kaş Belediye Başkanı,Erol Demirhan - CHP Kaş Belediye Başkan Adayı,233151,238
149915685059106,Binnaz App,These ads ran without a disclaimer,232825,13
145534406282330,Mustafa Candaroğlu,Mustafa Candaroğlu,232339,74
577263849368473,Mehmet Murat Çalık,Mehmet Murat Çalık,229874,140
260073220514496,Nusret Cömert Hatay İYİ Parti BB Adayı,NUSRET CÖMERT,229657,66
1485448038348994,Birol AYDIN,Saadet İstanbul,229486,404
191874817353252,Prof Dr Ahmet Özer,Ahmet Özer Esenyurt,227262,384
162314920308503,Esat Tanık,Esat Tanık,226744,55
417251848779475,Mehmet Ersoy,Mehmet Ersoy,225688,146
139284075934261,Esdaca,These ads ran without a disclaimer,223567,62
123024141237189,Mehmet Tevfik Göksu,Mehmet Tevfik Göksu,223510,54
181338048397589,Menderes Dal,Menderes Dal,223509,172
115742954837101,Ali Tombaş,Ali Tombaş,221608,21
