Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
1774628536086616,Слободан Јавор-Slobodan Javor,Javor Slobodan,471,13
101848171716812,Anita Vrančić - Анита Вранчић,Srđan Sember,471,18
200480966638039,Supremacy 1914,These ads ran without a disclaimer,470,5
104463975694419,Борис Пашалић - Boris Pašalić,Boris Pašalić,470,18
105412905161989,Огњен Бодирога,Драгана Михајловић,470,11
206630490229201,Милко Грмуша,Grape,468,5
102224898933734,MindDig,These ads ran without a disclaimer,467,6
1077548325754014,Miroslav Vujičić - Мирослав Вујичић,Miroslav Vujicic,465,13
2148421271917226,Nedim Salihagić,Salihagić Nedim,463,67
104674861395810,Младен Илић - Mladen Ilić,Mladen Ilić,462,3
106501571240755,Boran Bosancic,Danka Ignjatović,462,12
100413682814973,Faruk Selmanović,Faruk Selmanovic,459,7
110989470498697,Raport Media,Raport Media Group,458,37
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,452,39
216737698453591,ДНС Приједор / DNS Prijedor,Demokratski Narodni Savez,450,17
112560878234869,Senad Salkić - Nosilac liste za Skupštinu TK,Outdoor Marketing doo Tuzla,448,13
138175049640277,СНСД Приједор-SNSD Prijedor,SNSD Prijedor,445,18
817707718273009,Akademik prof.dr. Suad Kurtćehajić,Akademik prof.dr. Suad Kurtćehajić,443,2
105624308758940,Milenko Zupur / Миленко Зупур,Wizard Media,435,5
108440681053138,4. Elvis Hodžić - SBiH,Haris Peljto,429,3
109306151855822,Almedin Aliefendić,Harun Aliefendić,428,12
144813498912181,Socijalistička partija Brčko - Социјалистичка партија Брчко,Socijalistička partija - Opštinski odbor Brčko,427,18
179652432905118,Milutin Tasovac,SNSD Ugljevik,427,4
105755968906630,Dijana Glibanović,Digitalk,426,6
222651158602821,Narod i Pravda Novo Sarajevo,Elvedina Vugic,421,8
585192734934336,Sarajevski otvoreni centar,Sarajevo Open Centre,420,22
107332858691308,Alma Đerzić Imamović,Ismar Kutlovac,417,10
100291101730616,Jasmin Ademović,Jasmin Ademovic,414,16
104054065772797,Elvir Mujkanović,Elvir Mujkanović,409,10
237782977037956,Nezir Pivić,SDA Zenica,409,3
1588013511420367,Almir Babajić,Almir Babajić,408,30
108345508681860,Dr. Samir Cipurković,Samir Cipurković,408,15
332496257320171,Alen Girt,Alen Girt,406,22
714529026032750,Дражен Врховац - Dražen Vrhovac,Dražen Vrhovac,405,12
469645889732196,SDP BIH Sanski Most,Cybervision s.d.,400,8
522013827964476,SDBiH,Socijaldemokrate Bosne i Hercegovine,398,15
1905420806221655,Selvedina Sarajlić-Spahić,Digital Consulting LABs,395,7
104694715642895,Nermin Džindić,Fuad Hadzimehmedovic,389,5
104611455675874,Denis Smajić,Denis Smajić,386,7
663573640680138,Prof. dr. Sead Selimović,Nedim Selimović,385,11
2430163100537312,Spin Info,Spin Media,383,40
1300447616676411,Kladuša je naša,Kladuša je naša,383,8
100636245037770,Elvir Rožnjaković,Elvir Rožnjaković,379,2
1012721382104871,Lana Prlić,Lana Prlic,379,3
644733602563613,Pokret Demokratske Akcije Srebrenik,PDA Srebrenik,378,19
101011565300703,НПС Приједор - NPS Prijedor,НПС Приједор,377,16
611971679461194,Halid Zigic,Halid Zigic,376,2
104089781069241,infoVeza,"Udruženje građana ""ReStart Srpska""",376,18
106099145362821,Goražde bez pesticida,Harun  Bešlija,369,19
135863743265360,Demokratska fronta Tuzla,Demokratska fronta TK,367,17
106460785543001,Business Ombudsman Initiative in BiH,West East Forum for Ethics and Compliance,365,7
105842642438187,Nihad Uk,Nihad Uk,363,17
628806173978483,CAT Bosna i Hercegovina,CAT Bosna i Hercegovina,357,10
