Page ID,Page name,Disclaimer,Amount spent (AED),Number of ads in Library
1081575708696564,Qasr Al Watan,These ads ran without a disclaimer,122,1
100540308474337,tik.tik.taj,These ads ran without a disclaimer,120,1
100466846248633,AI Mage,These ads ran without a disclaimer,120,5
107282212144904,presidentialchickofficial,These ads ran without a disclaimer,120,1
102953104797987,Handi Clay,These ads ran without a disclaimer,120,2
116056085138721,WideView,These ads ran without a disclaimer,120,1
98673036962,ROLDA,These ads ran without a disclaimer,112,29
1798578616828336,"Indus Development Foundation, Canada",These ads ran without a disclaimer,112,10
873122302862806,Egyptian Foodstuff,These ads ran without a disclaimer,110,1
100131222485411,n.maz,These ads ran without a disclaimer,110,1
106966801806730,Amazing Paradise UAE,These ads ran without a disclaimer,108,3
1818721128360253,Enel Group,These ads ran without a disclaimer,105,1
119405895873,Huawei,These ads ran without a disclaimer,104,3
105066142569100,United Arab Emirates Today,These ads ran without a disclaimer,103,2
813362708790951,UBP - Union Bancaire Privée,These ads ran without a disclaimer,102,6
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,101,2
2181830098768270,Saint-Gobain,These ads ran without a disclaimer,101,2
1099556003449280,Feenix,These ads ran without a disclaimer,101,1
1175283209338350,Zayed The Inspirer,These ads ran without a disclaimer,≤100,1
200503090112244,Democrats Abroad UAE,Democrats Abroad,≤100,1
103679455249606,H.A Advocates & Legal Consultants,These ads ran without a disclaimer,≤100,1
108342144143795,Female Interior Creators,These ads ran without a disclaimer,≤100,1
2147919548870394,Sweetbite DXB,These ads ran without a disclaimer,≤100,2
241313779312561,الهيئة الدولية للتحكيم,These ads ran without a disclaimer,≤100,2
2737071922975168,International Conference on Cohesive Societies,These ads ran without a disclaimer,≤100,1
101812376215360,MarwaArts,These ads ran without a disclaimer,≤100,7
287504505533000,Al Rahal Al Mumayez Restaurant,These ads ran without a disclaimer,≤100,1
104191225641417,Ahmed Almousawi - احمد الموسوي,These ads ran without a disclaimer,≤100,1
100874066174979,Dkaanuae2,These ads ran without a disclaimer,≤100,1
632124420169233,TRT Afrika Hausa,These ads ran without a disclaimer,≤100,1
109155838275986,noura96_official,These ads ran without a disclaimer,≤100,1
100223175785179,Emeraude,These ads ran without a disclaimer,≤100,1
215934875104100,Jotun Group,These ads ran without a disclaimer,≤100,1
1643141409322787,DW جعفر توك,These ads ran without a disclaimer,≤100,2
107286524134924,Souq al-mal,These ads ran without a disclaimer,≤100,2
100906676320399,vcon.new.era,These ads ran without a disclaimer,≤100,2
101093496173166,UAE Family 5,These ads ran without a disclaimer,≤100,1
110463704610731,Cute Kiwi,These ads ran without a disclaimer,≤100,10
106016765657131,Gama Abacus International,These ads ran without a disclaimer,≤100,1
156515867722292,PICS Telecom International,These ads ran without a disclaimer,≤100,2
102366308946515,Richy Snyder,These ads ran without a disclaimer,≤100,1
101132426001604,Art post office,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,133
621176081874082,Dejanzo,These ads ran without a disclaimer,≤100,1
104944068207070,دەسرازە/ مكبس كباب وشوايات وسياخ,These ads ran without a disclaimer,≤100,1
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,7
269241626436063,Atlas Wealth Group,These ads ran without a disclaimer,≤100,1
102487938450103,Luxury villa,These ads ran without a disclaimer,≤100,2
1975544199165398,Dubai-Blues,These ads ran without a disclaimer,≤100,1
1249595591720749,Sky City Real Estate UAE,These ads ran without a disclaimer,≤100,2
108119813872200,Business development social marketing,These ads ran without a disclaimer,≤100,1
213003865396175,Arabian Travel Market,These ads ran without a disclaimer,≤100,2
102059328625956,حمود السيفي,These ads ran without a disclaimer,≤100,1
109761801529457,AlBaik Abu Dhabi Delivery,These ads ran without a disclaimer,≤100,1
110647840532680,Merge Mayor,These ads ran without a disclaimer,≤100,3
101190795701401,Eco Leaves,These ads ran without a disclaimer,≤100,3
103308872517478,mriamtb,These ads ran without a disclaimer,≤100,1
111177220241262,Aynour Alhussein,These ads ran without a disclaimer,≤100,1
1954978657906524,Fogo de Chão UAE,These ads ran without a disclaimer,≤100,1
583305399016165,عود و بريسم  Oud & Braisem,These ads ran without a disclaimer,≤100,1
321332661635337,Gracia_farms,These ads ran without a disclaimer,≤100,1
109176534654871,Kibs.ae,These ads ran without a disclaimer,≤100,2
902485329837313,NinjaOne,These ads ran without a disclaimer,≤100,7
110380214745958,samalqubaisi,These ads ran without a disclaimer,≤100,2
100901718972091,Экскурсия по солнечному Дубаю Абу Даби ОАЭ,These ads ran without a disclaimer,≤100,3
100889891575260,චානා-𝐜𝐡𝐚𝐧𝐚,These ads ran without a disclaimer,≤100,2
101785965750406,සෞදි අපි - Saudi Api,These ads ran without a disclaimer,≤100,2
112489988356966,ruknalreyadah,These ads ran without a disclaimer,≤100,3
115957361435735,Sure Success Consultants,These ads ran without a disclaimer,≤100,1
103894049204224,Office Of The UAE Special Envoy For Climate Change,These ads ran without a disclaimer,≤100,1
102649878825440,rakkad1,These ads ran without a disclaimer,≤100,1
104350909130204,Yy smart_7,These ads ran without a disclaimer,≤100,2
105955272442366,Orgalxi,These ads ran without a disclaimer,≤100,3
119666034725265,Aster DM Healthcare,These ads ran without a disclaimer,≤100,4
109216907302198,eah_gifts_trading,These ads ran without a disclaimer,≤100,2
110675701854732,الإمــــــارات الــــيـوم,These ads ran without a disclaimer,≤100,1
