Page ID,Page name,Disclaimer,Amount spent (CAD),Number of ads in Library
180862678644381,Ontario NDP,Ontario NDP,619200,2096
195608229977,BC NDP,BC NDP,605917,1994
150297224983708,Ontario Secondary School Teachers' Federation (OSSTF),Ontario Secondary School Teachers' Federation (OSSTF),596545,334
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada,589141,1202
115423375870126,Working Ontario Women,Working Ontario Women,565218,208
150435931672156,Élections Québec,Élections Québec,562059,679
551408801597287,Unifor Canada,Unifor Canada,545952,992
113297740077607,Canadian Energy Centre,Canadian Energy Centre,542089,1810
184257548280251,Alberta's NDP,Alberta's NDP,535801,1218
127240117332122,Volvo Car Canada,Volvo Car Canada,534168,217
154462904588700,Enbridge Gas,Enbridge Gas,520941,1171
121222984568561,Amnesty International Canada,Amnesty International Canada,520108,4195
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers,518247,179
6695079125,TD,TD Bank Financial Group,511691,60
465410500144023,Government of Saskatchewan,Government of Saskatchewan,506026,213
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et des Services sociaux (MSSS),502245,293
230448456985193,Elections Ontario,Elections Ontario,491307,105
23824338252,Mogo,Mogo,488992,1073
33110852384,Doctors Without Borders/Médecins Sans Frontières (MSF),Doctors Without Borders/ Médecins Sans Frontières (MSF),481664,7816
139019864276,Oxfam Canada,Oxfam Canada,465901,5120
109045051805492,Made The Canadian Way,Canadian Energy Centre,439450,104
6695079125,TD,TD,435176,256
1522633664630497,Canadian Armed Forces,Canadian Armed Forces,431661,232
104386908631938,Pathways Alliance,Pathways Alliance,427017,113
100637830002335,Canadian Labour Congress - Congrès du travail du Canada,Canadian Labour Congress - Congrès du travail du Canada,423003,2125
196322807083503,OECTA - Ontario English Catholic Teachers Association,Ontario English Catholic Teachers Association,421177,3511
58490850390,Ethical Bean Coffee,Ethical Bean Coffee,419254,163
339171973365770,Fair Path Forward,Fair Path Forward,413639,1621
108573293861969,Grain Farmers of Ontario,Grain Farmers of Ontario,399312,262
149042028439970,Alberta Federation of Labour,Alberta Federation of Labour,397267,916
182645321760265,Ville de Montréal,Ville de Montréal,395050,436
177161812331407,Jagmeet Singh,Canada’s NDP / Le NPD du Canada,394541,300
167800183238142,YourAlberta (Government of Alberta),YourAlberta (Government of Alberta),379256,520
197337921788,Dying With Dignity Canada,Dying With Dignity Canada,376267,5846
632493333805962,Environment and Climate Change,Environment and Climate Change Canada,372727,40
19750184960,Greenpeace Canada,Greenpeace Canada,369840,5147
346272215464826,Erin O'Toole,Conservative Party of Canada,363628,1102
565619680139394,Bell Let's Talk,Bell Canada,354263,31
165039663531531,Minecraft,These ads ran without a disclaimer,350985,215
124239144255718,City of Calgary – Your Local Government,City of Calgary – Your Local Government,343249,832
2137927326482661,Safe Surrey Coalition,Safe Surrey Coalition,342792,749
186062823629,Québec sans tabac,Conseil québécois sur le tabac et la santé,339296,203
1468015706558049,Moodys Tax,Moodys Tax Law LLP,334071,633
283487578481273,Énergir,Énergir,331787,373
820968708302131,UnSmoke Canada,These ads ran without a disclaimer,326761,162
100265885509733,Keep My Plan,Together For Better Health,318233,386
692089564299242,Amazon Prime Video,Amazon Prime Video,318080,97
230258673663722,CEPA - about pipelines,Canadian Energy Pipeline Association,313856,2043
110264154014366,Les Gargouilles,Les Gargouilles,313315,50
16761458703,University of British Columbia,University of British Columbia,308053,556
158881997478101,Parti libéral du Québec,"Vanessa Hernande, agente officielle",300969,2485
111603963651411,Canada Debt Settlement Program,Fuller Solutions,300426,267
6695079125,TD,TD Bank Canada,300380,57
146833635329673,Honda Canada,Honda Canada,298000,42
155609655007428,United Conservative Party of Alberta,United Conservative Party of Alberta,297193,415
370851489739203,Live Debt Free Now,These ads ran without a disclaimer,296428,386
299637278927,Earth's Own,Earth's Own Food Company Inc.,295685,485
196322807083503,OECTA - Ontario English Catholic Teachers Association,OECTA - Ontario English Catholic Teachers Association,290610,1381
171838976178751,Canadian Women's Foundation,Canadian Women's Foundation,284444,2145
476796182369573,Alberta Medical Association,Alberta Medical Association,276140,323
566394086783541,Brita Canada,Brita Canada,274999,17
35715544220,Stand.earth,Stand.earth,271966,3225
102828041144081,Here For Students,Ontario Secondary School Teachers' Federation (OSSTF),263074,463
10633250963,Save the Children Canada,Save the Children Canada,261239,1973
110246457037253,National Debt Support Canada,These ads ran without a disclaimer,260768,165
1876748445895294,Canadians for Affordable Energy,Canadians for Affordable Energy,260293,267
196322807083503,OECTA - Ontario English Catholic Teachers Association,Ontario English Catholic Teachers' Association,259426,393
117109432079,CAMH Foundation,CAMH Foundation,259312,1947
101320658593732,Worst Time O'Toole,Protecting Canada,257357,397
106230847435654,Calgary's Future,Calgary's Future,255849,644
101898551911387,The Hub Canada,Hub Canada Media,255439,5366
349561555109272,HSAA - Union of Health-Care Professionals,Health Sciences Association Alberta,249906,426
11392874217,Québec solidaire,Québec solidaire,245221,680
1522162571382952,Oceana Canada,Oceana Canada,244595,2815
480690348805429,Proud To Be Canadian,Proud To Be Canadian,242575,217
177990002393,Ontario Nurses' Association,Ontario Nurses' Association,239999,209
104817488512,Peter MacKay,Peter MacKay,239825,807
1551116875101061,Canadian Medical Association,Canadian Medical Association,239543,559
142211119175286,Coalition Avenir Québec,Coalition Avenir Québec,239496,697
409786973169158,Tru Earth,These ads ran without a disclaimer,237145,127
143249880633,World Animal Protection Canada,World Animal Protection Canada,234565,1813
205757452769482,RBC,RBC,234364,71
106183171866567,Fairness for Drivers,Insurance Bureau of Canada,232686,127
901776976544599,RBC Wealth Management,RBC Wealth Management,230650,269
612093308848274,Port of Vancouver,Vancouver Fraser Port Authority,227684,404
256967407720183,LEO,Léger,227678,845
146592973368,Sunnybrook Health Sciences Centre,Sunnybrook Foundation,227605,2378
113969008665734,Ministère de la Santé et des Services sociaux (MSSS),Ministère de la Santé et Services sociaux,227419,152
117475525574,Saskatchewan New Democratic Party,Saskatchewan New Democratic Party,226700,472
83867983174,United Nurses of Alberta,United Nurses of Alberta,225228,273
202220023130891,Bell Canada,Bell Canada,222297,33
185083894875909,Pathways to Education Canada,Pathways to Education Canada,219335,92
98963682935,Canadian Feed The Children,Canadian Feed The Children,217772,963
299291327463356,Ontario Finance,These ads ran without a disclaimer,216917,16
466158346863316,Canada's Energy Citizens,Canadian Association of Petroleum Producers (CAPP),215636,361
54125409458,Oxfam-Québec,Oxfam-Québec,214857,3278
1459853480981004,Let's Build Canada,Let's Build Canada,211145,245
590117937780756,Oil Sands Action,Canada Action,210968,355
261752512263,Canadian Red Cross,Canadian Red Cross,210766,241
82391994581,Retail Council of Canada,Retail Council of Canada,208107,98
104811292976689,SOS violence conjugale,SOS violence conjugale,205989,93
159713615718,WWF-Canada,WWF-Canada,205426,3555
216141861779286,Éric Duhaime,Parti conservateur du Québec - Conservative Party of Québec,203715,443
271237419643176,Steven Del Duca,Ontario Liberal Party / Parti Libéral de l'Ontario,203117,1311
181023521934363,Corona Canada,Labatt Breweries of Canada,201085,39
103805636333615,Quality Canadian Milk - Lait canadien de qualité,Dairy Farmers of Canada,198326,123
367410119963157,Ontario Government,Ontario Government,197844,65
565619680139394,Bell Let's Talk,Bell Let's Talk,196715,20
5794733873,David Suzuki Foundation,David Suzuki Foundation,195036,1456
190035081047277,International Fellowship of Christians and Jews of Canada,International Fellowship of Christians and Jews of Canada,189740,72
144658705550734,Scotiabank,Scotiabank,188854,48
466158346863316,Canada's Energy Citizens,The Canadian Association of Petroleum Producers,188231,84
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,188142,117
323635648010121,Canadian Centre to End Human Trafficking,The Centre to End Human Trafficking,186822,451
104853517861788,Surrey’s Say on Policing,National Police Federation,186229,719
289645734402804,Bloc Québécois,l'agent principal du Bloc Québécois,184160,1290
103630628448378,Ministère des Finances Canada,Department of Finance Canada/Ministère des Finances Canada,183930,111
105563688214063,Public Safety Canada,Public Safety Canada,179070,16
161341404364,The Alberta Teachers' Association,The Alberta Teachers' Association,179054,670
263417217038472,Forest Products Association of Canada,Forest Products Association of Canada,177262,353
405377872902754,Canada Action,Canada Action,176785,308
267023623933372,Endangered Ecosystems Alliance,Endangered Ecosystems Alliance,176674,152
160136850711053,CUPE Ontario,CUPE Ontario,176217,242
860309690696833,Spotify,Spotify,170006,118
564880147046214,Feed Opportunity,Feed Opportunity,170001,12
129834841137,Diabetes Canada,Diabetes Canada,166119,140
7522587804,Green Party of Ontario,Green Party of Ontario,166070,523
194782249201,Canadian Association of Petroleum Producers (CAPP),Canadian Association of Petroleum Producers (CAPP),162401,401
925033857594085,SureHealth Canada by GreenShield,SureHealth,160947,1891
116486331729420,350 Canada,350 Canada,160390,661
111603963651411,Canada Debt Settlement Program,fuller financial solutions,160267,74
1583430205202800,City of Toronto,City of Toronto - Your Local Government,159586,147
1671097993122619,Children Believe,Children Believe,159282,932
233017897569896,Emplois en régions,Emplois en régions,156299,420
1422057448099551,Spirits Canada,Spirits Canada,155578,606
264035282685,"Commission des normes, de l'équité, de la santé et de la sécurité du travail","Commission des normes, de l’équité, de la santé et la sécurité du travail",154720,224
222039741253078,CUPE Saskatchewan,CUPE Saskatchewan,154476,353
126625247383774,Export Development Canada - Exportation et développement Canada,Export Development Canada - EDC,153876,232
504061526642471,Ontario Power Generation,Ontario Power Generation,152848,80
8849676068,John Horgan,BC New Democrat Caucus,152516,89
142933689082478,Ontario Medical Association,Ontario Medical Association,152027,914
299666257060526,Fairness Works / Être juste,Canadian Labour Congress - Congrès du travail du Canada,150869,74
149532208407063,Maple Leaf Foods,Maple Leaf Foods,148927,50
36843170850,Bud Light Canada,Bud Light,148200,37
269577048182,Stollery Children's Hospital Foundation,Stollery Children's Hospital Foundation,147831,1233
109997705819922,Andrew Wilkinson,BC Liberal Party,145019,70
1437398476509195,Veterans Affairs Canada,Veterans Affairs Canada,144562,13
102051553222110,Canadian Federation of Nurses Unions,Canadian Federation of Nurses Unions (CFNU),142626,505
152467601467262,BMO Groupe financier,BMO Financial Group,141663,81
186266941387011,BMO Financial Group,These ads ran without a disclaimer,141284,13
1817729271829272,Secrétariat à la condition féminine,Secrétariat à la condition féminine,139849,25
106917558391358,Alliance nouvelles voies,Pathways Alliance,136429,35
6319213302,Heart & Stroke,Heart & Stroke,136317,445
27234020592,UNICEF Canada,These ads ran without a disclaimer,134883,288
259282224084288,The Munk Debates,The Munk Debates,134441,380
195089465659,Ontario Federation of Labour (OFL),Ontario Federation of Labour,133638,568
346272215464826,Erin O'Toole,Erin O'Toole,133289,508
45337425068,CARE Canada,CARE Canada,132438,2116
14742445214,BC Green Party,BC Green Party,130474,2584
96225168773,TELUSfr,TELUSfr,130252,195
184856436064,Canadian Centre for Child Protection,Canadian Centre for Child Protection,129876,169
310939332270090,Healthy First Nations and Inuit,Indigenous Services Canada,129816,12
177681485609462,Radio-Canada,Radio-Canada,129657,1351
299666257060526,Fairness Works / Être juste,Fairness Works,128664,94
466158346863316,Canada's Energy Citizens,Canadian Association of Petroleum Producers (CAPP),128222,152
108587420188,United Way Greater Toronto,United Way Greater Toronto,127689,3191
2011047962493582,Québec FIER,Québec FIER,126178,217
16761458703,University of British Columbia,The University of British Columbia,124857,160
2328801627399821,Here For Beer,Beer Canada,124021,822
2260853890695861,Red Roots Canada,Red Roots Canada,123886,76
2161474537462046,Solar X,Solar X,123625,80
33730130515,Metro Vancouver,Metro Vancouver,123390,306
139114992285,City of Regina | Municipal Government,City of Regina | Municipal Government,123368,182
632493333805962,Environment and Climate Change,Environment and Climate Change,123303,15
116855688339160,Daily Bread Food Bank,Daily Bread Food Bank,123179,1180
1762289390536601,People's Party of Canada,People's Party of Canada,123065,195
259282224084288,The Munk Debates,Munk Debates,122729,476
370233926766473,Environnement et Changement climatique,Environnement et Changement climatique Canada,118864,43
265862148920,Ontario Hospital Association,Ontario Hospital Association,117495,219
254985577276,Humanitarian Coalition/ Coalition Humanitaire,Humanitarian Coalition/ Coalition Humanitaire,117426,578
52543970197,Environmental Defence Canada,Environmental Defence Canada,117068,1384
105884058088671,Keep Alberta RCMP,National Police Federation,115259,722
338645782840713,"Ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs",Ministère de l'Environnement et de la Lutte contre les changements climatiques,114397,67
627288151114676,Organization Abuse,These ads ran without a disclaimer,113858,12
316302965122489,Clean Energy Canada,Clean Energy Canada,113233,864
29568248005,Budweiser,Labatt Breweries of Canada,113161,82
2035580169895290,Coastal GasLink Project,Coastal GasLink,112704,394
114849617772737,Care2 Canada,Press Pause Collective,112358,249
100999094747422,Land Needs Guardians,Land Needs Guardians,111715,96
464371377713541,We Are Planet Hope,We Are Planet Hope Inc,111375,272
420773428652839,"Better Schools, Stronger Economy - Ontario",Ontario Secondary School Teachers' Federation (OSSTF),111029,150
177183000662,Canada Remembers,Veterans Affairs Canada,110539,12
105754167560390,Ekō Canada,SumOfUs,110246,223
202470527313669,L'Oréal Paris,L'oréal Paris,109207,4
158881997478101,Parti libéral du Québec,Parti libéral du Québec,108476,1382
177741812241442,SCFP-Québec,le SCFP,108022,340
214866875236330,PROMIS,Promis Immigration,107427,488
394745970602999,The Council of Canadians,The Council of Canadians,106980,405
100113145893330,Redistribution Canada,Redistribution Canada,106376,26
1589839557920915,National Disability Credit Alliance,These ads ran without a disclaimer,106330,10
248986568895243,Speechify,These ads ran without a disclaimer,105900,36
176256900912,Saskatchewan Party,Saskatchewan Party,105173,388
2112106495731697,Wild First,Canadian Coastal Research Society,105172,135
202470527313669,L'Oréal Paris,L'Oréal Paris,104949,9
435403559866180,USW District 6,USW,104812,136
420773428652839,"Better Schools, Stronger Economy - Ontario",Ontario Secondary School Teachers' Federation,104774,89
109185060728051,TakeCare Supply,TakeCare Supply,104354,292
39315431246,Fair Vote Canada/Représentation équitable au Canada,Fair Vote Canada/Représentation équitable au Canada,104169,305
22724568071,Employment and Social Development Canada,Employment and Social Development Canada,103708,7
2230373023847211,Disability Benefits Canada,Tax Prepare,102911,181
232894981968,Nature Conservancy of Canada / Conservation de la nature Canada,Nature Conservancy of Canada / Conservation de la nature Canada,102819,608
107274595987209,Holland Bloorview Kids Rehabilitation Hospital,Holland Bloorview Kids Rehabilitation Hospital,102819,1018
1552396404977153,Nova Scotia Liberal Party,the Nova Scotia Liberal Party,102812,1090
162056987140787,3M,3M,102756,1428
169298756967592,National Airlines Council of Canada,These ads ran without a disclaimer,102566,7
400223946701308,François Legault,Ministère du Conseil exécutif,101854,43
144941987247,UNICEF Canada FR,UNICEF Canada,100853,1895
163828286987751,Canada Revenue Agency,Canada Revenue Agency,100024,70
689157954518219,Danielle Smith,United Conservative Party,99733,34
106231507615280,Delivering Community Power - Vers des collectivités durables,Canadian Union of Postal Workers,98400,392
142729432529408,Tim Houston,Nova Scotia Progressive Conservative Party,97311,160
117109432079,CAMH Foundation,End Stigma - Centre for Addiction and Mental Health (CAMH) Foundation,96861,1351
107830081622869,Help Keep Consumers Safe,Help Keep Consumers Safe,95763,150
2771074019597758,Shaping Canada's Future,These ads ran without a disclaimer,95452,60
28312410177,World Food Programme,These ads ran without a disclaimer,95284,266
371577843112,Ben & Jerry's,Unilever,93302,73
181023521934363,Corona Canada,AB-InBev,92412,15
944819212239364,Alberta Proud,Alberta Proud,90923,141
1694841994085399,Dominique Anglade,Parti libéral du Québec,90390,1977
114104888684854,Élections Ontario,Elections Ontario,90254,95
123235041462,The Fraser Institute,Fraser Institute,89903,568
107670711947328,Only One CA,"Only One, Inc.",89548,128
123235041462,The Fraser Institute,The Fraser Institute,88953,1769
2074711399457177,Jagmeet Singh: Real Action,USW,88420,213
844239722367708,Innovative Medicines Canada / Médicaments novateurs Canada,Innovative Medicines Canada / Médicaments novateurs Canada,88339,493
1344251769044889,BC Rental Project,BC Rental Project,88272,110
177545808959885,Hellmann's,Hellmann's,87664,13
52543970197,Environmental Defence Canada,Environmental Defence,86856,583
568938803293644,True North,True North,85767,223
1438704663020227,PC Party of Newfoundland & Labrador,PC Party of NL,85756,140
367461053332566,Community-Based Research Centre - CBRC,Community-Based Research Centre,85299,1207
109346440929871,The Gargoyles,The Gargoyles,85296,15
120693171297777,Andrew Scheer,Conservative Party of Canada - Parti conservateur du Canada,85212,66
638391216643974,CodeBlue BC,CodeBlue BC,84535,869
141893539211697,The Bay,Hudson's Bay,84534,60
321569758475497,Early Years Study,Margaret and Wallace McCain Family Foundation Inc.,84322,113
1388539458041839,Ontario Public School Boards' Association,Ontario Public School Boards’ Association,83762,1092
330575393734577,Bell Cause pour la cause,Bell Canada,83632,30
177872532253393,National Citizens Coalition,National Citizens Coalition,83501,137
183326331693112,Manitoba Federation of Labour,Manitoba Federation of Labour,83501,353
109610324597130,Vote Housing - Votez Logement,Canadian Alliance to End Homelessness,82602,109
116568687987919,No Merger,No Merger,82336,293
185448584824663,Calgary Health Foundation,Calgary Health Foundation,81938,1060
133690159980514,Leadnow,Leadnow.ca,81499,327
150306656409,BC Hydro,BC Hydro,81466,122
67197771286,Elections BC,Elections BC,81065,276
689157954518219,Danielle Smith,Danielle Smith Campaign,80963,142
106000272816630,Women's Shelters Canada / Hébergement femmes Canada,Women's Shelters Canada / Hébergement femmes Canada,80535,66
106360778489053,Fuelling Canada,Canadian Gas Association,80173,438
109586144295492,Act for Edmonton,Act for Edmonton,79825,108
217753654940869,Ontario Ministry of Health,These ads ran without a disclaimer,79028,47
127923173900910,Ontario Federation of Agriculture,Ontario Federation of Agriculture,78821,384
658318450979357,Globe Content Studio,Globe Content Studio,77747,78
101171375978959,Produit Ici Responsablement,Canadian Energy Centre,77473,21
108635379686,CNIB,CNIB,77231,302
172145722975250,PressProgress,PressProgress,77139,736
9078437383,Jessi Cruickshank,Unilever,77064,5
49708994370,City of Edmonton - Local Government,City of Edmonton,75471,209
104857681107232,"Derek Sloan, Conservative",Derek Sloan Leadership Campaign,74850,35
42369185368,NPA Vancouver,NPA Vancouver,74774,81
169928686425623,UFCW Local 401,UFCW Local 401,74616,74
101456014580755,FAIR Alberta,FAIR Alberta,74060,97
686814348097821,Forces armées canadiennes,Forces armées canadiennes,73673,141
1705483693083593,Unilever,Unilever,73552,28
201746766534992,FCM,FCM,72269,765
254950584544696,Hot Docs Canadian International Documentary Festival,Hot Docs Canadian International Documentary Festival,71532,163
49530722523,Ecojustice,Ecojustice,71279,1053
181130488666328,Lysol Canada,Lysol Canada,71211,4
7787249430,Canadian Wildlife Federation / Fédération canadienne de la faune,Canadian Wildlife Federation,71010,801
270323369737229,Elections Alberta,Elections Alberta,70878,125
352437598483107,Tax Mechanic,Tax Mechanic,70783,282
106646574858105,Squamish Voices,Squamish Voices,70663,195
254994725373034,Ontario Ministry of Education,Ontario Ministry of Education,70212,28
125809458771,APTN National News,APTN National News,69954,1101
239308266136055,United Way Halton and Hamilton,United Way Halton & Hamilton,69179,138
113707256426,Rachel Notley,Alberta's NDP Caucus,68968,270
177004795666755,Manitoba Government,Manitoba Government,68611,241
17294463927,Emploi et Développement social Canada,Emploi et Développement social Canada,68486,12
136772905237,Historica Canada,Historica Canada,68306,259
247550302115830,Elections Saskatchewan,Elections Saskatchewan,68279,94
144941987247,UNICEF Canada FR,UNICEF Canada FR,67887,645
147392072004980,The Royal Canadian Legion - National Headquarters,The Royal Canadian Legion - National Headquarters,67614,325
203485052997041,Hospital Employees' Union,Hospital Employees' Union,67396,344
121455674601185,The Manitoba Teachers' Society,The Manitoba Teachers' Society,67010,262
572892516092329,"Yvan Baker, MP",Yvan Baker,66943,178
156235841087715,FTQ,FTQ,66384,703
21746462235,CPAWS,CPAWS,66104,241
228440567251132,CPA Canada,CPA Canada,65821,197
88781789916,APTN,APTN,65732,287
105833301076507,CUPE Local 38,CUPE Local 38,65645,62
44760348647,Ecology Action Centre,Ecology Action Centre,65340,609
283043589881,ICI Tou.tv,ICI Tou.tv,64957,483
349561555109272,HSAA - Union of Health-Care Professionals,HSAA - Health Sciences Association of Alberta,64003,284
958211524258487,Digital Main Street,These ads ran without a disclaimer,63526,73
6954922243,Green Party of Canada | Parti vert du Canada,Green Party of Canada,63080,99
413248399057655,Ministère des Affaires municipales et de l'Habitation,Ministère des Affaires municipales et de l'Habitation,63011,104
121658954562795,Mark Gerretsen,Mark Gerretsen,62877,213
149094404287,Because I am a Girl Canada,Plan International Canada,62853,313
117926081552324,Équiterre,Équiterre,62778,312
330575393734577,Bell Cause pour la cause,Bell Cause pour la cause,62556,15
47468265206,BC SPCA (BCSPCA),BC SPCA (BCSPCA),61892,234
132996628184,City of Vancouver - Local Government,City of Vancouver - Local Government,61175,218
174238299256105,Manitoba Government and General Employees' Union (MGEU),Manitoba Government and General Employees' Union (MGEU),60574,344
566394086783541,Brita Canada,Clorox Canada,60423,24
129899247047783,Ottawa Food Bank,Ottawa Food Bank,59866,741
398795723813002,Gabriel Nadeau-Dubois,Québec solidaire,59794,45
312380892116930,Cuso International,Cuso International,59548,918
90790343096,Tim Hortons,These ads ran without a disclaimer,59433,2
464365136916065,Unpublished.ca,Unpublished Media Inc.,59003,1122
106566811444999,Sécurité publique Canada,Sécurité publique Canada,58857,15
358082838280,BC Federation of Labour,BC Federation of Labour,58817,389
676634536088575,Canada's Oil Sands Innovation Alliance - COSIA,Canada’s Oil Sands Innovation Alliance,58185,160
113723893792158,FLUZONE® High-Dose Quadrivalent (influenza vaccine),Sanofi Pasteur,58167,100
278029242253904,Twitter,These ads ran without a disclaimer,58000,3
914028275655805,Fire Fighters for Canada,Fire Fighters for Canada,57901,10
504439839580674,Iain Rankin,the Nova Scotia Liberal Party,57713,399
173393052735123,Efficiency Nova Scotia,Efficiency Nova Scotia,57307,185
27321532378,Pierre Poilievre,Pierre Poilievre Leadership Campaign,57057,100
106813511395656,Albertans Against Equalization,Society of Albertans Against Equalization,57012,26
146801075474149,Association of Academic Staff University of Alberta,Association of Academic Staff University of Alberta,56737,89
100372613401225,BC Council of Forest Industries,BC Council of Forest Industries,56530,94
101535288988376,Ontario's Clean Energy Advantage,Association of Power Producers of Ontario,56297,125
103450566427670,City of Markham,City of Markham,56266,113
223878537691255,WorkSafe Saskatchewan,WorkSafe Saskatchewan,55836,90
1598613630410917,TC Energy,TC Energy,55634,168
263547640436466,PC Party of Manitoba,"the Financial Officer, PC Party of Manitoba",55476,185
144952302745324,Nuclear Waste Management Organization,the Nuclear Waste Management Organization,55450,109
108282454240985,Finsero,Finsero Inc.,55403,98
319861065494,John Tory,John Tory Campaign Toronto,55259,51
531974266837784,Mike Nickel,Mike Nickel,54926,195
652812671407912,Selam Debs,Selam Debs,54702,324
106764462731658,Honest Reporting Canada,Honest Reporting Canada,54537,361
23543314803,CUPE SCFP,CUPE SCFP,54531,212
172424676165115,Canadian Alliance to End Homelessness,Canadian Alliance to End Homelessness,54371,149
116230838396171,GoodLife Fitness,GoodLife Fitness,54259,37
406056036079521,Telegraph-Journal,Telegraph-Journal,54244,780
1915195015428825,Jyoti Gondek for Mayor,Jyoti Gondek for Mayor Campaign,53979,62
105678270823769,Schroeder Policy Group,Schroeder Policy Group,53970,54
272234382879956,Kellogg Canada,These ads ran without a disclaimer,53742,1
456272014582906,Change for Climate Edmonton,Change for Climate Edmonton,53495,296
189001181247937,ITC Holdings Corp.,ITC Holdings Corp.,53115,66
166031186813770,Broadbent Institute | Institut Broadbent,Broadbent Institute | Institut Broadbent,52885,262
299291327463356,Ontario Finance,Ontario Government,52868,25
106432095003415,Our Nova Scotia RCMP,National Police Federation,52785,321
273039752974,SEIU Healthcare,SEIU Healthcare,52575,921
27180654596,UFCW Canada,UFCW Canada,52472,67
400223946701308,François Legault,Coalition Avenir Québec,52230,82
1597039310517367,Adler University,These ads ran without a disclaimer,52197,16
324456974864074,Carmine Perrelli,Deputy Mayor Carmine Perrelli,52188,63
6688529767,Penguin Random House Canada,Penguin Random House Canada,52171,107
100407115791915,Surrey Forward,Surrey Forward,52013,53
1919973584883295,North99,North99,51693,4463
542205665887516,Kent Hehr,Kent Hehr,51687,417
274877362536876,CUPE BC,CUPE BC,51387,239
2328138220796298,APTN lumi,APTN,51137,141
185139958194269,Mission Bon Accueil-Welcome Hall Mission,Mission Bon Accueil-Welcome Hall Mission,51102,41
104386908631938,Pathways Alliance,Oil Sands Pathways to Net Zero Initiative,50452,121
217753654940869,Ontario Ministry of Health,Ontario Ministry of Health,50386,155
625254780822339,CUPE Manitoba,CUPE MB,50138,26
181701075182303,Crohn's and Colitis Canada,Crohn's and Colitis Canada,50119,496
719853864726295,Mindvalley,These ads ran without a disclaimer,50108,60
416609388926394,Joyful Earth,Joyful Earth,50085,825
109459095231040,We Love Ottawa,We Love Ottawa,49986,32
1418631235069620,OneCity Vancouver,OneCity Vancouver,49948,140
257525637767829,Anciens Combattants Canada,Anciens Combattants Canada,49256,12
203926276288199,Toronto Public Library Workers Union Local 4948,Toronto Public Library Workers Union Local 4948,49101,84
102797254657675,No to No Fault,Trial Lawyers Association of BC,49009,19
439345863190331,Brad Bradford,Brad Bradford Campaign,48784,118
288883251225310,Run for Women,Run for Women,48699,214
633888079997101,Simply Green Home Services,These ads ran without a disclaimer,48654,59
130913822018,Earth Rangers,Earth Rangers,48402,338
