Page ID,Page name,Disclaimer,Amount spent (CRC),Number of ads in Library
100696068384075,Carnicería Hermanos Abarca,These ads ran without a disclaimer,3771,1
101742848378347,Colegio de Biólogos de Costa Rica,These ads ran without a disclaimer,3600,1
1420736254831102,Dr. Jorge Chavarría Carmona,These ads ran without a disclaimer,3517,1
207745179235873,Thomas Hübl,These ads ran without a disclaimer,3415,3
389297001127000,Enlaces Nicaraguenses Costa Rica,These ads ran without a disclaimer,3366,1
1497502300316673,Jeff Mosil - Negocios De Elite,These ads ran without a disclaimer,3345,4
102897375582862,Caminovela,These ads ran without a disclaimer,3328,11
232569396816424,Michelle Jubilee Gonzalez,These ads ran without a disclaimer,3232,1
103892189144463,Prensa Digital,These ads ran without a disclaimer,3232,2
486533400252,Saint Gregory School,These ads ran without a disclaimer,3221,3
88410949777,Population Media Center,These ads ran without a disclaimer,3162,1
108125448333137,Kiut CAM,These ads ran without a disclaimer,3159,2
1055939387828309,Jorge Acuña Alcalde Barva,These ads ran without a disclaimer,3076,5
366107457198874,Rise of Kingdoms,These ads ran without a disclaimer,3059,2
103412294803083,Tico Promedio Overland,These ads ran without a disclaimer,3029,1
524157377945993,Luis Antonio Barrantes,Luis Montero Jimenez,3000,1
260505207474088,Libélula Cambio Climático,These ads ran without a disclaimer,2952,33
1697191247176676,Diego Miranda Méndez,These ads ran without a disclaimer,2938,3
112329913970544,XenofobiaCero,These ads ran without a disclaimer,2936,5
897993403626042,Yunta Progresista Escazuceña - Oficial,These ads ran without a disclaimer,2915,1
104727828472121,yurguenhd,These ads ran without a disclaimer,2904,1
299659713702144,PepsiCo Caricam,These ads ran without a disclaimer,2833,11
1004866473028921,Raising Coral Costa Rica,These ads ran without a disclaimer,2775,1
107628138649234,Todos Fortaleciendo Enfermería,These ads ran without a disclaimer,2744,2
74383554457,Virtual Learning of America,These ads ran without a disclaimer,2720,5
606168359508240,Por una Costa Rica más justa y próspera para todos,These ads ran without a disclaimer,2693,2
695091253878832,Cobros Embargos Deudas +,These ads ran without a disclaimer,2693,1
113487991677883,PLP Paraíso,Juan Andres Vasquez Quiros,2693,1
105318018396730,HEMOFILIA EN POSITIVO,These ads ran without a disclaimer,2693,2
123540887683814,Universidad Escuela Libre de Derecho,These ads ran without a disclaimer,2693,2
265788816836981,Condominios del Parque Caribe,These ads ran without a disclaimer,2693,4
230830280583393,Grupo Bienes Raíces,These ads ran without a disclaimer,2692,1
56734301643,Centro Cultural Costarricense Norteamericano,These ads ran without a disclaimer,2585,1
232819840394548,Punto y Aparte,Asociación de Periodismo Colaborativo Punto y Aparte,2499,1
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,2489,2
107040575646313,Renata Marina,These ads ran without a disclaimer,2466,15
316056528999754,Periodistas x el planeta,These ads ran without a disclaimer,2420,66
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,2408,50
107504087800459,ZimVie Dental,These ads ran without a disclaimer,2394,4
1408474549421296,Innovación Educativa del Tecnológico de Monterrey,These ads ran without a disclaimer,2364,2
519459851555543,Rumba Lac - IBFAN LAC,These ads ran without a disclaimer,2318,1
108318715562829,Abi Espin,These ads ran without a disclaimer,2203,16
121255219270912,أفضل ألعاب الحرب العربية لعام 2022,These ads ran without a disclaimer,2200,7
102284742417980,Zapalma S.A.S,These ads ran without a disclaimer,2176,1
