Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
100347296248614,Rosa Sosa,Rosa Mercedes Sosa Paredes,9377395,22
498022813689642,Oscar González Drakeford,IMAGEN DE GOBIERNO,9321981,78
359307964420456,Terere Cómplice,Terere Cómplice,9268685,156
104244138310383,Participación Republicana,Paola Soledad Vera Leiva,9266704,34
102171848430562,Dr. Noguera 2023,Jacinto Rafael Noguera Arzamendia,9066135,57
102233525888286,Raulito Benitez Talavera Diputado 2023,Raúl Antonio Benitez Talavera,8959457,42
371997603532027,Haciendo Lío,Enciso Rojas Roberto Daniel,8944953,41
107706177740738,Periodismo 29,Periodismo 29,8818515,160
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,8812546,182
724051717643013,Miguel Prieto,Miguel Prieto,8798593,31
120061519391875,César Paredes,César Paredes,8782324,31
114061877001545,Víctor Pecci,PRANA SA,8774948,9
102887709202228,Pedro Mayor Martinez- Candidato a Senador,Antonio Morinigo,8683425,67
483666425147964,Richard Ramirez,Richard Ramirez,8617592,39
384966008243847,Banco Continental,Marcia Irmina Elizabeth López De Baez,8548011,3
103114005868340,Rodrigo Rios Coronel,IMAGEN DE GOBIERNO,8534540,61
184860595385745,Ing. Roberto Jiménez - Concejal,Roberto Fernando Jimenez Ayala,8520287,47
838018169889993,"Fernando ""Pato"" Ojeda",Fernando Ojeda,8503619,100
430832741004225,Juan Ramirez,Te Queremos CDE,8432135,19
118756543324306,Marcelo Rojas,Marcelo Rojas,8366089,42
106205982201348,Ernesto Mareco,Ernesto Daniel Mareco Martinez,8182375,94
165188310301180,Luis Yd,Alfredo Luis Yd Sanchez,8180276,56
103373961784268,Giani Ramírez,Gianina Beatriz Ramírez Riboldi,8146411,79
112866004765581,Taurino González,Elias Escobar Fernández,8134494,48
103373961784268,Giani Ramírez,Giani Ramírez,8098112,30
102805505208091,Myriam Rodriguez,Myriam Raquel Rodriguez De Oddone,8072015,72
176941749043831,YAMIL ESGAIB,Yamil Esgaib,8051468,42
1758704011034674,Osmayra Pereyra 2021,Alianza Lambaré,8000000,2
104366531485004,Antonio Lesme Guillen,Pauta Py,7995480,75
102804492578710,Legalmente Hablando,Nueva Tecno,7985581,169
102141339262288,Eligio Colmán,Mario Alberto Velázquez Duarte,7874980,27
117982360328530,Dr. Magín Benítez,Magin Benitez Benitez,7811216,36
420279778178605,Adelaida Diputada 2023,Adelaida Cantero De Torres,7762350,9
109779868441305,Gaby Russo - Diputada 2023,Maria Gabriela De Jesus Russo Yubero,7747626,30
617537874946988,El Surtidor,Memetic.Media,7575900,47
111701681626785,Dani Fleitas,Katherin Maria Saldivar Espinola,7551628,48
243800448965894,Decidamos Campaña por la Expresión Ciudadana,Decidamos Campaña por la Expresión Ciudadana,7479119,46
114556537799812,Victor Hugo Forneron Gobernador,Jorge Sanchez,7472264,47
1100381323431017,Wilberto Cabañas,Wilberto Cabanas,7412065,26
1903045496681398,Celeste Diputada,Celeste Josefina Amarilla De Boccia,7378605,36
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,7335264,114
406051639796522,Eduardo Zavala,Eduardo Zavala,7319804,51
107106825374681,Jesús Guapi,Jesús Fernando Guapi Narvaez,7316397,83
101263625358837,Encuentro Nacional Sanber,Xnet Soluciones Digitales,7304519,84
102940895895901,Victor Herreros Gimenez,Victor Herreros,7301114,31
830674423631937,Robert Cano Senador - Lista 9 Opción 11,ASP Marketing,7245816,28
646939832039958,Hugo Ibarra - Diputado Nacional,Eladio Ortiz Gayoso,7240266,444
740490032676248,Diego Candia Diputado,tejuparaguay.com,7215123,48
107558844100122,Pastor Filártiga,Pastor Filártiga,7178321,80
102044605201604,TIKI González Vaesken,TIKI González Vaesken,7165397,33
192161474526084,Luis Fretes Senador,Luis Fretes Senador,7155770,17
102123052860574,Giampaolo Ficorilli Diputado,Giampaolo Ficorilli Gomez,7154897,16
258712438172291,Santiago Aguilera,Martin Ricardo Stachon,7044622,78
103380695280541,Carlos Riveros al Directorio PLRA,Pauta Py,6960248,33
113795688647988,Luis Adlán - Concejal 2021,Luis Alberto Adlan Rivas,6952530,51
103583859071574,Luis Pettengill,Luis Alberto Pettengill Vacca,6917358,29
1427695867338607,Dr. Hugo Fleitas,Dr. Hugo Fleitas,6893684,66
111770003688400,Alcides Ramirez,Alcides Tomas Ramirez Duarte,6831790,29
102684267782773,José Plate Silvero,Creagenz,6781320,7
1518537951510136,Sidinei Heinemann Zuse,Sidinei Heinemann Zuse,6710040,84
101894162476599,Anibal Lovera Talavera,Anibal Lovera Talavera Colman,6700386,4
490637354648727,Ing.Juan Carlos Baruja,Juan Carlos Baruja Fernandez,6652543,18
303795153430459,Capitán Apodaca - Gobernador,Adventura,6652230,44
2298691313745936,Wilson Wang,Erico Alejandro Sosa Monges,6631573,18
2354906561455299,Juan Villalba,Juan Villalba Ydoyaga,6620161,36
1805309279720550,El Observador Digital,El Observador Digital,6536747,158
185350288255612,Partido Encuentro Nacional,Xnet Soluciones Digitales,6520248,51
117982360328530,Dr. Magín Benítez,Andres Marcelo Caligaris Da Silva,6501741,43
1490214351269338,Freddy Franco,Carlos Agustin Sanabria Garcete,6492452,69
116447095055474,reAcción,reAcción Paraguay,6411642,45
945217102186450,Vidal Vázquez,Miguel Acosta Benitez,6403912,87
550298315040554,Marcelo Soto,Marcelo Soto,6401906,61
675168252649356,Dani Centurión,Franko Kevin Araujo Peralta,6387836,40
1832577620365172,Eusebio Ramón Ayala Senador 2023,Manu Nuñez Franco,6377189,42
1365651890238610,Soberanía Paraguay,Prensa_Py,6363312,130
199949073442305,Lilian Samaniego,Adventura,6362010,12
397931417070426,Tony Apuril,ASP Marketing,6346902,13
1856745507987901,Dr. Guillermo Rodriguez Duré,Guille Rodriguez,6314411,19
230674603702583,Richar Alfonso,Richar Daniel Alfonso Aguirre,6266340,31
1441704549436832,Regina Rios,Regina Rios Irala,6248033,42
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,6211492,4
188532581209289,Senador Javier Zacarías Irún,ComSer,6159668,25
101813334644834,Hector Alegre,PrensaPy,6126276,57
2033757383511165,Mario Paz Castaing,Rocio Magali Moreno Vera,6089270,27
415802005262916,José María Ayala Cambra,Paco Pereira,6066280,25
110876371052533,Luis Mussi - Intendente 2021-2025,Luis Mussi,6033786,32
