Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
367059340027262,ManpowerGroup,These ads ran without a disclaimer,876608,7
103287168316525,likeme.jp,These ads ran without a disclaimer,873993,3
110623408502381,Critical_official,These ads ran without a disclaimer,853926,3
177973785580860,株式会社アクティブアンドカンパニー,These ads ran without a disclaimer,853652,34
100789405705259,神奈川県選挙管理委員会,株式会社旭広告社,847590,88
107700124462662,栃木県選挙管理委員会委員,栃木県選挙管理委員会,843825,15
105086221972691,映画『決戦は日曜日』,決戦は日曜日,843800,12
113029834985221,DHC ウエスト気になる 30日分,These ads ran without a disclaimer,829020,23
1395698627339504,ONE CAREER（ワンキャリア）,These ads ran without a disclaimer,827220,5
103914976352692,選挙ドットコム,選挙ドットコム,824714,21
195088317190451,グリーンピース・ジャパン,一般社団法人グリーンピース・ジャパン,818575,179
103118144427643,Big Rig Racing Game,These ads ran without a disclaimer,795975,24
1669368593305735,フコク生命,These ads ran without a disclaimer,787678,6
1301445409896439,厚生労働省,These ads ran without a disclaimer,787245,23
101060982860934,福岡県選挙管理委員会,福岡県選挙管理委員会,786500,12
103422124758776,Marvellous care,These ads ran without a disclaimer,783020,1
317835264898797,公明党大阪府本部（Komeito Osaka Headquarters）,公明党大阪府本部,778544,18
168688696510780,ウイングアーク (WingArc),These ads ran without a disclaimer,768850,15
106683075215927,N-1グランプリ【参院選候補者オーディション】,NHKと裁判してる党弁護士法７２条違反で,730471,7
106166558234526,長野県 選挙管理委員会,長野県選挙管理委員会,729705,10
107701372643982,松沢しげふみ　参議院議員　Shigefumi Matsuzawa　Member of the House of Councilors in Japan,松沢しげふみ,723671,9
105933248303321,こもりん,These ads ran without a disclaimer,723581,18
105839479114586,栃木県選挙管理委員会,栃木県選挙管理委員会,720933,7
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,719233,27
585212721683312,One Person,Hiroyasu Ueda,719114,1
311759352350356,立憲民主党鳥取県第2区総支部,Shunji Yuhara,716009,54
289931618238873,法輪功は素晴らしいですが、なぜ迫害されたのか,Luu Nga,710791,40
105769308177082,バクラク,These ads ran without a disclaimer,702407,8
159958617451637,日本共産党　Japanese Communist Party,日本共産党,700000,2
726844174111036,リブ・コンサルティング｜住宅・不動産インダストリーグループ,These ads ran without a disclaimer,699905,6
102123262349398,県知事トークキャラバン事務局,面木 洋一,694998,14
221092597920075,JAタウン,These ads ran without a disclaimer,691626,2
101701595906601,愛知県選挙管理委員会,愛知県選挙管理委員会,681998,5
1850490095242229,武田塾 クルイトグループ,These ads ran without a disclaimer,681971,18
1550769188469311,伊藤しゅんすけ,Shunsuke Ito,676059,53
168869767018564,白石洋一よういち,Yoichi Shiraishi,673720,79
114664237055908,大阪市選挙管理委員会,大阪市選挙管理委員会,672288,5
1021759771214708,衆議院議員 佐藤ゆかり,衆議院議員　佐藤ゆかり,669977,92
101455371331890,Quartz Japan,These ads ran without a disclaimer,669648,2
455050994506936,イノーバ (Innova),These ads ran without a disclaimer,663902,11
106336127638471,物件情報,These ads ran without a disclaimer,658682,14
113747095395868,World Food Programme,These ads ran without a disclaimer,657149,2
740703556020471,津村啓介,津村啓介事務所,655616,6
100829478815938,おしゃべり会議,立憲民主党青年局,651801,7
110844080689052,学校総選挙プロジェクト,These ads ran without a disclaimer,647955,8
