Page ID,Page name,Disclaimer,Amount spent (DKK),Number of ads in Library
779533958878609,SparEnergi - Energistyrelsen,SparEnergi.dk,279327,37
1068255133207758,Anders Kühnau,Socialdemokratiet i Region Midtjylland,279117,99
1427831394175028,Mælken.dk,Mælken.dk,276890,74
356520931077196,Europabevægelsen,Europabevægelsen,275807,258
1512534209063033,GF Forsikring,GF Forsikring,274843,21
153708144675646,PFA,PFA,274388,590
329236874385098,Marianne Vind,Marianne Vind,274150,358
116269191760882,DSB,These ads ran without a disclaimer,272892,26
337166195327,BRYD TAVSHEDEN,BRYD TAVSHEDEN,272278,418
32416796716,Lindhardt og Ringhof,Lindhardt og Ringhof,269847,109
350340792244877,Driscoll's Danmark,These ads ran without a disclaimer,269559,8
783709408832368,De Grønne - Danmarks Grønne Liberale Parti,Holm Jonas,268509,1137
341299649231023,Zetland,Zetland,268140,383
434044286684950,Region Hovedstaden,Region Hovedstaden,267455,49
190576781304993,Realdania,Realdania,264936,183
1405355586351630,Carlsbergfondet,Carlsbergfondet,264796,272
173328802715590,Region Midtjylland,Region Midtjylland,264011,81
110321008383861,Red Barnets landsindsamling,Red Barnet,257021,460
146458868730806,ROSE - Dansk kylling siden 1952,HKScan Denmark A/S,256770,345
107331721164,Djøf for studerende,Djøf,253681,338
124375627628891,Andel Energi,SEAS-NVE,251620,57
100423681446198,Virksomhedsguiden,Erhvervsstyrelsen,251112,227
169918310823,Foreningen Spiseforstyrrelser og Selvskade,Foreningen Spiseforstyrrelser og Selvskade,250572,443
63503662682,Jyllands-Posten,Jyllands-Posten,250181,113
607503123085160,"Der er noget, der ikke stemmer",The Brand Agency ApS,250000,3
1057758854425326,Fordi vores klima er et fælles ansvar,DI,248399,34
104023927005,NRGi,NRGi,247959,156
13808707023,Netto,Netto,247839,43
231846396898755,Knorr,Knorr,244159,9
142641498926,Fairtrade-mærket Danmark,Fairtrade Danmark,242383,454
291959844520896,Marcus Knuth,Marcus Knuth,242127,168
109450894144575,Kontrast,Kontrast.dk Aps,240947,866
114022008656246,Danmarks Indsamling,Danmarks Indsamling,239404,83
397094903687472,Mai Mercado,Mai Mercado,238044,371
112058486903106,Vores Mål,2030-panelet,237483,133
139443622778678,Troels Lund Poulsen,Poulsen Troels Lund,236407,131
314676938743,DM din akademiske fagforening,DM,235446,261
26458152911,SOS Børnebyerne,These ads ran without a disclaimer,234379,53
141062592771245,Stem med til kommunal- og regionalvalg 16. nov. 2021,Danske Regioner,230000,85
2319925761607995,Radio4,RADIO FM4 A/S,229924,701
10150141618795408,Coop Danmark,Coop Danmark,226152,10
1653030171620285,Wefood,Folkekirkens Nødhjælp,224822,269
1902044243366919,Stop HPV - bliv vaccineret,Kræftens Bekæmpelse,220544,313
77745897680,femina,Aller Media,217259,11
1684646181850363,TjekDet,TjekDet,215775,294
122074554119,EU Social,EU Social,214740,24
