Page ID,Page name,Disclaimer,Amount spent (HNL),Number of ads in Library
202788706997599,Whirlpool,These ads ran without a disclaimer,5009,1
269871094826846,Javier Matute - Alcalde,Francisco Javier Matute Romero,4999,5
104724984609378,Laura Enamorado,Laura Enamorado,4983,23
113933318391304,Centro Religioso Amores Eternos,These ads ran without a disclaimer,4836,1
1899303030316889,"Rina Mancía, Casilla 23",Rina Mancía,4834,3
114100139971983,Diputado Alejandro Matute,Eliana Grizeth Salinas Lopez,4830,12
101731461809193,El Periódico de Honduras,Jensy Ninett Reyes Mejia,4799,12
118461631345414,Corporación Noble HN Protección Radiológica,These ads ran without a disclaimer,4775,1
170390491747320,Lenin Turcios - Diputado PINU SD,Lenin Mauricio Turcios Pineda,4757,9
1836178310030170,LaGaceta503,These ads ran without a disclaimer,4732,2
104562788054597,Diego Sánchez,Diego Javier Sánchez Cueva,4723,19
476494152473046,Secretaría de Desarrollo e Inclusión Social.,Carlos Antonio Mendoza Hernandez,4691,19
119582258127974,Nayib Bukele,These ads ran without a disclaimer,4664,5
1947339538818882,Gloria Bonilla Diputada,Erika Rivera,4569,19
139107905951905,SAN Servicio Aeroportuario Nacional,These ads ran without a disclaimer,4566,1
109812834252978,"Para el pueblo, Lo que es del Pueblo. Morazan Yoro",Walter Alejandro Fugon,4545,26
106217518528394,Bilibili Comics home,These ads ran without a disclaimer,4509,6
109560861202119,Politicos de Honduras,These ads ran without a disclaimer,4505,1
997187086980110,David Bustillo,David Bustillo,4479,8
1862418697360011,Omar Emilio Rivera,Victor Rene Canales Suazo,4359,5
109872331350794,Roberto Inestroza,Roberto Inestroza Rivera,4348,8
103124134955244,Teran  Alcalde  La Ceiba  2022-2026,Gerardo Yanes,4283,11
128979450631263,Lissi Matute Cano,These ads ran without a disclaimer,4269,3
1520333004880052,Gráfica Comunicaciones,Héctor Fernando Amador Monjarréz,4237,21
108210934923409,Efrain Tabora Diputado por Copan,Dalila Tabora Urquia,4144,26
103183039368488,Rossel Madrid,Rossel Madrid,4105,32
38414033771,Universidad de San Pedro Sula USAP,These ads ran without a disclaimer,4100,2
1437742899783060,La Panetteria,These ads ran without a disclaimer,4053,2
102572455363148,Tadeo Nodarse Oficial,Johana Sarai Ramirez Maldonado,4048,1
101713739885826,Registro Nacional de las Personas de Honduras,These ads ran without a disclaimer,4042,1
101657971268294,La Oposición de la Oposición,These ads ran without a disclaimer,4009,13
105122242552631,Seguidores de Nayib Bukele en Honduras,Cordelia Ordoñez,4004,1
100893568823719,Emporio El Gran Mayoreo,These ads ran without a disclaimer,4000,11
102503894494718,Juan Carlos Discua,Juan Carlos Discua Maldonado,4000,2
110984171349016,xiomaracastrooficial,These ads ran without a disclaimer,3975,2
110015357810332,Recomienda,These ads ran without a disclaimer,3972,4
106295494634992,Adeliano Amaya,Adeliano Amaya Mendoza,3960,4
103825695591860,Josue Colindres Diputado,Johana Elizabeth Colindres Castellanos,3952,19
107658657801543,Ariel Montoya,Oscar Ariel Montoya Rodezno,3944,22
105376144504505,Ingeniero Ardón Alcalde,These ads ran without a disclaimer,3937,15
323333101198617,Marlon Pineda,Eduardo Enrique Pineda Aguilar,3926,14
347518536497890,Alianza De Los Honestos,Jorge Geovanny Reyes Espinoza,3918,20
107952642129360,Por una Corte Imparcial con Justicia Social,Delmy Saray Caballero Zelaya,3900,6
103955884807125,Yesica Cano,Yesica Lorena Cano Flores,3893,23
100852842563434,1ra Regiduría AMDC 2022-2026 Janina Aguilar,Janina Elizabeth Aguilar Galeas,3886,10
474276366001351,PayPal,These ads ran without a disclaimer,3858,2
105314564991594,Matheu Diputado,José Manuel Matheu Amaya,3800,5
646133215516102,Rony Jonathan Martinez,Rony Jonathan Martinez Chavez,3748,9
34839376970,Infobae,These ads ran without a disclaimer,3725,10
105113255053368,Ana Castro,Ana Mercedes Castro Machado,3718,14
212911527403586,Chelatio Diputado Cortes,Jose David Herrera Chavez,3717,17
107380284559162,Juventud Liberal Nivel Nacional,Josue Daniel Pineda Nuñez,3713,2
112056290212430,La Tribuna,La Tribuna Honduras,3713,3
148067817418722,SPS con Nasralla y Montessi,These ads ran without a disclaimer,3709,3
860018481018485,Apoliticos,These ads ran without a disclaimer,3685,13
292071584499045,Cachurecos,Cachurecos,3666,2
1826135800806136,Marco Tinoco Diputado,Antony Trejo,3597,3
1648326705181400,Jose Oswaldo Ramos Soto,Roger Antonio Rodriguez Gonzalez,3589,5
258480401449628,Rafael Mejia,These ads ran without a disclaimer,3589,6
514959725647003,Fundación para la Libertad Económica,Vicente Oswaldo Vasquez Lavaire,3536,4
110693081275989,La Otra Cara de Latinoamérica,Jorge Alix Mendoza Carcamo,3504,4
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,3503,64
105633144515404,El Proselitista HN,Gustavo Adolfo Cruz Rivera,3499,5
606501393156259,Oye Honduras,These ads ran without a disclaimer,3497,17
106682764474082,Woodbridge Academy,These ads ran without a disclaimer,3496,1
1669506560046564,Carlos Zelaya,Guillermo Antonio Zelaya Rosales,3485,6
43880852708,Amnistía Internacional Américas,These ads ran without a disclaimer,3441,1
860432717314171,Chambres de Lavadero,Lincoln Joel Tejada Rosales,3421,3
109459948457740,Gustavo Caceres Diputado,Gustavo Alberto Caceres Banegas,3410,12
607812589389584,Luis Zelaya,Josseline Andrea Garcia Lainez,3386,1
204312453359060,Cesar Gallardo,Cesar Gallardo Rico,3342,7
804997446264798,Chic Me,These ads ran without a disclaimer,3330,1
607812589389584,Luis Zelaya,Omar Edgardo Zelaya,3305,4
106200537675015,Juan Carlos Figueroa,Juan Carlos Figueroa Rojas,3252,20
107892967321266,Radio ODECO 97.1 FM,Naama Sarai Lopez Avila,3249,6
