Page ID,Page name,Disclaimer,Amount spent (EGP),Number of ads in Library
103649525984417,Dr. Islam Nasralla د.إسلام نصر الله,Dr. Islam Nasralla د.إسلام نصر الله,180935,49
108210648333964,محمود طاهر -Mahmoud Taher,محمود طاهر -Mahmoud Taher,171734,482
284681881563716,Ossama Kamal اسامة كمال,Ossama Kamal اسامة كمال,168703,182
285141818193260,معهد الاتصالات لعلوم الحاسب الالي واللاسلكي,These ads ran without a disclaimer,156969,29
106396530710598,برلمان شعب,These ads ran without a disclaimer,144613,2
106247321879282,Al Amear Gift Shop,These ads ran without a disclaimer,143620,67
101009088774421,حزب حماة الوطن,حزب حماة الوطن,141516,585
308088503057656,النائب محمود عصام,النائب محمود عصام,141325,507
159939544146334,ELZahRaa ScHool,These ads ran without a disclaimer,136679,1
273900239400893,نقابة المحامين المصرية,نقابة المحامين المصرية,136305,183
110834314440892,Saudi Green Initiative,These ads ran without a disclaimer,132481,9
104276078212663,محافظتك لحظة بلحظة,محافظتك لحظة بلحظة,131635,12
384511478794856,Thndr ثاندر,These ads ran without a disclaimer,130778,18
102752291431181,المهندس حازم الجندي - Hazem ElGendy,المهندس حازم الجندي - Hazem ElGendy,128222,874
139846939209923,Faried Zahran - فريد زهران,الحزب المصري الديمقراطي الاجتماعي,119664,157
112955485159674,مدحت الكمار ــ Medhat Al.Kammar,مدحت محمد عطية الكمار,104758,133
106526915742456,الجمهور - Algomhor,الجمهور - Algomhor,104140,18
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,103142,105
230834147675510,LabXchange,These ads ran without a disclaimer,100590,1
192320965049184,الإعلامية نيفين منصور,الإعلامية نيفين منصور,98948,191
101586878327765,Hassanein Tawfiq - حسانين توفيق,Hassanein Tawfiq - حسانين توفيق,88649,418
114420456950948,تطبيق الزبدة,These ads ran without a disclaimer,86006,13
192320965049184,الإعلامية نيفين منصور,Nivine Mansour,83450,166
298861020736,فرانس 24 / FRANCE 24 Arabic,These ads ran without a disclaimer,81071,41
107767437680846,أحمد صلاح الطاروطي,Suzie Raafat,79707,68
105096455624550,Tamer abdelhamid - تامر عبد الحميد,Tamer abdelhamid - تامر عبد الحميد,77685,330
354968941204659,الدكتور أيمن أبو العلا عضو مجلس النواب,الدكتور أيمن أبو العلا عضو مجلس النواب,76394,424
338109312883186,China Xinhua News,These ads ran without a disclaimer,75666,256
2035593490055091,النائب عمرو القطامي,النائب عمرو القطامي,75158,129
1632636017007559,Mohamed Mostafa Elsallab محمد مصطفي السلاب,Mohamed Mostafa Elsallab محمد مصطفي السلاب,74091,353
259689954690643,جامعة الشباب العربي الأفريقي,جامعة الشباب العربي الأفريقي,72830,39
963424467011784,أحمد فتحي - Ahmed Fathy,أحمد فتحي - Ahmed Fathy,72192,105
118992379972310,Fatmah Selim - فاطمة سليم,Fatmah Selim - فاطمة سليم,70679,308
100857675472522,ScreeN+,Mahmoud Elfeky,68784,71
1468182163420849,وزارة البيئة المصرية - Ministry of Environment,وزارة البيئة - Ministry of Environment,68585,172
111679394767549,المشروع القومي لمشتقات البلازما,These ads ran without a disclaimer,67566,12
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,Integrated Marketing Communications For Media.IMC,67077,231
927829383900542,وزارة التخطيط والتنمية الاقتصادية,وزارة التخطيط والتنمية الاقتصادية,65802,59
122095181870017596,RT Egypt Video,RT Egypt Video,63514,20
1631913873758086,أحمد عبدالسلام قورة,أحمد عبدالسلام قورة,63263,86
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,63200,1
117690156743688,النائب حافظ عمران,النائب حافظ عمران,60483,91
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,60206,21
166420296805460,حزب المحافظين,حزب المحافظين,59937,135
200480966638039,Supremacy 1914,These ads ran without a disclaimer,59052,3
103571604973098,هشام حسين - Hesham Hussein,هشام حسين - Hesham Hussein,57877,300
163496944089059,Hemocure clinic -  هيموكيور لعلاج أمراض الشرج والمستقيم,These ads ran without a disclaimer,55505,6
103745798627292,المستشار ماهر ميلاد اسكندر,المستشار ماهر ميلاد اسكندر,55417,63
101659122186565,حزب مصر أكتوبر,حزب مصر أكتوبر,54267,45
103395314662888,حزب الشعب الجمهوري - مصر,حزب الشعب الجمهوري - مصر,51358,213
101516486048536,CDIS - Egypt Cybersecurity & Data Intelligence Systems Conference & Expo,CDIS Cybersecurity and Data Intelligence Conference and Expo,50580,21
117696786732340,ابراهيم محمد الديب - نائب الشعب,ابراهيم محمد الديب - نائب الشعب,49458,15
535371883202755,Freddy Elbaiady  صفحة فريدي البياضي,smc egypt,45747,15
175883472266722,الصفحة الأولى,الصفحة الأولى,45412,124
104570177893410,أحمد علي الألفي,أحمد علي الألفي,45385,273
106965309133114,حازم عمر - Hazem omar,حازم عمر - Hazem omar,45083,124
109093158038193,Mohamed El Manzalawi - محمد المنزلاوي,Mohamed El Manzalawi - محمد المنزلاوي,45054,190
106719921012688,Ahmed Bahaa Shalaby-أحمد بهاء شلبي,These ads ran without a disclaimer,44623,2
753073385045504,Elsaha - الساحة,These ads ran without a disclaimer,43000,3
597990847030734,Narrative Summit,Nourhan Osama,42938,68
255364564480829,Abdelmonem Emam -  عبد المنعم إمام,Abdelmonem Emam -  عبد المنعم إمام,42523,81
266790296879,Bloomberg,These ads ran without a disclaimer,42356,13
198892435401,University of Chicago Booth School of Business,These ads ran without a disclaimer,42183,1
119405895873,Huawei,These ads ran without a disclaimer,42012,18
102311278986836,Summary Channel,Summary Channel,41844,377
220635782214618,اكاديمية الدلتا Delta Academy,These ads ran without a disclaimer,41439,9
100847434858198,T h o u g h t s,محمد السيد عبد الستار,40688,9
110066038142306,TVL Expo,These ads ran without a disclaimer,39901,2
101616715175014,Mohamed Gazar,Mohamed Gazar,39604,17
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,39210,32
113101433777546,Essam Diab - عصام دياب,Essam Diab - عصام دياب,38701,119
1217462525062987,Raw film - راو فيلم,These ads ran without a disclaimer,38497,4
1916894871881712,يونس عبدالرازق - Younes abdelrazek,يونس عبدالرازق - Younes abdelrazek,38240,188
2035593490055091,النائب عمرو القطامي,سيد أحمد,37020,61
1480252372233398,سامح عاشور Sameh ashour,سامح عاشور Sameh ashour,36089,22
102819959381651,COP28 UAE,These ads ran without a disclaimer,36047,1
117690156743688,النائب حافظ عمران,Shôükrý Ömrãñ,35973,78
103291013528894,Dr.Mokhtar Gomaa,Dr.Mokhtar Gomaa,35954,40
109744247129071,Capital Heights,These ads ran without a disclaimer,35747,11
284059042308157,Ahmed Sabbour - النائب أحمد صبور,Ahmed Sabbour - النائب أحمد صبور,35522,237
106620807391911,Roche,These ads ran without a disclaimer,35198,5
102212746300332,علاء عبدالنبي - Alaa Abdelnabi,علاء عبدالنبي - Alaa Abdelnabi,34661,77
595025640685644,النائبة شيرين عبد العزيز - Sherin abdelaziz,النائبة شيرين عبد العزيز - Sherin abdelaziz,33993,22
510024009022072,The British International School Madinaty,These ads ran without a disclaimer,33911,11
2555307561433343,نبيل عبد السلام,نبيل عبد السلام,33394,72
222764030914047,بيت ملوك الباور للسندوتشات - Bait Melouk El Power,بيت ملوك الباور للسندوتشات - Bait Melouk El Power,33078,6
109007530967790,Mohamed Hussein ElHamamy  - النائب محمد حسين الحمامى,Mohamed Hussein ElHamamy  - النائب محمد حسين الحمامى,32670,36
1517088885216557,AIG,These ads ran without a disclaimer,32526,35
118932207798163,Rehab Eltehewy - رحاب التحيوي,Rehab Eltehewy - رحاب التحيوي,32388,218
221365837883679,Egyptian Food Bank,These ads ran without a disclaimer,32061,7
105872082337085,النائب أحمد عبدالجواد,النائب أحمد عبدالجواد,31805,46
103283332669003,مؤسسة الجارحي للتنمية المجتمعية,مؤسسة جمال الجارحي للتنمية المجتمعية,30868,69
638896072938730,almentor,These ads ran without a disclaimer,30149,10
1934139156895621,د.خالد قنديل Dr.Khaled Kandel,د.خالد قنديل Dr.Khaled Kandel,28957,5
707511176015990,علاء حمدى قريطم - Alaa Hamdy Koraitem,علاء حمدى قريطم - Alaa Hamdy Koraitem,28913,26
101095228538379,Digital tree,These ads ran without a disclaimer,28657,1
535371883202755,Freddy Elbaiady  صفحة فريدي البياضي,Freddy Elbaiady  صفحة فريدي البياضي,28356,50
374558152710720,Genish Lovers,Genish Lovers,28169,32
111072787333231,Summary Egypt,Summary Egypt,28035,338
114656270386906,النائب الصافي عبد العال الصغير,النائب الصافي عبد العال الصغير,27958,65
113101433777546,Essam Diab - عصام دياب,Mahmoud Mostafa Ghorab,27648,66
808510122505784,محمد عبدالله زين الدين - Mohamed Abdallah Zein El-Din,محمد عبدالله زين الدين - Mohamed Abdallah Zein El-Din,27422,143
632124420169233,TRT Afrika Hausa,These ads ran without a disclaimer,27341,1
154267278321057,Seen √,محمد السيد عبد الستار,27260,9
1479886302323765,Forsan ElZamalek,Forsan ElZamalek,27165,37
920750924605788,عقارات تهمكـ - Aqarat Themk,These ads ran without a disclaimer,26909,1
323588103454,منظمة العفو الدولية,These ads ran without a disclaimer,26853,3
100649185891169,Maged Hanna,These ads ran without a disclaimer,26726,2
1006585369390231,Paradigm Marketing and Advertising,These ads ran without a disclaimer,26016,1
158643697625854,محمد تيسير مطر - Mohamed Tayser Mattar,Aplus,25542,112
114205653774782,Tid Lamond Acadamy,Maher El Sedawi,25147,18
145505648808327,Resala Charity Organization - جمعية رسالة للاعمال الخيرية,These ads ran without a disclaimer,25060,12
115121535188191,Economist Impact events,These ads ran without a disclaimer,24864,3
112072071382470,أحمد الفار - Ahmed Elfar,Noha Mohamed Ibrahim,24683,28
100427812819609,زيارات أفضل أساتذة العظام من القاهرة لمحافظات الصعيد,These ads ran without a disclaimer,24245,16
801866783213943,محمد طلبة - Mohamed Tolba,محمد طلبة - Mohamed Tolba,24204,79
28312410177,World Food Programme,These ads ran without a disclaimer,24202,45
597990847030734,Narrative Summit,CC Plus,24069,68
743199805779919,الموقف المصري,These ads ran without a disclaimer,23811,83
696860263700390,أحمد الطنطاوي - Ahmed Altantawy,أحمد الطنطاوي - Ahmed Altantawy,23794,42
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,23781,52
367290327457959,MP/Abdelsalam Elkhadrawy - عبدالسلام الخضراوي,MP/Abdelsalam Elkhadrawy - عبدالسلام الخضراوي,23379,132
132543986619900,المصريين بالخارج - الانتخابات الرئاسية ٢٠٢٤,KNOT Digital,23172,4
663508057123324,جمعية رسالة للأعمال الخيرية بالدقهلية,جمعية رسالة للأعمال الخيرية بالدقهلية,22947,65
108415793910402,أشرف نبيل - المحامى بالنقض و الانتربول الدولى - محامى جنائي,These ads ran without a disclaimer,22923,20
111393504057042,د/ مها عبد الناصر,د/ مها عبد الناصر,22853,267
101361307958442,Mohamad ElGarhy,Mohamad ElGarhy,22748,87
1720882541553191,حسن عمار - Hassan Ammar,حسن عمار - Hassan Ammar,22641,36
106586485351141,أشرف الشبراوي أبو العلا - Ashraf Abo Elela,أشرف الشبراوي أبو العلا - Ashraf Abo Elela,22389,37
110734497396339,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,22288,30
110734497396339,محمود سامي - 𝐌𝐚𝐡𝐦𝐨𝐮𝐝 𝐒𝐚𝐦𝐲,Mahmoud Samy,22126,40
159052647481654,حزب الإصلاح والنهضة,حزب الإصلاح والنهضة,22060,102
156929864368599,حزب المصريين الأحرار,حزب المصريين الأحرار,21975,7
109144444936833,مطاعم حمزة و بلال ـ Hamza Wa Belal,These ads ran without a disclaimer,21886,7
596425753703881,مركز لاشين للعيون - Lashein Center,These ads ran without a disclaimer,21779,8
1086585398161061,Mohamed M. Abou El Enein,These ads ran without a disclaimer,21462,3
109604450824716,النائب الدكتور زين الإطناوى,النائب الدكتور زين الإطناوى,21427,147
505498339475973,اسكيز - Esquisse,These ads ran without a disclaimer,21342,18
100410139482755,صفحة النائب محمد الجارحي لخدمات المواطنين,محمد السيد عبد الستار,21324,38
666470146818916,مؤسسة جبر القلوب - GabrAlqulub,Mohamed Elsafty,21181,49
801866783213943,محمد طلبة - Mohamed Tolba,Mohamed Elsayed Tolba,20548,82
1994786354105727,النائب أحمد فرغلى,النائب أحمد فرغلى,20482,60
138704149319323,محسن احمد حته - Mohsen Hetta,محسن احمد حته - Mohsen Hetta,20329,56
1720882541553191,حسن عمار - Hassan Ammar,حسن عمار,20147,29
100313676317714,The Rift Business Park,These ads ran without a disclaimer,19978,1
248039088890000,General Authority for Investment and Free Zones,General Authority for Investment and Free Zones,19974,28
124696227401819,Keystone Investment,These ads ran without a disclaimer,19709,2
510095479058105,تطبيق نبض,These ads ran without a disclaimer,19380,4
107628151748756,Initiators Congress مؤتمر المبادرون,Initiators Congress,19249,25
203888663446324,احمد كيمو - Ahmed Kemo,احمد كيمو - Ahmed Kemo,19098,3
327814235254916,Menassat Developments,These ads ran without a disclaimer,19096,1
106379125433704,قلم وكتاب,These ads ran without a disclaimer,19072,11
550280998481446,Rasha Kelej,These ads ran without a disclaimer,18784,77
108927510969680,الصفحة الرسمية للنائبة د. صبورة السيد,الصفحة الرسمية للنائبة د. صبورة السيد,18750,455
1934139156895621,د.خالد قنديل Dr.Khaled Kandel,Basel Noufal,18505,45
104198795953934,أصدقاء مرضى الأورام بالشرقية,Mohamed Basher,18463,2
1012904038778488,سامح فتحي حبيب,سامح فتحي حبيب,18443,101
282421105588262,Alraees News- الرئيس نيوز,Alraees News- الرئيس نيوز,18193,174
233233270143257,Mohamed Fouda,Mohamed Fouda,17717,42
132841393254311,الكشف المبكر عن سرطان القولون,Aura Agency,17637,44
1951106251879413,المحامي محمد هيبة,المحامي محمد هيبة,17626,38
103291013528894,Dr.Mokhtar Gomaa,Ahmed Zaatar,17549,52
103342432124287,Abdullah Elrefaey - عبداللـه الرفاعي,Abdullah Elrefaey,17524,75
176956519017843,الحزب المصري الديمقراطي الاجتماعي,الحزب المصري الديمقراطي الاجتماعي,17241,40
101827156003201,𝐃𝐚𝐥𝐲 𝐀𝐛𝐝𝐄𝐥𝐍𝐚𝐛𝐲 وزير الشغل,These ads ran without a disclaimer,17190,36
131814203525361,CC Plus,Nourhan Osama,17018,115
188842724507690,مفوضية اللاجئين,These ads ran without a disclaimer,17005,3
101361307958442,Mohamad ElGarhy,محمد السيد عبد الستار,16952,62
390272968018313,بيت الجملة- Beit ElGomla,These ads ran without a disclaimer,16808,7
114227100379731,عادل اللمعي - Adel El lamei,عادل اللمعي - Adel El lamei,16712,20
591352604646053,جائزة مصر للتميز الحكومي - Egypt Government Excellence Award,جائزة مصر للتميز الحكومي - Egypt Government Excellence Award,16603,13
282759032673313,مهندس محمد سعد الصمودي,محمد سعد الصمودي,16463,56
287842647957979,EU International Partnerships,These ads ran without a disclaimer,16432,6
112161944845807,Nevein Basiouny,Nevein Basiouny,16427,134
319044774889435,المركز الإعلامي للنائب هاني خضر,النائب هاني خضر,16379,73
111086937788265,موقع تحيا مصر - Tahiamasr News,Mariam Ahmed Hamouda,16323,77
430014290751759,حمله الحاج محمود فوزي للحج والعمره,These ads ran without a disclaimer,16158,8
100416929460729,Big Mark Real Estate,These ads ran without a disclaimer,16158,6
187062254656817,عربي TRT,These ads ran without a disclaimer,16070,7
108068761921461,Caisec,Caisec,16016,34
156467531137399,معلومات مباشر | Mubasher.info,These ads ran without a disclaimer,15963,19
111086937788265,موقع تحيا مصر - Tahiamasr News,موقع تحيا مصر - Tahiamasr News,15651,104
1677128205908462,Islam Bahi El-Din - إسلام بهي الدين,Islam Bahi El-Din - إسلام بهي الدين,15455,45
278134748710327,The Gate Guardian - محمد مغربي,The Gate Guardian - محمد مغربي,15378,84
468426196562553,Sahara Expo - معرض صحارى,These ads ran without a disclaimer,15310,23
376598769795538,Saheeh Masr صحيح مصر,These ads ran without a disclaimer,15226,5
127831886126123,Africa Health ExCon,These ads ran without a disclaimer,15119,11
24683497336,The British University in Egypt,These ads ran without a disclaimer,15065,1
121502487925668,د/ محمد الجندي - Mohamed Elgendy,د/ محمد الجندي - Mohamed Elgendy,15010,23
101140856391475,المهندس شريف الجبالي,المهندس شريف الجبالي,14996,89
148997474954295,Ahmed Arafa -  أحمد عرفة,Ahmed Arafa -  أحمد عرفة,14923,4
103086629281243,محمد الشنراوي,محمد الشنراوي,14873,244
102521556232446,أساس ميديا مصر - Asas Media Egypt,asasmedia,14736,27
107096734501088,النائبة منى عمر عضو مجلس النواب,النائبة منى عمر عضو مجلس النواب,14612,81
104670701404522,إيلاريا سمير حارص Elaria Samir Harris,إيلاريا سمير حارص Elaria Samir Harris,14592,70
103204975886755,البديوي السيد - الصفحة الرسمية,Mohamed Elbedewy,14549,51
347239452305117,خبيرة التغذيه نهال حافظ,These ads ran without a disclaimer,14547,1
226777847381002,مركز المعلومات ودعم اتخاذ القرار بمجلس الوزراء - مصر,مركز المعلومات ودعم اتخاذ القرار بمجلس الوزراء - مصر,14526,11
100381988537830,مراكز أطباء القاهرة في محافظات الصعيد,These ads ran without a disclaimer,14509,11
127187187348820,Kaspersky,These ads ran without a disclaimer,14491,6
110117941114440,Emirates Loves Egypt - الإمارات تُحبْ مصر,These ads ran without a disclaimer,14383,2
102570761484258,Asharq Business اقتصاد الشرق,These ads ran without a disclaimer,13891,45
319044774889435,المركز الإعلامي للنائب هاني خضر,المركز الإعلامي للنائب هاني خضر,13832,54
102770628577658,Zizo,Zizo,13760,17
159320591538587,Mubasher.info Pulse  مباشر بلس,These ads ran without a disclaimer,13713,14
102753775202257,جائزة الدولة للمبدع الصغير,جائزة الدولة للمبدع الصغير,12949,8
185343588755360,متصدقش,These ads ran without a disclaimer,12847,64
532134937722830,النائبة أميرة بهاء الدين أبو شقة,Gehad Ali,12768,95
100422852879275,Shady Mahmoud Abo El-Fetoh,Shady Mahmoud Abo El-Fetoh,12750,3
108596004817225,المستشار منتصر هريدي,These ads ran without a disclaimer,12632,34
249311655141261,Hala Abou Elsaad - هالة ابو السعد,Hala Abou Elsaad - هالة ابو السعد,12502,97
2018867365088547,القلعة البيضاء - White Castle,القلعة البيضاء - White Castle,12404,9
104119962338191,محمد عبد السلام الديب,محمد عبد السلام الديب,12395,4
103283332669003,مؤسسة الجارحي للتنمية المجتمعية,محمد السيد عبد الستار,12290,50
111086937788265,موقع تحيا مصر - Tahiamasr News,These ads ran without a disclaimer,12280,2
101394739489534,الصفحة الرسمية للمهندس هشام علما,الصفحة الرسمية للمهندس هشام علما,12198,127
1424610401122573,هاني العتال - Hany Alattal,محمد السيد عبد الستار,12151,55
666470146818916,مؤسسة جبر القلوب - GabrAlqulub,مؤسسة جبر القلوب - GabrAlqulub,12138,40
279224125621229,قناة مكملين - الرسمية,These ads ran without a disclaimer,12050,194
112709551678127,الصفحة الرسمية لبرنامج آخر كلام,These ads ran without a disclaimer,11992,130
100933943325119,مركز سمايل كير لتجميل و زراعة الأسنان  Smile Care Dental Center,These ads ran without a disclaimer,11959,19
532134937722830,النائبة أميرة بهاء الدين أبو شقة,النائبة أميرة بهاء الدين أبو شقة,11937,51
1579361805610086,أحمد بلال البرلسي - عضو مجلس النواب المصري,أحمد بلال البرلسي - عضو مجلس النواب المصري,11916,36
110129568513429,خواطر زمالكاوية,خواطر زمالكاوية,11912,12
271661282955174,Wealth Franchise,These ads ran without a disclaimer,11810,3
692939830826213,Mohamed Badran  محمد بدران,Mohamed Badran  محمد بدران,11774,26
100369079577438,نقابة المحامين المصرية,نقابة المحامين المصرية,11767,24
111362820419287,أمال عبدالحميد Amal Abdelhamid,أمال عبدالحميد Amal Abdelhamid,11719,104
103004372363887,عماد الصباغ,عماد الصباغ,11498,29
109366127595756,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,Ahmed dandash    الصفحه الرسميه للدكتور احمد دندش عضو مجلس النواب,11455,54
102806525317449,Delta Landmark,Delta Landmark,11427,30
248503109165534,مصلحة الضرائب المصرية,مصلحة الضرائب المصرية,11394,4
101022784596728,زمالكاوي حر,زمالكاوي حر,11336,12
211767829359945,مصر النهاردة,These ads ran without a disclaimer,11233,106
112416568138364,Al Mashhad المشهد,These ads ran without a disclaimer,11199,51
105872082337085,النائب أحمد عبدالجواد,ابراهيم احمد ابراهيم محمد,11100,14
211699885358899,مع خيري,مع خيري,10960,204
101413676017001,Box2Box مع محمد شبانة,محمد السيد عبد الستار,10938,22
102952704841467,النائب / محمد سعد الشلمة,النائب / محمد سعد الشلمة,10877,30
100750916000363,Mohamed Halawa,Mohamed Halawa,10537,10
1994786354105727,النائب أحمد فرغلى,احمد فرغلى,10533,30
111691694478754,معرض التعليم العالى,These ads ran without a disclaimer,10526,6
863958987060660,Healthy Scope - د.حمدي الزعيري,These ads ran without a disclaimer,10369,8
393449688099269,محمد السيد مجاهد,These ads ran without a disclaimer,10246,2
107767437680846,أحمد صلاح الطاروطي,أحمد صلاح الطاروطي,10221,7
112161944845807,Nevein Basiouny,Muhammad Nash'at,10211,17
1798435720478073,新華香港,These ads ran without a disclaimer,10165,8
109932858190298,Mohamed Asaad,Mohamed Asaad,10106,52
100572689639906,الصفحة الرسمية اسماعيل محمد اسماعيل,الصفحة الرسمية اسماعيل محمد اسماعيل,10049,61
112884131660592,أسامة جاويش-Osama Gaweesh,These ads ran without a disclaimer,9965,139
199298416386,EE Times - Electronic Engineering Times,These ads ran without a disclaimer,9964,2
101679288638867,كوره سبورت - Kora Sport,كوره سبورت - Kora Sport,9930,13
103472675959316,قادرون باختلاف,محمد السيد عبد الستار,9914,8
145726335465699,صحيفة الشرق الأوسط,These ads ran without a disclaimer,9863,10
1618247501735958,Akmal Kortam أكمل قرطام,Akmal Kortam أكمل قرطام,9826,12
113368611559210,German Clinic in Cairo,These ads ran without a disclaimer,9820,4
282421105588262,Alraees News- الرئيس نيوز,Kareem Ahmed Abdul Ghani,9775,135
113409070485501,Samy Nasrallah - سامي نصرالله,Samy Nasrallah - سامي نصرالله,9758,25
900337800058784,برنامج الو مكملين,These ads ran without a disclaimer,9733,165
109633578582976,إسحق أنور ishak Anwar,These ads ran without a disclaimer,9701,2
106088658611833,المرشح الرئاسى احمد الفضالى,Ambassador Ahmed Elfadaly,9698,7
108516024321881,POVideo,These ads ran without a disclaimer,9675,2
821430017924241,Sungrow,These ads ran without a disclaimer,9604,8
464041416970667,مونت كارلو الدولية / Monte Carlo Doualiya,These ads ran without a disclaimer,9600,20
2150438195004323,مٰلاذ - Malaz,محمد السيد عبد الستار,9588,3
155725841111588,Standard Chartered,These ads ran without a disclaimer,9574,1
146822482008281,DW عربية,These ads ran without a disclaimer,9574,21
503951883021764,ShareTheMeal,These ads ran without a disclaimer,9471,1
136421206211391,حزب حماة الوطن - أمانة دائرة رمل أول,حزب حماة الوطن - أمانة دائرة رمل أول,9444,33
100400229354451,انحياز,These ads ran without a disclaimer,9423,2
100945991698962,Mohamed Saied Eldaby-محمد سعيد الدابى,Mohamed Saied Eldaby-محمد سعيد الدابى,9399,70
100472335859081,الزملكاوي الكبير قوي,الزملكاوي الكبير قوي,9396,5
116804824846527,زملكاوي أنا,زملكاوي أنا,9394,12
323989871140458,أحمد حته - Ahmed Hetta,Hossam Mansor,9298,3
101057888427226,النائب المهندس/ محمد لبيب - عضو مجلس النواب,النائب المهندس/ محمد لبيب - عضو مجلس النواب,9280,62
694633313986290,النائب سيد سلطان,النائب سيد سلطان,9264,92
586768434680803,جمعية صناع الحياة,جمعية صناع الحياة,9230,14
103571604973098,هشام حسين - Hesham Hussein,حسين السيد,9173,35
894826040538778,الصفحه الرسميه للواء حاتم البيبانى المرشح على مقعد العضويه فوق السن,الصفحه الرسميه للواء حاتم البيبانى المرشح على مقعد العضويه فوق السن,9141,42
114229523780037,أحمد إبراهيم البنا - Ahmed Ibrahim Elbanna,These ads ran without a disclaimer,9099,4
1643141409322787,DW جعفر توك,These ads ran without a disclaimer,9081,23
100904822517086,Non-Trivial,These ads ran without a disclaimer,8925,19
117197414641940,أحمد سمير - الصفحــة الرسمية,These ads ran without a disclaimer,8910,106
102703968944759,مصر الآن,مصر الآن,8905,19
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,8812,9
108409335277968,سنتر جراند اوزون المعادي,سنتر جراند اوزون المعادي,8790,50
101995539422324,Mohamed Eid,Mohamed Eid,8699,13
118992379972310,Fatmah Selim - فاطمة سليم,حسين السيد,8678,34
1632636017007559,Mohamed Mostafa Elsallab محمد مصطفي السلاب,حسين السيد,8600,31
655044587844465,اتوبيس القاهره ابو دورين - Cairo Double Decker city bus,These ads ran without a disclaimer,8595,1
1629141590436019,Dubai World Trade Centre,These ads ran without a disclaimer,8521,3
855254981507596,Atheer – أثير,These ads ran without a disclaimer,8447,54
316593168535759,النائب / ايهاب زكريا عضو مجلس الشيوخ Sentor/ Ehab Zakaria,النائب / ايهاب زكريا عضو مجلس الشيوخ Sentor/ Ehab Zakaria,8369,10
308088503057656,النائب محمود عصام,حسين السيد,8294,41
160729029892,Al Jazeera Channel - قناة الجزيرة,These ads ran without a disclaimer,8173,3
505498339475973,اسكيز - Esquisse,اسكيز - Esquisse,8155,13
499889087452923,د عاطف شطا استشاري مناظير امراض النساء وبطانه الرحم المهاجرة والحقن المجهري,These ads ran without a disclaimer,8154,12
