Page ID,Page name,Disclaimer,Amount spent (NOK),Number of ads in Library
1803123899954057,Stortingsrepresentant Gisle M. Saudland - FrP,Agder Fremskrittsparti,38070,89
206510029407716,Møre og Romsdal Høyre,Møre og Romsdal Høyre,38004,52
149147255109855,Kirkens SOS,Kirkens SOS,37926,10
1514635018793437,Nordmørslista,Stig Anders Stensvik Ohrvik,37778,26
125185750841432,LO Møre og Romsdal,LO,37473,30
117604252282176,Freddy André Øvstegård,Viken SV,37437,22
258714427616165,Trøndelag FrP,Trøndelag FrP,37410,33
104701569617247,Arbeid & Inkludering,Arbeid & Inkludering,37259,43
150187385009154,Medietilsynet,Medietilsynet,36714,6
120984821304569,Bargiidbellodat - Arbeiderpartiet,Arbeiderpartiets sametingsgruppe,36592,32
288943277804687,Nordre Follo Arbeiderparti,Nordre Follo Arbeiderparti,36195,39
68163858651,Vestland Venstre,Vestland Venstre,36051,17
1281475135310961,Sissel Knutsen Hegdal - ordfører Stavanger,Sissel Knutsen Hegdal - ordførerkandidat Høyre,35652,23
136901969692355,Buskerud Senterparti,Buskerud Senterparti,35357,96
53828343371,Epilepsiforbundet,Epilepsiforbundet,35286,58
198653376831525,Arbeidsgiverforeningen Spekter,Arbeidsgiverforeningen Spekter,35177,25
106525135779095,Forebygging som fungerer,Tryggere Ruspolitikk,35074,37
125087157526451,Actis - Rusfeltets Samarbeidsorgan,Actis - Rusfeltets samarbeidsorgan,34699,27
1530687993864931,Dag Inge Ulstein,KrF Kristelig Folkeparti,34663,30
137481912973372,Troms Arbeiderparti,Troms Arbeiderparti,34635,28
176175415825122,apotek.no,Apotekforeningen,34491,58
306682463037730,Bård Hoksrud,Vestfold og Telemark FrP,33967,35
110023678604857,Asker Venstre,Asker Venstre,33911,57
157803497575876,NHO Reiseliv,NHO Reiseliv,33666,30
1521171171481259,Boktips,Cappelen Damm,33647,31
149986748774,Norsk Forbund for Utviklingshemmede,Norsk Forbund for Utviklingshemmede,33594,26
129973197116087,Rogaland SV - Sosialistisk Venstreparti,Rogaland Sosialistisk Venstreparti,33547,86
148389115200561,Kristiansand Venstre,Kristiansand Venstre,33171,28
131210924115622,Askøy24,Askøy24,33022,40
227165807403160,Vestland Innvandrerråd,Vestland Innvandrerråd,33011,22
749554121750914,LO Vestland,LO,32862,50
1787628694872626,Innlandet fylkeskommune,Innlandet fylkeskommune,32791,82
1461371280751779,Hå KrF,Hå KrF,32694,57
197275503655021,Nordre Follo Senterparti,Senterpartiet,32259,24
193254017369133,Tromsø Høyre,Troms og Finnmark Høyre,32218,31
1311226819022317,The Norwegian Nobel Institute / Det Norske Nobelinstitutt,The Norwegian Nobel Institute,32158,58
1161668587303783,Plantevekst,PlanteVekst,31687,44
200480966638039,Supremacy 1914,These ads ran without a disclaimer,31585,6
105939782037295,Altinget.no,Altinget AS,31576,46
189828081044593,MS-forbundet i Norge,Ms-forbundet,31456,40
291823471121,Stiftelsen Fritt Ord,Stiftelsen Fritt Ord,31368,39
164105576971498,Sandefjord Arbeiderparti,Sandefjord Arbeiderparti,31235,39
567993443304031,Larvik Høyre,Larvik Høyre,31231,11
243510603265309,Merck Norge,Merck Norway,31035,2
481214851962157,Rødt Rogaland,Rødt Rogaland,30928,21
457694967621063,Stor-Oslo Nord,Gjøvikregionen Utvikling,30836,42
128907043832503,Nettverk for dyrs frihet,Nettverk for dyrs frihet,30814,26
305357516208078,Torstein Tvedt Solberg,Rogaland Arbeiderparti,30776,14
112148573983429,Coop Nord SA,Octi AS,30500,6
119787264706852,Trondheim FrP,Trondheim FrP,30483,60
