Page ID,Page name,Disclaimer,Amount spent (AUD),Number of ads in Library
1660905180833979,Parliament of Victoria,Parliament of Victoria,102466,1036
234642499897373,Fire Brigade Employees' Union - FBEU,Fire Brigade Employees Union,101523,86
156271657717715,Nature NSW,Nature Conservation Council of NSW,98926,819
329777267205680,ACT Government,ACT Government,97909,480
279645455502809,Ross Vasta MP,Ross Vasta MP,96818,152
130685420123061,The Nightly,Seven West Media,96400,532
68280472472,Queensland Conservation Council,Queensland Conservation Council,95474,403
21591025194,The University of Melbourne,The University of Melbourne,95200,808
208483319188390,Queensland Unions,Queensland Unions,95199,234
8013404017,Crikey,Private Media,93856,5514
103072892843066,Not My Voice,Australians For Unity,93831,144
655944151127130,SBS Cantonese 廣東話節目,Special Broadcasting Service,93167,1582
779494495436671,FOUR PAWS,FOUR PAWS Australia,92978,906
1510561608994505,Dr Katie Allen,Katie Allen MP,92200,657
119565995152,Coca-Cola,Coca-Cola South Pacific,91343,8
184778112152,WaterAid Australia,WaterAid Australia,91136,1621
214994251994406,AEU,Australian Education Union,91040,83
669006439864067,NT Electoral Commission,Northern Territory Electoral Commission,90981,220
376616735749626,NSW Mining,NSW Mining,90556,40
174666115898903,Jerome Laxale MP,Jerome Laxale,90366,834
103259978010848,SA Government,South Australian Government,90079,287
118388888197666,Ed Husic MP,Ed Husic MP,90060,240
134712696593275,Dan Andrews,Victorian Labor,88952,130
537346256313803,Zed Seselja,Zed Seselja,88583,237
107939487783753,Garth Hamilton MP,Garth Hamilton MP,88548,440
1501550403427903,Senator Anthony Chisholm,Senator Anthony Chisholm,88454,577
102281275061976,Hunter Jobs Alliance,Hunter Jobs Alliance,88424,191
13372108263,The Smith Family,These ads ran without a disclaimer,88177,76
45587531822,The Greens SA,The Greens SA,87424,208
248986568895243,Speechify,These ads ran without a disclaimer,86859,35
172094012830551,Australian Paralympic Team,Paralympics Australia,86334,534
242631572413576,Health Insurance Comparison,These ads ran without a disclaimer,86250,19
205438490175480,Brighter,Australian Energy Producers,86232,735
5703994039,realestate.com.au,REA Group,85825,39
302386636554,Matt Guy,Victorian Liberal Leader - Matthew Guy,85386,268
129819533748295,Andrew Leigh MP,Andrew Leigh MP,85000,180
107113675572590,Dirty Dozen,Solutions for Australia,84457,471
373523642668552,Queensland Energy and Climate,Department of Energy and Public Works,84277,342
266250683397747,Queensland Treasury,Queensland Treasury,84086,459
536780606335962,Michelle Landry,Michelle Landry,83582,150
328245481103110,Senator Alex Antic,Alex Antic,83577,71
106148814801347,Why Take The Risk?,WA Labor,83472,207
1767975046782781,Jackson Taylor MP,Jackson Taylor MP,82938,692
112605923287,IKEA,IKEA Pty Ltd,82084,11
172879872805731,Victorian Department of Health,These ads ran without a disclaimer,81740,56
104419985146228,Ekō Australia,SumOfUs Australia,81204,51
341949582584179,Junkee,These ads ran without a disclaimer,81203,319
1524698857748303,Steven Miles,Steven Miles,80868,517
158900857520838,Pauline Hanson's One Nation Party,Pauline Hanson's One Nation Party,80366,91
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Philip Bruce Thompson,79995,690
442904796239187,Greens Facts,Victorian Labor,79919,45
281573085341904,Nestlé,These ads ran without a disclaimer,79420,7
280130718768016,Public Service Association of NSW,Public Service Association of NSW,78654,170
171208803080734,Simon Birmingham,Simon Birmingham,78599,175
164399866746974,Cool Ridge,CUB,77223,60
147857038577340,Australian Education Union Victoria,Australian Education Union Victorian Branch,76942,233
10113538711,WWF-Australia,These ads ran without a disclaimer,76927,203
514475628623089,Our Watch,These ads ran without a disclaimer,76495,15
502649159770974,Tim Watts MP,Tim Watts MP,76199,302
779494495436671,FOUR PAWS,These ads ran without a disclaimer,75756,343
828649267326944,Patrick Gorman MP,Patrick Gorman,75157,262
546874065415466,"Department of Education, Victoria",These ads ran without a disclaimer,74569,28
1407148622837316,Empowered Communities,Empowered Communities,74387,767
173168582700205,SBS中文,SBS Mandarin中文普通话,73885,768
726565307466774,Peta Murphy MP Federal Member for Dunkley,Peta Murphy MP Federal Member for Dunkley,73334,434
664105000449441,Ryde Energy,These ads ran without a disclaimer,73133,1
111895291496842,Go Renewable Gas,Go Renewable Gas,73003,15
1640371862660010,Kristina Keneally,Kristina Keneally,72717,83
927439480613235,Minerals Council of Australia,Minerals Council of Australia,71900,15
54879226285,Teach For Australia,Teach For Australia,71707,1477
547466642107014,Josh Wilson MP,Josh Wilson MP,71234,213
1125047917526728,Murray Watt - Senator for Queensland,Murray Watt - Senator for Queensland,71058,507
736501916703046,Crime Stoppers Australia,Crime Stoppers Australia,70908,10
103552328122889,Ithaka Movie,Ithaka,70802,118
523586527672529,Annastacia Palaszczuk MP,Annastacia Palaszczuk MP,70785,252
49991482906,Tearfund Australia,Tearfund Australia,70622,1046
100385049145414,Allegra Spender,Allegra Spender MP,70423,572
307339209323908,Dan Tehan MP,Dan Tehan MP,70309,183
1622506634677043,Senator Jacinta Nampijinpa Price,Jacinta Nampijinpa Price,70204,121
1788925951127006,SDA Union Victoria,SDA Union Victoria,69922,54
125257203997439,Center for US Voters Abroad Turnout Project,Act Now Coalition,69622,60
104316771015640,Australia Beyond Coal,Australia Beyond Coal,69344,223
373884039318606,Canva,Canva,69189,26
21551986502,The Greens (WA),The Greens (WA),68935,417
22746335927,Bob Brown Foundation,Bob Brown Foundation,68847,560
2093351790978732,Imprint: Learn Visually,These ads ran without a disclaimer,68757,4
181099198756800,Pauline Richards MP,Pauline Richards MP,68714,115
952274664938382,Phillip Thompson OAM MP - Serving Our Community,Phillip Thompson OAM MP,68639,316
495942030479550,Electoral Commission of South Australia,Electoral Commission of South Australia,68441,69
79994358678,Cancer Council Australia,Cancer Council Australia,68173,22
214559598616472,Canberra Liberals,the Canberra Liberals,68137,421
135933556447881,Australian Republic Movement,Australian Republic Movement,67942,101
162747001109183,TWU Members First,TWU Members First Team,67887,165
196804953777923,Steph Hodgins-May,Victorian Greens,67584,288
110456094190032,Changing Aged Care,HSU National,67542,155
735601699802870,Australian Democrats,Australian Democrats,67209,148
100271235108836,Nathan Conroy,The Liberal Party of Australia (Victorian Division),66678,51
