Page ID,Page name,Disclaimer,Amount spent (NGN),Number of ads in Library
6013004059,The Economist,These ads ran without a disclaimer,188971,40
1600094170320323,Enormous FACTS,Enormous FACTS Magazine by MediaMall,187720,18
100126129326486,MSD for Mothers,These ads ran without a disclaimer,186721,4
158714780827513,UNFPA,UNFPA,185430,8
343382302456957,Senator Orji Uzor Kalu,Peter Eze,180868,1
100227202825420,Booth 2 Booth With Tinubu,Booth 2 Booth With Tinubu,176385,6
102126542194217,Reps Aspirants Forum -RAF,Reps Aspirants Forum -RAF,175162,38
1689132724682504,MMAWT legacy initiative,Amiru Adamu,173630,329
171885956874687,Because Of Our Tomorrow,BOOT Party,171590,9
754967464564993,Youth Alive Foundation,Youth Alive Foundation,170265,7
68793499001,UNICEF,These ads ran without a disclaimer,170079,28
565225540184937,CGTN,These ads ran without a disclaimer,164109,52
116248814706806,Vote4climateng,Adebiyi Agnes,164014,18
102911942793356,Alhaji Ahmed Usman Ododo,Sebastian Momoh,163353,13
274811734355511,Insight 4 Impact Foundation,Insight 4 Impact Foundation,158919,13
103809421141862,Grvforgovlagos,Grvforgovlagos,158067,14
479285342097950,AeroTime,These ads ran without a disclaimer,154654,11
110975295002571,X Anthony,X Anthony,154626,2
1387963034623606,Senator Magnus Ngei Abe,Tamar Forteta,153558,14
355399445235927,WE Accord,Benoni Briggs,153238,63
971769479677563,Gbenga Olawepo-Hashim,Emmanuel Oko,152593,16
198118620705795,Recruitment Press,These ads ran without a disclaimer,149384,3
109225188534168,Northwest-Northeast Concern Youth Movement for Tinubu/Kashim.,Mubarak Hamza Adam,147836,142
127187187348820,Kaspersky,These ads ran without a disclaimer,146294,3
102835755970763,NN19,NN19,145746,19
1483156181977342,Precious Eze's Blog,Precious Eze's Blog,141099,37
1102698893087946,Pevron Technology,Collins Uwomano Otuwho,138552,25
1598185900266723,Emeka Igwe Campaign Organization,Emeka Igwe,138527,24
105680908938403,Odii 2023,ICO Campaign Organisation,134912,7
108796611296489,INUWA 4+4 TV,INUWA 4+4 TV,132283,45
736534533160859,Canada Free Migration,These ads ran without a disclaimer,127333,1
109535698465410,Signature Luxury Construction,These ads ran without a disclaimer,126771,1
101229044647022,Senator Mohammed Sani Musa,Suleiman Sani Musa,124637,8
2087588714793621,Michael Ajetomobi,These ads ran without a disclaimer,124019,6
661879807208966,ATIN - Atiku Transformation Initiative For Nigeria,ATIN - Atiku Transformation Initiative For Nigeria,122962,8
104238252286926,Nwankwo Promise Chibuzo,Mboo Augustine Uchenna,122159,99
108431715228675,Ifesim,Ifesim,121534,10
109798791694711,Sam Otoboeze Mandate,Success Osarenogowu Ikponmwosa,120280,13
374311043137806,Kemi Filani News,These ads ran without a disclaimer,119550,1
105814588522254,Ef-96 Consults,These ads ran without a disclaimer,118705,63
2219580831627227,uLessonApp,These ads ran without a disclaimer,117746,4
103959275862698,TYCON 2023,Tycon,117677,22
954380707995179,Hon. Obinna Chidoka,Ikechukwu Okafor,116738,35
110720301643921,Omatseye Nesiama Campaign Organisation,Gbone Nesiama,116421,39
111160730747637,Trivia Stars,These ads ran without a disclaimer,116319,4
117014670139291,No Negative Vibe,Chiedozie Abarikwu,115966,5
102169824695398,Rero TV,Rero TV,115070,154
1509451939279618,Hon. Iduma Igariwey Enwo,Iduma Enwo Igariwey,113498,59
132881333574604,Omooba Dotun Babayemi,Dotun Babayemi,113292,17
241499009731835,Ifeanyichukwu Ibezi,Ifeanyichukwu Ibezi,112430,14
852370551453606,GARP,These ads ran without a disclaimer,111092,3
108017908573868,Hon. Bashir Olayinka Amule,These ads ran without a disclaimer,105883,4
109442808414602,Azzembl,Electric Avenue Technologies,105116,19
590202251174437,Interfaith Dialogue Forum for Peace,Interfaith Dialogue Forum for Peace,104264,10
1663913513914881,English Cameroon for a United Cameroon,English Cameroon for a United Cameroon,103876,24
986384794781764,I Stand With Nigeria 4 Tinubu,I STAND WITH BUHARI,103766,5
111242048141455,Loan Now,These ads ran without a disclaimer,102221,5
113312051377035,Professor Christopher Imumolen,Irene Christopher Imumolen,102188,7
101264482814629,TechHaier,These ads ran without a disclaimer,101974,3
103203539227592,Horlar Fabrics,These ads ran without a disclaimer,100980,7
106271385452742,Frontline TV,Shaakaa Victor,100783,55
1813961455356524,Sen. Lawrence Ewhrudjakpo,Sen. Lawrence Ewhrudjakpo,100048,55
100824586093581,Chibuike Jonas,James Nwosu Nnanna,98676,19
633180596799061,Princewill  ODIDI,These ads ran without a disclaimer,98548,2
878141452335886,The Hope For Nigeria,Kerry Kenu,98153,39
104858229092838,DSG/Digital Movement Group,Mukhtar Abubakar,97305,3
100304789064204,North Central Renaissance Movement,Isaac Ukpahiu'ojo Agene,96773,4
109102048600128,Ekpoto Campaign Organization,Ekpoto Campaign Organization,96076,31
489179047956298,Allwork.Space,These ads ran without a disclaimer,95829,8
120346118099706,BrandPower,BrandPower,92774,17
493051057478756,RCCG the King's COURT,"RCCG, The King's Court",92317,1
107260805514827,Hon. Isang Sam Udo-Akagha,Lampro Ventures,92303,8
677926592268254,Zoro Swagbag,These ads ran without a disclaimer,92266,1
112634211255089,Inside Osun,Illumination Comms,91302,109
114009474939343,Hon. Collins Ezenwa Ilo,Collins Ezenwa Ilo,91030,8
6352578678,Singapore Airlines,These ads ran without a disclaimer,89458,1
102225129139532,Dr. Okuji Oreh,Dr. Okuji Oreh,89358,12
101018389512733,Hon Dr. Ghali Mustapha Tijjani,Ahmad Muazu,88200,13
104180761873736,Massive Entertainment.ng,Massive Entertainment,87526,49
143714609499536,OCP Group,These ads ran without a disclaimer,87239,1
109187398481463,Peter Ndubuisi Mbah,Peter Ndubuisi Mbah,86253,5
119723736100630,Ala - Delight Publicity Services,Moses Oyinkuro,86130,217
954771728004488,Lux House Inc.,Tonye Isaac,83762,38
101597856085318,Theokmovement,Olakunle Kosile,83072,9
294587734226015,Hon. Amb. Sobomabo Jackrich - Egberipapa,Hon. Amb. Sobomabo Jackrich - Egberipapa,82843,13
101669621264320,Lawrence B. Tamunokiri,Tamunokiri Biebele Lawrence,82548,19
105778879039427,Value Driven Leadership,Value Driven Leadership,81442,11
101157589265496,PTB4President,PTB4President,80777,2
138759939821,INFORMATION NIGERIA,These ads ran without a disclaimer,80665,6
1680958165547490,Fabric Eight,FabricEight,80476,7
102908838246744,Enugu Think Outside The Box,Bolaji Adedotun Adeshokan,80413,12
2313474972220591,Boatnaija.com,These ads ran without a disclaimer,80149,7
105438431864412,Opuforty Mall,Collins Ebitimi Opumie,78742,13
110359410643137,Kasarmu a Yau,These ads ran without a disclaimer,78424,3
101330078938694,Nigeria News Now,These ads ran without a disclaimer,78287,6
360424321432255,Doha Debates,These ads ran without a disclaimer,77389,5
106600565326107,Voice Of Meta-VOM,Kingsley Chichi,77264,44
130504057611198,The Entrepreneur,These ads ran without a disclaimer,77227,2
933310850194959,Israel Alliance,These ads ran without a disclaimer,77196,13
103830540990930,Hon. Adedeji Stanley Olajide - ODIDI OMO,Odidiomo Constituency Office,76787,28
303061420371310,Sioporganic,These ads ran without a disclaimer,76607,11
110043258402172,Hon. Habibu Abubakar Sambo -Imamu,Habibu Sambo Abubakar,75238,20
126052760507,Mama Cash,These ads ran without a disclaimer,75057,55
170912539645748,Mark Batson,These ads ran without a disclaimer,74226,5
10750083165,The Africa Report,These ads ran without a disclaimer,73973,39
110034854692816,Eyewitness Nigeria,Eyewitness Nigeria,71787,18
2026437734317821,Bochins Gadgets,These ads ran without a disclaimer,71343,9
100183982489309,Nitori Asiwaju,Olufunke Esther Phillips,70549,13
101869379342374,Queen Lillian Adewole Adebayo,Umari Ayim,70025,23
103961995309429,KO KUN SAN KT?,Aminu Isah,68799,27
108307733937950,Facibus Housing,These ads ran without a disclaimer,68505,1
108938728492589,"Hon. Danjuma Azi  CPA, Gmnimn, JP, PDP Candidate PLSHA Jos-North West",Isaac Bilson,67968,15
103423155807448,_wadja,These ads ran without a disclaimer,66887,1
158714780827513,UNFPA,These ads ran without a disclaimer,66697,196
101359732304206,Share_M113_x2,These ads ran without a disclaimer,65545,4
101616276020711,Obidogo BENDE,Abia Vanguard,65325,17
100994702586634,Project Sule-Iko 2023,Mustapha Muhammad Shehu,65159,18
111233646958668,FrontLine News,Frontline Classic Network LTD,65130,19
258810957658900,Adamu A. Babale Makera,Adamu A. Babale Makera,64852,86
387370951407372,Diaspora4jandoruk,Abubakar Saeed Mahmud,64809,35
1199020920114389,EOS Data Analytics,These ads ran without a disclaimer,64783,15
100383154696053,Lukaconfu vocal,Lukaconfu vocal,64258,58
108306308873413,lagoslightingclass,These ads ran without a disclaimer,64160,1
105018565612690,Atiku Listens,Atiku Listens,63914,5
107696378036959,Office of the SSA to the Bayelsa State Governor on Tourism Development,Tamaramiebi Abiri,63699,13
103911655754370,Politics Thread,Politics Thread,63398,34
104523875680736,NanaOfuji - YPP,NanaOfuji Campaign Organization,62776,15
112480938779166,Kakande Ministries,These ads ran without a disclaimer,62666,1
100353569285410,How to Lift Nigeria out of Poverty,Ejike Edwin,62544,11
341286909346610,Kennysam,Brickswrites,62317,3
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,62045,52
391125774253545,Francis E. Waive,Francis E. Waive,62041,10
102093685620627,Best Diplomats,These ads ran without a disclaimer,61435,1
410088166006594,The Republic,The Republic,61330,4
107115088722148,The Jagabanists - Tinubu/Shettima 2023,Temitope Omotayo,61264,25
270703490003847,Leo Ekene Oketa,Leo Ekene Oketa,61242,16
2163719293890200,VoteTinubu2023,VoteTinubu2023,61061,8
106258207939845,africaneducation,These ads ran without a disclaimer,60879,11
105039378761192,Panache Cosmetics,These ads ran without a disclaimer,60727,1
117313041253293,Obedient structure,These ads ran without a disclaimer,60388,2
109450211203581,A Senator For All,Azeez Olasunkanmi Lekan,60366,24
198317336853861,Qatar Airways,These ads ran without a disclaimer,60343,2
1378356925818542,Advertise With Us,Joshua Keftin Amuga,59803,19
101688085933693,Okowalition for Atiku,These ads ran without a disclaimer,59614,6
100273752603451,Chief James Okereke Anyaogu,These ads ran without a disclaimer,59494,7
1566640256767644,AM Corporate Solutions Limited,Shuaibu Aliyu,57905,10
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,57361,12
111962747055148,WaliDambatta2023,WaliDambatta2023,57209,16
237484123484548,Osinachi O Oddom,Osinach Oliver Oddom,56512,24
321548801710742,Gawuna TV,Ayodeji Adeola Badru,56260,91
117845884581169,Oladipupo Adebutu For Governor,Sparkconect Solutions,55814,3
316575672459262,Hon.Dr Ekene Augustine Aghasiefo,Hon.Dr Ekene Augustine Aghasiefo,55752,12
103950612484595,Peter Obi investment,These ads ran without a disclaimer,55652,6
102942029364614,YOUTH MUST OBEY,These ads ran without a disclaimer,55551,9
109752333774968,Bishop Dr Emeka Nwankpa support Group,Chinaza Somtochukwu Ibeofokile,55050,49
113312051377035,Professor Christopher Imumolen,These ads ran without a disclaimer,54620,3
1102698893087946,Pevron Technology,These ads ran without a disclaimer,54183,12
110073184197491,keepingupwith_theschmalzis,These ads ran without a disclaimer,54131,21
102022562383716,"Efiom ""Papa"" Okokon","Efiom ""Papa"" Okokon",53738,22
110094407029443,Hyellagiziya Naiwa Fakuta,Hyellagiziya Naiwa Fakuta,53568,37
104161755646789,BAM 2023,Bam 2023,53193,3
102395884844650,CAPPA,Corporate Accountability and Public Participation Africa,53082,2
585667428262122,Prophet Isa El-Buba,Initiative for a Better and Brighter Nigeria,53041,10
279678448760878,BBC Future,These ads ran without a disclaimer,52942,2
1542919985972196,Feria de Cantón,These ads ran without a disclaimer,52875,4
101868495997604,Dr. Ukpai Iro Ukpai,Dr. Ukpai Iro Ukpai,52789,10
174528749295024,DW Africa,These ads ran without a disclaimer,52735,3
106116418976309,Support Obi-Datti,Chinaza Somtochukwu Ibeofokile,52295,36
105273362153076,Nigerian Youths and Diaspora Forum For BAT,Oluwasegun Ayodeji Oni,52072,13
109048518007484,Vickie Irabor,Adesua Susan Kella,51842,4
167034980027706,Tecnotree Corporation,These ads ran without a disclaimer,51697,3
101983011402757,Krish beauty,These ads ran without a disclaimer,51636,19
107299598380430,Benjamin Kayode Adereti Support Group,Salako Kehinde,50851,20
101836915650800,Veritas MEDIA,THE POLITICO,50767,18
110806117813125,Comr. Chief Mrs. Beatrice Itubo,Comr. Chief Mrs. Beatrice Itubo,50000,9
100627422069042,Anyim Pius Anyim,Chijioke Osondu,49965,5
113560804676136,BLESS MEDIA TV,BLESS MEDIA TV,49929,25
