Page ID,Page name,Disclaimer,Amount spent (GTQ),Number of ads in Library
110342054463001,Mientras tanto en Guate,Paola Barillas,714,2
111329035697830,Chiquimula es CABAL,Chiquimula es CABAL,713,6
877036989089281,Médicos del Mundo en Guatemala,Médicos del Mundo España,713,2
112039897818438,Ciruelax Centroamérica,These ads ran without a disclaimer,711,2
102820572563457,UNE Carchá,Carlos Mauricio Caal Xoy,703,4
108138002125764,Pride 502,Pride 502,700,1
122916017388418,Salamandra Torres,Salamandra Torres,700,5
104088575626269,Unidad Nacional de la Esperanza Xela,Unidad Nacional de la Esperanza Xela,699,9
103264688646377,Acción Jurídica Guatemala,These ads ran without a disclaimer,690,1
1896684277254815,Sebastian Beja,These ads ran without a disclaimer,645,1
104383898835101,Hagamosgrandeizabal,These ads ran without a disclaimer,624,6
588629954961635,Noticias Hoy,Noticias Hoy,623,3
101168608701794,Suchi Informa,Paola Barillas,600,1
101971388212641,Noticias Pajapita S.M.,Jennifer Lopez,571,7
164054510913858,Mazatenango Informátivo,Mazatenango Informátivo,566,6
101559144921198,Noticias San Pedro Sacatepéquez,Jennifer Lopez,563,7
104089457996473,Noticias Malacatán,Jennifer Lopez,560,7
100990022892856,Movimiento Político WINAQ Totonicapán,Ricardo Mazariegos,557,8
339791886858938,Nails Art Afrodyta,These ads ran without a disclaimer,546,2
108683092124094,Ruta 23,Ruta 23,531,2
104688849145773,Partido Republicano SCP,Mario Rene Monterroso,520,11
114038507446590,CABAL Chiquimula,Belia Juana Yulissa Peralta Peralta,509,1
1598705903725096,Secretaría de Economía y del Trabajo,These ads ran without a disclaimer,502,2
787464724775213,David Chic,David Fernando Chic Jimenez,500,1
210684176077839,Centinelas por la Dignificación del Estado,Centinelas por la Dignificación del Estado,500,3
113602491685198,Hablemos TV,These ads ran without a disclaimer,500,1
111705388544351,Prosperidad Ciudadana Gualan,These ads ran without a disclaimer,478,1
101384729602875,Vamos Salcajá,Johnny Laureano Rodriguez Lopez,476,6
109293990804478,Noticias Ixchiguán,Jennifer Lopez,468,6
116255971414800,Política Migración,Política Migración,455,1
107777142265066,MLP San Pedro Sac.,MLP San Pedro Sac.,451,10
114103503653411,Noticias Nuevo Progreso S.M.,Jennifer Lopez,451,6
415170472372647,Portal de Oriente,Portal de Oriente,440,2
100787838332962,Noticias San José el Rodeo,Jennifer Lopez,437,7
111208228555859,KUYR,These ads ran without a disclaimer,427,16
109488608710177,eliugonzalez,These ads ran without a disclaimer,426,1
1319918204775846,Cybercompras Bookstore,Maynor Roberto Catalan niño,425,1
333731437290922,La Critica Gt,La Critica Gt,415,2
102490342357338,Byron Geovanny Orellana Orellana,Byron Geovanny Orellana Orellana,405,4
101834689161496,Partido VALOR Chichicastenango,Partido VALOR Chichicastenango,405,3
1677400702539198,Byron Rodríguez Palacios,Byron Rodríguez Palacios,400,1
108690811775877,Adrián G. Morales,Adrián G. Morales,400,2
685674888265250,Importadora Geminis,These ads ran without a disclaimer,400,1
342599725828584,Noticias de Petén,Noticias de Petén,400,2
100747189646660,Política a la Tortrix,Política a la Tortrix,400,4
101195172935082,AveriGuate,AveriGuate,400,4
120436067618344,La presidenta,La presidenta,400,4
115463025737962,Salvador Paiz,These ads ran without a disclaimer,398,2
100423518427634,Comisión Presidencial Contra la Corrupción,Comisión Presidencial Contra la Corrupción,397,4
109663920767127,Noticias Comitancillo,Jennifer Lopez,397,6
110744673991505,Noticias Tajumulco,Jennifer Lopez,396,7
114098550320514,Noticias La Blanca S.M.,Jennifer Lopez,394,5
103696968775786,Diestra La Revista,Epifania Garcia,390,2
105418255834949,Punto Final,Natalia Pinzon Hernandez,378,8
113863513676957,Noticias San Rafael Pie De La Cuesta,Jennifer Lopez,375,6
108984977543202,Gab's,These ads ran without a disclaimer,374,1
312457492980456,Opinión Gt,Opinión Gt,369,2
104839218452879,Partido Victoria Mixco,These ads ran without a disclaimer,356,1
103134718094665,Noticias San Pablo S. M.,Jennifer Lopez,355,6
115366508111435,Unidad Nacional de la Esperanza La Tinta,Rodrigo García,352,1
109323133802939,Neurona,Neurona,348,7
103815407737014,Bufete Jurídico de Derechos Humanos,Ronaldo Robles,335,1
101486344928292,Noticias Sibinal,Jennifer Lopez,329,7
152914224736727,Banco Mundial,These ads ran without a disclaimer,327,170
117104427979587,Mega Oferta,María Yhoselyn Sambrano Toma,326,2
102273645308882,Danny Trader,These ads ran without a disclaimer,320,9
100552105023362,Noticias el Tumbador,Jennifer Lopez,319,5
115018341521823,CREO Jutiapa,These ads ran without a disclaimer,318,5
114466183616195,Noticias Ayutla,Jennifer Lopez,313,5
120022507675808,Página que te avisa si Edmond Mulet ya Murió,Página que te avisa si Edmond,311,5
1497502300316673,Jeff Mosil - Negocios De Elite,These ads ran without a disclaimer,309,3
108066250929809,Noticias San Antonio Sacatépequez,Jennifer Lopez,309,5
103267651414497,Noticias Esquipulas Palo Gordo,Jennifer Lopez,309,5
100139312707354,La Chispa del Cambio,These ads ran without a disclaimer,309,4
110686825186521,Gualán nos UNE,Gualán nos UNE,308,4
102241754851760,Noticias El Quetzal S. M.,Jennifer Lopez,308,5
103529875762960,CABAL Chicacao,CABAL Chicacao,300,5
113672408312873,VOS Amatitlán,VOS AMATITLAN,300,2
108574095495873,VOS Chinautla,Marina Chen Sam,300,2
101851888631934,TOTO Noticias,Paola Barillas,298,2
105069184970982,Izabal Al Día,Paola Barillas,297,3
104886444988823,Reu Comunica,Paola Barillas,296,2
698975306831092,Ingeniero Roberto Peralta,These ads ran without a disclaimer,292,9
104459661292913,Noticias San Miguel Ixtahuacán,Jennifer Lopez,292,5
101565118659653,Sucesos Chimaltenango,Paola Barillas,290,2
233654837608,La Crónica de Hoy,These ads ran without a disclaimer,286,4
707381612673128,Cooperativa Guayacán,These ads ran without a disclaimer,279,1
103232488084729,Noticias Río Blanco S.M.,Jennifer Lopez,275,5
135019416549522,La Hora,La Hora,273,2
110198674046882,Noticias San Cristóbal Cucho,Jennifer Lopez,270,4
140609392651493,Centro Alemán de Información para Latinoamérica,These ads ran without a disclaimer,262,2
103892081351211,Noticias Catarina S.M.,Jennifer Lopez,262,5
103222091419273,Noticias San José Ojetenam,Jennifer Lopez,260,5
101141362593364,CAM en Español,These ads ran without a disclaimer,260,4
107967548918085,Izquierda GT,Izquierda GT,255,4
119774411035856,Zury Sama,Zury Sama,252,2
115463025737962,Salvador Paiz,Salvador Jose Paiz Del Carmen,250,2
123752213957960,Lo que Sandra se llevó,Lo que Sandra se llevó,249,4
100373105041599,Noticias Sipacapa,Jennifer Lopez,248,5
104069167998061,Noticias La Reforma S.M.,Jennifer Lopez,241,5
226406520645,YSL Beauty,These ads ran without a disclaimer,239,2
106093415765175,Global Noticias,Natalia Pinzon Hernandez,235,5
102359978173169,Noticias San Lorenzo S.M.,Jennifer Lopez,234,4
102921565187892,Que Hable Petén,Paola Barillas,234,1
104198917984643,Noticias Concepción Tutuapa,Jennifer Lopez,230,5
106160792367326,Partido Valor Mazatenango,Partido Valor Mazatenango,229,2
109854858755537,Irrain Corado,Irrain Corado,228,2
103624499324342,KYHK,These ads ran without a disclaimer,227,8
127276773973529,SEVA FOUNDATION,These ads ran without a disclaimer,226,2
100397935446344,Chiquimula En Todo,Paola Barillas,224,1
106973888244381,Alerta Guatemala,These ads ran without a disclaimer,223,3
102031516157107,TODOS San Francisco La Unión,Marco Antonio Gómez Escalante,221,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,220,26
100567842339226,Noticias URNG Maíz,Noticias URNG Maíz,214,2
157888697558358,CRN Noticias,These ads ran without a disclaimer,211,4
106983768969131,Manuel Elefante Mixco,These ads ran without a disclaimer,208,1
124142232495501,Municipalidad de Sanarate,These ads ran without a disclaimer,206,1
112799601755824,Chulamar,These ads ran without a disclaimer,203,1
1563317697213465,Universidad de Occidente - Quetzaltenango,These ads ran without a disclaimer,203,1
101405406148203,Valor Suchitepequez,These ads ran without a disclaimer,203,2
111762680740571,Altar Mayor,These ads ran without a disclaimer,202,4
100357155113158,Nery Ramos,Nery Ramos,200,1
1849068175149032,Movimiento Político WINAQ,Movimiento Político WINAQ,200,1
105469918546120,Express Market La Catrina,These ads ran without a disclaimer,200,4
1625832917671984,Liceo Dr. Luis Von Ahn,These ads ran without a disclaimer,199,1
104327401757750,CEC Centro de Evaluación y Capacitación Integral,These ads ran without a disclaimer,199,1
546030959209093,Desafio Tv,Desafio Tv,199,1
111863558489902,YUHF,These ads ran without a disclaimer,198,6
114108281649614,Cincopaisesnews,These ads ran without a disclaimer,195,1
111083754946084,Partido Humanista San Marcos -PHG-,Partido Humanista San Marcos -PHG-,192,7
129783222666,Open English,These ads ran without a disclaimer,191,4
353485527057,Manuel Antonio Baldizón,These ads ran without a disclaimer,190,1
109376494661183,Aliaxis Latam,These ads ran without a disclaimer,189,12
190878974351206,MARN,These ads ran without a disclaimer,189,3
1238173096287495,Azur Games,These ads ran without a disclaimer,186,4
107224132292413,JYTK,These ads ran without a disclaimer,182,8
112030985166801,Focus News,Natalia Pinzon Hernandez,179,5
460494384516612,El Portal de Occidente gt,El Portal de Occidente gt,177,1
112851281055736,Fuerza Ciudadana,These ads ran without a disclaimer,176,1
104802371498661,Armando Paniagua,Armando Paniagua,175,1
1513279682113964,Pablo Andrade,These ads ran without a disclaimer,173,2
110004498734711,Erick Arana - BIEN,Erick Yovani Arana Zuñiga,166,4
108534724619405,Unidad Nacional por las Víctimas de Tránsito - Unidad Nacional,These ads ran without a disclaimer,164,5
222413591254004,Fundebase,These ads ran without a disclaimer,164,1
824748340908147,Hernan Ovalle Salcaja,These ads ran without a disclaimer,163,1
104839934654570,Nueva Narrativa Guate,These ads ran without a disclaimer,158,1
110770031105769,Mennta,These ads ran without a disclaimer,156,2
108748214736261,Partido Republicano -PR-,Partido Republicano -PR-,155,3
331098877054420,Morales para ti,Morales para ti,150,2
103310015962588,Partido Podemos Totonicapán,Partido Podemos Totonicapán,150,1
105721492045749,San Carlos Alzatate,San Carlos Alzatate,150,2
106806278789404,Podemos Huehuetenango,Podemos Huehuetenango,149,1
111363940595440,Noticias Ocós S.M.,Jennifer Lopez,149,2
115437731462293,WINAQ Jocotenango,WINAQ Jocotenango,147,4
101170418930587,Manolo Xar,Manolo Xar,145,5
106610278167636,Planeta Virtual 502 - Cursos y Diplomados Online,These ads ran without a disclaimer,144,5
167878593236712,UNICEF en español,These ads ran without a disclaimer,141,2
1298187670312491,CABAL Departamento de Guatemala,CABAL Departamento de Guatemala,140,3
298696726936594,Senacyt/concyt,These ads ran without a disclaimer,139,2
100423518427634,Comisión Presidencial Contra la Corrupción,These ads ran without a disclaimer,135,3
346555569171847,Bjsjsnshs,These ads ran without a disclaimer,135,2
1126060947467307,Scatter HoldEm Poker,These ads ran without a disclaimer,135,2
451256781884275,Klondike Adventures,These ads ran without a disclaimer,134,2
106953752266840,Taberna Cervecera El Zapote La Casa de Hoppy,These ads ran without a disclaimer,133,1
100739341784242,Dr Elder Fernando portillo y portillo,These ads ran without a disclaimer,130,4
728099677341714,Romeo Méndez,Romeo Méndez,129,34
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,129,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,128,52
103291395263556,Elegancias. Gt,These ads ran without a disclaimer,126,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,125,4
100490729492964,Sebastian Bello,These ads ran without a disclaimer,125,40
595815224429068,Noticias la Red Gt San Juan Sacatepéquez,Jennifer Lopez,125,2
299659713702144,PepsiCo Caricam,These ads ran without a disclaimer,125,11
1478562709119963,MIMI Market Delivery,These ads ran without a disclaimer,123,3
100805759631118,Todos Con Heidy,Todos Con Heidy,122,2
107993688869307,POLKO,These ads ran without a disclaimer,122,4
633533543959309,Noticias la Red Gt San Pedro Sacatepéquez,Jennifer Lopez,121,2
210285783754038,Noticias la Red Gt San Raymundo,Jennifer Lopez,120,2
102894939469958,Diputado Chiquimula VIVA,Jose Acner  Cano Canales,119,4
107007748983733,Crónica GT,Natalia Pinzon Hernandez,119,3
103754637747942,Wachalal,These ads ran without a disclaimer,117,1
105614545606971,Podemos departamental Izabal,Reneau Castro Jorge Ramon,117,1
142062936237878,Goberna,These ads ran without a disclaimer,116,6
101149012784429,Inmigración Pro,These ads ran without a disclaimer,114,1
100212076194153,San Luis informa GT,San Luis informa GT,111,3
120794827996986,Democrats Abroad Guatemala,Democrats Abroad Guatemala,109,2
117614361273913,PAN - Partido de Avanzada Nacional - Mixco,These ads ran without a disclaimer,108,2
103664765094305,Hijos de la Inmaculada,These ads ran without a disclaimer,108,1
100538745211772,Relojes Alfa,These ads ran without a disclaimer,108,2
298069110271136,Cupón Club Guatemala,These ads ran without a disclaimer,108,1
628735127215866,ActionAid Guatemala,These ads ran without a disclaimer,107,2
104201789317613,Partido Valor-Unionista Sibilia,These ads ran without a disclaimer,107,2
361046281135185,All_groovy,These ads ran without a disclaimer,106,1
101362805052535,Hola,Hola,105,2
197621187243593,Foto y Vídeo - Eduardo Salazar,Eduardo Salazar,104,2
139050159462627,Business Council for Peace - Bpeace,These ads ran without a disclaimer,101,1
111055994050917,E-data,E-data,≤100,2
112362198458731,VOS Petapa,VOS Petapa,≤100,2
109730498567057,UNE Raxruhá,Edson Roel Milian Matias,≤100,1
103706902409547,Zacapa nos UNE,Zacapa nos UNE,≤100,1
101247925714787,Partido Azul Jutiapa,Partido Azul Jutiapa,≤100,1
101902049283066,Elecciones 2023,Eduardo Salazar,≤100,2
142731525889321,Andry Carías,These ads ran without a disclaimer,≤100,1
115591005188475,Global Times,These ads ran without a disclaimer,≤100,3
103553965661652,Re-Plastiguate,These ads ran without a disclaimer,≤100,3
109373671936578,Mujeres Republicanas Guatemala,These ads ran without a disclaimer,≤100,2
600567690119432,Edy Hernández / Inmortalizando Recuerdos,These ads ran without a disclaimer,≤100,1
421202078786833,Noticias la Red Gt Villa Nueva,Jennifer Lopez,≤100,2
115800489077874,Cambio Huehue,Cambio Huehue,≤100,7
341026486556175,Educación Integral Cursos para Profesionales.,These ads ran without a disclaimer,≤100,1
1299536886810878,Me fascinas,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF,≤100,18
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,63
102365852557979,Medios De Occidente,Diego Samuel Vasquez Ramirez,≤100,2
101158676100561,Actividades de salud - Médicos Sin Fronteras,These ads ran without a disclaimer,≤100,4
100959499644323,Cambio Cobán oficial,Eduardo Luther,≤100,1
296496030444729,Voluntariado Cívico Electoral GT,These ads ran without a disclaimer,≤100,2
104695422072616,Unidad Nacional de la Esperanza - Metro,Unidad Nacional de la Esperanza - Metro,≤100,2
112517118171120,Fito Villagrán,Fito Villagrán,≤100,2
111249487132044,José Miguel Solórzano Oficial.,These ads ran without a disclaimer,≤100,2
102126742452994,Partido Victoria Cantel,These ads ran without a disclaimer,≤100,1
113379255031242,Pulso Guatemala,Natalia Pinzon Hernandez,≤100,3
102485352015384,El vigilante de Guatemala,These ads ran without a disclaimer,≤100,2
112799601755824,Chulamar,Natalia Pinzon Hernandez,≤100,3
104099505857082,ASPA,These ads ran without a disclaimer,≤100,1
386252852217600,Género y Metodologías,These ads ran without a disclaimer,≤100,2
1710300235853890,Noticiero El Vigilante,These ads ran without a disclaimer,≤100,1
838228083229287,Grajeda.gt,These ads ran without a disclaimer,≤100,1
