Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
105477288600138,AnzaFresh  - Mji Wa Kale,Abdirahman Abdulkadir Hussein,10762,10
112465897227532,Solomon Kuria,Cornelius Murimi Muriithi,10755,5
105482798461749,Hon. Senator Joe Nyutu,Eliud Mungai Murigi,10724,13
1065631633538453,Medics Across Continents,These ads ran without a disclaimer,10720,32
1619471931668465,Muturi Wa Nduthi,Eric Muturi Mungai,10681,15
225476400846533,World Cities Summit,These ads ran without a disclaimer,10496,2
103644672731725,Amb. Nancy Karigithu,Arkinst Limited,10441,8
102324481269298,Hon. Zamzam Mohammed,Obed Nyang'ai,10423,28
105833652399018,Maina Karobia,Mwangi Godfrey Maina,10412,6
344115315677504,This Is Laikipia,This Is Laikipia,10211,63
1913963825321863,Kenya Insights,Peris Wambui Mugi,10187,10
855866121140316,Robert Alai,Techmtaa Limited,10000,1
1486713831614912,Centre For Behaviour Change and Communication,These ads ran without a disclaimer,10000,1
542937616130056,Wakili.sha,WAKILI.SHA INITIATIVE,9990,1
111999833837596,Hon Ali Menza Mbogo,Hon Ali Menza Mbogo,9871,24
102917101561063,Ken Oliech Dagoretti south 2022,Kimberly Wanjiru,9736,7
144580066134672,Economist Impact,These ads ran without a disclaimer,9730,27
111496491555777,George Kingori,George Kingori Gathogo,9688,21
110416667803857,Zulu Thiongo for Juja MP,Jackson Ndiang'ui,9670,8
719853864726295,Mindvalley,These ads ran without a disclaimer,9582,40
100929112659913,ElectKe,Cybermonk Software Development Limited,9563,2
643875235632378,Boniface Mwangi,These ads ran without a disclaimer,9548,1
725301200822336,Fazul Mahamed,These ads ran without a disclaimer,9511,3
108627965328091,William Samoei- Our President,Dennis Maladit,9382,3
804997446264798,Chic Me,These ads ran without a disclaimer,9298,1
1678379289155077,Njoroge Muchiri,Sammy Mwangi Thuku,9278,17
1793544260969494,"Hon. Cecily Mbarire, EGH",Hon. Cecily Mbarire MGH,9200,6
524481140907226,Green Motion International,These ads ran without a disclaimer,9131,2
110338187423381,Walysa Properties Ltd,These ads ran without a disclaimer,9070,2
101414459084910,Hon. Stephen Munania,Stephen Munania,9034,3
226170707921943,Scribe Services Registrars LTD,These ads ran without a disclaimer,9033,3
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,9017,50
430759586971486,Education Above All Foundation,These ads ran without a disclaimer,8974,12
105689891144812,Wachira Njuguna Chairman NCBDA,Peris Leanne Nyambura Kimani,8970,3
10750083165,The Africa Report,These ads ran without a disclaimer,8950,52
1775434109359189,Ogutu TV.,Bonface Ouma,8913,8
362764370921057,The Dispatch,The Dispatch,8908,14
225866164122628,Global Appeal sports,Daniel Lemuel Majani,8902,6
107098677810535,Michael Kimingichi,Michael Nabiyimba  Kimingichi,8900,12
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,8863,51
1775434109359189,Ogutu TV.,Charles Owino Wahongo,8819,10
1622729418027875,"RoyalTech Brands Services - Design,Printing,Branding",These ads ran without a disclaimer,8757,1
198317336853861,Qatar Airways,These ads ran without a disclaimer,8733,7
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,8683,8
111801344893510,Engineer Wathimba,These ads ran without a disclaimer,8587,6
702122306584650,Eric Mugo,These ads ran without a disclaimer,8561,2
1432513356833946,Dr. Nathan Wangusi,the Campaign Committee for Dr. Nathan Wangusi for Parliament 2022,8550,4
113615355316959,WIRED UK,These ads ran without a disclaimer,8531,30
100321965888531,Mrembo na Kazi,Mrembo na Kazi,8424,44
100982155769712,Jamaica kidu,These ads ran without a disclaimer,8414,12
103809881493295,Elimica,Thomas Owiti Musandu,8405,7
108930319155814,World Athletics,These ads ran without a disclaimer,8387,20
101247196170969,Tayba Hatimy,Tayba Hatimy,8375,4
101894826563370,Sotheby's,These ads ran without a disclaimer,8373,2
1919173141682643,Joseph K Ndathi.#KabaNdathi,Gladys Wakuthi Micere,8298,21
412238482219683,Kambaland,Tim Linge,8289,25
64588666340,Haaretz.com,These ads ran without a disclaimer,8222,30
100458018685597,Primebet Kenya,Primebet Kenya,8196,3
109540454978166,UPIA PARTY,UPIA PARTY,8115,8
933310850194959,Israel Alliance,These ads ran without a disclaimer,8109,63
110548887276796,PLUS Media KENYA,Robert Waswa Simiyu,8013,6
693849871003458,KENYA HOT TODAY,Peris Wambui Mugi,7978,17
174528749295024,DW Africa,These ads ran without a disclaimer,7946,3
503951883021764,ShareTheMeal,These ads ran without a disclaimer,7902,21
100999838869141,Cliff Otega For Kileleshwa 2022,Cliff Ricky Oduor Otega,7826,20
102155512573280,ISulwe Movement,iSulwe,7826,10
110546781665849,Hon. June Waweru,June Njambi Waweru,7721,14
115573996757772,VICE World News,These ads ran without a disclaimer,7663,9
100937549702464,Baba zanyuki,These ads ran without a disclaimer,7615,15
565225540184937,CGTN,These ads ran without a disclaimer,7526,86
109619647859950,YOGO YOGO Foundation,TONY LIGHTS YOGO FOR SENATOR- SIAYA,7515,14
100770992659430,Senator George Maara,George Jonathan Maara,7487,11
102553591439397,Hon. Simon Mwawasi Maganga,Hon Simon Mwawasi Maganga,7468,18
749501791796416,Hon. Njeri Maina,Hon. Njeri Maina,7356,3
279973932055640,Abdulswamad Shariff Nassir,These ads ran without a disclaimer,7355,9
187429968296722,Harvard Online,These ads ran without a disclaimer,7348,5
106861881591098,Pst Steve Springforth OGW,These ads ran without a disclaimer,7337,2
106270329096932,Sheikh Abubakar Mohamed Mganga Bingwa,These ads ran without a disclaimer,7328,1
101512235982008,Kithure Kindiki supporters,Robert Waswa Simiyu,7323,3
214196153317281,Allan Rotich Chemayiek,Ad Preacher,7308,44
104104848271387,Anthony MAINA wa MAAÌ,These ads ran without a disclaimer,7240,10
139961332693535,Society for Africans in the Diaspora,These ads ran without a disclaimer,7126,2
1705548969684194,Stephen Sang,Stanley Magut,7118,7
101479375215838,Galgallo Abagaro,Galgallo Abagaro,7107,9
726458957395505,The KANU Party,Cornelius Ronoh,7075,6
108118954986186,Viral Pattni For Parklands 2022,These ads ran without a disclaimer,7066,3
109757508160995,Wine & Talk,Cybermonk Software Development Limited,7000,6
1581719495410462,Hon Jamleck Kamau,William Mwangi Wangari,6906,11
111131098177941,Help Ukraine,These ads ran without a disclaimer,6866,2
359937465037422,Sema na Kimani wa Kimani,Brian Brown Oyondi,6804,19
60777496115,Kakenya's Dream,These ads ran without a disclaimer,6761,5
167156826952381,Hon.Tindi Mwale .,These ads ran without a disclaimer,6747,19
102978245470297,Kevin Kamonye for MCA Flamingo Ward Nakuru,Kevin Kibuku Kamonye,6721,2
101821255334402,"Hon. Machua Waithaka, MP Kiambu Town",Tevin Muiruri,6719,6
103152632168816,Chan steel & wrought iron Art,Hillary Keverenge Kivaso,6561,18
176191489226329,Hensa Solutions,These ads ran without a disclaimer,6557,1
143022755731834,Islam Net,These ads ran without a disclaimer,6546,15
112142024475212,Mtaalam Waswa,These ads ran without a disclaimer,6534,2
106645387389497,KANU Youth Congress,Faith Jepkemboi,6498,3
1639858139624941,Silverline Motors,These ads ran without a disclaimer,6452,1
104997047802852,voice9316,These ads ran without a disclaimer,6442,12
110669631304200,The hustlers clerk,Robert Waswa Simiyu,6385,6
802090139805877,Tony Marioghae,These ads ran without a disclaimer,6334,25
101971831616962,Scooper News,These ads ran without a disclaimer,6323,4
104869688926156,Miscio,These ads ran without a disclaimer,6323,1
108763934683761,Time for Romance,These ads ran without a disclaimer,6297,2
268202636612625,EY Careers,These ads ran without a disclaimer,6261,1
1199020920114389,EOS Data Analytics,These ads ran without a disclaimer,6169,12
108868785400797,Hustler Fund,These ads ran without a disclaimer,6143,2
