Page ID,Page name,Disclaimer,Amount spent (KES),Number of ads in Library
107528525561047,Frank Ocean01,These ads ran without a disclaimer,≤100,1
107312151869846,Travel & Beyond,These ads ran without a disclaimer,≤100,1
159655254060987,zChocolat.com,These ads ran without a disclaimer,≤100,1
2203152233239713,Organisation des Jeunes pour L'Union Européenne et Africaine,These ads ran without a disclaimer,≤100,1
109490484156532,Soulmia,These ads ran without a disclaimer,≤100,1
110745311065849,Fútbol propuestas revolucionarias,These ads ran without a disclaimer,≤100,1
833161103465145,Caritas Zambia,These ads ran without a disclaimer,≤100,1
96222644025,Sacramento Kings,These ads ran without a disclaimer,≤100,1
1472204356420111,Pompeii - Parco Archeologico,These ads ran without a disclaimer,≤100,1
1435440190072153,Hustlers Nyandarua County Chapter,These ads ran without a disclaimer,≤100,1
111349724525978,PUSH Campaign,These ads ran without a disclaimer,≤100,1
107314348582264,Lucent Immigration Services Inc.,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,6
123093917546136,TERA-Award,These ads ran without a disclaimer,≤100,2
104764344607457,Kitui Daylight Press,These ads ran without a disclaimer,≤100,1
111433906878741,International Commission of Jurists - Africa,These ads ran without a disclaimer,≤100,2
874313709575804,Fashion Rollers,These ads ran without a disclaimer,≤100,3
103357589359693,Old World Theology,These ads ran without a disclaimer,≤100,1
103640257692257,Christian Herrrera,These ads ran without a disclaimer,≤100,2
1682128255449514,Jane Maria,These ads ran without a disclaimer,≤100,1
109833552020158,Jox-14,These ads ran without a disclaimer,≤100,1
110682454967616,Travel Bliss,These ads ran without a disclaimer,≤100,1
100247219402175,The Clever Protagonist,These ads ran without a disclaimer,≤100,3
103486044616723,Africom Business Center,These ads ran without a disclaimer,≤100,1
102261702705960,Driving Todays - Page 4,These ads ran without a disclaimer,≤100,2
102538244806470,Tabernacle Of Ambassadors For Christ - “Arena Of Solutions”,These ads ran without a disclaimer,≤100,1
101484948519699,WestGate Migration,These ads ran without a disclaimer,≤100,1
111576992030844,Roaming Routes,These ads ran without a disclaimer,≤100,2
1877607872540428,Mr. Srotsecna Crabs in a Barrel Quagmire,These ads ran without a disclaimer,≤100,1
724693277719823,Drivepedia,These ads ran without a disclaimer,≤100,4
106249704770359,Samira Hussein - Author,These ads ran without a disclaimer,≤100,1
111266936889272,Every Day Monkey,These ads ran without a disclaimer,≤100,2
144988705358132,Bravo Videos-good shorts and dramas,These ads ran without a disclaimer,≤100,1
113864178277471,Eco Mindset,These ads ran without a disclaimer,≤100,6
106385574771373,Cucuruchos Salvadoreños,These ads ran without a disclaimer,≤100,1
104805779302957,History Discover,These ads ran without a disclaimer,≤100,2
394043773981295,Endiro Coffee,These ads ran without a disclaimer,≤100,1
957399140982204,Stories of Beijing,These ads ran without a disclaimer,≤100,1
123541904000265,Guai1,These ads ran without a disclaimer,≤100,1
105189168487562,Ethiopian Writers-የኢትዮጵያ ደራሲያን,These ads ran without a disclaimer,≤100,1
118245164583220,wantoe_teah_wantoe,These ads ran without a disclaimer,≤100,1
261822930353726,AI Pixel Art-US 03,These ads ran without a disclaimer,≤100,3
456993607668322,Revelationtoend Ministries,These ads ran without a disclaimer,≤100,1
162552263764522,Global Call To Action Against Poverty,These ads ran without a disclaimer,≤100,1
110939915400241,Military Hot TV,These ads ran without a disclaimer,≤100,1
102747031656291,D.Center,These ads ran without a disclaimer,≤100,1
323215607705254,Discovering The Jewish Jesus with Rabbi Schneider,These ads ran without a disclaimer,≤100,2
102094172813456,That Africa,These ads ran without a disclaimer,≤100,1
100142840161003,Billy Gene Is A.I. & XR Marketing,These ads ran without a disclaimer,≤100,2
110229248110220,Gethappyday - Magazine,These ads ran without a disclaimer,≤100,2
111290921328875,Senator mustapha ibrahim hussein,These ads ran without a disclaimer,≤100,1
186113928171951,David Blaze,These ads ran without a disclaimer,≤100,1
1888318768048170,Anita L. DeFrantz,These ads ran without a disclaimer,≤100,1
102564378933923,Timeless Xianju • Harmony of All,These ads ran without a disclaimer,≤100,2
102452782623476,Funny Ent,These ads ran without a disclaimer,≤100,4
103507541909814,Paulo Figueiredo,These ads ran without a disclaimer,≤100,3
158282251404839,المجلة الطبية,These ads ran without a disclaimer,≤100,1
600632830063004,"CETRI, Centre tricontinental",These ads ran without a disclaimer,≤100,1
1435324283437974,Veda Центр c Валентином Даценко,These ads ran without a disclaimer,≤100,1
502494943190719,Thermory,These ads ran without a disclaimer,≤100,2
937241943091043,China Focus,These ads ran without a disclaimer,≤100,3
105751625745445,Quatre-04,These ads ran without a disclaimer,≤100,1
112027057945778,Kinder Cushion,These ads ran without a disclaimer,≤100,1
102878639040027,Ghr Stories,These ads ran without a disclaimer,≤100,1
101876959658669,burnwomanburn,These ads ran without a disclaimer,≤100,1
112825108424548,Mc01-19,These ads ran without a disclaimer,≤100,1
102095752236053,Sports Fanatics,These ads ran without a disclaimer,≤100,4
200990963441531,Boredom Therapy,These ads ran without a disclaimer,≤100,2
425468610983737,Culture Creators,These ads ran without a disclaimer,≤100,1
107104324926493,"Yes, Huangpu！",These ads ran without a disclaimer,≤100,1
231994373490800,Student Energy,These ads ran without a disclaimer,≤100,1
102589718779614,alicangulinsaat,These ads ran without a disclaimer,≤100,1
102866915132087,The ChemEng Student,These ads ran without a disclaimer,≤100,2
100884086002279,Happy Night,These ads ran without a disclaimer,≤100,1
1518425941619081,Let’s Pray,These ads ran without a disclaimer,≤100,1
102418705007821,The Men of Honour,These ads ran without a disclaimer,≤100,1
181781665027281,Pierre Auh'deen James,These ads ran without a disclaimer,≤100,1
344925166416989,Theresa bouams official,These ads ran without a disclaimer,≤100,1
559984527424251,Visit Shaanxi,These ads ran without a disclaimer,≤100,1
244214752289054,Girls Not Brides,These ads ran without a disclaimer,≤100,2
100388429689787,yusufwildphoto,These ads ran without a disclaimer,≤100,1
103692932028003,Way Aid and Care development program- Wacdep,These ads ran without a disclaimer,≤100,3
119353621148775,Esx-5/06-07,These ads ran without a disclaimer,≤100,1
128466876911,Amy Lynn Smith - Writer + Strategist,These ads ran without a disclaimer,≤100,1
105832078773724,Teach The Teacher,These ads ran without a disclaimer,≤100,1
111895147380594,Tha 4Cast With Solidfied_OG,These ads ran without a disclaimer,≤100,1
109971965116397,Sthefanny Aguiar,These ads ran without a disclaimer,≤100,1
277322033164133,See Africa Today,These ads ran without a disclaimer,≤100,1
208338536239798,This Is Beijing,These ads ran without a disclaimer,≤100,8
101395099395952,Watermelon sugar,These ads ran without a disclaimer,≤100,1
100259779602593,Mazha03,These ads ran without a disclaimer,≤100,1
758349691019660,"Zhangjiagang, Suzhou",These ads ran without a disclaimer,≤100,1
113024814485999,Velosi Asset Integrity Limited,These ads ran without a disclaimer,≤100,1
102552429455951,C301-41,These ads ran without a disclaimer,≤100,1
743133662463199,"Higer Bus Co., Ltd.",These ads ran without a disclaimer,≤100,1
864316016923530,Jesus Anoints Ministries,These ads ran without a disclaimer,≤100,1
151887551672472,ZEM Builders,These ads ran without a disclaimer,≤100,1
620466278035819,DroneLife,These ads ran without a disclaimer,≤100,2
110177838368464,Freedom Grams,These ads ran without a disclaimer,≤100,3
105226841774989,Science101 Trends,These ads ran without a disclaimer,≤100,1
105126316217505,William D. Hinn Ministries,These ads ran without a disclaimer,≤100,2
106750994048802,Perspectiva,These ads ran without a disclaimer,≤100,2
118695234551970,Eliza Ben,These ads ran without a disclaimer,≤100,1
474598472606124,Skateman,These ads ran without a disclaimer,≤100,1
157363837456365,Mickey Kayla McGee,These ads ran without a disclaimer,≤100,1
109036555449915,Slenergy,These ads ran without a disclaimer,≤100,2
2264665520260482,GLG Communications,These ads ran without a disclaimer,≤100,1
101750192796200,Emd chat3,These ads ran without a disclaimer,≤100,1
287025371680728,ClasseViva - Il Registro Elettronico,These ads ran without a disclaimer,≤100,1
100591998719781,Graduatez - Hit the Books,These ads ran without a disclaimer,≤100,1
107746120912269,VirtualRunners,These ads ran without a disclaimer,≤100,3
2018068638421522,Manteco,These ads ran without a disclaimer,≤100,1
107676851518867,Food Is In The House Roast,These ads ran without a disclaimer,≤100,1
107193914539205,Unstereotype 4 me,These ads ran without a disclaimer,≤100,1
2272485479733990,Consulate General of China in Erbil,These ads ran without a disclaimer,≤100,9
105399932359659,Formers Paper,These ads ran without a disclaimer,≤100,1
109063332112527,travelguyadam,These ads ran without a disclaimer,≤100,1
100433156364493,Woof & Wallpaper_410,These ads ran without a disclaimer,≤100,1
106544974539142,Daktari Mama Nalujja Kenya,These ads ran without a disclaimer,≤100,1
117463651439430,TV life,These ads ran without a disclaimer,≤100,1
108003688977456,Wabi Sabi,These ads ran without a disclaimer,≤100,1
129497934064799,Zambia Scouts Association - Team SIXX,These ads ran without a disclaimer,≤100,1
103262481273356,ADNAFRICA,These ads ran without a disclaimer,≤100,3
112065987775990,Max Nogueira,These ads ran without a disclaimer,≤100,3
442247259918659,Minority Africa,These ads ran without a disclaimer,≤100,1
116395338222661,Deadly Details,These ads ran without a disclaimer,≤100,1
235256355082993,Francisco Pareja,These ads ran without a disclaimer,≤100,1
109245718645188,Eticha Gudeta Fufa,These ads ran without a disclaimer,≤100,1
589993101492989,ETEC Environnement,These ads ran without a disclaimer,≤100,1
807755485968820,CHIC MADAM,These ads ran without a disclaimer,≤100,1
122125810793113,Gam Speeder,These ads ran without a disclaimer,≤100,1
111590545330928,the30percentpod,These ads ran without a disclaimer,≤100,1
115862384784242,Mc01-17,These ads ran without a disclaimer,≤100,2
112174280357247,mrcap_limited,These ads ran without a disclaimer,≤100,1
1996858746995628,Allentown NAACP,These ads ran without a disclaimer,≤100,2
111278408505152,Ashangqu01,These ads ran without a disclaimer,≤100,1
103987472118717,The Money Time - Fans,These ads ran without a disclaimer,≤100,1
106475209211526,Veronica MEDS,These ads ran without a disclaimer,≤100,1
1931874780426493,ResCap Media,These ads ran without a disclaimer,≤100,2
112508113945355,Glitter Gazette,These ads ran without a disclaimer,≤100,1
265312790496939,OSP Wola Prażmowska,These ads ran without a disclaimer,≤100,1
103467525396537,People's Daily Online Swahili,These ads ran without a disclaimer,≤100,1
107464615999205,Connor Franta,These ads ran without a disclaimer,≤100,1
103225679382638,James Nmaju,These ads ran without a disclaimer,≤100,1
104305092258023,Modernizationary,These ads ran without a disclaimer,≤100,1
127118874027114,World Intellectual Property Organization,These ads ran without a disclaimer,≤100,1
105698242593949,Bjnohhuo-2324,These ads ran without a disclaimer,≤100,1
112651864383243,Tatiteya.store,These ads ran without a disclaimer,≤100,1
111031631511098,Knacktank,These ads ran without a disclaimer,≤100,1
101348888730419,The House Center,These ads ran without a disclaimer,≤100,1
12185972707,350.org,These ads ran without a disclaimer,≤100,1
106717575693307,Yu-56,These ads ran without a disclaimer,≤100,2
109066328770664,Magic1420-01,These ads ran without a disclaimer,≤100,3
386572868159912,Luis Ake,These ads ran without a disclaimer,≤100,1
132387390209896,HFM,These ads ran without a disclaimer,≤100,1
2061561920624160,Tienda Peluches - Peluchea,These ads ran without a disclaimer,≤100,1
298861020736,فرانس 24 / FRANCE 24 Arabic,These ads ran without a disclaimer,≤100,1
587988601663748,EVTOL,These ads ran without a disclaimer,≤100,1
1648220678824940,Jet Age Nation Builders,These ads ran without a disclaimer,≤100,1
102309421190764,Sylwia Madeńska,These ads ran without a disclaimer,≤100,1
121291413237958,Ocean Material,These ads ran without a disclaimer,≤100,1
118058934727732,العراق الجديد,These ads ran without a disclaimer,≤100,1
108406111661301,Can't Say Enough,These ads ran without a disclaimer,≤100,1
105130779087864,Antony Hylton,These ads ran without a disclaimer,≤100,2
100631635291793,AMAKA Studio,These ads ran without a disclaimer,≤100,1
320746827785103,Illuminati brotherhood fraternity,These ads ran without a disclaimer,≤100,1
212341778889162,Punishment Essay,These ads ran without a disclaimer,≤100,1
100151225954783,CJK Travels,These ads ran without a disclaimer,≤100,1
117145531471206,BridesBlush,These ads ran without a disclaimer,≤100,1
723991001114812,Buildner,These ads ran without a disclaimer,≤100,1
110904727326591,Search engine albert einstein محرك البحث ألبرت أينشتاين,These ads ran without a disclaimer,≤100,2
103702168664953,Ridecvln,These ads ran without a disclaimer,≤100,1
108258011531679,Futbolete - Stories,These ads ran without a disclaimer,≤100,1
119334417823413,Nicholssr Toby,These ads ran without a disclaimer,≤100,1
100308912853619,Travelling Brad,These ads ran without a disclaimer,≤100,1
178707372177279,INSTITUT FRANÇAIS,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
100401512487804,666,These ads ran without a disclaimer,≤100,1
105469568721137,Kissy - Find Your Partner for Free,These ads ran without a disclaimer,≤100,1
67757651619,Playing For Change,These ads ran without a disclaimer,≤100,1
134710266608245,The Harpreet Singh Show,These ads ran without a disclaimer,≤100,1
101082536046883,Vivenlife,These ads ran without a disclaimer,≤100,1
109565364510190,Psychics Healing Insights,These ads ran without a disclaimer,≤100,1
34151833757,The European Journalism Observatory | EJO,These ads ran without a disclaimer,≤100,1
104252779419345,Sara Mendes,These ads ran without a disclaimer,≤100,1
206013353671660,DailyBee,These ads ran without a disclaimer,≤100,4
103269898428170,Cooking 4 All Mode,These ads ran without a disclaimer,≤100,1
145856715442586,Oceanic Society,These ads ran without a disclaimer,≤100,1
100539877985698,Spotlight Beijing,These ads ran without a disclaimer,≤100,11
100432322646591,Magnom Properties,These ads ran without a disclaimer,≤100,3
536431889812977,ALU,These ads ran without a disclaimer,≤100,3
103760159378613,Racing Guru,These ads ran without a disclaimer,≤100,1
169110313174498,God Sent Mission,These ads ran without a disclaimer,≤100,1
369479089905524,Shane Mahoney,These ads ran without a disclaimer,≤100,1
165784736622069,EximFinance,These ads ran without a disclaimer,≤100,2
694445473903619,Kimberly Ann Johnson,These ads ran without a disclaimer,≤100,1
102458909040981,CSCEC in Central and West Africa,These ads ran without a disclaimer,≤100,2
1050178538369612,DonorSee,These ads ran without a disclaimer,≤100,1
106165368984456,Connect1281_13306,These ads ran without a disclaimer,≤100,1
104158032463312,923_bt,These ads ran without a disclaimer,≤100,1
163295937031815,Linh Nga,These ads ran without a disclaimer,≤100,1
107317838995523,no_taka_tanzania,These ads ran without a disclaimer,≤100,1
1018568154880916,A2 Aprende y Aplica,These ads ran without a disclaimer,≤100,1
122100284474011877,Vincent Murina,These ads ran without a disclaimer,≤100,1
475778355919914,BB - Best Bios,These ads ran without a disclaimer,≤100,1
1505544533088943,United States Church,These ads ran without a disclaimer,≤100,1
107886432307383,Os romances mais vendidos,These ads ran without a disclaimer,≤100,2
100833789133103,Latest hot gist around the world,These ads ran without a disclaimer,≤100,1
1408811202692347,Child Online Africa,These ads ran without a disclaimer,≤100,1
1641256992794391,Success Afrika,These ads ran without a disclaimer,≤100,1
141629189044869,Felipe Kosaka,These ads ran without a disclaimer,≤100,1
369518856236275,Gen Z KE,These ads ran without a disclaimer,≤100,1
295201350489920,International Science Council,These ads ran without a disclaimer,≤100,1
101872482696453,Source of_1,These ads ran without a disclaimer,≤100,1
101882155449885,Parenting101 Trends,These ads ran without a disclaimer,≤100,1
102832625955205,Isiolo Leaks,These ads ran without a disclaimer,≤100,1
102834275717964,Jellytop Sneakers,These ads ran without a disclaimer,≤100,2
103457138292691,Go Sanya,These ads ran without a disclaimer,≤100,1
112668928379774,Bonjour-31,These ads ran without a disclaimer,≤100,1
107020681016485,Children Inspired Evolution - CIE,These ads ran without a disclaimer,≤100,1
121383634539057,Ikariam,These ads ran without a disclaimer,≤100,3
103709948242540,Apostle Eklyn Ministries,These ads ran without a disclaimer,≤100,1
144519728750709,Al Ha'ak,These ads ran without a disclaimer,≤100,2
103806092588576,T1215-3,These ads ran without a disclaimer,≤100,1
102581028206,CNNArabic,These ads ran without a disclaimer,≤100,6
101885279343436,Orienvirtue-X,These ads ran without a disclaimer,≤100,1
108827198022399,The Indonesian Students Charity and Welfare Fund,These ads ran without a disclaimer,≤100,1
108005815011880,TradeChina Furniture & Hardware Expo,These ads ran without a disclaimer,≤100,1
101545415784484,Simple Tribune,These ads ran without a disclaimer,≤100,1
105186365579238,Fatima BEYINA-MOUSSA,These ads ran without a disclaimer,≤100,1
105793774807202,ONErpm,These ads ran without a disclaimer,≤100,1
140963442424299,Reebelot,These ads ran without a disclaimer,≤100,2
106518195610937,1111_ta,These ads ran without a disclaimer,≤100,1
105065085534753,Yom Reading,These ads ran without a disclaimer,≤100,1
109171648265691,United Africa,These ads ran without a disclaimer,≤100,1
106786598824719,歷史趣談,These ads ran without a disclaimer,≤100,1
100336519266202,Travel Inspirations,These ads ran without a disclaimer,≤100,1
119224211172673,Day Magazine Jam,These ads ran without a disclaimer,≤100,1
68644810672,"Liorel, Art from Israel",These ads ran without a disclaimer,≤100,1
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,6
103190279412794,Geeky Cap,These ads ran without a disclaimer,≤100,3
109827824181495,People’s Stories Project,These ads ran without a disclaimer,≤100,1
101661059444629,London001,These ads ran without a disclaimer,≤100,1
103186408125630,nickbynorthwest,These ads ran without a disclaimer,≤100,1
108527654799263,Discovery & Lifestyle,These ads ran without a disclaimer,≤100,1
106717032159965,Maque05,These ads ran without a disclaimer,≤100,1
108807418502504,White Windmills on the Aegean Coast,These ads ran without a disclaimer,≤100,2
110910755040621,Lux Brands,These ads ran without a disclaimer,≤100,1
111611514344138,nopeetstore.com,These ads ran without a disclaimer,≤100,2
104679755595807,Travelary,These ads ran without a disclaimer,≤100,4
564985973591564,Bernard Wanyoike Kariuki,These ads ran without a disclaimer,≤100,1
117905244683581,beoursuperhero,These ads ran without a disclaimer,≤100,1
271082999713221,CCFR,These ads ran without a disclaimer,≤100,1
103742258434059,Semlex For Education,These ads ran without a disclaimer,≤100,1
101388509327100,Extra famous,These ads ran without a disclaimer,≤100,2
304092486946248,Eurosoil - Geneva,These ads ran without a disclaimer,≤100,1
1409806122621154,Diễn đàn Tuổi trẻ,These ads ran without a disclaimer,≤100,3
100852052014646,Lauren Schwartz,These ads ran without a disclaimer,≤100,2
101211112125795,Beste Kinofilme,These ads ran without a disclaimer,≤100,1
0,Instagram User 1199267550,These ads ran without a disclaimer,≤100,1
103899531989390,Withmyladies - Stories,These ads ran without a disclaimer,≤100,1
107820364369375,Redsea Hospital,These ads ran without a disclaimer,≤100,1
1356700661152204,Coach Simon Ouedraogo,These ads ran without a disclaimer,≤100,1
114866079891340,Trivia.com,These ads ran without a disclaimer,≤100,1
104336908545784,Earth Climate Rights Organization - ECRO,These ads ran without a disclaimer,≤100,1
641124539648101,Inventory Genius,These ads ran without a disclaimer,≤100,1
1482324468662542,Carine Lauber-artiste peintre,These ads ran without a disclaimer,≤100,1
482769588519847,Poland at EXPO,These ads ran without a disclaimer,≤100,1
100368586082484,Solo-liuliunei,These ads ran without a disclaimer,≤100,1
107961711525905,Weekly Pets,These ads ran without a disclaimer,≤100,1
101366692546244,Green Solutions,These ads ran without a disclaimer,≤100,1
109899480532125,Chinese Drama Universe Page,These ads ran without a disclaimer,≤100,2
138529899762,TVC Entretenimiento,These ads ran without a disclaimer,≤100,1
105538155505026,Smart doc,These ads ran without a disclaimer,≤100,7
103034042652173,Inverytical-i,These ads ran without a disclaimer,≤100,5
102556542701875,Rush04,These ads ran without a disclaimer,≤100,1
107174672127918,safiritvandfilm,These ads ran without a disclaimer,≤100,2
102766866037315,Adrian AG Karapinka,These ads ran without a disclaimer,≤100,1
174139447607014,Sport Foy - Magazine,These ads ran without a disclaimer,≤100,1
102857355682786,Save Ukraine,These ads ran without a disclaimer,≤100,1
100486832402249,Rare Diseases International,These ads ran without a disclaimer,≤100,1
107005965102426,Read & Chill,These ads ran without a disclaimer,≤100,1
101486181640640,Monica Zhang,These ads ran without a disclaimer,≤100,1
263328644217381,Alliances 4 Action,These ads ran without a disclaimer,≤100,1
386081914814521,Martin Burt,These ads ran without a disclaimer,≤100,1
107169341928789,Gog Reading,These ads ran without a disclaimer,≤100,2
102899354901963,The-H.U.D-Club,These ads ran without a disclaimer,≤100,1
418754644991426,Kultursymposium,These ads ran without a disclaimer,≤100,1
113205835040643,Wsp35,These ads ran without a disclaimer,≤100,1
725845994246131,Puppeteeress,These ads ran without a disclaimer,≤100,1
675637419289349,The Big Shift Global,These ads ran without a disclaimer,≤100,1
134771529879464,Dr. Hyun Jin Preston Moon,These ads ran without a disclaimer,≤100,1
106239491985146,Koi Stories,These ads ran without a disclaimer,≤100,5
115634894871130,Fun magazine press,These ads ran without a disclaimer,≤100,1
2272627156357949,Newest Crowdfunding Inventions,These ads ran without a disclaimer,≤100,1
103236844727716,GMGA Publishing,These ads ran without a disclaimer,≤100,1
100909049234182,Guitaria,These ads ran without a disclaimer,≤100,1
105302191185695,Inesonthego,These ads ran without a disclaimer,≤100,2
140434785829032,Gathope.com,These ads ran without a disclaimer,≤100,1
116706926839633,Braindom,These ads ran without a disclaimer,≤100,9
103240768087981,The Stereo Socks,These ads ran without a disclaimer,≤100,3
111609124732583,Miss Laveu,These ads ran without a disclaimer,≤100,1
105387765113012,The Inclusion Post,These ads ran without a disclaimer,≤100,1
104421318254304,Happy Turtle,These ads ran without a disclaimer,≤100,3
1891933867730555,Hola Fujian,These ads ran without a disclaimer,≤100,3
163724483013,Hepatitis B Foundation,These ads ran without a disclaimer,≤100,1
266526781629,Polished Arrow Journey of Healing,These ads ran without a disclaimer,≤100,1
112589195019287,Enjoy the Moment,These ads ran without a disclaimer,≤100,1
110733148166587,Valentin Chéneau,These ads ran without a disclaimer,≤100,1
108598475453977,LAFASHIONA,These ads ran without a disclaimer,≤100,2
112634255115232,Community Healthcare Services,These ads ran without a disclaimer,≤100,1
114255587914662,Peace over Hate,These ads ran without a disclaimer,≤100,2
103106335426744,Funny World,These ads ran without a disclaimer,≤100,1
111552548514294,Mc01-18,These ads ran without a disclaimer,≤100,2
102596128875958,Wild Backpacker,These ads ran without a disclaimer,≤100,1
114760971563756,RJ Now,These ads ran without a disclaimer,≤100,1
111720791841860,El1,These ads ran without a disclaimer,≤100,1
105874898314862,Smart Templates,These ads ran without a disclaimer,≤100,1
106061835186002,World Institute for Nuclear Security,These ads ran without a disclaimer,≤100,1
101981918812659,Sindjus,These ads ran without a disclaimer,≤100,1
102103132865166,ZZ-87-pro,These ads ran without a disclaimer,≤100,2
178194518893277,اقرأ لي,These ads ran without a disclaimer,≤100,1
100415369617618,Ch-01,These ads ran without a disclaimer,≤100,1
106670578633953,Sis Reading,These ads ran without a disclaimer,≤100,2
1502342193197091,Hon Irungu Kang'ata,These ads ran without a disclaimer,≤100,2
155772124463402,Travel + Leisure Southeast Asia,These ads ran without a disclaimer,≤100,1
101388574652689,ALFIE PARIS,These ads ran without a disclaimer,≤100,4
110326954969976,Funky Geeks,These ads ran without a disclaimer,≤100,1
290457440821141,Czerka Labs,These ads ran without a disclaimer,≤100,1
0,Instagram User 3661837277,These ads ran without a disclaimer,≤100,1
842906519089852,IPBES,These ads ran without a disclaimer,≤100,1
173936493156441,Prophétesse Esther Blessing K.,These ads ran without a disclaimer,≤100,1
107286488167111,Représentant régional Dyson,These ads ran without a disclaimer,≤100,1
103558107791649,The Year is 202X,These ads ran without a disclaimer,≤100,1
96286403078,iHeartDogs,These ads ran without a disclaimer,≤100,1
575492683148162,파송송,These ads ran without a disclaimer,≤100,1
100643971365249,InCountry,These ads ran without a disclaimer,≤100,1
329936155782,Rosa Mystica Foundation of America,These ads ran without a disclaimer,≤100,1
159395770817612,Emprendedores Online,These ads ran without a disclaimer,≤100,3
851810048541117,APSGospel,These ads ran without a disclaimer,≤100,2
341685517020314,Money Honey with Melody Zhang,These ads ran without a disclaimer,≤100,2
168392156359362,Melissa Suddoth Brown,These ads ran without a disclaimer,≤100,1
724015147673796,Mastery Academy ماستري اكاديمي,These ads ran without a disclaimer,≤100,1
110349208486947,"This is Shibei, Qingdao",These ads ran without a disclaimer,≤100,1
103491428622606,Awesome Gifts A2,These ads ran without a disclaimer,≤100,1
468305160581483,Voices,These ads ran without a disclaimer,≤100,1
109351145183708,VEEV,These ads ran without a disclaimer,≤100,1
113940237050170,CCECC Nigeria,These ads ran without a disclaimer,≤100,4
17164098244,JM International,These ads ran without a disclaimer,≤100,1
108723484770360,Rise_M107B_2,These ads ran without a disclaimer,≤100,2
318006422243177,ALBA Network,These ads ran without a disclaimer,≤100,1
106626484829687,"ROGO INDUSTRIAL - SHANGHAI CO.,LTD",These ads ran without a disclaimer,≤100,1
185139171667,Daymond John,These ads ran without a disclaimer,≤100,5
100895058005475,Showtimeprime,These ads ran without a disclaimer,≤100,1
110255551714727,veganvoices.blog,These ads ran without a disclaimer,≤100,2
525421700832365,Protectors of The Wood Adventure Series,These ads ran without a disclaimer,≤100,3
1497732400313404,China Plus South Africa,These ads ran without a disclaimer,≤100,1
280145595198,The Pulse,These ads ran without a disclaimer,≤100,1
103929791073860,Inside Telecom,These ads ran without a disclaimer,≤100,2
166591246714313,Tetra Pak,These ads ran without a disclaimer,≤100,3
103919799259592,Frank Ocean02,These ads ran without a disclaimer,≤100,1
113783844670811,Dahabshiil UK,These ads ran without a disclaimer,≤100,1
102198132820604,Chris Clark,These ads ran without a disclaimer,≤100,1
115114358138360,Nanjing Memorial,These ads ran without a disclaimer,≤100,2
1455536261172068,Jeffrey Koterba,These ads ran without a disclaimer,≤100,1
105145215226592,Hon Amos Mwago Maina -Emirates,These ads ran without a disclaimer,≤100,1
102800215034719,Lux & Lush - Culture,These ads ran without a disclaimer,≤100,6
181109068422525,Oxford Centre for Leadership,These ads ran without a disclaimer,≤100,1
101674009233956,"Earthacre, Inc.",These ads ran without a disclaimer,≤100,1
107906294923895,Understanding China,These ads ran without a disclaimer,≤100,1
406705103057350,Learn To Play - Ithute Go Tshameka,These ads ran without a disclaimer,≤100,1
343135665787225,International Conference on Family Planning,These ads ran without a disclaimer,≤100,2
106227948722141,Bob Ledden Music Ministries,These ads ran without a disclaimer,≤100,6
1543000112660498,JAC Motors Global,These ads ran without a disclaimer,≤100,1
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100,1
108659475384219,IKUn02,These ads ran without a disclaimer,≤100,2
112058927594297,Siliyouth VIP,These ads ran without a disclaimer,≤100,1
111778357668873,Nexus Group Epc/Cmr -Sourcing & Procurement/Logistics & Transport,These ads ran without a disclaimer,≤100,1
107548082346493,Solange Costa,These ads ran without a disclaimer,≤100,1
102269075953907,Camille Sand,These ads ran without a disclaimer,≤100,15
2097200737168610,Celebration Church Tri-Cities,These ads ran without a disclaimer,≤100,1
101956255632720,Jessica's Green Channel,These ads ran without a disclaimer,≤100,1
113464173454943,Rector Cares Foundation,These ads ran without a disclaimer,≤100,1
113819386987858,leyalovenature,These ads ran without a disclaimer,≤100,1
114434291631957,The Style Gala,These ads ran without a disclaimer,≤100,4
105659649297042,Daily Discoveries,These ads ran without a disclaimer,≤100,4
102694049539010,Don't Starve: Pocket Edition,These ads ran without a disclaimer,≤100,3
105433098937696,Fun Magazine Club,These ads ran without a disclaimer,≤100,1
555723184909123,Магазин «Лейбштандарт»,These ads ran without a disclaimer,≤100,2
320129849418,מכללת יוזמות-אנשים יוזמים הצלחות,These ads ran without a disclaimer,≤100,2
107924027485097,AVIE - Australian Visa and Immigration Experts,These ads ran without a disclaimer,≤100,1
259259930609488,100yillikemanet,These ads ran without a disclaimer,≤100,1
383191870714,Carrot,These ads ran without a disclaimer,≤100,2
100537965761371,Elojob grind,These ads ran without a disclaimer,≤100,1
243619026045720,Bloog personal,These ads ran without a disclaimer,≤100,1
204369443772152,Hilário Trigo,These ads ran without a disclaimer,≤100,2
105743361735500,New to Money Português,These ads ran without a disclaimer,≤100,1
162345790986894,Center for Islam and Global Affairs,These ads ran without a disclaimer,≤100,1
109061044258418,Somali Cv,These ads ran without a disclaimer,≤100,1
1107005629310630,American English for Educators,These ads ran without a disclaimer,≤100,1
