Page ID,Page name,Disclaimer,Amount spent (PEN),Number of ads in Library
103218915010607,elprofearanda18,Karen Rosita Roman Carrasco,8129,19
1701687773439212,Giancarlo Guido Casassa Sánchez,Giancarlo Guido Casassa Sánchez,8114,229
887873504612353,R&G Indumentaria de Higiene y Seguridad,R&G Seguridad e Higiene Industrial SAC,8077,41
1282391668493028,Contraloría Perú,Walter Jesus Reátegui Abarca,8069,28
34839376970,Infobae,These ads ran without a disclaimer,8068,14
110520341675973,Sergio Meza - Miraflores,Sergio Meza,8042,42
2123223541294131,APP Región La Libertad,APP Región La Libertad,8036,130
109735297111847,Noticias Perú Digital,Juntas Vecinales de San Juan de Lurigancho,8035,5
934853546696132,Néstor De La Rosa,Nestor Evadio De La Rosa Villegas,8013,39
165837734193099,Pedro Morales Miranda,Acción Popular,7911,36
133074956714225,Jurado Nacional de Elecciones del Perú,Jurado Nacional de Elecciones,7894,20
108786050805720,Milton Jiménez Salazar,Ruben Aguedo Blanco,7794,74
103563761841458,Marleni Venancio Gobernadora Regional 2023,Gladys Marleni Venancio Jorge,7734,57
461756940672455,Ashanti Perú - Red Peruana de Jóvenes Afrodescendientes,Marco Ramírez,7723,34
153023865485753,Werner Salcedo,Yo apoyo a Werner Salcedo,7709,39
323258317840483,Walter Soto,Manuel Ignacio Chiroque Farfán,7610,64
2243526259054575,Marie Ayasta,Marie Ayasta,7599,64
182187855654330,Joel Ludeña VMT,Robert Joel Ludeña Guerra,7569,34
1950868351861257,Leo Huayama,Stockily,7477,34
102344912019605,El Mayor Riesgo es,Jaime Jose Eduardo Freundt Lopez,7473,223
124560987619120,Imasolu: Estudios de mercado y Marketing,Enzo Vittorio Elguera Echegaray,7458,43
1490129174650573,OIM Perú,Organización Internacional para las Migraciones - OIM Misión en el Perú,7275,57
794646070880649,Dr. Vera - Surco,David Ignacio Vera Trujillo,7199,49
335551357288,Flor de Maria Hurtado Valdez,Flor De Maria Hurtado Valdez,7176,51
109669331422877,Carlos Gonzales,Nelida Susy Montenegro Mess,7162,95
116121424417637,MERA - Loreto,Magaly Jackelin Guevara Ramires,7141,22
112315540399875,Propuesta Paco Gavidia,Propuesta Paco Gavidia,7047,120
102557756857513,Instituto Beta Internacional,These ads ran without a disclaimer,7042,6
1282391668493028,Contraloría Perú,Katherin Laulate Zambrano,7004,23
116059111093706,Johnny Fernández - Surquillo.,Juan Alberto Moreno M.,7003,47
274780695898253,Terrenos,These ads ran without a disclaimer,6999,13
109824238171396,Elías Rodríguez Página Oficial,Patricia Ysabel Paredes Valles,6993,141
101906631314054,Beto Alcalde de Cajamarca,Jorge Ernesto De Los Rios Alcalde,6991,37
102090498003506,Emerson Nolasco por Huancayo,Emerson Nolasco Delgado,6918,29
104062815744204,Javier Atkins - Alcalde,Javier Atkins Lerggios,6898,74
113777151342681,Javier Cipriani Thorne,Javier Cipriani Thorne,6863,14
1484332041689680,Roche Perú,Michael Axel Morris Martinez,6848,84
224951274503985,Walter Benavides - Tren,Priscilla Hilary Balarezo Salinas,6815,30
1413556535603177,Raúl Díaz Pérez,Raúl Diaz Pérez,6793,93
123983311020012,Lalo Albarracin,Eduardo Danilo Albarracin Ugarte,6786,60
1675145802541078,Betto Barrionuevo Por Ancash,Betto Barrionuevo Por Ancash,6762,41
553479874677490,Dante Mendieta,Cesar Raul Arias Montano,6740,55
101081159362698,Carlos Canales,Branco Zujnich Garcia,6685,104
424028077806278,KAS Perú,Konrad-Adenauer-Stiftung e.V.,6667,24
101816778261420,Piensa.pe,These ads ran without a disclaimer,6663,33
1030375900471593,Lenin Cruces,Lenin Salvador Cruces Crisostomo,6615,80
105835907510633,Patty Chirinos,Patty Chirinos,6584,16
242483566108002,Whetu,These ads ran without a disclaimer,6571,76
101720841658652,Medaly Huaman al Congreso por Ica,Loreny Medaly Huaman Huayta,6563,37
253615198009828,Anglo American,These ads ran without a disclaimer,6525,3
366120717468467,Bancada Podemos Perú,Mery Nataly Gonzales Enriquez,6520,1
108766290989199,Yovinson Vasquez,Yo Apoyo a Yovi Vasquez,6482,22
191569760893836,Chirapaq,Chirapaq Centro de Culturas Indígenas del Perú,6480,18
109721698040967,EnConsulta.pe,GOBIERNA CONSULTORES,6467,26
