Page ID,Page name,Disclaimer,Amount spent (VND),Number of ads in Library
106877281352810,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,Tài Liệu Thi Viên Chức Giáo Dục Đà Nẵng Quảng Nam,12161832,55
110304398015254,Shop Cờ - Bảng Tên Giám Đốc,These ads ran without a disclaimer,12152599,4
143596445509587,Helycan Plus - P͆hục Hồi Chức Năng Gan Độc Quyền Tại Nhật Bản,These ads ran without a disclaimer,12070973,1
1860179160927237,Cao Đẳng Kinh Tế Công Nghiệp Hà Nội - Hiec,These ads ran without a disclaimer,12068105,5
103497027790225,Fonos,These ads ran without a disclaimer,12033423,10
101157716141937,Thiết Bị 4.0 Giữ Gìn Hạnh Phúc Gia Đình No.2,These ads ran without a disclaimer,12029563,7
121571491640559,Hẹn Hò Đêm Khuya,These ads ran without a disclaimer,11924680,1
102728929486972,MISA - Phần mềm kế toán cho hộ kinh doanh,These ads ran without a disclaimer,11685004,1
186490161214848,SBI 証券,These ads ran without a disclaimer,11498072,92
113861050403050,𝐇.𝐈.𝐔,𝐇.𝐈.𝐔,11457269,2
102962101772058,Đầu Tư Sinh Lợi Nhuận Cùng Chuyên Gia 2023,These ads ran without a disclaimer,11396566,8
109930241788500,Tin nhanh nhất,These ads ran without a disclaimer,11386326,2
1064984776879562,iCheck - Tư vấn pháp lý doanh nghiệp,These ads ran without a disclaimer,11364750,1
111309798213194,Phạm Văn Thanh - Lương y nhân dân,These ads ran without a disclaimer,11104858,2
108277165511545,Mai Phương Thảo,These ads ran without a disclaimer,10926179,43
337406816356869,Chiến Lược Đầu Tư Thông Minh 02,These ads ran without a disclaimer,10851276,3
108856728563472,Phạm Văn Thanh,These ads ran without a disclaimer,10847739,28
122679611220006,Elmich Việt Nam,These ads ran without a disclaimer,10813230,14
1798435720478073,新華香港,These ads ran without a disclaimer,10758319,8
110734615258316,Trung Tâm Điều Trị U - Triệt Tiêu Các Tế Bào Ung Thư Số 2,These ads ran without a disclaimer,10752015,17
919479674872321,Báo Nghệ An,Báo Nghệ An,10729872,38
635258167101587,Casa Seguro,These ads ran without a disclaimer,10548617,3
109157028604361,Mong to Vu dep205188,These ads ran without a disclaimer,10468442,1
108715314693314,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,Tài Liệu Thi Viên Chức Giáo Dục TP.HCM - Bình Dương,10430134,53
112942043756657,Thầy Phạm Văn Thanh - Lương Y Việc Tử Tế VTV1,These ads ran without a disclaimer,10334602,4
101660069123848,Team Mọt Sách,These ads ran without a disclaimer,10319056,27
101806162300581,Nhìn Thế Giới,These ads ran without a disclaimer,10002363,2
200259883431589,Shop Thảo Nguyên,These ads ran without a disclaimer,10000518,7
120639184296937,Cổng tuyển sinh Cử nhân quốc tế - Trường ĐH Thương mại,These ads ran without a disclaimer,9850959,5
117083540091800,Chiến Lượt Đầu Tư Thông Minh 5.0,These ads ran without a disclaimer,9823225,3
102864619101836,BS Nam Phụ Khoa Cộng Đồng Thanh Hóa,These ads ran without a disclaimer,9736348,1
108287864810729,Living For House - Nhà Sản Xuất Kệ Tivi & Vách Ngăn Theo Yêu Cầu,These ads ran without a disclaimer,9723689,1
101011579422224,Nguyễn Thị Mỹ Linh,Nguyễn Thị Mỹ Linh,9644533,2
422268261221641,Trường Đại học Công nghiệp Việt - Hung,These ads ran without a disclaimer,9534551,2
102219442450208,Chứng Chỉ Đào Tạo Liên Tục - CME,These ads ran without a disclaimer,9392078,31
143720552165140,XUẤT KHẨU LAO ĐỘNG,These ads ran without a disclaimer,9309022,50
106467032191644,Đặc Trị Tiểu Đường - Phạm Văn Thanh,These ads ran without a disclaimer,9306318,7
104841159254736,Vào nhóm miễn phí-79,These ads ran without a disclaimer,9238472,3
110604598034173,Đầu Tư Thông Minh Cùng Shark 01,These ads ran without a disclaimer,9215405,3
106012250901990,Melvin Carter,These ads ran without a disclaimer,9130034,142
107818915229767,Viện Thẩm Mỹ Công Nghệ Hoa Kỳ,These ads ran without a disclaimer,9021811,9
120094027697933,Polo T304A,These ads ran without a disclaimer,8980156,144
117696277959696,Tập Đoàn Bất Động Sản Thiên Khôi,These ads ran without a disclaimer,8957246,4
101449409683433,Nhà Sách Hàng Buồm,These ads ran without a disclaimer,8902344,4
106034145583339,Lương Y Phạm Văn Thanh - Người Thầy Y Đức,These ads ran without a disclaimer,8539022,29
116603646922886,Maison De Mas,These ads ran without a disclaimer,8486701,2
107898722378886,Dr. Ji - Soo Kim CEO VTM KangJin,These ads ran without a disclaimer,8372180,1
105874202246209,Đất Nền Tp Thủ Đức,These ads ran without a disclaimer,8367825,4
144239423007,VOA Tiếng Việt,These ads ran without a disclaimer,8277563,54
105390405730263,Kiến thức thời 5.0,These ads ran without a disclaimer,8157857,4
102464511397493,Hội học sinh lớp 12,These ads ran without a disclaimer,8098007,2
697960006884266,Lala Shop,These ads ran without a disclaimer,8008309,2
1451313571865365,Set bộ 𝗕𝗨𝗭𝗢,These ads ran without a disclaimer,7940036,1
100377076121097,Chùa Long Hương - TT. Thích Tuệ Hải,These ads ran without a disclaimer,7770587,8
101478189323986,Đại Bắc Kạn,These ads ran without a disclaimer,7743928,35
102408709210154,Shop Phụ Kiện Đồ Ngành Cơ Sở 2,These ads ran without a disclaimer,7614164,15
107450548752811,Đầu Tư Tạo Thu Nhập Mỗi Ngày,These ads ran without a disclaimer,7459709,2
104214789123335,Thầy Thuốc Phạm Văn Thanh - Chữa Bệnh Giúp Đời,These ads ran without a disclaimer,7369801,2
105636805642383,Đầu Tư Cùng Chuyên Gia Tài Chính,These ads ran without a disclaimer,7203676,5
102146422666930,LACO - Hỗ Trợ Phụ Nữ Khởi Nghiệp,These ads ran without a disclaimer,7010112,12
102558396049256,Nano Công Nghệ Mới Trong Triệt Lông Vĩnh Viễn,These ads ran without a disclaimer,6951901,2
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,6905054,24
773648676112423,Người Nói Thật,These ads ran without a disclaimer,6864761,121
103216305974903,Thẩm Mỹ Như Ý - Tây Ninh,These ads ran without a disclaimer,6767614,8
109965001835839,Sức Khoẻ Gia Đình,These ads ran without a disclaimer,6738623,2
108727958582962,Phạm Văn Thanh - Chữa Bệnh Tiểu Đường CS1,These ads ran without a disclaimer,6730738,25
107547581906725,Hỗ Trợ - Tư Vấn - XKLD Châu Âu,These ads ran without a disclaimer,6717027,42
104693959076269,Phan Ngọc Tuyết,These ads ran without a disclaimer,6707915,3
159385977248107,Sức Khỏe Cho Gia Đình,These ads ran without a disclaimer,6699714,5
106617108988181,Hà Nôi Group,These ads ran without a disclaimer,6680487,2
107173111150146,Sách Giá Rẻ,These ads ran without a disclaimer,6663958,58
343858049878168,24HMoney - Giúp bạn đầu tư an toàn - hiệu quả.,These ads ran without a disclaimer,6603626,8
708421905912675,Đồ Chơi Và Chăm Sóc Xe Hơi Tuấn Tú,These ads ran without a disclaimer,6563590,8
202576100265403,Công Ty Cổ Phần Đầu Tư Phát Triển Công Nghệ GEC,These ads ran without a disclaimer,6507770,1
1256339311172444,Sofathecity.vn - Sofa The City,These ads ran without a disclaimer,6500000,6
100208312851344,Lương Y Phạm Văn Thanh - Đặc Trị Xương Khớp 0866.399.871,These ads ran without a disclaimer,6281851,14
101825789362820,An Nam Thảo Mộc Shop,These ads ran without a disclaimer,6240840,11
112633234789478,Nhất Nhất - Viên Giải Rượu Hàng Đầu Việt Nam,These ads ran without a disclaimer,6235197,21
105474898855374,Nhất Nhất - Viên Chóng Mặt Ngự Y Mật Phương,These ads ran without a disclaimer,6127469,7
102249956133487,Poljot Int VN,These ads ran without a disclaimer,6115172,27
116233817744098,Lương Y Phạm Văn Thanh - Khắc Tinh Của Cao Huyết Áp,These ads ran without a disclaimer,6101967,8
1625350890913575,Viettel Solutions,These ads ran without a disclaimer,6024072,6
105690422156944,Pregnancy treatment support.,These ads ran without a disclaimer,6007253,1
162365786952007,Phạm Văn Thanh Điều trị tiểu đường,These ads ran without a disclaimer,5957992,3
106382472450925,Nguyen Nhu Ngoc,These ads ran without a disclaimer,5927854,1
106475068390652,Lương Y Phạm Anh Đào - Đặc Trị Xương Khớp,These ads ran without a disclaimer,5849578,8
101957285428877,Thức Tỉnh,These ads ran without a disclaimer,5846874,4
111831663772285,Hóng Sài Gòn,BOMvn,5842272,31
102929185313108,Đầu Tư Thông Minh Cùng Shark,These ads ran without a disclaimer,5834883,3
185389268318893,DEZI,These ads ran without a disclaimer,5814840,3
522645624501598,ĐỒNG PHỤC HAGU - Cà Mau,ĐỒNG PHỤC HAGU,5796028,9
102579909197774,Lương y Phạm Văn Thanh Xương Khớp 0379.952.484,These ads ran without a disclaimer,5779315,15
109001788484612,Chương Trình Đào Tạo Từ Xa NNA - Học Viện Tài Chính,Chương Trình Đào Tạo Từ Xa NNA - Học Viện Tài Chính,5700417,17
153527284510409,Đặc Trị Dạ Dày Cao Việt Hoàng - Trang Chính Thức Của Đơn Vị,These ads ran without a disclaimer,5690648,2
128006913724255,Ăn Chay TV,Ăn Chay TV,5665077,4
1127037000729628,Chụp ảnh gia đình & trẻ em Suri studio,These ads ran without a disclaimer,5649337,1
1833964123545792,Thi THPT Quốc gia,These ads ran without a disclaimer,5649051,1
111753550232946,KFO - Chìa Khoá Du Học,These ads ran without a disclaimer,5617758,1
113021595028965,Bằng Cấp Chứng Chỉ - An Bình,These ads ran without a disclaimer,5570472,5
109079315342282,Phong Thủy Thiên Phúc,These ads ran without a disclaimer,5537004,5
103034068547820,Xuất khẩu lao động Du học Nhật,These ads ran without a disclaimer,5444721,2
130233404302747,Đại học Thái Nguyên hệ trực tuyến,Đại học Thái Nguyên hệ trực tuyến,5342268,35
103743245832245,Lương y Phạm Văn Thanh Xương Khớp Lào Cai,These ads ran without a disclaimer,5328505,1
114658477052849,Lương Y Việc Tử Tế VTV 1 - Phạm Văn Thanh,These ads ran without a disclaimer,5325707,12
425785940878733,Mitsubishi Kiên Giang,Mitsubishi Kiên Giang,5264787,41
101717315251601,Thanh Lam,These ads ran without a disclaimer,5226578,9
169084273164941,International marine coatings,These ads ran without a disclaimer,5196036,1
129515624270996,Nha Khoa Paris Hải Phòng,These ads ran without a disclaimer,5141846,6
120739730959570,Người Thật Nói Thật,These ads ran without a disclaimer,5094043,59
108271104804118,VPBank Thanh Hoá,These ads ran without a disclaimer,5071994,7
574988209660767,Cổ Phần UST - Sản Sinh Triệu Phú,These ads ran without a disclaimer,5051761,2
113087840370565,CSKH - Mở Thẻ Tín Dụng MB BANK,These ads ran without a disclaimer,4996290,3
104179909126401,Đi XKLĐ Lao Động Đài Loan,These ads ran without a disclaimer,4971278,3
101865258169428,ĐEN Secondhand,ĐEN Secondhand,4968259,76
1503061026589572,Master NLP Ngat Pro,These ads ran without a disclaimer,4947585,12
308975542957038,Tỉnh An Giang,Tỉnh An Giang,4910488,11
112317987937655,Gỗ Liên Hà - Chung Hiệp,These ads ran without a disclaimer,4897347,33
107120452344257,Phát Triển Kinh Tế Cùng Chuyên Gia 2023,These ads ran without a disclaimer,4874125,3
106803488995147,Kinh Tế Tài Chính Thông Minh,These ads ran without a disclaimer,4861845,1
1738196099832944,Benson,These ads ran without a disclaimer,4855891,1
118404221555639,Phạm Thành Long,These ads ran without a disclaimer,4829400,1
104818678000082,Duy Nhất - Bằng Cấp Chứng Chỉ,These ads ran without a disclaimer,4810935,4
110686385087883,Tăng Thu Nhập Cùng Chuyên Gia,These ads ran without a disclaimer,4810935,2
102423882134348,Insight Hà Nội,These ads ran without a disclaimer,4781620,117
101320269379997,Sức khỏe BN Ung bướu,These ads ran without a disclaimer,4768032,1
