Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
891026641232102,Global SEO Agency,These ads ran without a disclaimer,≤100,2
257330274119372,Life in Europe,These ads ran without a disclaimer,≤100,2
148436471965686,OST - Ostschweizer Fachhochschule,These ads ran without a disclaimer,≤100,1
100734348558831,Primarschuleulchen,These ads ran without a disclaimer,≤100,1
151227721580484,Burckhardt,These ads ran without a disclaimer,≤100,1
101837288924546,Muslimi,These ads ran without a disclaimer,≤100,6
102567829485721,EU-News,These ads ran without a disclaimer,≤100,1
610696639428997,VEOCEL,These ads ran without a disclaimer,≤100,5
281208875290477,Škoda Motorsport,These ads ran without a disclaimer,≤100,2
264948613363175,European Life,These ads ran without a disclaimer,≤100,4
350358988493441,VU Ortsgruppe Schaan,These ads ran without a disclaimer,≤100,2
173452976040049,Lee Yi Shyan,These ads ran without a disclaimer,≤100,5
139654236100628,يونيسف – اليمن UNICEF Yemen,These ads ran without a disclaimer,≤100,2
202302312977190,News in Europe,These ads ran without a disclaimer,≤100,3
478670012154037,Think Then Choose Wisely,These ads ran without a disclaimer,≤100,6
106965245576004,begleitendberatend,These ads ran without a disclaimer,≤100,1
100351636343294,Germ-News,These ads ran without a disclaimer,≤100,1
168345929702922,Booking Your,These ads ran without a disclaimer,≤100,1
263516006839738,EU-News,These ads ran without a disclaimer,≤100,2
102477742553018,Aurorannie,These ads ran without a disclaimer,≤100,4
114319561948157,PCRF - Palestine Children's Relief Fund,These ads ran without a disclaimer,≤100,4
275758569814605,Cooking 4 All,These ads ran without a disclaimer,≤100,2
830178540464141,Sheertex,These ads ran without a disclaimer,≤100,1
628821723950814,reMarkable,These ads ran without a disclaimer,≤100,1
244248168775880,Cult anime of the 70s,These ads ran without a disclaimer,≤100,1
189311407592731,SMA Dua İkra'ya Umut Ol,These ads ran without a disclaimer,≤100,4
227811530417556,European Voice: Events and Analysis,These ads ran without a disclaimer,≤100,1
1845128402441633,Tepito Alvaradeño,These ads ran without a disclaimer,≤100,2
108025901546999,stefaniaimmersi,These ads ran without a disclaimer,≤100,1
108245325127096,Fellas Koff,These ads ran without a disclaimer,≤100,4
107483864336789,I am a Casting Worker,These ads ran without a disclaimer,≤100,7
211109242278113,Alimentarium,These ads ran without a disclaimer,≤100,1
102299546168565,Web Summit Qatar,These ads ran without a disclaimer,≤100,4
492602880810729,David Garcia,These ads ran without a disclaimer,≤100,2
104877488982288,SLB,These ads ran without a disclaimer,≤100,4
902485329837313,NinjaOne,These ads ran without a disclaimer,≤100,5
178674135334159,Parrot: AI Voice Generator,These ads ran without a disclaimer,≤100,1
106573982164096,GP Real Estate,These ads ran without a disclaimer,≤100,1
103122639107936,Sabai-Boutique,These ads ran without a disclaimer,≤100,2
106938804271614,193 Viagens,These ads ran without a disclaimer,≤100,1
102749896226364,חיים בשביל החי,These ads ran without a disclaimer,≤100,5
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,≤100,4
244192865606024,People in Need,These ads ran without a disclaimer,≤100,3
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,1
1953505031553396,SOREG-glide,These ads ran without a disclaimer,≤100,1
267693259761418,Life in Europe,These ads ran without a disclaimer,≤100,1
183062804899865,European Life,These ads ran without a disclaimer,≤100,2
583446158673621,Jaime U. Rodriguez,These ads ran without a disclaimer,≤100,1
116348888049995,Interlitica,These ads ran without a disclaimer,≤100,2
626987914308883,PlanetCare,These ads ran without a disclaimer,≤100,2
155438574470276,DW українською,These ads ran without a disclaimer,≤100,23
104737415452901,Gopro Offical,These ads ran without a disclaimer,≤100,7
112639961763738,European Perspective: Analyses and Forecasts,These ads ran without a disclaimer,≤100,2
217924108073667,EU.News,These ads ran without a disclaimer,≤100,2
112418863928162,Barja TV,These ads ran without a disclaimer,≤100,3
229238296938367,Вести,These ads ran without a disclaimer,≤100,1
844386315584131,Volvo Construction Equipment,These ads ran without a disclaimer,≤100,4
356522324380914,Donatella Arpaia,These ads ran without a disclaimer,≤100,3
0,Instagram User 681044246,These ads ran without a disclaimer,≤100,1
137362459628004,CHAPEAU CLAQUE,These ads ran without a disclaimer,≤100,1
103558317830895,Carbfix,These ads ran without a disclaimer,≤100,1
140187489383374,ICH LIEBE BERGE,These ads ran without a disclaimer,≤100,1
645738972165960,IRU,These ads ran without a disclaimer,≤100,5
118417904617996,T-live,These ads ran without a disclaimer,≤100,1
