Page ID,Page name,Disclaimer,Amount spent (CLP),Number of ads in Library
100545818677825,Manuel León Saa,Manuel León Saa,381594,52
104691281619903,Alfredo Montiglio Concejal,Alfredo Montiglio,381573,20
102761678378619,Tamara Jofré CORE,César Antonio Jara González,381480,21
110835964029132,Var Constitucional,These ads ran without a disclaimer,381256,16
179469489118356,UDLA Chile,These ads ran without a disclaimer,381125,21
409975382947239,Noizz,These ads ran without a disclaimer,381077,3
1701906196802009,Roy Crichton Consejero Regional,Roy Anthony Crichton Orellana,381051,28
104470871653939,Sofía González,Sofía Alejandra González Cortes,380705,36
100238252035960,Patricia Veloso Constituyente,Patricia Cecilia Veloso Estuardo,380671,25
102303738550008,María Fernanda Leiva  #todasseremosconcejalas ARICA,María González,380665,5
104778324925330,"Wladimir Manzano Barrientos, Constituyente Región de los Ríos",Wladimir Cesar Luis Manzano Barrientos,379999,10
104247191662127,Alonso Rojas Concejal Talca,Alonso Alberto Rojas Fuentes,379993,8
100472957985747,Las cosas como son,Gerardo Andres Ruz Verdugo,379968,11
100916182367499,Carmen Gloria González Burns,Carmen Gloria González Burns,379797,4
101320445304899,Luz  Alca Turra,Luz Eliana Alca Turra,379453,25
101579022115580,Javiera Morales,Javiera Ignacia Morales Alvarado,379323,20
386423238164424,Enel Chile,These ads ran without a disclaimer,379307,11
109781764482969,Rita Navarro CORE 2022,Francisco Cienfuegos Gschwind,378931,8
219604415183881,Luis Alvarez gestión de créditos.,Avila & Asociados SPA,378216,3
104549534870940,Nolberto Zúñiga Constituyente Distrito 15,Nolberto Alexander Zúñiga Contreras,378065,15
905815502862897,Concejal Eduardo Velásquez,Jose Eduardo Velásquez Lagos,377975,41
100561702399251,"Gigliola Carlevarino Weitzel, UNA MUJER LEGAL - CORE 2021",Gigliola Maria Carlevarino Weitzel,377297,11
109390554306758,Jesica Barrientos Duran candidata Alcaldesa de Corral,Jesica Barrientos,377225,16
100958668764448,María Dolores Irarrázaval Ferrada,María Dolores Irarrázaval Ferrada,376838,25
102607469142322,Separo&Reciclo,Bruno Vincensso Giorgio Ardito Devoto,376632,4
107917454666018,Mono Costa,These ads ran without a disclaimer,376519,2
108139672208391,Josefa Balmaceda Consejera Constitucional Ñuble,Josefa Javiera Balmaceda V,376486,9
120435236020293,Avila & Asociados Fabiola Rojas,Avila & Asociados,376459,8
1215465898518286,Mauricio Avila Quillota,Mauricio Javier Pino Avila,375879,44
100157495407742,Felipe Martínez - CORE Malleco,Felipe Andres Martínez Reyes,375485,48
101187975635797,Evelyn Aguilar CORE por Malleco,Evelyn Nataly Aguilar Garrido,375448,11
338579090666152,Álvaro Retamal Politico,Álvaro Gonzalo Retamal Matus,375210,13
108747117711532,Pedro Ulloa Armijo,Pedro Javier Ulloa Armijo,375149,23
105510271765831,Karina Acevedo Auad,Karina Acevedo,375000,39
677671179027050,James Argo,James Daniel Argo Chavez,374861,4
826107920824768,Guido Carreño,Guido Carreño,374645,33
105346268260797,Isabel Quiroz,Isabel Quiroz,374344,20
101513288628115,Javiera Mora Gatica,Javiera Rayén Mora Gatica,373722,5
347512496297156,Verónica Del Real,Verónica Del Real,373470,15
188859644571444,Diego Ancalao Gavilán,Diego Alexis Ancalao Gavilán,372948,8
896740030460443,Lorena Vera Arriagada,Lorena Andrea Vera Arriagada,372669,35
110097614776159,Priscilla Zavala Romero psicoterapeuta,Priscilla Zavala Romero,372523,31
518029991591379,Carlos Soto Alcalde,Carlos Soto González,372146,12
101163561921694,Nelson Constituyente XJ-8,Nelson Enrique Agurto Pavez,372060,63
445594468814604,Héctor Ulloa Aguilera,Héctor David Ulloa Aguilera,371939,11
1056975951116441,Alicia Acuña Galleguillos,Alicia Acuña,371867,41
122454381739822,Funcionarios DAEM Unidos,Carlos Valdes Bustamante,371854,17
107637361656168,Amtmann Diputado AH-73,Carlos Alberto Amtmann Moyano,371720,6
169612657301318,Grupo Bonsai,Grupo Bonsai SpA,370911,10
114810483250743,Revolución Radical - PAC - Gabriel Araya,Gabriel Claudio Araya Beiza,370885,89
120388443206712,Marco Vásquez  Concejal Temuco 2021,Marco Ulloa,370797,20
365592126843567,Guido Benavides,Guido Omar Benavides Araneda,370541,6
107734807826108,Juan Pablo Rodríguez O,Juan Pablo Rodríguez,369991,13
100936637954111,Richard Castro - Ingeniero Civil Industrial,Richard Enrique Castro Núñez,369883,34
206336146818055,Subsecretaría de Prevención del Delito,These ads ran without a disclaimer,369680,4
100872665204647,Gabriel Molina Villanueva,Gabriel Jorge Molina Villanueva,369474,50
100246105094996,Valeska Sanhueza Cid,Eliana Valeska Sanhueza Cid,369234,18
100303162035265,Guido Velásquez,Guido Alonso Lillo Velasquez,368955,29
216482558421557,María Ayuda,These ads ran without a disclaimer,368834,4
100441938505090,Gerardo Ricardo Barrera Miranda,Gerardo Ricardo Barrera Miranda,368632,10
