Page ID,Page name,Disclaimer,Amount spent (AOA),Number of ads in Library
0,Instagram User 134738973,These ads ran without a disclaimer,2609,1
107120041027631,Ministério Conheça-se,These ads ran without a disclaimer,2601,1
2092924957605425,Solis,These ads ran without a disclaimer,2600,5
535503280269676,Xinhua Culture&Travel,These ads ran without a disclaimer,2573,4
110123501807347,Babikir Adam Ali,These ads ran without a disclaimer,2565,3
108005945590316,Elinaldo Silva,These ads ran without a disclaimer,2545,3
131189377574,MDPI,These ads ran without a disclaimer,2544,57
371171589575669,China.org.cn,These ads ran without a disclaimer,2513,7
719952321492690,UNFPA Angola,These ads ran without a disclaimer,2435,2
107954162096392,Institute of Public Policy & Diplomacy Research,These ads ran without a disclaimer,2426,2
479285342097950,AeroTime,These ads ran without a disclaimer,2426,6
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,2417,37
110917371847867,Marisol Ortiz,These ads ran without a disclaimer,2416,2
100910104737405,"Zhejiang Zenbo Intelligent Machinery Co.,Ltd.",These ads ran without a disclaimer,2393,1
104929039128172,Hoshi Kem Trẻ Hóa Làn Da - Xóa Nám Tàn Nhang,These ads ran without a disclaimer,2374,13
122121664535323,TrovadorPR (Macedo Junior),These ads ran without a disclaimer,2346,3
170360176854212,La JEUNE GARDE,These ads ran without a disclaimer,2304,4
551015755048116,Lox Recicla,These ads ran without a disclaimer,2296,1
111257452230362,𝙔𝙪𝙨𝙪𝙛 𝘾𝙝𝙖𝙢𝙗𝙚𝙧𝙨,These ads ran without a disclaimer,2291,9
243823465988576,Fãs do Enfermeiro Forense Albino Gomes,These ads ran without a disclaimer,2272,1
101837288924546,Muslimi,These ads ran without a disclaimer,2235,48
194874140385209,Poder da Manifestação,These ads ran without a disclaimer,2176,19
1777684989180764,AGAA- Associação dos Gestores e Administradores de Angola,These ads ran without a disclaimer,2151,1
103377668330393,Mirësi Për Botën,These ads ran without a disclaimer,2117,5
315212041927042,Cibereporter,These ads ran without a disclaimer,2114,1
124252504303223,UNICEF (FR),These ads ran without a disclaimer,2113,6
102856752485649,Apkshop86,Pedro De Carvalho Faustino,2087,2
184661098229492,Global Development Network,These ads ran without a disclaimer,2078,1
116927603191791,R&C Aliança,These ads ran without a disclaimer,2033,2
110087151496085,Gedeon mbuyi,These ads ran without a disclaimer,2005,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,1966,1
584462848713978,Oliveira Labs,These ads ran without a disclaimer,1942,5
155174084508744,Banque mondiale,These ads ran without a disclaimer,1913,35
102378709341708,Boubacar Diallo,These ads ran without a disclaimer,1863,3
104943288991526,Angolaqualaideia,These ads ran without a disclaimer,1863,1
108909861879005,César Chiyaya I,These ads ran without a disclaimer,1863,6
576998768997609,Josefinas,These ads ran without a disclaimer,1863,7
284448985537354,Carmen decorações-Comércio e prestação de serviços,These ads ran without a disclaimer,1861,1
503951883021764,ShareTheMeal,These ads ran without a disclaimer,1844,1
