Page ID,Page name,Disclaimer,Amount spent (QAR),Number of ads in Library
1633208693573636,Made In Qatar - معرض صنع في قطر,These ads ran without a disclaimer,≤100,1
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,≤100,65
106809688968674,ChatOn - AI Chatbot Assistant,These ads ran without a disclaimer,≤100,1
203192656207660,Globe Trotters Society,These ads ran without a disclaimer,≤100,1
1818721128360253,Enel Group,These ads ran without a disclaimer,≤100,1
0,Instagram User 7507992034,These ads ran without a disclaimer,≤100,4
104906609102724,Partanna,These ads ran without a disclaimer,≤100,2
2012617162329822,AI Chat · Chatbot Assistant,These ads ran without a disclaimer,≤100,15
116121994786800,Hamid Jobs,These ads ran without a disclaimer,≤100,1
279033625293280,Instant Strategy,These ads ran without a disclaimer,≤100,1
152204814645267,Skyline Business Solutions,These ads ran without a disclaimer,≤100,1
430910927754241,مؤسسة منبر الأقصى الدولية,These ads ran without a disclaimer,≤100,1
855254981507596,Atheer – أثير,These ads ran without a disclaimer,≤100,44
102498564631055,Asharq News الشرق للأخبار,These ads ran without a disclaimer,≤100,36
107823554020413,scenery_qtr,These ads ran without a disclaimer,≤100,14
244108199019564,الأسواق العربية - Al Arabiya Business,These ads ran without a disclaimer,≤100,2
103169972625378,Al Nahar Pools,These ads ran without a disclaimer,≤100,1
108709428924842,Speakeazy Academy #10,These ads ran without a disclaimer,≤100,1
1408906946037255,Reach Education Fund,These ads ran without a disclaimer,≤100,2
104035911692079,Life Changing Opportunity,These ads ran without a disclaimer,≤100,1
108032181861181,Suno News HD,These ads ran without a disclaimer,≤100,2
109694697539764,Aeroclass,These ads ran without a disclaimer,≤100,2
104944068207070,"دەسرازە""""""""Dasraza",These ads ran without a disclaimer,≤100,1
101313852689002,أوكرانيا.ua,These ads ran without a disclaimer,≤100,6
105079731297653,BS Sports,These ads ran without a disclaimer,≤100,1
111534661417693,carfection_qa,These ads ran without a disclaimer,≤100,1
101445542773435,قطر اليوم,These ads ran without a disclaimer,≤100,1
156590874200971,Saloon 24,These ads ran without a disclaimer,≤100,1
135156639833927,United Nations OCHA,These ads ran without a disclaimer,≤100,26
106212182508242,Éstee Lauder Viet Nam 1,These ads ran without a disclaimer,≤100,4
126233413898877,N S R Real Estate,These ads ran without a disclaimer,≤100,1
0,Instagram User 4517301936,These ads ran without a disclaimer,≤100,2
107141741884439,Aqua Resort Tabarka - Folla Immobiliere,These ads ran without a disclaimer,≤100,1
251976498539216,Erwin Tulfo,These ads ran without a disclaimer,≤100,2
108716365433681,Homewalkers,These ads ran without a disclaimer,≤100,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
1405925962994362,Tato's Sport Bar & Grils,These ads ran without a disclaimer,≤100,2
908878692509737,العين الإخبارية,These ads ran without a disclaimer,≤100,3
670688686620124,Mercy Bakery - HRD,These ads ran without a disclaimer,≤100,2
102635655320437,Number Match - Logic Puzzle Game,These ads ran without a disclaimer,≤100,25
0,Instagram User 1433392282,These ads ran without a disclaimer,≤100,1
105728695286283,الشرق للأخبار - السودان,These ads ran without a disclaimer,≤100,17
102531622050945,kadota.photography,These ads ran without a disclaimer,≤100,1
112221596937496,Human Appeal - هيومان أبيل,These ads ran without a disclaimer,≤100,9
101384562812964,Khalid Jassim-خالد جاسم,These ads ran without a disclaimer,≤100,3
106348777819098,qatar_al.amri,These ads ran without a disclaimer,≤100,1
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,≤100,2
170088336367299,Slate Supplies Limited,These ads ran without a disclaimer,≤100,1
108546307213896,Gradient,These ads ran without a disclaimer,≤100,2
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,≤100,8
109740401743371,jennifer_dwyer_eaa,These ads ran without a disclaimer,≤100,1
106478828440337,𝐈̲𝐧̲𝐬̲𝐢̲𝐝̲𝐞̲ ̲𝐢̲𝐧̲𝐟̲𝐨̲𝐫̲𝐦̲𝐚̲𝐭̲𝐢̲𝐨̲𝐧̲ ̲ ̲,These ads ran without a disclaimer,≤100,2
101432899149374,dxbrealestate1,These ads ran without a disclaimer,≤100,7
101709235817625,Whiteout Survival,These ads ran without a disclaimer,≤100,1
68793499001,UNICEF,These ads ran without a disclaimer,≤100,6
180520171996876,IslamInSpanish,These ads ran without a disclaimer,≤100,2
132964073227824,Qatar Press Center,These ads ran without a disclaimer,≤100,1
1374826826104281,Sensibo,These ads ran without a disclaimer,≤100,5
158417644209993,Gulfood,These ads ran without a disclaimer,≤100,5
113824731604668,الأميرة سحاب بنت عبدالله بن عبدالعزيز آل سعود,These ads ran without a disclaimer,≤100,1
1524906604496888,Egyptian Ministry of Emigration - وزارة الهجرة المصرية,These ads ran without a disclaimer,≤100,2
168998779791313,Republic by Omar Farooq,These ads ran without a disclaimer,≤100,4
251360678068375,Newblacks,These ads ran without a disclaimer,≤100,43
107986242354911,Rifat 9,These ads ran without a disclaimer,≤100,1
267264199961398,Change the World Model United Nations,These ads ran without a disclaimer,≤100,5
1676399222631071,Sultana jewelry,These ads ran without a disclaimer,≤100,1
109756361870034,astrobuddy_ajeetjoshi,These ads ran without a disclaimer,≤100,1
2174675366185256,Madrasah Fathimatuz-Zahra,These ads ran without a disclaimer,≤100,1
105705122336783,Qatar Media Corporation,These ads ran without a disclaimer,≤100,3
116246721396621,rammaq.qa,These ads ran without a disclaimer,≤100,1
100557922734633,Aswani Nambarambath,These ads ran without a disclaimer,≤100,2
153371894688575,World Bank,These ads ran without a disclaimer,≤100,14
103122639107936,Sabai-Boutique,These ads ran without a disclaimer,≤100,4
0,Instagram User 2270287446,These ads ran without a disclaimer,≤100,1
107487804392451,اعلانات عامة في الامارات العربية المتحدة,These ads ran without a disclaimer,≤100,1
107347981003473,Heart of Carthage Real Estate Dubai,These ads ran without a disclaimer,≤100,1
2118367421525464,ZEE5,These ads ran without a disclaimer,≤100,6
342130776448155,Wa2fet Asayde Najib Sleiman Daoud,These ads ran without a disclaimer,≤100,1
105019576032744,Canada Visa Permit,These ads ran without a disclaimer,≤100,1
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,42
162775930259708,Doha+دوحة,These ads ran without a disclaimer,≤100,2
245094455536925,FOUR PAWS,These ads ran without a disclaimer,≤100,7
654254738073002,العيادات الملكية - Al Malakiya Clinics,These ads ran without a disclaimer,≤100,1
1517088885216557,AIG,These ads ran without a disclaimer,≤100,10
115525473150249,Paathshala ME,These ads ran without a disclaimer,≤100,1
262064054739409,Sunseed: The Journey,These ads ran without a disclaimer,≤100,6
105311938353424,Trading Legend รวยรวยรวย - 37Games,These ads ran without a disclaimer,≤100,3
794958520585756,Visit Dubai - سياحة دبي,These ads ran without a disclaimer,≤100,1
102182429042731,Silver Star Homes,These ads ran without a disclaimer,≤100,3
109247831893843,Umma Relief,These ads ran without a disclaimer,≤100,2
821430017924241,Sungrow,These ads ran without a disclaimer,≤100,12
103313495147585,Smartpmconsult,These ads ran without a disclaimer,≤100,2
102839468523186,APEX อันดับหนึ่งเลเซอร์ขน,These ads ran without a disclaimer,≤100,2
109859531484359,wedding_lighting_qatar_,These ads ran without a disclaimer,≤100,2
208529915880335,Stars of Science | نجوم العلوم,These ads ran without a disclaimer,≤100,1
104956087887614,Rajendran Vellapalath,These ads ran without a disclaimer,≤100,1
384422538296426,United Palestinian Appeal - UPA,These ads ran without a disclaimer,≤100,11
113520488298413,Gazze Destek Organization,These ads ran without a disclaimer,≤100,2
221365837883679,Egyptian Food Bank,These ads ran without a disclaimer,≤100,2
175590267993,Al Majalla,These ads ran without a disclaimer,≤100,23
110922585086326,Qat ar Ahmed,These ads ran without a disclaimer,≤100,1
169789673075263,DAMAC Properties,These ads ran without a disclaimer,≤100,4
