Page ID,Page name,Disclaimer,Amount spent (MYR),Number of ads in Library
427700247958401,大黑幫 The Grand Mafia,These ads ran without a disclaimer,16729,3
225685927482720,Pemuda PAS Selangor,DEWAN PEMUDA PAS NEGERI SELANGOR,16645,25
215595709033015,Hj Abdul Aziz Bin Talib,Ahmad Zulqurnain Binti Ghazalli,16610,35
114108987084519,The Unity Show,Rebecca Michelle Siaw,16446,29
101193781637538,sumbangan.com,sumbangan.com,16413,29
105095057904484,William Leong 梁自坚,Swee Sheun Lee,16381,134
375796079616853,Ridhwan Ali,Mohd Ridhwan Bin Mohd Ali,16212,104
100262998566710,Perikatan Nasional Gombak,Perikatan Nasional Gombak,15967,34
103627275288286,Lumi News Malaysia,Lumi Global Sdn Bhd,15667,82
425293244166119,Sehinggit,Sehinggit,15621,37
1437067599747909,Shaiful Hazizy Zainol Abidin - Tok Pon,Suhaimi Bin Che Noor,15242,109
211686202177960,Tahfiz Darul Rahman,These ads ran without a disclaimer,15174,6
104263289104340,Inisiatif Selangor,Inisiatif Selangor,15025,845
144925378892876,Seri Pajam Home,These ads ran without a disclaimer,14770,1
371737160366,Sarawak Update,Abdul Hakim Bin Bujang,14602,49
100953840043211,Mohamad Sabu,AMANAH,14233,55
237678573165,Dewan Pemuda Pas Kawasan Pandan,Farique Zubir,13922,25
104021868888952,Ng Kor Sim 黄炣卿,DAP Malaysia,13827,55
100784604641534,副善堂,These ads ran without a disclaimer,13683,19
101429085824775,Samsudin Ismail,Zulfadhli Sofian,13640,16
458646564346273,Parti Sarawak Bersatu - HQ,Parti Sarawak Bersatu - HQ,13565,97
622292127886490,Sarawak My Hometown 我来自砂拉越,Sarawak My Hometown 我来自砂拉越,13532,124
131870563493026,OHBULAN!,Rev Media Group,13486,73
102593758628148,Madona Exclusive,Madona Exclusive,13475,24
1653824431566261,BNforMalaysia.com,These ads ran without a disclaimer,13348,5
100601478794003,Bakri Jamaluddin,Ahmad Zulqurnain Binti Ghazalli,13265,36
446127318757289,Sirap Limau,Rev Media Group,13248,33
2091629871062811,Syed Abdul Razak Alsagoff,Syed Abdul Razak Alsagoff,13206,31
242385762996479,Che Alias Hamid,Che Alias Hamid,13150,26
409798562536881,Ini Sabah Bah,Ini Sabah Bah,12948,201
101291341431976,Azril Sarit,Azril Rizal Yusof Bin Mohd Sarit,12822,187
103982948565334,Kluster Kayangan,Mohd Rais Bin Omar,12684,31
104688308002388,陈昭宋 Cally Ting,陈昭宋 Cally Ting,12668,73
401340596873929,The True Net,The True Net,12663,4080
108747195377052,I Love Sarawak,GPS Sarawak,12606,11
384090614928,Khoo Poay Tiong (邱培栋),DAP Malaysia,12557,110
2377113695896213,Beep,These ads ran without a disclaimer,12512,13
113169080150399,Pendapat Malaysia,These ads ran without a disclaimer,12445,52
658336284498542,Dato' Mohd Rosli Ramli,Dato' Mohd Rosli Ramli,12389,22
112918013453569,PAS Terengganu,PAS TERENGGANU,12377,26
200627917067197,Nengok TV,Melaka Plus,12223,34
1440798055978585,Warisan Anak Malaysia,Parti Warisan Sabah,12200,32
135856610910,Liew Chin Tong,DAP Malaysia,12130,35
253496428070104,Tey Kok Kiew 鄭國球,Best Mastery,12129,30
372948932795326,Dewan Pemuda PAS Negeri Terengganu official,Dewan Pemuda PAS Negeri Terengganu official,12079,180
47298465905,Malaysiakini,FG Media Sdn Bhd,12037,42
604742389649107,Seekers Notes,These ads ran without a disclaimer,12027,11
107701342146047,Yeop Zainol for Teluk Intan,Zainol Fadzi,12010,104
104379168304333,Getaran,Edryana Binti Muhamad Idrus,11986,70
221096761346,Utusan Online,Media Mulia Sdn Bhd,11961,139
1392661327721093,Pemuda PAS Hulu Selangor,Pemuda PAS Hulu Selangor,11871,141
109951201242447,Perkim Datuk Keramat Donation,These ads ran without a disclaimer,11862,89
194176867658730,Chua Jian Boon 蔡建文,Jian Boon Chua,11724,24
401788663279891,Yayasan Sofa Negeri Sembilan,Mohd Rizwan Bin Abdullah,11609,21
154163327962392,World Health Organization (WHO),These ads ran without a disclaimer,11503,15
103999858257844,Ustaz Mohd Noor Shahar,Ustaz Mohd Noor Shahar,11399,7
1461030033961295,Persepsi Rakyat,Persepsi Rakyat,11350,438
1529563417302750,Pemuda UMNO Temerloh,Azril Rizal Yusof Bin Mohd Sarit,11274,247
163611310997367,Kubang Kerian Sejahtera,Kubang Kerian Sejahtera,11248,44
115531496522198,Ustaz Zamani Ibrahim,Ustaz Zamani Ibrahim,11212,18
110600987268911,Fans of TMJ - Tunku Ismail,Muhammad Amirul Bin Tumpang,11161,15
593529354077239,Akmal Nasir,Akmal Nasir,11154,49
112432693935773,Datuk Jake Nointin official,Jia Jun Lee,11074,26
623786861080075,Mohd Sharkar Shamsudin,Muhamad Khalid Bin Tan,11006,70
106966188593615,Maimunah Safwah Musa,Widanita Shahnaz Bt Mohd Mokhsin,10917,84
101765702134562,Perkim Datuk Keramat Funds,These ads ran without a disclaimer,10822,9
107587144749797,PSB Batu Kitang N.13 - Liu Thian Leong 刘天亮,Bradley Anak Tutong,10689,123
159556865294,Nik Nazmi,Nik Nazmi,10586,573
2331568353729375,Bowling Crew,These ads ran without a disclaimer,10585,12
102741461946181,一念逍遙,These ads ran without a disclaimer,10541,4
1423136211324341,南洋商报 Nanyang Siang Pau,南洋商报 Nanyang Siang Pau,10500,72
459834304085543,Lembah Jaya Sejahtera,Lembah Jaya Sejahtera,10497,13
101068662491361,Ayub Ashri,Ayub Ashri,10489,24
102389859349314,Nazrul Nazir,Shahidatul Aida Binti Mhd Said,10489,31
103122425063527,Mohd Tarmizi Yahaya,Nazim Bin Maarop,10445,62
100682875880155,Doctor's Voice,These ads ran without a disclaimer,10409,5
327277427664416,Nor Idayu Hashim,Nor Idayu Hashim,10409,10
70288410464,当今大马 (Malaysiakini Chinese Version),FG Media Sdn Bhd,10350,30
1096348583725940,Lotsa Slots,These ads ran without a disclaimer,10333,1
202159623191198,Kosmo Online,Kosmo Online,10328,115
103164978195601,Fadzli Kamal,Fadzli Bin Mohamad Kamal,10312,64
426073850771265,Kompleks Pendidikan Islam Ibnu Nafis,Dana Wakaf Pembangunan Kompleks Pendidikan Islam Ibnu Nafis,10273,46
100569215711534,Sinar Daily,Sinar Daily,10254,173
248986568895243,Speechify,These ads ran without a disclaimer,10241,22
428782500998481,Cally Ting Zhao Song,Cally Ting Zhao Song,10224,62
179976812184601,Ewon Ebin,Oscar Donavan E Ebin,10030,117
108606310874383,Keyence Malaysia,These ads ran without a disclaimer,9902,1
2046384608948411,Ronald Sia（谢委健）,Wee Yet Sia,9861,36
415156035216227,Wilfred Yap Yau Sin,Alexander Hii Lu Hock,9840,136
100101571395618,Rumah Selangor Milik Ku,These ads ran without a disclaimer,9840,1
176524702365183,Gan Ping Sieu 颜炳寿 （Official Page）,MCA KLUANG,9824,12
788404004558134,UPKO Malaysia,UPKO Malaysia,9822,72
102052620363787,中国免学费留学 NCB Education 万融教育,Kah How Yong,9780,44
103501664865011,Pondok Tazkiyatun Nafs Al-Munir,Pondok Tazkiyatun Nafs Al-Munir,9753,52
109246994982100,I Am DSSA,I Am DSSA,9670,27
102073631176770,Azalina Abdul Rahman,Azalina Binti Abdul Rahman,9599,55
103577585842704,Selangor,Inisiatif Selangor,9570,766
109281180558241,刘薏雯,刘薏雯,9551,21
197799207237326,Pakatan Harapan,AMANAH,9514,24
338337349592261,Yusmadi Yusoff,Mohd Yusmadi Bin Mohd Yusoff,9502,118
135643903798815,Onn Hafiz Ghazi,Nur Hani Binti Ra'il,9475,49
120997580169062,Asam Pedas Melaka,Nur Hayati Binti Hassan,9470,7
333762569997423,Dato' Sri Tuan Ibrahim bin Tuan Man,Dato' Sri Tuan Ibrahim bin Tuan Man,9412,60
218489054960990,Vinod Sekhar and The Malaysia Movement,Vinod Sekhar and The Malaysia Movement,9400,12
100173982517485,MyUndi,MyUndi,9387,123
109530075225317,Rezeki Infaq,Nurhaniz Binti Mohamad Shah,9262,25
102488519333212,Ivone Low Yi Wen,Ivone Low Yi Wen,9248,17
719853864726295,Mindvalley,These ads ran without a disclaimer,9193,63
109567768566893,Dakwah Pedalaman,Portal Mudah,9183,16
2164630037156785,Adly Zahari,AMANAH,9178,64
100856848499442,Dr. Abd Latiff Ahmad,Mohd Ikhmal Abu Bakar,9133,98
1875700096018288,Tan Chee Hiong,Tan Chee Hiong,8924,39
1831844263787221,Ustaz Zukirnain Abdul Kadir P034 Setiu,Mohd Faris Ameir Bin Ibrahim,8848,281
112751291668088,𝐓𝐞𝐜𝐡 𝐒𝐭𝐫𝐞𝐞𝐭 3,These ads ran without a disclaimer,8834,9
220590201291065,Parti Islam Se-Malaysia (PAS) Pusat,Parti Islam Se-Malaysia (PAS) Pusat,8791,36
103883872539224,Ridhwan Rasman P156 Kota Tinggi,Umar Bin Abdul Aziz,8729,41
928874154117959,Azli Yusof,AMANAH,8647,55
289963741156793,We Fully Support BN 我们全力支持国阵,We Fully Support BN 我们全力支持国阵,8614,65
106507455187996,Mohamad Kamal Mohamed,Mohamad Kamal Mohamed,8558,31
907406112657476,Andi Suryady,Andi Suryady,8506,48
107047938456392,Jam2u.com,VIDARA SDN BHD,8502,84
384090614928,Khoo Poay Tiong (邱培栋),Pusat Khidmat Rakyat Parlimen Kota Melaka,8475,123
999188666785524,阿里巴巴集團,These ads ran without a disclaimer,8442,12
108305664315666,Lim Ting Khai,Lim Ting Khai,8424,47
110985933770010,Era Malaysia Baru,Anuar Bin Mohd Nor,8297,111
1792548424157249,Media Sungai Buloh P107,Media Sungai Buloh P107,8261,29
100345532977273,Tiada Janji Lihat Bukti,Tiada Janji Lihat Bukti,8259,11
103024834682583,Michael Kong Feng Nian 江峰年,Michael Kong Feng Nian,8186,211
1042959342452838,Abang Halil Abang Naili,Parti Amanah Negara,8151,100
135289458465,NST Online,NST Online,8107,29
100831459390929,Angkasa Advisory,These ads ran without a disclaimer,8102,3
102674541554461,Hj Nicholas Sylvester,Portal Mudah,8097,94
1772535526329042,Friends Of Selangor,Friends Of Selangor,8095,182
38348181435,Khalid Samad,AMANAH,8085,53
200969413280005,Shell,These ads ran without a disclaimer,8075,3
120997580169062,Asam Pedas Melaka,Zulhilmi Hazwan Bin Saifulizam,8056,3
109126374940503,Arif Paijo,Shahidatul Aida Binti Mhd Said,8051,77
103650461352854,Persepsi Tambun,Ewan Shazwan,8013,62
1842657632659388,Baljit Singh,Baljit Singh,7960,190
242624549154600,Wong Kah Woh,DAP Taiping,7933,22
109369361740547,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,照福老人残障护理之家 Pertubuhan Kebajikan Warga Emas Zao Fu,7924,14
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,Ustaz Muhammad Fawwaz Mohamad Jan,7924,37
225392457942420,Shahir Adnan,Mohd Shahir Bin Adnan,7883,193
16194831839,Anwar Ibrahim,Anwar Ibrahim,7853,89
105274205729426,Mohd Johari Bin Hussain,Salman Bin Mohd Zaki,7845,36
464638120290369,Ustaz Abdullah Husin,PAS,7841,30
282296091858802,Chan Foong Hin 陈泓缣,Chan Foong Hin 陈泓缣,7788,29
103164978195601,Fadzli Kamal,Fadzli Kamal,7778,19
647036338824906,Tan Chee Hiong 陈志雄,Tan Chee Hiong 陈志雄,7767,45
977359452338972,Allex Seah谢守钦,Shoo Chin Seah,7758,29
100414095066894,阿米,Team阿米,7690,32
104398771409285,Perikatan Nasional,Mohd Ikhmal Abu Bakar,7603,25
115195725281815,Noh Omar,Noh Omar,7602,65
575504419140835,Yeo Tung Siong 杨敦祥,Data-N,7586,123
495045264192898,Dr. Mohamad Sofee Razak,Dr. Mohamad Sofee Razak,7584,56
103405794844898,Lu Yen Tung,MCA,7529,21
101054022824710,Auzaie Fadzlan Shahidi,Parti Berjasa,7488,19
111618748111576,Arthur Chiong 张善深 ஆர்தர் சீயோங்,Parti Keadilan Rakyat,7481,109
107075758417733,Anak Melaka,Nur Hayati Binti Hassan,7397,5
151405678864363,全民Party,These ads ran without a disclaimer,7302,19
157791694829873,Manndzri,Manndzri,7289,369
109918387978015,Used Car Tycoon Game,These ads ran without a disclaimer,7277,1
1424930434430599,VOCKET,Rev Media Group,7260,25
312743756044167,Dexter Chin 房产讲师,These ads ran without a disclaimer,7250,24
112893680400463,Age of Apes,These ads ran without a disclaimer,7207,3
128497919916,Tony Pua,Democratic Action Party Malaysia,7206,8
1585846288355825,Tan Chuan Hong 陈诠峰,Tan Chuan Hong 陈诠峰,7164,241
116724990063808,Chan Chun Kuang 陈俊广 - CK,Chan Chun Kuang,7151,24
507702059311235,Ustazah Nuridah Mohd Salleh,Ustazah Nuridah Mohd Salleh,7146,19
669791046367615,Malaysia Gazette,Malaysia Gazette,7118,107
104426115119482,Konspirasi Malaysia,Lau Theng Tian,7086,7
355440474637832,Chew Kok Woh,MCA,7080,16
570175473079180,国际特赦组织中文 Amnesty International Chinese,These ads ran without a disclaimer,7029,60
164492150267814,Dewan Muslimat PAS Melaka,Widanita Shahnaz Bt Mohd Mokhsin,6983,29
106894858726624,Save the Children International,These ads ran without a disclaimer,6965,50
100401061818121,MCA Sabah 沙巴马华,MCA,6919,14
1552968798293147,Suara.TV,Suara.TV,6768,145
135856610910,Liew Chin Tong,Liew Chin Tong,6764,40
2130456950410891,QurbanAid.my,These ads ran without a disclaimer,6709,13
269930376463945,US Pizza Malaysia,These ads ran without a disclaimer,6701,6
105659141272719,Azizul Julirn,Portal Mudah,6678,44
115045883660984,Milo Ais,Milo Ais,6638,107
429100183890772,邹宇晖,DAP MALAYSIA,6572,17
158435150866099,Teo Nie Ching (张念群),Teo Nie Ching (张念群),6550,23
107075758417733,Anak Melaka,Zulhilmi Hazwan Bin Saifulizam,6531,2
728606270519279,IPOH IPOH Ajerr,Abdul Rahim Bin Tahir,6521,2
307834932588786,Ustaz Ahmad bin Yahaya,Ustaz Ahmad bin Yahaya,6506,25
1534279376863760,BK Tan 陈浩坤,These ads ran without a disclaimer,6468,24
638401542848443,Shamsul Anuar Nasarah,Barisan Nasional,6448,47
100207201793394,Law Bing Haw,Parti KeADILan Rakyat Melaka,6447,59
2284919521796917,QGenAnalysts,QGenAnalysts,6443,140
600367280109599,Harris Idaham Rashid Balik Pulau,Harris Idaham Rashid Balik Pulau,6438,45
101617318444793,Astro for entertainment,Amirul Ashraf Bin Abd.Rahim,6437,89
126935132366036,Danish Zainudin,Muhamad Danish Bin Zainudin,6422,37
106406507828702,PSB P198 Puncak Borneo,PSB P198 Puncak Borneo,6402,37
425293244166119,Sehinggit,Mohd Rais Bin Omar,6400,6
245094455536925,FOUR PAWS,These ads ran without a disclaimer,6391,110
101106097969981,Al Ridzuan.com,These ads ran without a disclaimer,6384,32
1899243206850125,FitCoach by Welltech,These ads ran without a disclaimer,6360,8
866019863470533,Popiyah,Milo Ais,6352,91
143022755731834,Islam Net,These ads ran without a disclaimer,6350,16
837769239891330,Chan San San  - 陈珊珊,MCA Pasir Gudang,6297,22
108029067763594,Behind The Stock,These ads ran without a disclaimer,6292,27
171292564033,Hannah Yeoh,Hannah Yeoh,6257,5
217572655327613,Axiata,These ads ran without a disclaimer,6237,13
108562495293165,Energy Asia,Energy Asia,6227,109
100887355844244,Zulfadli Zakariah,Zulfadli Zakariah,6224,17
112560046838900,Raiz,These ads ran without a disclaimer,6219,3
112184516989929,京展環保有限公司,These ads ran without a disclaimer,6218,1
113012050412666,Parti Pejuang Tanahair,Parti Pejuang Tanahair,6159,24
165772956766692,Idris Ahmad,Idris Ahmad,6130,30
103364274717362,ONG SENG GUAN 王星元,Seng Guan Ong,6090,159
425695967637606,Sany Hamzan,AMANAH,6083,25
100755022028856,Disney+ Hotstar,These ads ran without a disclaimer,6061,1
105139975315931,Fairul Nizam Roslan Along,Muhamad Khalid Bin Tan,6054,36
288774218694,Majlis Perbandaran Sepang,Mohammad Ezzat Bin Edros,5997,24
103758901828602,Demi Kita,ROTIKAYA,5907,33
1073286756032279,Al Haura Arabic Kopitiam,These ads ran without a disclaimer,5903,21
104503677562115,YB Summugam Rengasamy,Kusyary Bin Che Rus,5865,596
367401087458241,Mohd. Noor Helmy,Ameer Syarifuden Bin Mohamad,5816,43
102699525567713,Zahari Abd Kalil,Salman Bin Mohd Zaki,5787,47
130114577096206,刘镇东,Liew Chin Tong,5764,38
398435306345,Zulkifli Bujang,Perikatan Nasional,5757,130
102327579363068,Ustaz Annuar Salleh,Berjasa Malaysia,5757,7
451256781884275,Klondike Adventures,These ads ran without a disclaimer,5745,6
213938935311531,Bersih,Addy Bin Samsudin,5743,18
112567213841376,IG,These ads ran without a disclaimer,5709,2
101625794824211,FBS Trader,These ads ran without a disclaimer,5702,11
102711345930624,Maahad Tahfiz Imam As Syafie Tuaran,Maahad Tahfiz Imam As Syafie Tuaran,5656,31
1842657632659388,Baljit Singh,Baljit Singh A/L Jigiri Singh,5631,261
114111716945988,Lee Kum Kee Malaysia,These ads ran without a disclaimer,5610,3
325279027989596,Cek Orang Kedah,Cek Orang Kedah,5603,10
1726648214218427,Ustaz Muhammad Fawwaz Mohamad Jan,USTAZ MUHAMMAD FAWWAZ MOHAMAD JAN,5599,9
1552493015038212,Milton Foo 符祥威律师,N10-MiltonFoo,5592,27
654227084641097,Datuk Dr. Zulkifli Mohamad al-Bakri,Datuk Dr. Zulkifli Mohamad al-Bakri,5588,36
491618234621501,Hairi Md Shah,Barisan Nasional Bahagian Johor Bahru,5571,26
