Page ID,Page name,Disclaimer,Amount spent (SEK),Number of ads in Library
115212521895994,Vattenfall Eldistribution AB,Vattenfall Eldistribution AB,417317,56
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,415374,204
125576294059,Frimodig kyrka,Frimodig kyrka,414609,79
163305633746125,Karneval förlag,Holviks,413070,150
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,410136,85
278117815576023,EU Justice and Consumers,Miltton Agency AB,408192,6
126840196572,Kia Sweden,Kia Sweden,405425,25
118090278221826,Erikshjälpen,Erikshjälpen,404060,387
131257053599743,AMF,AMF,402586,14
123337624363698,Volvo Car Sverige,Volvo Car Sverige,401772,45
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,400579,180
124819254209264,Försvarsmakten,Försvarsmakten,399462,28
171919835807,TCO,TCO,398844,409
178362315106,European Parliament,These ads ran without a disclaimer,397422,33
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,396631,263
225975657531513,Moderaterna i Södertälje kommun,"Moderata Samlingspartiet, Södertäljekretsen",390289,400
125777020786691,Mikael Damberg,Socialdemokraterna,389169,212
24574889995,Charlie Weimers MEP,Charlie Weimers MEP,386672,41
130040890394815,Skånetrafiken,Skånetrafiken (Region Skåne),384782,16
560380734032204,Rödgrönröra,Rödgrön Röra,384026,100
171732326218384,Handelsanställdas förbund,Handelsanställdas förbund,382685,237
208751565805849,Stiftelsen Expo,Stiftelsen Expo,381046,458
1402657726653154,Konsumentverket,Konsumentverket,380509,159
188821514474911,Preem,Preem,380418,29
965458110149319,Byggindustrin,Byggindustrin,380265,37
102676698879256,Välfärdsupproret,Tankesmedjan Tiden,378554,106
107846245903881,Mercedes-Benz Sverige,These ads ran without a disclaimer,375803,3
187178991394420,Miljöpartiet de gröna i Skåne,Miljöpartiet de gröna i Skåne,372789,187
110605492300,RFSL,RFSL,369284,191
1729304067391998,Sverigedemokraterna Stockholm,SD Stockholm,367997,526
277541019375317,Jämställdhetsmyndigheten,Jämställdhetsmyndigheten,367789,138
1633181116933852,SvD Junior,SvD Junior (SvD),365181,713
208619589270223,Nextory,These ads ran without a disclaimer,363164,14
56002955332,Jörgen Warborn,Moderaterna,361897,222
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,360910,30
302057731617,Myndigheten för samhällsskydd och beredskap (MSB),Myndigheten för samhällskydd och beredskap,360450,35
199121803446165,Centerpartiet Västra Götaland,Centerpartiet,359713,732
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,357040,306
115317275164993,RFSU,RFSU,356791,352
1049831921876102,Vår demokrati - värd att värna varje dag,Kommittén Demokratin 100 år,356223,238
178945208783463,Willys,Willys,354716,16
399044617221,Vi Lärare,Lärarnas tidning,352677,85
104902269544771,SLU,"SLU, Sveriges lantbruksuniversitet",352586,94
232873963389824,Göteborg Energi,Göteborg Energi,351741,181
115756055102646,Kura Omsorg  i Sverige AB,Kura Omsorg  i Sverige AB,351356,17
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,347066,59
1976528729039324,NRC Sverige,NRC Flyktinghjälpen Sverige,345770,307
120633071295935,Fairtrade Sverige,Fairtrade Sverige,345645,471
112338252157105,Viskadalen,Viskadalen,344965,247
37267060518,Världens Barn,Världens Barn,343894,272
182933185135,Skogsindustrierna,Skogsindustrierna,341758,167
105235179512713,ViktVäktarna,WW ViktVäktarna,338567,106
710383215713602,Special Nest,Special Nest,337643,554
278358342195608,Byggföretagen,Byggföretagen,336577,101
119962554717759,Skåne Stadsmission,Skåne Stadsmission,336368,179
280313835329493,Officersförbundet,Officersförbundet,334216,42
101814125903719,Bussning,Bussning.nu,331819,67
113234935374946,Grön Ungdom,Grön Ungdom,328172,157
207676515922828,Västtrafik,Västtrafik AB,327839,30
226406520645,YSL Beauty,YSL Beauty,325467,5
899603916845362,JAG Personlig assistans,JAG Personlig assistans,324677,177
209819466173690,Region Stockholm,Region Stockholm,323802,232
129016447116122,Aktuell Hållbarhet,Aktuell Hållbarhet,322167,76
440345132668081,UL,UL,321097,42
15223945415,Svenska kyrkan,Svenska kyrkan,317235,60
1495636290691848,Vänsterpartiet Stockholms stad,Vänsterpartiet Stockholm stad,316437,643
211654172200965,Pantamera,Pantamera,312196,35
101031531768338,Mer än ett leende,Operation Smile Sverige,311651,195
127063960674693,Svenska Freds- och Skiljedomsföreningen,Svenska Freds- och Skiljedomsföreningen,310757,448
178193355556765,Nordström Assistans AB,Nordström Assistans AB,304917,23
96178346173,Svenska Dagbladet - SvD,HB Svenska Dagbladet AB & co,304652,113
176527602394716,Olivia Personlig Assistans AB,Olivia Personlig Assistans AB,304349,23
155824787799,EU-kommissionen i Sverige,EU-komissionen i Sverige,303883,6
106571998460473,Min hållbara karriär,Naturvetarna,301470,261
554520268281045,Doconomy,Doconomy,295449,390
182933185135,Skogsindustrierna,Skogsindustrierna,293612,223
100650935646,Skiftet,Skiftet,290781,620
1531320107133721,Syre,Dagens O2 AB,283476,22
156850001149439,Folkhälsomyndigheten,Folkhälsomyndigheten,282139,33
359717099551,Audi Sverige,These ads ran without a disclaimer,281130,8
367125203362432,Öppen Kyrka - En kyrka för alla,Kristina Johansson,280066,71
333030700209768,Miljöpartiet i Region Stockholm,Miljöpartiet de gröna Stockholmsdistriktet,279160,130
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,278499,10
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,277195,160
2337692372925538,Reformisterna,Reformisterna,276978,182
237146235237,Timbro,Timbro,275975,318
336384546384299,Sverigedemokraterna Värmlands län,Sverigedemokraterna Värmlands län,274651,128
153386171353294,LRF Västra Sverige,LRF Västra Sverige,273185,245
2267149969982018,Välj att sluta,Länsstyrelsen Stockholm,273050,11
110752522319286,Volontärbyrån,Volontärbyrån,272033,378
162372193827491,Yubico,These ads ran without a disclaimer,271640,44
276115645732500,Socialdemokraterna i Gävle,Socialdemokraterna i Gävle,271415,269
298545626828036,Socialdemokraterna i Botkyrka,Socialdemokraterna i Botkyrka,269035,131
2048371868720619,1KOMMA5 Sverige,Filip Waak,268082,213
113384404678941,Stoppa industrifisket,BalticWaters2030,267383,28
473986345974754,Njutafilms & Studio S (Bio),Njutafilms & Studio S (Bio),267072,62
1649460475294700,Sverigedemokraterna Uppsala,SD Uppsala,266770,401
614939535271869,Tobias Baudin,Socialdemokraterna,266500,142
140038609395696,Lif,LIF - de forskande läkemedelsföretagen,262025,335
347852331958080,En Företagares Vardag,En Företagares Vardag,261408,777
205373616736,Avfall Sverige,Avfall Sverige,260258,100
1593469480949678,Skol och Landsbygdspartiet,Nordin Bjoern Karl Anders,260174,104
197762513603868,MÄN,MÄN,257356,113
498767116802809,Vänsterpartiet Region Stockholm,Vänsterpartiet Region Stockholm,257263,707
217391588404948,Katalys,Katalys,257113,282
745746898778091,Sverigedemokraterna Västerbotten,SD Västerbotten,256343,55
119885094691458,Fria Moderata Studentförbundet,Fria Moderata Studentförbundet,255887,27
485963968216080,Liberalerna Sörmland,Liberalerna Sörmland,255880,175
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,255874,624
1544485135838767,Svenskt Näringsliv Mellansverige,Svenskt Näringsliv Mellansverige,255096,462
112117590414915,Jan Jönsson,Liberalerna Stockholm,254674,95
110723197258182,Sverige inför verkligheten,Sverige inför verkligheten,252098,117
345384912242426,Sverigedemokraterna Gävleborg,Sverigedemokraterna Gävleborg,250167,146
116155191929039,Gårdssällskapet,Gårdssällskapet,248261,182
890960820927795,Närhälsan,Närhälsan,248213,27
304929002856002,Miljöpartiet de gröna i Järfälla,Miljöpartiet de gröna i Järfälla,247414,392
111842515680597,Hyresgästföreningen Norrland,Hyresgästföreningen,247411,204
150526214995429,Liberalerna Kristianstad,Liberalerna Kristianstad,247406,152
466722986850260,Svensk Byggtjänst,Svensk Byggtjänst,246770,478
181590825305317,COWI Sverige,COWI Sverige,246600,125
194584990588253,Vattenfall,Vattenfall Sverige,245574,59
144395935966586,Generation Pep,Generation Pep,244471,36
479236215426943,Sverigedemokraterna Uppland,Sverigedemokraterna Uppland,243200,177
105703298021649,Svea Solar,These ads ran without a disclaimer,243147,4
527285890746888,Sverigedemokraterna Västmanland,Karl Edman,242024,63
226810677402741,Centerpartiet i Jönköpings län,Centerpartiet Jönköpings län,241220,111
114824984533,Liberalerna Eskilstuna,Liberalerna Eskilstuna,240742,233
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna Jönköpings län,236436,107
505229989560231,Kristdemokraterna i Skåne,Kristdemokraterna i Skåne,232393,527
321670347944266,Kristdemokraterna i Dalarna,Kristdemokraterna Dalarna,231630,414
270592853332987,Alternativ för Sverige,Alternativ för Sverige,230764,106
104868656264137,Quorn,These ads ran without a disclaimer,230484,24
