Page ID,Page name,Disclaimer,Amount spent (PHP),Number of ads in Library
109340178050104,Pompee La Viña Bag-ong Cagayan,Jose Gabriel Maestrado La Viña,706237,3
100107185753805,Rep. Claudine Bautista,Brandon Ferrer Reluao,686691,124
109765684827517,Bagong Navotas,Friends of Gardy and RC for Bagong Navotas,684911,152
199920686825515,UNHCR Philippines,These ads ran without a disclaimer,683199,128
1690369134537011,Christopher De Venecia,Elizabeth Perez Nakpil,682066,65
122799741066892,National Youth Commission,National Youth Commission,663506,53
555503991321280,Geraldine Roman,Sulong Pilipinas,658678,38
105144021839699,Rapid News PH Visayas,Rapid News PH,636714,275
263066651005055,"Ramon Bong Revilla, Jr.","Ramon Bong Revilla, Jr.",633150,67
1332938170076882,Tatak QC,Polsure,632729,190
604742389649107,Seekers Notes,These ads ran without a disclaimer,627799,11
509408385931857,Winnie Castelo,Social Media Boosting,625419,57
173430006023907,Karlo Nograles,Friends of Karlo Nograles,625258,429
338970117293707,"Salvador ""Sal Panalo” Panelo",OrangeStratComms,618901,20
112420270640362,Participate PH,Ateneo School of Government,618489,238
108894904249212,Mark Villar Works,build-progress,604931,1043
102242755468794,Rapid News PH Mindanao,Rapid News PH,603381,231
107252458231059,HairMax Forever,These ads ran without a disclaimer,598090,25
100406438859954,Fight Illicit Trade,Fight Illicit Trade,583210,80
103258695500007,Iskovery Night,Isko Supporters,578377,120
100229035190832,We Support Sonny Trillanes 2022,Tony Reyes,574991,21
269175894020945,Pilipinas Today,WFPH,567101,327
113192036820162,Prof. Soc Anthony del Rosario,We Care Incorporated,560589,127
105511728751054,Imus for CIBAC,friends and supporters of CIBAC,560140,20
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,558064,125
108275365284886,Doc Tony Golez,Para Sa Bayan,556248,68
100972182237629,Jacob Cabochan,Jacob Cabochan Para Sa 2nd District ng Caloocan Supporters,555128,215
367083364019092,Tangabels,WFPH,552966,193
1784962818442073,Joy Myra Salvador Tambunting,Joy Myra Salvador Tambunting,550684,930
198852633461667,Lray  Villafuerte,Ericka Jones Magat,550092,107
1124813047530288,COMELEC,COMELEC,548756,37
111517674775522,Leni2022APP,Dapat Si Leni,546025,87
103938241994310,Dr. Roberto Lope specializes in the treatment of lung problems Trydio,These ads ran without a disclaimer,544485,45
485276371886985,"Rolando ""Nonoy"" Andaya Jr","Rolando G. Andaya, Jr",544062,173
103070705511944,SMILE Party List,SMILE Party list,539291,48
343414572434230,Buhay Party-list,V1 Corporation,537783,125
103878825344245,Lung Tritydo - Exclusive Distributor In The Philippines base 2,These ads ran without a disclaimer,522443,29
108465807567403,Boy Blue Aguinaldo Abaya,Francis Gerald Aguinaldo Abaya,522308,434
149558841774117,LG Global,These ads ran without a disclaimer,521632,20
529901257160994,Paz Radaza,Klin Mar Mejo,520841,292
1819078538321538,Payo ni Doc,Clutch Media,520487,45
910078755764368,Ferdinand L. Hernandez,Ferdinand L. Hernandez,520254,301
150218985056317,Senator Koko Pimentel,Friends of Senator Koko Pimentel,512649,108
103152762100656,Mark Cojuangco,WhiteHat Consulting Corporation,511232,78
110015017184689,Filipinas TODAY,WFPH,507346,150
111232271395260,CONTRERAS Aton Gobernador,Contreras Aton Gobernador,506939,199
1759941490758280,Jerry Treñas,Ma. Ruthmar Ignacio Gabileo,498985,1902
289362648097839,"Josephine ""Nene"" Y. Ramirez-Sato","Josephine ""Nene"" Sato",497613,59
51582615609,Chiz Escudero,Friends of Chiz Escudero,495278,67
104736895310671,Danny A. Domingo,OrangeStratComms,494991,65
113057453504592,Peoples Champ,Gino Asos Samuel,493210,225
48688071399,Greenpeace Philippines,Greenpeace Southeast Asia - Philippines,487597,203
101473758543108,Doc Gamobear Medical Services,Ralph Marion Roel Hacutina Gamo,487303,9
100170811672425,Pilipinas Today Kyusi,Gino Asos Samuel,483536,432
145265112840190,Kasama Ka Sa Pag-Unlad,Polsure,480709,166
301087217284193,Taning N Andaya,Margarette David Camacho,473987,36
1714745698802895,Celso Lobregat,Celso Lorenza Lobregat Iii,470927,261
115769773456162,Political Circus of the Philippines,PBJ Mediaworks,470711,24
100302098531709,Madelihensyang Usapan,Margarette David Camacho,470259,55
100262295333622,USWAG Ilonggo Party-list,Claudio Espigol Rugay,468542,320
100658545760610,Kuskos Batikos,Kuskos Batikos,465492,5
106642587865341,Class Kicks,These ads ran without a disclaimer,460133,1
110478368136389,Harold Respicio for Congress,Team Harold Respicio,459698,31
2131967173549292,Nasecore,"National Association of Electricity Consumers for Reforms, Inc.",459361,104
1562462190738203,Vicente Tito Sotto,VICENTE TITO SOTTO,457425,32
105147625316795,CamSur Gov Luigi Villafuerte Supporters,Ericka Jones Magat,451272,27
101382091400564,Atty. Tony Roman,Sulong Pilipinas,446420,32
790783234289889,Politiko,Politiko,446204,366
862299017292512,Don Ramon Bagatsing,Don Ramon Alonso Bagatsing,445255,385
108095384875808,Kwentong Panalo PH,Clutch Media,439731,43
205833712770051,Remate - Ang Diaryo ng Masa,Mark Gerad Absalon Oliva,436139,2408
113730246833180,"Manuel ""Manoy"" Zubiri","Manuel ""Manoy"" Zubiri",435298,121
954424328238783,Department of Justice - Philippines,Department of Justice - Philippines,434072,11
933898686726186,Pompee La Viña,POMPEE LA VIÑA 2022,430869,15
335569904541261,Samahan ng mga Traydor at Lokohan,Wally Corrales Mangusin,430203,54
291281798218511,BTA Member Maisara C. Dandamun-Latiph,Maisara Dandamun Latiph,428664,854
298225177430,Senator Imee R. Marcos,iSapience,428603,250
109561411384776,AA Legarda,Antique for AA Legarda,424713,175
2165747740135352,Maharlika TV,Martin Nicolo P. Delos Angeles,424559,419
573339456524141,Yellow DDS,Erin Magsayo Vargas,422937,58
186667502068528,Larry De Costa,WFPH,420287,248
102609131943322,The People's Champion,Martin Nicolo P. Delos Angeles,420086,46
104791471946325,Random Videos on the Internet,Martin Nicolo P. Delos Angeles,415372,9
100562967966954,Radyo BAHIN,John Paul Misina Reyes,413960,128
146111708741951,Gringo Honasan,Dondon Esporlas Don,412315,18
324393636342,Ernix Dionisio,Ernesto Mijares Dionisio Jr.,410631,44
257830240980106,Ronnie Dadivas,Roxas City United,409179,829
2434926656735285,Serbisyong Tatak Pancho,Michelle De Guzman Teodoro,408761,52
185343611506734,AGAP Partylist,AGAP Partylist,408046,38
430929753772022,Women for Leni,Tony Reyes,406190,20
106560085263048,Puso at Malasakit ni Luigi Villafuerte,Ericka Jones Magat,403120,24
1968320283460297,Filipino News Feed,Clutch Media,398598,30
248986568895243,Speechify,These ads ran without a disclaimer,396067,23
476794459408941,Pinas Forward PH,Pinas Forward PH,395762,470
103213271052350,Duterte Legacy,John Laurence Glorioso Domingo,392969,229
