Page ID,Page name,Disclaimer,Amount spent (CHF),Number of ads in Library
178775348914227,FDP.Die Liberalen Kanton Schwyz,FDP Kanton Schwyz,1500,77
113189798267288,Karl Heinz Meyer Wahlkampf 2023,Karl Heinz Meyer,1498,11
100432824661437,Bettina Balmer FDP,Bettina Balmer,1495,12
200825306651250,Renato Pfeffer EVP,EVP Kanton Zürich,1491,14
238741310250039,Etienne Schumpf - in den Stadtrat von Zug,Etienne Schumpf,1491,19
155659847849677,Kantonsrat Martin Huber,Martin Huber in den Kantonsrat,1490,8
354548604968651,Peter Metzinger Gemeinderat FDP Dietikon,Peter Alois Metzinger,1478,34
1769803096579445,Grünliberale Bezirk Horgen,Grünliberale Bezirk Horgen,1475,11
154614821560013,FDP.Die Liberalen Uster,FDP Uster,1450,3
100542086057078,Frauenallianz für Gleichstellung,Frauenallianz für Gleichstellung,1445,15
109889895328694,Megastrassen 2 x NEIN,Komitee gegen Megastrassen,1440,23
335404453537186,Die Mitte Binningen-Bottmingen,Die Mitte Binningen-Bottmingen,1406,8
1468811919917136,Michael Schlotter,Michael Schlotter,1389,4
101500332827222,SVP Wahlkreis Sursee,SVP Wahlkreis Sursee,1365,28
488909884546537,GLP Winterthur Land,GLP Winterthur Land,1355,24
108843502117518,Andreas Baeckert,Andreas Peter Baeckert,1353,9
109742838576665,Sandro Gerber - FDP.Die Liberalen,sandrogerber,1342,52
1604136306538918,Marc Wachter,Marc Michel Wachter,1341,7
100505278746845,Gesunde Finanzen,Organisation für gesunde Gemeindefinanzen,1317,4
131136176944674,FDP.Die Liberalen Bezirk Pfäffikon,FDP.Die Liberalen Bezirk Pfäffikon,1316,35
2034886056799460,Raphael Tobler,Raphael Tobler,1307,9
104265952574760,EVP Kreuzlingen,Adrian Robin Ziörjen,1306,4
676306169090037,Remzi Durmishi,Remzi Durmishi,1303,17
2759282954298123,Emmanuel Amoos - conseiller national,Emmanuel Didier Amoos,1300,7
101669982579717,Die Mitte Bezirk Uster,Die Mitte Bezirk Uster,1275,9
