Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
176134035758937,PPIS Singapore Muslim Women's Assn,PPIS Singapore Muslim Women's Association,2853,21
105453787745970,Jolene Yang The PocketRealtor,Jolene Yang Jia Yi,2853,373
103167748285772,Singapore New Launches,Ong Han Yang,2826,40
106894858726624,Save the Children International,These ads ran without a disclaimer,2790,103
265217006963771,Singapore New Property Launches,Ong Han Yang,2756,135
607691249322563,NCSS Singapore,NCSS Singapore,2728,2
108307058248873,社会新闻,These ads ran without a disclaimer,2715,2
108832781823031,ACE Group,ACE Group,2700,1
460678407826642,PIONEER,PIONEER,2695,5
453961014813944,UOB,These ads ran without a disclaimer,2669,28
109125939594590,Singapore Condo Guide,Ong Han Yang,2648,187
107935081058818,Siglar Carbon,These ads ran without a disclaimer,2627,2
166565800052060,ConnexionSG,ConnexionSG,2604,78
2187000161518168,The Heartbeat Project,These ads ran without a disclaimer,2604,2
106517704482191,Youthopia SG,Youthopia,2589,18
845620825830146,Deel,These ads ran without a disclaimer,2555,32
163935142417086,Singapore Real Estate,Hong Ze Yuan (Fang Zeyuan),2527,231
2181752115488256,Showflats.SG,"Chua Chong Hao, Anthony (Cai Zhonghao, Anthony)",2522,274
411450196264363,Titan Power+,These ads ran without a disclaimer,2512,10
6340670196,DesignSingapore,These ads ran without a disclaimer,2501,2
1420540594833950,National Environment Agency (NEA),National Environment Agency,2483,28
107855754273502,Real Estate Review,Ong Han Yang,2482,64
1531909430459040,Schneider Electric,Schneider Electric,2469,38
140547798935,Nissan,Nissan,2467,7
155725841111588,Standard Chartered,These ads ran without a disclaimer,2450,19
719853864726295,Mindvalley,These ads ran without a disclaimer,2416,40
100362001937010,Al-Quran Ade Azhar-Beli dan Wakaf,These ads ran without a disclaimer,2407,6
102614571880993,Public Investment Fund,These ads ran without a disclaimer,2401,4
110186325659396,Abdurraheem Green,These ads ran without a disclaimer,2393,19
669724190052892,Tina Wang Realtor,Ong Han Yang,2384,160
571310173079250,Singapore International Cyber Week,Singapore International Cyber Week,2354,13
93889432933,CNA,Mediacorp,2354,6
109823334046268,Novels and Fiction Stories - G o o d  Novel,These ads ran without a disclaimer,2313,91
143022755731834,Islam Net,These ads ran without a disclaimer,2306,37
134735939969681,Daughters Of Tomorrow,Daughters Of Tomorrow,2300,10
219808688070361,Ministry of Sustainability and the Environment,Ministry of the Environment and Water Resources (MEWR),2295,5
105840428261187,Singapore Properties,Ong Han Yang,2292,71
1816982155194392,NTUC Singapore,These ads ran without a disclaimer,2286,7
409786973169158,Tru Earth,These ads ran without a disclaimer,2282,24
158714780827513,UNFPA,These ads ran without a disclaimer,2243,249
499886730606,National Youth Council Singapore,These ads ran without a disclaimer,2242,21
225933301132971,The Institute of Banking and Finance Singapore,IBF Singapore,2227,3
108358524677345,畫啦啦少兒美術,These ads ran without a disclaimer,2218,6
271975052837552,Families for Life Parenting,Families for Life Council,2200,10
514165185322733,Singapore Property Watch,Ong Han Yang,2195,126
148484168497341,James Cook University Singapore,These ads ran without a disclaimer,2193,9
100891298370539,SkillsFuture CDC,"Wong Anqi, Angeline",2187,9
6013004059,The Economist,These ads ran without a disclaimer,2181,122
109139789111018,NTUC Health,These ads ran without a disclaimer,2157,6
209035949142286,Wan Qing Yuan - Sun Yat Sen Nanyang Memorial Hall 晚晴园-孙中山南洋纪念馆,Wan Qing Yuan - Sun Yat Sen Nanyang Memorial Hall (National Heritage Board Singapore),2148,16
123698491019029,Lombard Odier Group,These ads ran without a disclaimer,2144,56
1531909430459040,Schneider Electric,These ads ran without a disclaimer,2106,14
177002132440115,Spacebib,Spacebib,2102,18
219848181376579,Ministry of National Development,These ads ran without a disclaimer,2094,14
452587621526144,City Index Singapore,These ads ran without a disclaimer,2043,2
1096348583725940,Lotsa Slots,These ads ran without a disclaimer,2035,1
113890350457039,Next Home,Ong Han Yang,2016,62
178745482833625,Truelove.is,Truelove.is,2015,10
1896610683959249,科學+家研救中心 Scientist Home Self Rescue Center,These ads ran without a disclaimer,2012,11
147858757571,TODAY,TODAY,2000,2
123653487649959,Community Chest Singapore,These ads ran without a disclaimer,2000,1
111078321258421,SG New Homes,Michael Francis,1996,115
184389648268760,Zoom! Academy,These ads ran without a disclaimer,1986,2
1416127735268010,The Purple Parade,The Purple Parade,1975,4
7655563191,Central Singapore Community Development Council - CDC,Central Singapore CDC,1971,34
568006360226821,Geneco,Geneco,1968,8
159358282133,Singapore Economic Development Board - EDB,These ads ran without a disclaimer,1961,10
963608413752733,FWD Singapore,These ads ran without a disclaimer,1952,1
110919830537006,The Ferris Rainbow,These ads ran without a disclaimer,1940,3
359836644553231,GivingWeeksg,NVPC - Towards a City of Good,1921,1
266790296879,Bloomberg,These ads ran without a disclaimer,1911,25
114972633525483,Tile fun,These ads ran without a disclaimer,1901,1
372250326555268,Property Connect,Ong Han Yang,1886,79
134447459898683,Kaplan Singapore,These ads ran without a disclaimer,1886,4
124552578236495,MONEY FM 89.3,Tan Hong Seng,1876,8
499758200103346,Happy-TV,Happy-TV,1874,48
92744267226,REACHSingapore,These ads ran without a disclaimer,1851,1
100812818207164,NUS Social Service Research Centre,Social Service Research Centre,1850,7
154905844573366,MoneySmart,These ads ran without a disclaimer,1849,4
