Page ID,Page name,Disclaimer,Amount spent (SGD),Number of ads in Library
194953000528458,Global Campus of Human Rights,These ads ran without a disclaimer,≤100,6
180480961974855,Board of Innovation,These ads ran without a disclaimer,≤100,2
845039715506074,Anything Canada,These ads ran without a disclaimer,≤100,1
103674238486478,UpGrad International,These ads ran without a disclaimer,≤100,1
456918844744560,Phạm Quang Hùng - QLTQ,These ads ran without a disclaimer,≤100,2
109706555396474,Singapore News to Bangla,These ads ran without a disclaimer,≤100,1
104479231484975,Retalk - the Non-Woke Social Network,These ads ran without a disclaimer,≤100,6
226951444012509,Rahul Mishra,These ads ran without a disclaimer,≤100,1
119920541103857,kisah Saya Sendiri,These ads ran without a disclaimer,≤100,1
1718438035100919,Bras Basah Complex,These ads ran without a disclaimer,≤100,1
102519461477326,Viện Thẩm Mỹ Mega Gangnam Việt Nam,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,9
622392734597026,SkillFactory,These ads ran without a disclaimer,≤100,4
541037595922979,World Climate Foundation,These ads ran without a disclaimer,≤100,1
731476406895651,Wheelshome,These ads ran without a disclaimer,≤100,1
114968413612751,"Zhejiang YouLian Machinery Manufacturing Co, Ltd.",These ads ran without a disclaimer,≤100,1
116043248133060,veda1801,These ads ran without a disclaimer,≤100,1
0,Instagram User 2368424422,These ads ran without a disclaimer,≤100,1
100278672800419,Bda,These ads ran without a disclaimer,≤100,3
111628737420954,Digitalexpo,These ads ran without a disclaimer,≤100,4
630924141178792,Sneaker Toast,These ads ran without a disclaimer,≤100,6
102220140457641,Financial Emigration South Africa,These ads ran without a disclaimer,≤100,3
141789455855244,대한민국 국민권익위원회,These ads ran without a disclaimer,≤100,3
100385365859301,Mdnt.,These ads ran without a disclaimer,≤100,1
144386835698760,"Faculty of Medicine Siriraj Hospital, Mahidol University",These ads ran without a disclaimer,≤100,1
100565171822648,Phillip Investor Centre,These ads ran without a disclaimer,≤100,1
108174640854465,OMNO,These ads ran without a disclaimer,≤100,1
374291959092326,Великая природа,These ads ran without a disclaimer,≤100,1
551910338666108,Tomo,These ads ran without a disclaimer,≤100,16
314259468955437,ITEX Malaysia,These ads ran without a disclaimer,≤100,2
104847815914283,howtohelpuacom,These ads ran without a disclaimer,≤100,1
104966198818646,Your store,These ads ran without a disclaimer,≤100,1
125634587462941,SOUNDQ,These ads ran without a disclaimer,≤100,14
197880951799,Deutsche Bank Careers,These ads ran without a disclaimer,≤100,3
1035896263132747,Asian Military Review,These ads ran without a disclaimer,≤100,1
135974409762745,U Beauty,These ads ran without a disclaimer,≤100,1
361981253897387,Esquel Group,These ads ran without a disclaimer,≤100,1
356078648494148,中華慧燈研修會,These ads ran without a disclaimer,≤100,1
111650410610101,Ethico,These ads ran without a disclaimer,≤100,1
105158278750509,goodbunnysociety,These ads ran without a disclaimer,≤100,2
413625768801912,澳洲各種簽證「移民」「合法」「捷徑」「特殊案子」「灰色地帶」都可辦理， 保證專業代辦,These ads ran without a disclaimer,≤100,1
113720187049738,HyggeWellbeing,These ads ran without a disclaimer,≤100,1
109668887852216,全民國家安全教育日,These ads ran without a disclaimer,≤100,1
115387490168756,強國Kuso,These ads ran without a disclaimer,≤100,4
119405895873,Huawei,These ads ran without a disclaimer,≤100,18
103361301832196,شرکت امتلاک,These ads ran without a disclaimer,≤100,3
101668017914180,Uncharted Power Pte Ltd,These ads ran without a disclaimer,≤100,1
159181240786060,IP Global,These ads ran without a disclaimer,≤100,1
1666844540277544,Yurubra玉如阿姨內衣 海外站,These ads ran without a disclaimer,≤100,2
252489768667105,Mother Tongue Languages Symposium,These ads ran without a disclaimer,≤100,1
103361107995365,Medasvi School of Dance,These ads ran without a disclaimer,≤100,1
1415473095360659,Soul Hooked on Food ｜Tiffany L.,These ads ran without a disclaimer,≤100,1
350847862208319,手工神經病,These ads ran without a disclaimer,≤100,2
101184044792624,美商era易而安不動產-林文哲翡翠商業不動產投資,These ads ran without a disclaimer,≤100,1
1782161851896440,Luisa Tam's Hong Kong - Blowing Water,These ads ran without a disclaimer,≤100,1
106323511781803,tanwenmediaen,These ads ran without a disclaimer,≤100,1
104912604529845,Mixedfeelings_mfs_official,These ads ran without a disclaimer,≤100,2
1930661587230156,Pregnancywithmi,These ads ran without a disclaimer,≤100,1
104868521318772,God of World,These ads ran without a disclaimer,≤100,1
130776843450297,WEVJ MDPI,These ads ran without a disclaimer,≤100,3
138034613357806,Brock Obama 2.0,These ads ran without a disclaimer,≤100,2
100556106171382,Life's rhythm,These ads ran without a disclaimer,≤100,2
106701185163801,Your Hacks Spot,These ads ran without a disclaimer,≤100,5
110099331940978,More Hackz - MediaSmarter,These ads ran without a disclaimer,≤100,3
608578919186659,World Vision International,These ads ran without a disclaimer,≤100,3
0,Instagram User 8129303232,These ads ran without a disclaimer,≤100,1
101587454733173,Skuad,These ads ran without a disclaimer,≤100,1
113175681390615,Tạ Hoa,These ads ran without a disclaimer,≤100,1
342478090423013,SilverStreak SG,These ads ran without a disclaimer,≤100,1
2080641752162630,Gooddogpeople.com,These ads ran without a disclaimer,≤100,1
109283751567958,General Paper Tuition - gptuition.com,These ads ran without a disclaimer,≤100,1
103983482419275,Nikkei Asia Marketing & Event,These ads ran without a disclaimer,≤100,3
103576531134566,MapaKalamidad.ph,These ads ran without a disclaimer,≤100,1
105518211410797,Ponpes Nizamuddin Batam,These ads ran without a disclaimer,≤100,1
107610398417448,JumbleJargon,These ads ran without a disclaimer,≤100,1
119508926629987,ecoaisle,These ads ran without a disclaimer,≤100,4
1226486300714506,Statista en español,These ads ran without a disclaimer,≤100,2
150793518281117,Covestro,These ads ran without a disclaimer,≤100,8
210263255735396,SP Jain School of Global Management,These ads ran without a disclaimer,≤100,1
100409655302384,Invest Islands Group,These ads ran without a disclaimer,≤100,2
174806462881204,Medical News,These ads ran without a disclaimer,≤100,3
466284010176504,Enlit Africa,These ads ran without a disclaimer,≤100,1
105238038356914,The Daily Vanilla,These ads ran without a disclaimer,≤100,1
102433755232658,প্রবাস টিভি,These ads ran without a disclaimer,≤100,1
153913844764991,NL Alumni Network Indonesia,These ads ran without a disclaimer,≤100,1
109381594617534,noviron,These ads ran without a disclaimer,≤100,1
105954434531759,pwiscluvit,These ads ran without a disclaimer,≤100,1
737697992927158,Emcee Sylvia,These ads ran without a disclaimer,≤100,1
100774758237612,Barkatullah saedi,These ads ran without a disclaimer,≤100,1
111571621941581,Bantuan Keuangan,These ads ran without a disclaimer,≤100,1
103439222444944,E-reader 9,These ads ran without a disclaimer,≤100,2
843348262408590,อ.เมธี ยิปซี พิธีกรรมไทยโบราณ,These ads ran without a disclaimer,≤100,1
282495201774466,Murdoch University,These ads ran without a disclaimer,≤100,2
103392052661212,Digital marketing,These ads ran without a disclaimer,≤100,1
130082564367632,周錫瑋,These ads ran without a disclaimer,≤100,3
107257035486242,Airspace World - by CANSO,These ads ran without a disclaimer,≤100,1
977308255648898,Prime Lightworks Inc.,These ads ran without a disclaimer,≤100,3
103406658333371,EquityCoin,These ads ran without a disclaimer,≤100,2
111132794348779,That Happened,These ads ran without a disclaimer,≤100,8
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,28
104679755595807,Travelary,These ads ran without a disclaimer,≤100,3
702494983203542,Covenant Couple & Covenant Child Ministry,These ads ran without a disclaimer,≤100,2
101436617951570,Kaiser-Your Healthcare For Life,These ads ran without a disclaimer,≤100,6
202671833107489,Bangkok Bootery,These ads ran without a disclaimer,≤100,2
381590558625396,Muslim Converts' Association of Singapore,These ads ran without a disclaimer,≤100,1
522735408226640,World Center of Baby - Reproductive Agency,These ads ran without a disclaimer,≤100,1
103055288222505,We PROVIDE Lifestyle,These ads ran without a disclaimer,≤100,1
1724542344443655,Learnmojo,These ads ran without a disclaimer,≤100,1
710837555981371,Living Laudato Si',These ads ran without a disclaimer,≤100,1
1997429833858876,Institute for Essential Services Reform,These ads ran without a disclaimer,≤100,1
776592812364469,Mixmag,These ads ran without a disclaimer,≤100,11
109834373890259,Lorrnnzo,These ads ran without a disclaimer,≤100,2
105026102693052,Quiz Quest,These ads ran without a disclaimer,≤100,1
100277081715215,Andrew Schur,These ads ran without a disclaimer,≤100,2
159389414140359,Colorado State University Global,These ads ran without a disclaimer,≤100,4
107323505770636,Alibaba Cloud Intelligence Group,These ads ran without a disclaimer,≤100,10
716530775024359,Terre des Hommes Netherlands in Asia,These ads ran without a disclaimer,≤100,2
108614731824990,Relax coffee,These ads ran without a disclaimer,≤100,1
109435827644411,Pixelcut,These ads ran without a disclaimer,≤100,8
107135722482171,Celebrity channel,These ads ran without a disclaimer,≤100,5
100338301547923,Instantly Modern,These ads ran without a disclaimer,≤100,8
1717997775155457,Republic,These ads ran without a disclaimer,≤100,5
381731515288661,Human,These ads ran without a disclaimer,≤100,4
842484635804171,International Expert,These ads ran without a disclaimer,≤100,2
175542959311586,Superyacht Life,These ads ran without a disclaimer,≤100,3
10750083165,The Africa Report,These ads ran without a disclaimer,≤100,7
258170564925111,Alfaparf Milano Professional,These ads ran without a disclaimer,≤100,1
100872165177925,夏語占星辰意,These ads ran without a disclaimer,≤100,2
207103196019569,Gyeonggi Korea,These ads ran without a disclaimer,≤100,1
1416800418458998,Nguyễn Hữu Trí,These ads ran without a disclaimer,≤100,2
257332267797964,Userism 靓肌靚 - 分效美療,These ads ran without a disclaimer,≤100,2
179833778739127,QS Quacquarelli Symonds,These ads ran without a disclaimer,≤100,3
100881408925605,JK Wildlife Pte Ltd,These ads ran without a disclaimer,≤100,1
101118488376184,mrdidijiak,These ads ran without a disclaimer,≤100,1
159632827401559,Marstrom Composite,These ads ran without a disclaimer,≤100,3
105963671287467,c_i_n_e_m_a_f_o_r,These ads ran without a disclaimer,≤100,2
1902719853337527,Newtopia film,These ads ran without a disclaimer,≤100,1
579910585821979,Indonesia Today,These ads ran without a disclaimer,≤100,1
190104864502982,寧瑪巴喇榮三乘法林佛學會,These ads ran without a disclaimer,≤100,4
36541001838,Tan Suee Chieh,These ads ran without a disclaimer,≤100,1
139912819412385,Edumilestones.com,These ads ran without a disclaimer,≤100,1
704150482955761,POCKET COMICS TW,These ads ran without a disclaimer,≤100,4
1468899876720847,P.K.R De AtT Munde Te Kudiyaan,These ads ran without a disclaimer,≤100,1
102409618357197,劇星SAY Something,These ads ran without a disclaimer,≤100,1
103964088904105,OffHok,These ads ran without a disclaimer,≤100,1
106139601117377,foreignpolicytalks,These ads ran without a disclaimer,≤100,1
166005749939234,Hỗ Trợ Thu Hồi Vốn Đa Nền Tảng Online 5.0,These ads ran without a disclaimer,≤100,5
754087868320253,Vakiano - Artisans from Latin America,These ads ran without a disclaimer,≤100,2
107119940742131,tritri1982,These ads ran without a disclaimer,≤100,5
1097092254014021,PETA 亚洲善待动物组织,These ads ran without a disclaimer,≤100,6
111339584768179,FillLily,These ads ran without a disclaimer,≤100,3
954298964703081,Abbott FreeStyle,These ads ran without a disclaimer,≤100,3
105291187659017,Jody Tan - Huttons Asia,These ads ran without a disclaimer,≤100,1
315095492162319,The Prince,These ads ran without a disclaimer,≤100,1
101056782332140,letourvoicerun,These ads ran without a disclaimer,≤100,1
2026755104062705,Allan Atypical,These ads ran without a disclaimer,≤100,1
111406177842325,Heron Technology,These ads ran without a disclaimer,≤100,1
388704198146784,Nguyễn Linh Nhi,These ads ran without a disclaimer,≤100,1
103968571071495,crysanthemom,These ads ran without a disclaimer,≤100,1
165476513965,Royal Society Publishing,These ads ran without a disclaimer,≤100,6
615498648933891,Not Just a Patch,These ads ran without a disclaimer,≤100,4
102060308165624,至尊皇朝翡翠,These ads ran without a disclaimer,≤100,2
522679997923941,Christoffer - LinkedKurs,These ads ran without a disclaimer,≤100,3
1675691709362077,Beautiful News,These ads ran without a disclaimer,≤100,3
117423331329455,Career Goals HQ,These ads ran without a disclaimer,≤100,1
1498183190443977,МИРовой психолог Вадим Курки́н,These ads ran without a disclaimer,≤100,1
153717584502503,Sri Rahayu,These ads ran without a disclaimer,≤100,1
1701479890178981,Zhou HanShun,These ads ran without a disclaimer,≤100,1
122598727499710,Konsultan Keuangan,These ads ran without a disclaimer,≤100,1
111706772035432,pstorejakarta,These ads ran without a disclaimer,≤100,1
367756413653321,Лидеры России,These ads ran without a disclaimer,≤100,1
668306893302082,Zola Snack Bar,These ads ran without a disclaimer,≤100,1
105495494938315,Guardant Health AMEA,These ads ran without a disclaimer,≤100,1
110903593915200,Kerala Pravasi Association - KPA,These ads ran without a disclaimer,≤100,1
231169113737422,CyberSoft - Đào Tạo Chuyên Gia Lập Trình,These ads ran without a disclaimer,≤100,1
428009970864153,อ้วนรังสิต พระเครื่อง,These ads ran without a disclaimer,≤100,4
225272427529544,CarBuyer Singapore,These ads ran without a disclaimer,≤100,1
1932096470385795,Cô Ngọc Hân,These ads ran without a disclaimer,≤100,2
107935894688657,docfliq,These ads ran without a disclaimer,≤100,2
0,Instagram User 2491484493,These ads ran without a disclaimer,≤100,1
103658718861482,Primeclass Photo,These ads ran without a disclaimer,≤100,1
103393035778315,Alotofstylewe.com,These ads ran without a disclaimer,≤100,4
33308238802,Asian Institute of Management,These ads ran without a disclaimer,≤100,4
112864228133921,Funnies Now - Stories,These ads ran without a disclaimer,≤100,10
107367734164818,Quel Baldueza,These ads ran without a disclaimer,≤100,4
100333668156938,"Society to Uplift Rural Economy- SURE, Barmer",These ads ran without a disclaimer,≤100,1
110741894164103,ironicallyfine,These ads ran without a disclaimer,≤100,1
103157492723824,Wahed Invest Malaysia,These ads ran without a disclaimer,≤100,1
1657900734299115,Scholarships365.info,These ads ran without a disclaimer,≤100,1
103725575855620,Kisah Nyata Saya,These ads ran without a disclaimer,≤100,1
114986884104415,Nob,These ads ran without a disclaimer,≤100,1
101372154965469,thecoveylab,These ads ran without a disclaimer,≤100,1
112275678521830,KISAH NYATA SAYA,These ads ran without a disclaimer,≤100,2
109301723919923,ryanle,These ads ran without a disclaimer,≤100,8
101932375848523,Jinko Solar Singapore/ Malaysia,These ads ran without a disclaimer,≤100,5
245119812279668,Australian Seabird & Turtle Rescue Inc,These ads ran without a disclaimer,≤100,5
713276255450866,西門菲沙大學中英口譯與筆譯課程 SFU Interpretation and Translation,These ads ran without a disclaimer,≤100,3
218345331358755,World Skin Health Coalition,These ads ran without a disclaimer,≤100,2
113025812980597,東南傳媒 Southeast Media,These ads ran without a disclaimer,≤100,4
191367330892004,UBC Engineering,These ads ran without a disclaimer,≤100,4
105558754896,Deadline Hollywood,These ads ran without a disclaimer,≤100,2
123118477754831,Ashtanga Yoga Studio,These ads ran without a disclaimer,≤100,1
303883237097370,Born Day Newspaper,These ads ran without a disclaimer,≤100,2
1102199946478493,Spotlight,These ads ran without a disclaimer,≤100,7
103040629330161,Amazing Stories,These ads ran without a disclaimer,≤100,1
106764820840002,Dredge Pump and Dredger,These ads ran without a disclaimer,≤100,2
104387498728560,Hype Hub,These ads ran without a disclaimer,≤100,2
1606568989585609,AirVūz,These ads ran without a disclaimer,≤100,2
151633284693033,_pstore jakarta,These ads ran without a disclaimer,≤100,3
81239734102,Nobel Prize,These ads ran without a disclaimer,≤100,6
108296021647786,artwithmrslynch,These ads ran without a disclaimer,≤100,2
107201854136798,Phòng Khám Nha Khoa Singae Dental,These ads ran without a disclaimer,≤100,3
243848332409409,Greendot Media Pte Ltd,These ads ran without a disclaimer,≤100,1
357057544985700,Organic Barley Products - Argie Capon,These ads ran without a disclaimer,≤100,1
263771733581,ASEAN Centre for Biodiversity,These ads ran without a disclaimer,≤100,1
104169498157280,International Student Safety UK,These ads ran without a disclaimer,≤100,1
623554247837813,IAM Worldwide Business Opportunity by Richelle Espayos,These ads ran without a disclaimer,≤100,2
1559262171044745,Health365.sg,These ads ran without a disclaimer,≤100,1
157629281005241,한국서부발전,These ads ran without a disclaimer,≤100,1
316324822071122,Heramimi Airbrush & Facelift Makeup,These ads ran without a disclaimer,≤100,2
100552775511273,Agenda Pesta Dansa,These ads ran without a disclaimer,≤100,1
109368321865194,BBQ Di Baggai 碳烤二师兄,These ads ran without a disclaimer,≤100,1
150772088108385,Balboajr Normando,These ads ran without a disclaimer,≤100,1
263742827900787,Exoticaz Coffee Scrub,These ads ran without a disclaimer,≤100,1
120633904332712,Williams Avalos,These ads ran without a disclaimer,≤100,2
545875115498387,Anexas Consultancy,These ads ran without a disclaimer,≤100,2
292780334633,International Christian Embassy Jerusalem (ICEJ),These ads ran without a disclaimer,≤100,5
34906136673,Denmark.dk,These ads ran without a disclaimer,≤100,2
110304924585889,The Searial Cleaners,These ads ran without a disclaimer,≤100,1
110652373652351,By.Fontaine,These ads ran without a disclaimer,≤100,2
110317405145398,Quick Translator - mobile app for smartphones,These ads ran without a disclaimer,≤100,2
109769633945935,Discover DHL for Business,These ads ran without a disclaimer,≤100,1
296508703798613,Volunteer World,These ads ran without a disclaimer,≤100,2
115547754831342,Zettyyziro,These ads ran without a disclaimer,≤100,1
2324517987785772,"Яхты от 1000 евро, примеры яхт + Практическое руководство",These ads ran without a disclaimer,≤100,5
2221386338099123,WhatDa?,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,46
102313771508123,Hinovel - приложение для чтения,These ads ran without a disclaimer,≤100,3
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,5
1594382680843566,秋盈中醫館-1,These ads ran without a disclaimer,≤100,1
105424318866019,Kuiydb,These ads ran without a disclaimer,≤100,7
128221131148355,ARPost,These ads ran without a disclaimer,≤100,3
203683587236764,DmitriyD NYC Photography,These ads ran without a disclaimer,≤100,1
106991768326883,Futbolete - Magazine,These ads ran without a disclaimer,≤100,4
220934044722029,Florida Crystals Corporation,Florida Crystals,≤100,3
115643231860955,Loved to Love Outreach,These ads ran without a disclaimer,≤100,1
153576295287653,Dr. Shu 的旅行文化攝影筆記,These ads ran without a disclaimer,≤100,1
108615842526079,The Ronald Reagan Presidential Foundation and Institute,These ads ran without a disclaimer,≤100,1
114233111293495,Brides And Maids,These ads ran without a disclaimer,≤100,5
92080024705,Stanford Health Care,These ads ran without a disclaimer,≤100,1
105659649297042,Daily Discoveries,These ads ran without a disclaimer,≤100,3
106285282396345,Hot Cars Freaks,These ads ran without a disclaimer,≤100,4
191515347375238,Patricia Coffee,These ads ran without a disclaimer,≤100,2
109199990922141,Health & Wellness News,These ads ran without a disclaimer,≤100,5
101474672367263,YouthxYouth,These ads ran without a disclaimer,≤100,3
245783122707027,Mars Solar Power System Manufacturer,These ads ran without a disclaimer,≤100,2
104290105428196,skullation_nft,These ads ran without a disclaimer,≤100,1
496457680488676,張盛舒,These ads ran without a disclaimer,≤100,1
102138481591564,GPODS,These ads ran without a disclaimer,≤100,1
172523236104176,Panasonic,These ads ran without a disclaimer,≤100,2
171898780307930,Buddhi Clinic,These ads ran without a disclaimer,≤100,1
381736558687262,漂亮諧音,These ads ran without a disclaimer,≤100,1
653611054702239,KaranayilDevasthanam,These ads ran without a disclaimer,≤100,1
169442666403677,Spring Maternity,These ads ran without a disclaimer,≤100,1
103185801452623,我們的不同都相同,These ads ran without a disclaimer,≤100,1
448529542317852,Geetha Nagu,These ads ran without a disclaimer,≤100,1
103088104759470,Weekly Affairs Singapore,These ads ran without a disclaimer,≤100,1
2190689754300399,Bóng Đá Nam,These ads ran without a disclaimer,≤100,1
316004665155000,SAP,These ads ran without a disclaimer,≤100,2
109130659176636,Young AMP,These ads ran without a disclaimer,≤100,1
1910906439181828,Coach Ruch,These ads ran without a disclaimer,≤100,1
109025327599583,FICCI LEADS,These ads ran without a disclaimer,≤100,1
479005372138766,植物营养的奥秘,These ads ran without a disclaimer,≤100,2
155765753130,Female Singapore,These ads ran without a disclaimer,≤100,2
113463526989174,手鐲工廠定制大聖珠寶翡翠,These ads ran without a disclaimer,≤100,2
104844305424507,bravefxacademy,These ads ran without a disclaimer,≤100,2
124448042240,Double A Singapore,These ads ran without a disclaimer,≤100,1
924871717532435,暹羅阿贊柔-Rosita Hsu,These ads ran without a disclaimer,≤100,2
400546913616958,十方圓通寺 道晟法師,These ads ran without a disclaimer,≤100,2
103237339153899,Detikpagi,These ads ran without a disclaimer,≤100,1
100882445395475,We Love Mother Land - Korea,These ads ran without a disclaimer,≤100,1
349958578734824,UOF 雲端辦公室,These ads ran without a disclaimer,≤100,1
1349269201853906,Future Gadgets,These ads ran without a disclaimer,≤100,5
184247610348850,Alessandra Silva,These ads ran without a disclaimer,≤100,3
177515892891362,José Iván  Herrera Villagómez,These ads ran without a disclaimer,≤100,3
2079489755688375,加工并出售沉香木雕佛像工艺品,These ads ran without a disclaimer,≤100,1
135841229605546,_ishjain_,These ads ran without a disclaimer,≤100,1
991373420956059,Денис Байгужин. Я выдаю девушек замуж,These ads ran without a disclaimer,≤100,7
106278708591533,Foreign Investment Agency Vietnam - FIA Vietnam,These ads ran without a disclaimer,≤100,6
133246973965859,Lat Khat Than,These ads ran without a disclaimer,≤100,1
799450623410556,ホテルグレイスリー／Hotel Gracery,These ads ran without a disclaimer,≤100,1
116927754329776,The Lavana,These ads ran without a disclaimer,≤100,1
132579906756944,United Nations ESCAP,These ads ran without a disclaimer,≤100,5
103131079421678,selenparc,These ads ran without a disclaimer,≤100,1
902410476762244,International Business Consultancy IBC 法律金融會計事務所 IBCFirm 泰國中文律師,These ads ran without a disclaimer,≤100,1
448203822022932,பிரதிலிபி - Pratilipi Tamil,These ads ran without a disclaimer,≤100,1
105225495953809,Tengah malam,These ads ran without a disclaimer,≤100,1
107284872305350,MGI International Ltd.,These ads ran without a disclaimer,≤100,1
118745036196514,Rajesh Keshav / RK,These ads ran without a disclaimer,≤100,1
322289025221387,Saiga NAK,These ads ran without a disclaimer,≤100,1
104682001701620,tropical.alpaca,These ads ran without a disclaimer,≤100,1
103339922078489,Megaworld Luxe Properties,These ads ran without a disclaimer,≤100,1
101550091732017,__happyjiminday,These ads ran without a disclaimer,≤100,1
102944265182315,Mekerri Wellness,These ads ran without a disclaimer,≤100,1
319907181792138,Fiona  Xie,These ads ran without a disclaimer,≤100,1
100349078617626,The Secret To Become Wealthy,These ads ran without a disclaimer,≤100,2
105823025550957,Spartans Worldwide Remittance Center Homebased- Nicolas,These ads ran without a disclaimer,≤100,1
139915049368822,JEN by Shangri-La,These ads ran without a disclaimer,≤100,1
104220389333061,Infinity Path,These ads ran without a disclaimer,≤100,1
104743447682280,Indigenous Peoples Rights International,These ads ran without a disclaimer,≤100,1
103103801408790,tradelikeapro_fx,These ads ran without a disclaimer,≤100,1
1495865600705439,Eco Mantra,These ads ran without a disclaimer,≤100,1
105880484599462,alittleyoungjae,These ads ran without a disclaimer,≤100,1
1744351959127328,Konrad-Adenauer-Stiftung Korea,These ads ran without a disclaimer,≤100,2
109569663928564,Stay with Prabowo,These ads ran without a disclaimer,≤100,12
140000202534274,Hallo-YYDS,These ads ran without a disclaimer,≤100,1
416731498371213,Saved To Serve,These ads ran without a disclaimer,≤100,2
1914785225460488,History All Day,These ads ran without a disclaimer,≤100,1
6925232835,RFID Journal,These ads ran without a disclaimer,≤100,1
2610140028997323,Uniathena,These ads ran without a disclaimer,≤100,3
322781517576917,RohaHassan,These ads ran without a disclaimer,≤100,1
116066208106047,عالم مثير للاهتمام,These ads ran without a disclaimer,≤100,1
102849332012279,gracie_ireland,These ads ran without a disclaimer,≤100,1
328739046997686,Nancy Immigrations,These ads ran without a disclaimer,≤100,1
100167552254235,GMG,These ads ran without a disclaimer,≤100,2
109466073861092,People for Peat,These ads ran without a disclaimer,≤100,1
101699848594781,Tale Of Two,These ads ran without a disclaimer,≤100,1
104399674410398,Myanmar Data Science,These ads ran without a disclaimer,≤100,1
170835246950045,The Niche Nerd,These ads ran without a disclaimer,≤100,1
100343505089339,Futurae SG,These ads ran without a disclaimer,≤100,1
642234949733786,Heaven in Africa,These ads ran without a disclaimer,≤100,2
110319640757764,Leadvent Group,These ads ran without a disclaimer,≤100,1
119141886627233,norwex_greencleaning,These ads ran without a disclaimer,≤100,3
102316478143434,The Litter Club Project,These ads ran without a disclaimer,≤100,1
904243949772631,TMBK Satire,These ads ran without a disclaimer,≤100,1
122064391180645,Asian Development Bank Institute,These ads ran without a disclaimer,≤100,2
142773545798693,MSIG,These ads ran without a disclaimer,≤100,1
1571432816412854,Ministerstvo pro místní rozvoj,These ads ran without a disclaimer,≤100,1
539837820263048,Support to CDM Myanmar,These ads ran without a disclaimer,≤100,1
361730843869839,Council for World Mission,These ads ran without a disclaimer,≤100,2
101393189258868,Đỗ Đại Hưng - Xổ Số Kiến Thiết Miền Bắc,These ads ran without a disclaimer,≤100,1
702279983471744,Olympic Council of Asia,These ads ran without a disclaimer,≤100,5
239707429833080,EDP España,These ads ran without a disclaimer,≤100,1
111079675056466,News 24/7 EU,These ads ran without a disclaimer,≤100,4
107907055580308,Commusta.ph,These ads ran without a disclaimer,≤100,1
100209516282257,Harvest Technology Group,These ads ran without a disclaimer,≤100,2
615040838898606,Angry Birds Dream Blast,These ads ran without a disclaimer,≤100,1
7268844551,Rotary International,These ads ran without a disclaimer,≤100,3
106573494479694,PHirst Park Homes by Marge Lariosa,These ads ran without a disclaimer,≤100,11
103068434826330,United Innovators,These ads ran without a disclaimer,≤100,3
105039671446711,Funky Hippo,These ads ran without a disclaimer,≤100,3
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,11
0,Instagram User 3042126482,These ads ran without a disclaimer,≤100,1
121491504270579,Vidalene,These ads ran without a disclaimer,≤100,1
100616419303215,Project Community Ph,These ads ran without a disclaimer,≤100,1
112611658084288,Parahyangan Agung Nusantara,These ads ran without a disclaimer,≤100,1
112671710564090,석탄을 넘어서 Korea Beyond Coal,These ads ran without a disclaimer,≤100,3
2247334212048911,Amazing Pure Organic Barley by RDCP,These ads ran without a disclaimer,≤100,1
110470394564000,joonchaecouple,These ads ran without a disclaimer,≤100,1
143999472339232,MENDAKI Club,Nurhuda Binte Ishak,≤100,1
129737294334695,Dollz One Of A Kind,These ads ran without a disclaimer,≤100,1
146918516263494,The Cocktail Story,These ads ran without a disclaimer,≤100,1
108079928435296,The Digisutra,These ads ran without a disclaimer,≤100,1
580547819086043,Hirata Sakura - ICCRC,These ads ran without a disclaimer,≤100,1
110707141249046,Garden Grove Village Cavite Philippines,These ads ran without a disclaimer,≤100,1
2026253217685926,KopiTekno,These ads ran without a disclaimer,≤100,3
103618634672273,Overseas Foreign Workers in Singapore -সিঙ্গাপুরের বৈদেশিক কর্মী,These ads ran without a disclaimer,≤100,1
108453291535658,Minh Nguyệt Trường Xuân Vương 0393.498.351,These ads ran without a disclaimer,≤100,3
162094494536666,XED,These ads ran without a disclaimer,≤100,1
109250737978175,SafeMars,These ads ran without a disclaimer,≤100,3
102777272855502,Huỳnh Ngọc Sơn,These ads ran without a disclaimer,≤100,1
341445286768258,True Colors Festival,These ads ran without a disclaimer,≤100,3
326102339565,Oxfam India,These ads ran without a disclaimer,≤100,1
269320383095938,АТОН,These ads ran without a disclaimer,≤100,1
6352578678,Singapore Airlines,These ads ran without a disclaimer,≤100,3
339711549372518,Hertz Philippines,These ads ran without a disclaimer,≤100,1
153887384672062,Doctors Without Borders / Médecins Sans Frontières,These ads ran without a disclaimer,≤100,1
1787885808135649,The Human Aspect,These ads ran without a disclaimer,≤100,3
108383725867658,RYTHM Foundation,These ads ran without a disclaimer,≤100,5
431678216907230,MAPIM : Malaysian Consultative Council for Islamic Organization,These ads ran without a disclaimer,≤100,1
155108647842972,Maximilian Pütz,These ads ran without a disclaimer,≤100,2
101305668633517,Bob's Hideout - Lifestyle,These ads ran without a disclaimer,≤100,1
107562341786061,Dov Stories,These ads ran without a disclaimer,≤100,1
229087490286658,USA Today 2X,These ads ran without a disclaimer,≤100,3
