Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
34839376970,Infobae,These ads ran without a disclaimer,75002044,65
1483918641869460,Rodrigo Lara Sánchez,Fico Gutierrez,74535795,97
268171626701884,Maria Fernanda Cabal,Maria Fernanda Cabal,73875407,68
307867347023,Partido Alianza Verde,Partido Alianza Verde,73223777,196
1597659560553215,Colombia+20,El Espectador,70983748,736
100240736764836,Alcaldía de Palmira,Alcaldia de Palmira,69597385,193
601336570076276,Rodolfo Correa,Rodolfo Andres Vargas Correa,68979787,57
1571046203143985,Alvaro Hernan Prada,Juan Sebastian Reina Garcia,67429628,39
114972633525483,Tile fun,These ads ran without a disclaimer,67123039,2
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,65483997,38
103108187929585,Pensamiento Libre 2,Pensamiento Libre,61541258,42
1077303702346507,Mauricio Toro,Mauricio Toro,60313014,407
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,59070413,36
1146984098693291,Daniel Orozco Caicedo,Camilo Andres Monroy Pardo,58128065,65
802658879817619,Héctor Mantilla Rueda,Hector Guillermo Mantilla Rueda,54909925,278
453868347960797,Participación Bogotá,Participación Bogotá,53917986,146
141361183156268,Juan Carlos Upegui,Juan Carlos Upegui,52838460,131
193631447514110,Enrique Peñalosa,Enrique Peñalosa,52317883,167
91251840313,Jorge Robledo,Jorge Robledo,51896856,313
213798789191992,Partido de la U Col,Partido Social de la Unidad Nacional,51873149,415
110955563771,Camilo Romero,Camilo Romero,50586542,150
117697916615780,Julián López,Julian Lopez,50071179,307
148349507804,El Tiempo,Casa Editorial El Tiempo,49604284,79
226673927862469,Idcbis,Instituto Distrital de Ciencia Biotecnología e Innovación en Salud,49494912,361
113827920792832,Pacto Histórico Valle del Cauca,Community Go,49415223,207
1622001728047397,Harman Alcalde,Harman Alcalde,49412015,735
425949217982731,Colombia es real,Colombia es Real,49145921,70
108329524671069,Camilo Trujillo,Camilo Trujillo,48515796,218
309383129136101,Secretaría Gobierno de Bogotá,Julian Esteban Cardona Reyes,48435078,293
377182956241758,Impacto Mundo,Impacto Mundo,48395395,151
187380833358579,Juan Camilo Ostos C15,Juan Camilo Ostos Romero,48099812,770
1059459884138781,Mauricio Tobón Franco.,Mauricio Tobón Franco,46329004,36
309383129136101,Secretaría Gobierno de Bogotá,Secretaría de Gobierno de Bogotá,46075583,170
1904610526474885,Gabriel Velasco,Add Media,46073577,54
1541343899476701,Simón Molina,Simón Molina,44825950,210
1683544555207079,Rafael Martínez,Rafael Martinez,44343177,101
102929419122533,Sin Temor Colombia,sin temor por colombia,44100628,44
105944994133681,Arleth Casado,"Maquinando. Tecnología, Publicidad y Diseño SAS",43743646,393
211928615819096,Gobernación de Santander,Gobernación de Santander,43471132,348
322689984419455,Colombia Humana,Colombia Humana,43124977,3
35011102362,Juan Fernando Reyes Kuri,Add Media,43067364,42
347087122166712,David Racero,David Racero,42497826,85
468651299852439,Angélica Lozano Correa,Angélica Lozano Correa,40959266,104
111557157638947,Alejandro Gaviria,Mateo Bonilla,40470216,83
226535927439460,Secretaría Distrital del Hábitat,Secretaría Distrital del Hábitat,40174377,96
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,40023631,24
260075537735876,Miguel Ángel Pinto Hernández,Miguel Angel Pinto,39434891,152
235300806896160,Humberto De La Calle,Humberto De la Calle,38724025,130
988456537832907,Inti Asprilla,Inti Raul Asprilla Reyes,38389049,53
105860962029722,Felipe Vélez,Medellín Vuelve a Brillar,38152211,156
697731027343547,Carolina Arbelaez,Juan Sebastian Reina Garcia,37850348,36
341743792688909,Centro de Ciencia y Tecnología de Antioquia,Centro de Ciencia y Tecnología de Antioquia,37743773,279
108228068238348,Diego Caicedo,Diego Caicedo,37733962,790
284053695122277,Luz Dana Leal,Luz Dana Leal,37680358,230
21325533991,Inversor Global,These ads ran without a disclaimer,37595821,12
110066891544052,Si Dios quiere,no mas mentiras colombia,37064779,25
381464961911270,Cruz Roja Antioquia,Cruz Roja Colombiana Seccional Antioquia,36769336,149
496966203694136,Fontur,fontur,36655084,47
166392070120129,John Milton Rodríguez,John Milton Rodríguez,36377141,63
656335394705162,TiempoViral,Recorre Colombia,35397507,7
1182967021814119,Iván Marulanda Gómez,Senador Iván Marulanda,34230675,16
309383129136101,Secretaría Gobierno de Bogotá,Secretaría Gobierno de Bogotá,34175359,245
106125278613266,Jerson Senado,Jerson Villota,34010460,73
108459260282,Universidad La Gran Colombia,Universidad La Gran Colombia,33544151,115
105848177845789,All Out en español,All Out Action Fund,33522243,104
166392070120129,John Milton Rodríguez,John Milton Rodriguez,33155059,127
233776784592134,La Desenchufada,La Desenchufada,33125705,76
1904610526474885,Gabriel Velasco,Gabriel Velasco Ocampo,33030018,72
224169580962812,Alcaldía de Bello,Alcaldía de Bello,31828832,70
1589652347763879,Aquileo Medina A,Aquileo Medina Arteaga,31288769,292
1541028502886692,Alcaldía de Cúcuta,Alcaldía de Cúcuta,31049397,367
109119821640434,No mas mentiras colombia,no mas mentiras a colombia,30899345,9
635341746594602,Carolina Giraldo Botero,Carolina Giraldo Botero,30813430,365
109019412774214,Argeny Gómez,Argeny Gomez Lopez,30755035,120
101715609168078,Vota por Petro,GROWART,30278513,16
297456723689323,Oscar Villamizar Meneses,Oscar Villamizar Meneses,30240448,76
336711793710254,Metro de Bogotá,Metro de Bogotá,30216226,28
100240736764836,Alcaldía de Palmira,add media sas,29610665,90
256488875025665,Juan Bocanegra,Juan Carlos Bocanegra Chacón,29357569,214
103763784228,Juan Fernando Cristo Bustos,INLAB DIGITAL COLOMBIA S.A.S,28972825,30
100348772654999,La Brújula,La Brujula,28831323,166
431712450225505,Unidad Administrativa Especial de Servicios Públicos UAESP,Unidad Administrativa Especial de Servicios Públicos UAESP,28790991,68
133270296713864,Aldeas Infantiles SOS Colombia,These ads ran without a disclaimer,28221234,36
266526514241420,Colombia Avanza21,Colombia Avanza,28213401,68
198163400233667,Mauricio Gómez,Mauricio Gomez,27895704,4
24939925613,Nelly Patricia Mosquera,Nelly Patricia Mosquera Murcia,27800238,70
111557157638947,Alejandro Gaviria,Sebastian Ricardo Laguna Rodriguez,27317988,36
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro Torres,26901274,354
105095325340195,Néstor Díaz Saavedra,Díaz Saavedra Néstor,26623732,137
154196667977410,Mauricio Aguilar Hurtado,Mauricio Aguilar Hurtado,26569714,179
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,26517498,194
1545935945670084,Gustavo Moreno,Carol Mujica,26459124,79
1541343899476701,Simón Molina,Simon Molina,26380162,117
100305144855692,Miguel Vergara Cabello,Secretaría de Desarrollo Económico Gobernación del Atlántico,26152650,82
19237573776,Partido Político MIRA,Harwin Andres Cubillos Cabrera,26091368,447
437376723030747,Margarita Restrepo,Margarita Maria Restrepo Arango,25965333,65
1443400685928534,SmartFilms Colombia,SmartFilms Colombia,25853176,86
373884039318606,Canva,These ads ran without a disclaimer,25680163,8
1455910868051448,Katherine Miranda,Diego Camilo Ruiz Cangrejo,25512803,31
437030346417982,Oscar Sánchez León - Representante a la Cámara,Oscar Hernan Sánchez León,25505241,280
105789358331219,Juan Carlos Echeverry,Andrea Oyola,25160600,41
1637027226567729,Juan Capacho,Juan Capacho Delgado,25153864,38
123243941056130,Carlos Amaya,Carlos Amaya,25149089,49
91251840313,Jorge Robledo,ZetaWifi S.A.S.,25090920,71
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,24764029,556
241499431662,Fico Gutiérrez,These ads ran without a disclaimer,24679821,32
307701289662624,Carlos Fernando Motoa Solarte,Add Media SAS,24504171,50
619776134722439,Secretaría Distrital de Salud,Secretaría distrital de Salud,24494916,54
105331497521119,Lupe López - Boyacá,Lupe Isabel López Marquez,24197635,305
969143216462972,Felipe Cañizalez,Byron Andres Velez Valdes,23924811,436
619776134722439,Secretaría Distrital de Salud,These ads ran without a disclaimer,23792921,40
101941915042740,Wilmer Castellanos Hernández,Wilmer Hernández,23780764,162
123727054329507,Sara Castellanos,Sergio Andres Muñoz Ortiz,23717939,294
109449305025655,Noticias Colomiba,Lina Marcela Sanchez Machado,23544534,4
898149710234557,Gobernación de Risaralda,Gobernación de Risaralda,23206060,286
104402821442426,Colombia LIBRE,Colombia Libre,23068757,581
418155555015037,Germán Escobar Cundinamarca,German Mauricio Escobar,22949657,167
133661209997478,KIA Colombia,These ads ran without a disclaimer,22840069,3
232287230205457,IDU Bogotá,Instituto de Desarrollo Urbano : IDU,22259269,50
103833791361048,El Legado de Álvaro Uribe Vélez,Centro Democrático - Comunidad Oficial,22208749,45
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,21997345,66
733555630067426,Edinson Delgado,Edinson Delgado Martinez,21978878,104
1719725724954043,Rodrigo Rojas Lara,Rodrigo Rojas Lara,21719288,75
1614083945470816,Mauricio Niño Guayacán,Geyvi Jaxuly Gomez Lopez,21695042,251
218937054791364,Juan Jiménez Lara,Juan Ramón Jiménez Lara,21373710,93
1391958607697828,Paola Holguín,Paola Holguín,21233088,144
1667797580123453,Biblioteca Pública Piloto,Biblioteca Pública Piloto de Medellín,21107556,62
130114230374550,Procuraduría General de la Nación,242 Media,21060302,243
347603758702973,Victor Correa Vélez,Victor Javier Correa Velez,20952990,48
81395234664,BBC News Mundo,These ads ran without a disclaimer,20736855,4
100265355096831,Imperio: Rising Civilization,These ads ran without a disclaimer,20651861,7
105437204540183,Miyerlandi Torres A,Miyerlandi Torres A,20574782,90
171496179543755,Andrés Motta,Juan Sebastian Reina Garcia,20534473,10
808380412845865,Palante Colombia Co,Palante Colombia,20531065,48
112962761159872,Juan Manuel Díaz Martinez,JUAN MANUEL DÍAZ,20440891,58
175286072898201,Braulio Espinosa Márquez,Braulio Espinosa,20327702,37
892793824105261,Jaime Hernández Amín,Jaime Ricardo Hernandez Amin,20293170,45
1727280190891954,FRANCE 24 Español,These ads ran without a disclaimer,20235399,135
105789358331219,Juan Carlos Echeverry,Juan Carlos Echeverry,20210664,220
1727056070642582,Juan Espinal,Juan Espinal,20204160,114
110591348252881,Enrique Gómez,Enrique Gómez Martínez,20162942,17
494796217322155,Antonio Sanguino Páez,Daicy Celiani Echeverri Castillo,20038134,30
264386463968386,Nubia Stella Martínez,Centro Democrático - Comunidad Oficial,20022327,76
105020468907563,Mujeres con Rodolfo,Mostaza Studio,19870394,550
174886096373297,Futuro Colombia Co,Futuro Colombia,19842692,49
85147586731,Julio César Triana,Julio César Triana,19839413,338
1488419784774409,Alcaldía de Soledad,Alcaldía Municipal de Soledad,19764576,611
442999606098966,Older Alexis Caceres,Older Alexis Caceres Suarez,19424804,63
214114562821852,Noizz App,These ads ran without a disclaimer,19296945,5
267444465278,Registraduría Nacional del Estado Civil de Colombia,Gómez Varela Andrés Mauricio,19220059,127
144140255921953,Milton Restrepo,Milton Restrepo,19153788,88
484901491569666,David Barguil Presidente,David Barguil Senador,19114282,21
748118542057896,Cesar Lorduy,Cesar Lorduy,19087148,121
106058515471049,Colombia Sin Polarizacion,colombia sin polarizacion,18973118,18
1672471366315861,Guido Echeverri Piedrahita,Ana Maria Estrada Robledo,18933060,96
454396071316750,Mauricio Salazar,Mauricio Salazar Pelaez,18190491,198
105878235307531,Luis Miguel López Aristizábal,Luis Miguel López Aristizábal,17783665,479
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,17700018,34
321789057890530,Secretaría de Movilidad,These ads ran without a disclaimer,17511745,30
108576731393581,Juliana Enciso,Claudia Juliana Enciso Montes,17508040,159
105969947440753,Valle en vivo,Valle En Vivo,17469110,53
244912549377264,Alejandro Linares Camberos,Alejandro Linares Camberos,17397897,178
1648414861893438,Carlos Diago Alzate,Carlos Alberto Diago Alzate,17250639,704
499121313802137,Túnel Guillermo Gaviria Echeverri,Túnel Guillermo Gaviria Echeverri,16901249,6
100430502602811,Amor por lo nuestro,Amor por lo nuestro,16835663,75
1406574576313942,Danny Ramírez Rojas,Danny Ramírez,16825625,92
969143216462972,Felipe Cañizalez,Andreina Quintero Correa,16822372,105
1147318942107929,Todos Somos Una,DEBRAIN LLC,16752925,38
633599006749230,"ESEIT - Escuela Superior de Empresa, Ingeniería y Tecnología",These ads ran without a disclaimer,16736803,12
198163400233667,Mauricio Gómez,Juan Sebastian Reina Garcia,16697076,9
878277072303445,John Jairo Cárdenas Morán,John Jairo Cárdenas Moran,16658753,105
409975382947239,Noizz,These ads ran without a disclaimer,16628867,3
53177129367,Dilian Francisca Toro Torres,Dilian Francisca Toro,16628849,270
106189605249792,María Angélica Guerra López,Maria Angelica Guerra,16625888,82
109547044931776,Milton Cuervo,Milton Fernando Cuervo Perez,16592343,30
224901652808,Christian Garcés,Christian Munir Garcés Aljure,16483682,72
128071033870721,Voz de América,These ads ran without a disclaimer,16441467,107
379267606243388,Fuera Vagos,Fuera Vagos Cathy Juvinao,16207231,3
103989698246608,Jhon Jairo Berrio López,Jhon Jairo Berrio López,16166262,36
230477958183,Juan Carlos García Gómez,Juan Carlos Garcia Gomez,16139015,136
156567494366743,Emcali,Emcali,16114671,40
1052668304757955,Eduard Sarmiento Hidalgo,Eduard Sarmiento Hidalgo,15902411,528
540716796370443,El Profe Nelson Alarcón,Nelson Javier Alarcon Suarez,15899717,74
702506313518733,Héctor Giraldo Cámara CR 101,Daniel Toro Rendón,15859482,109
828399763953716,Manguito Senador,2minutos,15797413,79
1571046203143985,Alvaro Hernan Prada,Alvaro Hernan Prada,15728496,107
601336570076276,Rodolfo Correa,Yari Yojhana Cardona Arango,15713422,15
2387958388151992,Juan Sebastián Jimenez M CD #102,Juan Sebastian Jimenez Martinez,15656096,308
103840491529609,Dignidad,Partido DIGNIDAD,15427900,20
464753840351385,Alejandro Char,Elevo Media Works,15427101,27
28312410177,World Food Programme,These ads ran without a disclaimer,15409856,158
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,15370971,65
1958648017716924,Gabriel Vallejo Chujfi,Gabriel Jaime Vallejo Chujfi,15365571,133
102251507804019,Guillermo Palacio,Juan David Barón Bernal,15342065,24
1543389102590323,Alvaro David Bari,Alvaro Fernando David Adarve,15335173,44
320718924713146,Secretaría Distrital de la Mujer,Secretaría Distrital de la Mujer,15317462,60
360840354678432,MK Team 24 7,Michel Wadih Kafruni Marin,15284492,227
347793682992903,Democracia con Derechos,Jerson David Londoño Pineda,15277174,50
104474564602217,Elica Milena Almansa Varela,Cristian Alexis Leon Caicedo,15268149,146
195575853964886,Rodrigo Lara Restrepo,German Ricardo Vargas,15258414,21
96595416468,Lilia Solano,Lilia Solano,15170165,341
105674030899674,Salvacion Nacional Santander,Alipio Alvernia Vergel,14941732,92
1522827124635395,James Gallego,getsocial sas,14926187,55
712625242102355,Alex Flórez Hernández,Alex Xavier Flórez Hernández,14904374,18
102488519105911,Green Energy For America,These ads ran without a disclaimer,14847979,1
731518823701219,Gabriel Santos García,Inlab digital,14663744,37
103723022353836,Secretaría de Turismo de Antioquia,Secretaría de Turismo Antioquia,14620836,43
139826936041816,Ministerio TIC Colombia,Ministerio TIC Colombia,14500000,8
278650425592966,Betty Zorro CR101,Gloria Betty Zorro Africano,14489203,111
499489423550166,Luis Ernesto Gómez,Luis Ernesto Gómez,14339293,158
247711372067760,Haroletto,Haroletto,14302500,7
12415375791,Fajardo,Corporación Compromiso Colombia Cívica,14301740,104
407615769604377,Mutante,Fundación Mutante,14244112,369
1866860849996939,Subsecretaría de Tránsito y Transporte Departamento de Nariño,Sebastián Torres Rodríguez,14239300,291
106991861779324,Cocomacoiro,Cocomacoiro,13990856,59
106083021215996,Todos por Medellín,Todos por Medellín,13912311,105
110643008227869,Vota 13 al Senado Samper,Miguel Samper,13825086,171
95972290770,Gustavo Petro,Daniel Sebastian Contreras Ortiz,13803855,42
236115666578709,INDER Alcaldía de Medellín,INDER Alcaldía de Medellín,13660052,47
513373825500774,Catalina Ortiz,Catalina Ortiz,13659473,92
101871502791636,Carlos Acosta Juliao Oficial,Toro Digital,13658602,33
104279312601359,Sumamos,Sumamos,13619202,20
103261832202146,Zulu,Zulu Labs,13485851,3
233529716661745,Carlos Eduardo Caicedo Omar,Carlos Caicedo,13470654,82
111579011580301,Rodolfistas Magdalena,Neurobrand,13460409,45
468289310011030,Andrés Forero,Nicolás Quintero Santis,13452395,43
111373667449697,Soberania Colombiana Co,Soberanía Colombiana,13444167,59
103536985835,Juan Manuel Galán,Juan Manuel Galán Pachon,13360122,248
919235158107133,Gloria Díaz Martínez,Gloria Diaz Concejal,13323218,58
100264355423008,Jesús Elver González,Jesus Elver Gonzalez Banguero,13266300,65
740568502715995,Wilson Arias,Equipo Wilson Arias,13243589,68
234318053297558,BBVA,These ads ran without a disclaimer,13057549,1
295077807327906,Hollman Morris,Daniel Sebastian Contreras Ortiz,13006779,53
310454127055,Politécnico Grancolombiano,Sergio Fernando Gallo Suarez,13000000,4
267198759973201,Bairon Enrique Muñoz Lizarazo,Bairon Enrique Muñoz Lizarazo,12916491,225
2015280598549509,Didier F Carrillo Decisiones de vida,Max Social S.A.S,12752998,78
112262354821692,Dato Certero,Dato Certero,12700305,26
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,12675740,3
102359124932776,Javier Cuéllar,These ads ran without a disclaimer,12600792,189
299469560099835,Alcaldía de Cali,Alcaldía De Cali,12580610,54
105169218736495,Rodolfistas Santander,Miguel Sanchez,12537505,17
110800761202339,Fuera Malandrines Movimiento Ciudadano,Fuera Malandrines,12532540,27
248986568895243,Speechify,These ads ran without a disclaimer,12527010,23
1831212473665007,César Augusto Gómez Betancur,César Augusto Gómez Betancur,12490847,144
676670465749794,Instituto para la Economía Social - IPES Bogotá,Instituto para la Economía Social - IPES Bogotá,12444817,56
162949777243451,Andrés Julián,Andrés Julián Rendon,12402847,44
108926711821972,Colombia Despierta,Diaz Bohorquez Andres Mauricio,12384020,60
105121755399113,Mauricio Giraldo,Juan Carlos Hoyos Castro,12333364,56
527227364015830,Alcaldía de Ulloa,Fontur,12330928,60
466713146804873,Jonathan Vasquez,Jonathan Stivel Vasquez Gomez,12201895,91
219288208886292,Jorge Bastidas,Jorge Bastidas,12181631,36
415910721915879,Hector Fabio Velasco Hernandez,Hector Fabio Velasco,12168377,171
100932149225414,Colombia Patria mía,Colombia patria mía,12089004,52
110619033633804,Juana Carolina,Ana Maria Estrada Robledo,12054737,78
104969865721375,Profes.movimientociudadano,John Bazurto,12040748,220
905973506115720,Alcaldía de Bucaramanga,Alcaldía de Bucaramanga,12040605,20
204727076205320,Ritter López,Jose Ritter López Peña,12038322,84
584447581702202,Nueva Democracia,Fundación Centro de Pensamiento Político Nueva Democracia,12026656,62
798466193604404,Carlos Meisel,Campaña Carlos Meisel,12005272,87
851680034864966,Proantioquia,FUNDACION PARA EL DESARROLLO DE ANTIOQUIA. ANTIOQUIA POR COLOMBIA,11938054,52
291914124758697,Inge Rodriguez - Cámara Pacto Histórico Sucre,Carlos Alberto Redondo Rinco,11883404,48
895576620501956,Misión Observación Electoral Moe,LA CORPORACION MISION DE OBSERVACION ELECTORAL -MOE-,11868525,68
105578134695113,Andree Uribe Montoya,Andree Uribe Montoya,11566274,82
1967091193587027,Armando Saavedra Perdomo,Armando Saavedra Perdomo,11564266,77
325103324325978,Senador Carlos Felipe Mejía,Carlos Felipe Mejía Mejía,11545897,34
109297685035199,Antioquia Cambia - Petro Presidente,Juan Camilo Pachon Petev,11536072,53
101295889060755,"Liliana Bitar, Senado C11",Liliana Esther Bitar Castilla,11504618,11
404653009657474,Seguridad y Convivencia de Medellín,Seguridad y Convivencia de Medellín,11442030,143
457302764662385,Senador Alejandro Corrales,Alejandro Corrales Escobar,11421573,106
1561180414017967,Juan Manuel Cortés,Juan Cortés,11416357,94
152369524855313,Jorge Torres,Jorge Torres,11408263,283
58895017663,Banco Interamericano de Desarrollo,These ads ran without a disclaimer,11284500,43
113140404352329,Juan Sebastián López Mejía,Diego Jose Salvador Largo Chaparro,11269979,48
100219238603232,Hector Chaparro,Hector Chaparro,11264932,107
630694400470650,Centro de Capacitación CENCAC,Alvaro Hernandez Bautista,11235023,40
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,11207033,70
1315695665215591,Senador Carlos Andrés Trujillo,Carlos Andrés Trujillo González,10910368,182
158714780827513,UNFPA,UNFPA,10843042,270
632262750166767,Samy Senador,INTUAL,10813932,123
133787883971402,Oscar Ramírez VAHOS,Oscar Ramirez Vahos,10789073,61
169480640416238,Josué Alirio Barrera Rodríguez,Alirio Barrera,10743575,50
812165288875574,Jaime Pumarejo,Alcaldía Distrital de Barranquilla,10722973,48
308398253196220,Jorge Andrés,Digital Tech Ideas S.A.S,10700659,43
535954683985082,Diego Patiño Amariles,Equipo de Palabra,10627706,33
105142714503044,Delcy Isaza,Wilson Mora Orjuela,10622713,18
102332592103193,A votar joven,Daniel Naranjo,10605760,49
278404038877281,La Unidad de Pensiones y Parafiscales,Unidad de Pensiones y Parafiscales,10577646,93
98420116428,Nexura Internacional,Nexura Internacional,10478018,40
209162673317699,ManoBook,These ads ran without a disclaimer,10306536,10
225695683920,Iván Cepeda Castro,Juan Camilo Pachon Petev,10263952,18
316256535073131,Gobernación de Antioquia,Departamento de Antioquia,10251622,6
103682151388401,Sinergia Emprende,Mi Bogotá Week,10244022,26
201014753267112,Andrés Fernando Mesa Valencia,Andres Fernando Mesa Valencia,10236202,121
1165655170260613,Diana Rojas,Add Media,10207560,19
670393546635457,Ante Todo Colombia,Ante Todo Colombia,10092018,67
107323891018910,Fuerza colombia 22,Fuerza Colombia,10036779,33
936091680087545,Post colombianos,Post Colombianos,10013456,6
1901114293450855,Paulo Gómez,Paulo Gómez,9923874,71
1249221335114525,Francisco Javier Cuadros,Francisco Javier Cuadros,9919352,66
291106534427082,Esteban Quintero Cardona,Esteban Quintero Cardona,9906228,27
812165288875574,Jaime Pumarejo,Toro Digital 1972,9828314,99
388894158343721,Carolina Espitia,Carolina Espitia,9790999,22
15125496556,Miguel Silva - NL 110,Miguel Andrés Silva Moyano,9788661,32
110146958104617,Gloria Elena Arizabaleta,Community Go,9757359,125
1539094502973100,ACN - Ayuda a la Iglesia que Sufre,ACN - Ayuda a la Iglesia que Sufre,9751298,12
116663439109084,Alejandro Vega,Alejandro Vega,9728751,37
102143071616787,Goberna Colombia,Goberna,9703064,90
106243877874805,Frente al Espejo,Canal Capital,9655925,81
1379933302305788,Colegio Gimnasio Americano,Colegio Gimnasio Americano,9637208,44
427419678090847,Jhon German Martinez Plata,Jhon German Martinez Plata,9624314,24
50806694105,Oscar Barreto Quiroga,Wilson Mora Orjuela,9619910,15
1857540077811459,Movilizatorio,Junior Amin,9599670,12
152513165675160,Óscar Escobar,Oscar Eduardo Escobar Garcia,9511839,40
749549091919564,Susana Muhamad,Susana Muhamad,9495993,78
391099551688976,Manuel Correa,Manuel Correa,9436735,53
1766366823576506,La Paz Querida,La Paz Querida,9413628,74
105459022029789,Luis Gregorio Moreno Mosquera,Luis Gregorio Moreno Mosquera,9356824,40
1815626541807349,Agencia de Periodismo Investigativo,Norbey Quevedo Hernandez,9341642,219
105412325150884,Oscar Marin Martinez,Oscar Marín Martínez,9293849,103
147751821930575,Salud Digital Fundación Carlos Slim,These ads ran without a disclaimer,9276749,5
101575821423496,Alejandro Arias G,Alejandro Arias García,9252672,12
203147926512536,Jaime Felipe Lozada,Jaime Felipe Lozada Polanco,9215585,51
107082641930497,Nomasmentiras22,No mas mentiras,9208849,6
107261491771920,Nicolás de Francisco,Junior Amin,9197552,15
171496179543755,Andrés Motta,German Ricardo Vargas,9152132,15
267444465278,Registraduría Nacional del Estado Civil de Colombia,Miacom Sas,9094233,15
108233262091178,David Islem R,David Islem R,9071448,26
370267297019304,Marco Hincapié,Marco Emilio Hincapie Ramirez,9047726,112
1926240424181410,Germán Ricaurte,Daniel Alberto Peñaranda Osorio,9043992,28
108930319155814,World Athletics,These ads ran without a disclaimer,9026638,15
