Page ID,Page name,Disclaimer,Amount spent (TND),Number of ads in Library
424554751718984,AlAin Français,These ads ran without a disclaimer,≤100,3
101321076075048,Nouvelle Aube - Yeni Şafak Français,These ads ran without a disclaimer,≤100,20
68793499001,UNICEF,UNICEF,≤100,104
986930541352325,Pas 2 Quartier,These ads ran without a disclaimer,≤100,2
114714424845037,Fethi Khemissi,الدريدي أنور 11,≤100,1
187062254656817,عربي TRT,These ads ran without a disclaimer,≤100,7
259629538018874,Sousse Leaders school SLS,These ads ran without a disclaimer,≤100,2
565108056966122,Curiosity Stream,These ads ran without a disclaimer,≤100,7
8304333127,The Wall Street Journal,These ads ran without a disclaimer,≤100,1
108841715827974,Carnegie Middle East,These ads ran without a disclaimer,≤100,4
105424640803008,TRT World Forum,These ads ran without a disclaimer,≤100,6
360917711027923,Akrèm Romdhani,These ads ran without a disclaimer,≤100,2
805575986243213,Mahjoub Hlel محجوب هلال,Mahjoub Hlel,≤100,19
268223526948867,U.S. Soy,These ads ran without a disclaimer,≤100,2
123067910901227,majda_smb,These ads ran without a disclaimer,≤100,1
164524410285253,GSMA,These ads ran without a disclaimer,≤100,2
103462796018503,نهضة تونس,These ads ran without a disclaimer,≤100,3
242052589998601,Tunisian Youth Impact,These ads ran without a disclaimer,≤100,2
238810614746160,Fans 2 travel,These ads ran without a disclaimer,≤100,2
1202645643140881,Arabi21 TV,These ads ran without a disclaimer,≤100,17
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,50
565225540184937,CGTN,These ads ran without a disclaimer,≤100,100
1991495041106641,Teaching English with Cambridge,These ads ran without a disclaimer,≤100,3
102587681146036,زفّر راهي خلت,These ads ran without a disclaimer,≤100,2
101929615103965,Association Warmth - جمعية الدفء,Association Warmth - جمعية الدفء,≤100,4
690150857719925,الجمهورية.نت AlJumhuriya.net,These ads ran without a disclaimer,≤100,9
103082078244755,اللي فمّا بش يتقال,These ads ran without a disclaimer,≤100,7
100857675472522,ScreeN+,These ads ran without a disclaimer,≤100,23
101326998419906,صوتك مهم,These ads ran without a disclaimer,≤100,13
100498919281775,الي كندا,These ads ran without a disclaimer,≤100,3
1706513512723188,La centrale de Céramique,These ads ran without a disclaimer,≤100,1
116283579765020,Art Event,These ads ran without a disclaimer,≤100,1
372637173478064,Amel Haute Couture,These ads ran without a disclaimer,≤100,1
107687825201648,الصفحة الرسمية للنقابة الأساسية للمهن الموسيقية بتونس,These ads ran without a disclaimer,≤100,1
103988565574479,NO2TA the Feminist Lab,These ads ran without a disclaimer,≤100,2
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,9
250916298774084,MedWaves,These ads ran without a disclaimer,≤100,3
111742090241302,elBaladiya.tn,These ads ran without a disclaimer,≤100,5
107112588239372,الولاء للوطن,These ads ran without a disclaimer,≤100,5
100889322590952,عطر الكلام,These ads ran without a disclaimer,≤100,2
6013004059,The Economist,These ads ran without a disclaimer,≤100,32
153632746935,FRANCE 24,These ads ran without a disclaimer,≤100,2
1643141409322787,DW جعفر توك,These ads ran without a disclaimer,≤100,3
591435754523175,MAE Assurances,These ads ran without a disclaimer,≤100,1
107600958493138,Bobo wallpaper,These ads ran without a disclaimer,≤100,1
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,37
105511448794103,حراك 25 جويلية مكتب المهدية,These ads ran without a disclaimer,≤100,1
1096276593861617,First Step Academy,These ads ran without a disclaimer,≤100,1
103523301807049,Autisme Tunisie - لنتوحد,These ads ran without a disclaimer,≤100,1
107008131967887,Ah Service Auto,These ads ran without a disclaimer,≤100,1
105602625338505,Ahmad Kilani,These ads ran without a disclaimer,≤100,1
171591756030588,أكرم المزوغي- عمادة بن عروس الشرقية-إنتخابات مجالس الجهات و الأقاليم,أكرم المزوغي- عمادة بن عروس الشرقية-إنتخابات مجالس الجهات و الأقاليم,≤100,5
1541838982729128,Anna Lindh Foundation Network in Sweden - Anna Lindh Stiftelsen i Sverige,These ads ran without a disclaimer,≤100,2
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,150
107292146113725,Ceresbookshop,These ads ran without a disclaimer,≤100,11
715337551812957,One Ummah,These ads ran without a disclaimer,≤100,13
128323707185817,deVere Group,These ads ran without a disclaimer,≤100,5
102427494863806,Intersection Association for Rights and Freedoms,Ghaylen Jlassi,≤100,7
1777440582580579,مهاجر نيوز - InfoMigrants Arabic,These ads ran without a disclaimer,≤100,3
1670358066623253,RAF VRAIE PAGE,These ads ran without a disclaimer,≤100,1
172720001100793,تميز,These ads ran without a disclaimer,≤100,4
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,2
340577086006224,CRI German,These ads ran without a disclaimer,≤100,19
116366645703915,بالعربي,These ads ran without a disclaimer,≤100,6
103907909782795,Badra Gaaloul بدرة قعلول,Badra Gaaloul بدرة قعلول,≤100,2
103512969698091,Le Tour de France,These ads ran without a disclaimer,≤100,1
173254003362613,WE ARE CHINA,These ads ran without a disclaimer,≤100,5
110316664019525,WJF-Women for Justice Foundation,These ads ran without a disclaimer,≤100,1
208685479508187,U-Report,These ads ran without a disclaimer,≤100,5
1108711572555122,GE Africa,These ads ran without a disclaimer,≤100,2
