Page ID,Page name,Disclaimer,Amount spent (ZAR),Number of ads in Library
100827405690611,Midvaal Mayor Peter Teixeira,Midvaal Local Municipality,23857,101
100445789444317,DA EC Legislature,Democratic Alliance,23785,47
566876103690003,VF Plus - Lichtenburg / Coligny,Vryheidsfront Plus / Freedom Front Plus,22836,15
387815798032970,Pestalozzi Trust,Pestalozzi Trust,22470,21
202411219782842,Mmusi Maimane,One South Africa Movement,22409,8
827021447354082,Edgar Chagwa Lungu,These ads ran without a disclaimer,22123,1
112949040402232,VF Plus - Limpopo,Vryheidsfront Plus / Freedom Front Plus,22003,16
1022607354485625,LIQUI MOLY,These ads ran without a disclaimer,21785,3
102234292398307,Winston,Leads Elite,21273,8
571775202881997,Democratic Alliance - Mossel Bay Constituency,Democratic Alliance Mossel Bay Constituency,20985,35
379138726819,ACDP,African Christian Democratic Party,20687,66
104880748537358,B.B C,These ads ran without a disclaimer,19772,1
120751477970543,LIQUI MOLY,These ads ran without a disclaimer,19754,3
484978191533810,Africa Check,Africa Check,19749,27
314499212242,Pfizer,These ads ran without a disclaimer,19593,3
100149906713244,350 Africa,350 Africa,19279,18
246425659800809,Central News,Central News,19134,581
104405645269659,Top Coin,These ads ran without a disclaimer,18927,1
102268322635915,The Finance Daily,These ads ran without a disclaimer,18769,14
8383028996,The Presidency of the Republic of South Africa,These ads ran without a disclaimer,18676,3
428866687234570,Newtown Clinical Research Centre,Newtown Clinical Research Center,18234,51
100531812147344,VF Plus - Drakenstein-munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,18126,10
102251394547417,VF Plus - Lesedi Plaaslike Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,18115,9
640885579883346,State of the Nation,Mj Sham,17864,27
253615198009828,Anglo American,These ads ran without a disclaimer,17853,11
665383196884804,DA Lichtenburg & Coligny,Democratic Alliance,17578,11
147744071763133,Finance News,These ads ran without a disclaimer,17527,66
213957325134859,African Movement Congress,African Movement Congress,17392,9
253159094544360,Kagiso Trust,Kagiso Trust,16870,7
10150139011205084,Cape Independence Party - Vote CAPEXIT,Cape Independence Party,16573,29
106077544383055,VF Plus - Mogale Plaaslike Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,16512,8
158714780827513,UNFPA,These ads ran without a disclaimer,16434,282
106830305530832,Zimbabwe Exemption Permits,ZEP,16394,3
6011868110,Democratic Alliance,These ads ran without a disclaimer,16368,17
434577883273454,Sihle Zikalala,Sihle Zikalala,16166,93
127839327089920,Ramoba Blessings Lehlohonolo,Ramoba Blessings Lehlohonolo,16058,21
342643596115773,Safely Home by Western Cape Government,These ads ran without a disclaimer,16015,3
111455384155,Partners in Sexual Health,Hamlet Enrico Johannes,15922,41
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,15770,14
111455384155,Partners in Sexual Health,Partners in Sexual Health,15755,33
269982023142937,Economic Freedom Fighters,Economic Freedom Fighters,15738,9
286799601867802,Mpho Dagada,These ads ran without a disclaimer,15472,10
1501357930107569,Democratic Alliance Buffalo City,Democratic Alliance,15382,50
259922021421962,VF Plus - Vrystaat,VF Plus Vrystaat,15053,9
287842647957979,EU International Partnerships,These ads ran without a disclaimer,15008,14
1782040965354618,VF Plus Noord-Kaap,Vryheidsfront Plus / Freedom Front Plus,14735,20
107858591221432,Pearson Online Academy UK Global,These ads ran without a disclaimer,14637,5
478479492268974,Sunday Times ZA,Arena Africa,14594,34
271153896328530,Investing.com,These ads ran without a disclaimer,14325,2
139680768246831,Space Digest,These ads ran without a disclaimer,14097,1
530927007388252,Vrye Weekblad,Vrye Weekblad (Nuwe Vrye Weekblad Mediagroep),14007,39
175889425769412,BAR-TEK Motorsport,These ads ran without a disclaimer,13923,12
162643030493689,Democratic Alliance Mangaung Municipality,Democratic Alliance Free State,13912,114
228597353852511,Democratic Alliance Kouga,Democratic Alliance,13892,48
15087023444,Nike,These ads ran without a disclaimer,13338,2
109268238422012,Studio Bella,These ads ran without a disclaimer,13275,5
151042501616806,African National Congress - Northern Cape Province,African National Congress - Northern Cape Province,13177,29
296188123842878,Standard Bank Top Women,Standard Bank Top Women,12700,7
257670787743069,DASO Nelson Mandela University,Democratic Alliance,12694,16
105920684433667,Chema Rivas,These ads ran without a disclaimer,12527,3
330306010169931,Women's Action Campaign SA,Women's Action Campaign SA,12363,5
101370965090487,Magistrates Matter,Magistrates Matter,12297,34
529955580364212,SMA International,These ads ran without a disclaimer,12175,27
112933978402440,Zackie2024,Zackie2024,12000,6
141100792595323,Community Chest Durban,Community Chest Durban,11995,64
1928304917466431,Vryheidsfront Plus-Jeug / Freedom Front Plus Youth,VF Plus Jeug,11972,6
100451933698060,AdVenture Communist,These ads ran without a disclaimer,11846,17
305458552922888,ELF South Africa,ELF-SA,11834,19
2331840376875032,Saai,These ads ran without a disclaimer,11741,3
108878701542218,Renaissance Future,These ads ran without a disclaimer,11664,20
85884249410,JLI - The Rohr Jewish Learning Institute,These ads ran without a disclaimer,11386,4
134187920103120,Dr. J. Reid (Neurologist),Johan Reid,11363,19
138294163498584,Arena Events,Arena Holdings,11308,11
144061396027103,Pasquale Aleardi & Die Phonauten,These ads ran without a disclaimer,11287,25
110175825424755,Northern Cape Communities Movement,Northern Cape Communities Movement,11040,16
105557964210312,VF Plus - Ekurhuleni Metropolitaanse Munisipaliteit,Vryheidsfront Plus / Freedom Front Plus,11021,9
266790296879,Bloomberg,These ads ran without a disclaimer,10983,24
71617814288,Padilla,These ads ran without a disclaimer,10944,6
296609266622,Regenesys,These ads ran without a disclaimer,10767,9
354709835163955,DA Matjhabeng,Democratic Alliance Free State,10707,72
281514245300699,Democratic Alliance Merafong,Carl Sebastian Steenekamp,10591,54
126052760507,Mama Cash,These ads ran without a disclaimer,10553,121
579835555547932,Cllr. Farouk Cassim,Mahomed Farouk Cassim,10550,34
2152309821726627,VF Plus - Mpumalanga,Vryheidsfront Plus / Freedom Front Plus,10530,16
1019691118063870,Traverse Le Goff MP,Traverse Le Goff MP,10508,225
222462974956649,The Organic Humanity Movement,The Organic Humanity Movement,10466,33
141100792595323,Community Chest Durban,Gordon Mc Donald,10416,94
101244636111293,Hotseat,Hotseat,10344,10
415447331914974,Democratic Alliance Mantsopa Municipality,Democratic Alliance Free State,10257,70
181039755097301,Free Dem Supporters,Free Dem Supporters,10127,20
103278761413963,Empowering SA,Empowering SA,10118,16
104201365299635,SAITA Media,SA Informal Traders Alliance,10029,20
2058499561058842,Abraham Kriel Kinderhuis Nylstroom,Abraham Kriel Kinderhuis Nylstroom,10000,6
2119732698342937,Vodafone Group,These ads ran without a disclaimer,9911,14
110647840532680,Merge Mayor,These ads ran without a disclaimer,9841,6
108373474911757,Cederberg Eerste Gemeenskapsorganisasie,Cederberg Eerste Gemeenskapsorganisasie,9817,51
1589964351310913,Free State Insider,Free State Insider,9766,117
858175014372321,VF Plus - Limpopo,Vryheidsfront Plus / Freedom Front Plus,9755,10
185898428169024,Corruption Watch,These ads ran without a disclaimer,9553,2
1018230624896572,Siyakwazi Youth Network,Siyakwazi Youth Network,9426,21
451256781884275,Klondike Adventures,These ads ran without a disclaimer,9376,5
221117158020122,Iranti,Iranti,9328,72
1120827414623558,Progressive Business Forum,TANC Financial Services (Pty) Ltd,9287,4
292740250750086,Be'ad Chaim Israel,These ads ran without a disclaimer,9244,46
