Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
110287941156767,Fakt Brno,Fakt Brno,178846,171
280553792042816,KSČM Praha,KV KSČM Praha,176693,40
549410785401813,SUNMANDER.cz - Nová zelená úsporám,These ads ran without a disclaimer,174081,15
1458139890966328,Rostislav Koštial,Pavel Mikulenka,173380,117
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,172158,417
106793243996130,Alpiq Retail,Alpiq Retail CZ,170351,3204
106662040952250,Miroslav Křížek,Miroslav Křížek,170337,28
100102138818077,"Václav Salač - hráč, trenér a fotbalový nadšenec",Václav Salač,169934,77
273367223021327,Veronika Vrecionová,Občanská demokratická strana,169451,76
880469142304287,Není zvěř jako zvěř,"Remmark, a.s.",168977,49
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,168722,85
111758600358330,SPOLU PRO KRAJ,"SPOLU PRO KRAJ - Osobnosti kraje, ČSSD a Zelení",168141,162
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,167412,160
884837951550237,"Ondřej Kolář, poslanec z Prahy 6",TOP 09,166954,87
1736314393286607,Klára Dostálová,ANO,165437,58
100760001626922,Martin Sedeke,Občanská demokratická strana,165352,211
291699857688,EPP Group in the European Parliament,EPP Group in the European Parliament,163894,58
120764052849694,World News 24,"World News Media, s.r.o.",163658,169
111210916534,Příběhy bezpráví,"Člověk v tísni, o.p.s.",162900,138
103567498863549,Ecoista,Ecoista,162715,164
267751653384029,Pardubický kraj,Pardubický kraj,161838,63
121742606287904,Tohle žeru Hnutí DUHA,Hnutí DUHA - Přátelé Země Česká republika,161349,148
156199040917285,Juraj Skovajsa z Epoch Times,"Epoch Times ČR, z. s.",160786,110
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol RPA s.r.o.,160681,110
275042429350706,Tomáš Zdechovský,KDU-ČSL,160545,148
108955600806152,"Jakub Unucka - Občan a politik, lídr ODS",ODS,160237,132
278212515809,Kancelář Evropského parlamentu,Kancelář Evropského parlamentu v České republice,159136,77
237070732827050,Slavíme 25 let ČR v NATO,"DALEKOHLEĎ,z.ú.",158827,158
424122987643945,Jiří Štěpán,Jiří Štěpán,157458,114
117111438676,Asociace společenské odpovědnosti,Asociace společenské odpovědnosti,156201,86
320144481956623,HLAS,První prezidentská,155559,197
163186777045684,Piráti Královéhradecký kraj,Česká pirátská strana,155236,452
128758673882866,Václav Láska - Právo s Láskou,Senátor 21,155141,58
471227586234132,Dr. Pavel Stodůlka,Pavel Stodůlka,152506,67
102844685102730,Olga Richterová - místopředsedkyně Sněmovny,Česká pirátská strana - Praha,151915,207
28312410177,World Food Programme,These ads ran without a disclaimer,151076,236
109144501836190,IOM Czechia,IOM Czechia,150991,22
1161002053978712,Jitka Seitlová,KDU-ČSL,150766,544
1220066088147062,Ondřej Krutílek,Občanská demokratická strana,149089,29
287618427947052,Volvo Car Česká republika,Volvo Car Czech Republic s.r.o.,148877,84
1439143123070953,Svoboda a přímá demokracie  Liberecký kraj - SPD,Radovan Vích,148619,203
2257860904279974,Dotační průvodce,Dotační průvodce,148066,11
251491594835,Zelené Brno,Strana zelených,147582,36
382745889213194,Roman Kriz,Kriz Roman,146664,168
114910283210996,Školské odbory,Českomoravský odborový svaz pracovníků školství,146606,98
733410133337387,Michaela Šojdrová,Michaela Šojdrová,146191,716
425939104497048,Starostové a nezávislí Mladá Boleslav,Starostové a nezávislí • STAN,145869,21
733410133337387,Michaela Šojdrová,KDU-ČSL,145539,358
101288484695293,Evropská soda,DFMG,145139,71
400479656748554,Ivan Bartoš,Česká pirátská strana\t,145005,84
113322746709049,Karel Havlíček,ANO,144459,89
1917661888252695,Tomáš Goláň - senátor,SENÁTOR 21,142950,40
1900532106849242,Institut H21,Institute H21,142536,141
356382154550156,e.on,These ads ran without a disclaimer,142347,53
1570680696523246,Institut pro politiku a společnost,Institut pro politiku a společnost,142080,189
103068351300691,Eduard Stehlík,Eduard Stehlík,140508,139
1434319750128022,Jan Skopeček,Jan Skopeček,138813,164
301147597357008,"Robin Povšík, zastupitel Mladé Boleslavi, Hlas pro Boleslav",Robin Povšík,138054,170
312181048799130,Skupina ČEZ,"ČEZ, a.s.",138000,2
109553708206923,Zvon #9801,MVP events s.r.o.,137832,356
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,137793,110
114723720265985,Pavel Staněk - poslanec,Pavel Staněk,137575,108
109526384299816,Nepromlčíme,Spolek Nepromlčíme,137486,72
104301308973100,Zuzana Klusová - politička,Zuzana Klusová - politička,137443,114
101894271393926,Daniel Kůs - Radní Plzně,Daniel Kůs,136611,69
110395247524264,Švýcarská demokracie,Razdik Tomas,136251,48
415013742606508,Asiaskop,"Sinoskop – Institut pro současnou Čínu, z.s.",136218,326
103624831753285,Jiří Crha - starosta Blanska a náměstek hejtmana JMK,Jiří Crha,135097,130
1477535869227488,Vít Rakušan,STAN,133496,64
146713862010620,Martin Baxa,Martin Baxa,133413,313
