Page ID,Page name,Disclaimer,Amount spent (BMD),Number of ads in Library
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,7
108966741644172,Koray Beserler 1,These ads ran without a disclaimer,≤100,4
167878593236712,UNICEF en español,UNICEF con créditos publicitarios de Facebook,≤100,39
456013751424561,CESaRE,These ads ran without a disclaimer,≤100,9
30954968553,Smithsonian’s National Museum of the American Indian,These ads ran without a disclaimer,≤100,5
368194657215717,Times Higher Education Connect,These ads ran without a disclaimer,≤100,1
103992786357969,The Shift Network,These ads ran without a disclaimer,≤100,4
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100,26
29056789480,Project Syndicate,These ads ran without a disclaimer,≤100,5
216311481960,Bill Gates,These ads ran without a disclaimer,≤100,3
207242941103,The Deen Show,These ads ran without a disclaimer,≤100,3
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,4
101359732304206,Share_M113_x2,These ads ran without a disclaimer,≤100,4
1744911689126391,12up,These ads ran without a disclaimer,≤100,11
115121535188191,Economist Impact events,These ads ran without a disclaimer,≤100,3
104408083201,Salvationist Magazine,These ads ran without a disclaimer,≤100,3
100399056233121,Maisa Paiva,These ads ran without a disclaimer,≤100,2
133277276873025,11th Hour Racing Team,These ads ran without a disclaimer,≤100,1
102040279188611,Support Ukrainians WW,These ads ran without a disclaimer,≤100,3
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,9
113502287096979,I Luv Australia,These ads ran without a disclaimer,≤100,2
212732770186,Tom MacDonald,These ads ran without a disclaimer,≤100,3
34440108608,Net Impact,These ads ran without a disclaimer,≤100,10
29092950651,TED,These ads ran without a disclaimer,≤100,2
104376759188069,Agsky-scrape,These ads ran without a disclaimer,≤100,6
113615355316959,WIRED UK,These ads ran without a disclaimer,≤100,6
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,6
249069455889789,Garnier Caribbean,These ads ran without a disclaimer,≤100,1
153371894688575,World Bank,These ads ran without a disclaimer,≤100,2
134278719946186,Bayer,These ads ran without a disclaimer,≤100,5
103061592394639,Flor Liz,These ads ran without a disclaimer,≤100,1
100106918464082,Tissue Online North America,These ads ran without a disclaimer,≤100,14
