Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
101691962235790,Ideal New Life,These ads ran without a disclaimer,≤100,5
1418018135010522,מוטי יוסף - חבר מועצת גן יבנה ומועמד לראשות המועצה,These ads ran without a disclaimer,≤100,2
324516601301336,FertilitySmart,These ads ran without a disclaimer,≤100,2
101572784752681,الخط الأخضر,These ads ran without a disclaimer,≤100,1
199543967391967,עדי מן - Adi Man,These ads ran without a disclaimer,≤100,1
167873824012557,Oceanus,These ads ran without a disclaimer,≤100,5
118339107905979,Avi Rachamim,These ads ran without a disclaimer,≤100,1
124225104311700,Weizmann Institute of Science,These ads ran without a disclaimer,≤100,1
1573305376056706,מובייל אלקט  Mobile Elect,These ads ran without a disclaimer,≤100,1
111428788394364,سعيد سليمان - مرشحكم لرئاسة المجلس المحلي,These ads ran without a disclaimer,≤100,3
111844343742339,UA Diaspora Mirror,These ads ran without a disclaimer,≤100,1
100792515657463,השואלת - קריית מלאכי,These ads ran without a disclaimer,≤100,1
135966312943565,מרכז הטקסים במכון הרטמן,These ads ran without a disclaimer,≤100,4
101244339319172,מימון מיידי ללא שאלות,These ads ran without a disclaimer,≤100,1
255920697930947,טל אל-על,These ads ran without a disclaimer,≤100,1
266420617552928,تيتي مكتب مُحاماة واستشارة - Titi Law & consultancy office,These ads ran without a disclaimer,≤100,1
106584348361364,Агентство недвижимости высокого класса i2,These ads ran without a disclaimer,≤100,2
849880482065479,רמת גן Online,These ads ran without a disclaimer,≤100,1
692605954141575,עורך דין אסף ברדוגו,These ads ran without a disclaimer,≤100,1
104477228384782,الشيخ والعالم الروحاني ابو خليفة,These ads ran without a disclaimer,≤100,4
113411311670460,Shir social media management,These ads ran without a disclaimer,≤100,1
545464992295932,אחד לאחד,These ads ran without a disclaimer,≤100,1
103925538691221,Handcrafted Best,These ads ran without a disclaimer,≤100,5
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,1
310869009044141,האגודה לזכויות החולה בישראל,These ads ran without a disclaimer,≤100,1
991373420956059,Денис Байгужин. Я выдаю девушек замуж,These ads ran without a disclaimer,≤100,16
810358109023164,סיכוי שווה - שילוב אנשים עם מוגבלות בעבודה ובחברה,These ads ran without a disclaimer,≤100,1
189543984502825,משה קונינסקי,These ads ran without a disclaimer,≤100,1
584731741567015,אמיר בברלין - סיורים בדרך אחרת,These ads ran without a disclaimer,≤100,1
106081324972268,כל מה שרצית לדעת על יפוי כוח מתמשך וצוואות,These ads ran without a disclaimer,≤100,2
85884249410,JLI - The Rohr Jewish Learning Institute,These ads ran without a disclaimer,≤100,2
562118970815771,"حركة النساء الديموقراطيات-תנד""י",These ads ran without a disclaimer,≤100,3
930979623702518,קליק ביז,These ads ran without a disclaimer,≤100,2
101820522571942,היחידה ללוחמת רחוב קרב מגע והגנה עצמית מתקדמת,These ads ran without a disclaimer,≤100,3
100187825347800,SEVEN mineral,These ads ran without a disclaimer,≤100,1
727655930668122,ספירלה - מסובבים את המחירים,These ads ran without a disclaimer,≤100,2
1562279580656367,מינהל קהילתי בקעה רבתי,These ads ran without a disclaimer,≤100,1
108793144985093,MedToo- אפס סובלנות להטרדה מינית במערכת הבריאות,These ads ran without a disclaimer,≤100,1
184529621404134,Whatodowith,These ads ran without a disclaimer,≤100,2
135053636508786,VISME,These ads ran without a disclaimer,≤100,1
102553208869481,jacqueslichtenstein,These ads ran without a disclaimer,≤100,2
154480978013716,יודלה בר,These ads ran without a disclaimer,≤100,1
1040894032772298,משרד עורכי דין אגבריה זכריה,These ads ran without a disclaimer,≤100,4
109258037221926,Products4Sale,Idan Shoham,≤100,2
548621438616103,מרכז קהילתי מעלה יוסף,These ads ran without a disclaimer,≤100,1
112832390340193,שוברות קירות Breaking walls,These ads ran without a disclaimer,≤100,2
103293814887019,האגף לשילוב חברתי בעיריית לוד,These ads ran without a disclaimer,≤100,1
112944260109088,הצפון הישן - בר אוכל מקומי,These ads ran without a disclaimer,≤100,1
430235607537436,תכשיטי וינטג' זהב עתיק,These ads ran without a disclaimer,≤100,1
610776962357192,זאוס מתנות ומוצרי פרסום,These ads ran without a disclaimer,≤100,1
1984533281793150,עולים לירושלים Tamar Abessira,These ads ran without a disclaimer,≤100,2
104238192067446,Fox'oclock,These ads ran without a disclaimer,≤100,2
1835302400034426,QH Stunts,These ads ran without a disclaimer,≤100,1
755423164591116,עופרה טל - הומאופתיה קלאסית,These ads ran without a disclaimer,≤100,1
279757413823392,"Артем Нестеренко ""Большая игра в МЛМ""",These ads ran without a disclaimer,≤100,10
1572730489708513,Ашдод /Русская улица,נמירובסקי רומן,≤100,1
670447859788515,יניב דרי - מחוברים לתושב,These ads ran without a disclaimer,≤100,1
111604720373428,הפורום הישראלי למשפט וחירות,These ads ran without a disclaimer,≤100,1
109288037930750,המרכז הלאומי לזכויות המבוטח,These ads ran without a disclaimer,≤100,2
303720457847,לשכת רואי חשבון בישראל,These ads ran without a disclaimer,≤100,3
331912600343244,مجلس كفر كنا المحلي,These ads ran without a disclaimer,≤100,3
105818032538771,Tzlil Pinhas-ייעוץ תזונה וכושר,These ads ran without a disclaimer,≤100,1
122094853676016135,Trophy Trivia,These ads ran without a disclaimer,≤100,1
193394557345243,Devex,These ads ran without a disclaimer,≤100,27
454383051308305,אל-סורג סורגים שקופים,These ads ran without a disclaimer,≤100,2
245499002787929,Ашдод.ру - ashdod.ru,These ads ran without a disclaimer,≤100,1
946596718728933,Shlomo Karhi - שלמה קרעי,These ads ran without a disclaimer,≤100,2
135657126589528,אריה קינג - Arieh King,These ads ran without a disclaimer,≤100,1
222317684306763,שחר תורג'מן - מנהיג ללשכת המסחר,These ads ran without a disclaimer,≤100,2
520639961303602,Nature Middle East,These ads ran without a disclaimer,≤100,3
102800258295546,Hello yavne - הלו יבנה,These ads ran without a disclaimer,≤100,1
2367501536639712,FemForward,These ads ran without a disclaimer,≤100,1
1725386077728668,מיתווים - המכון הישראלי למדיניות חוץ אזורית,These ads ran without a disclaimer,≤100,2
103977015793836,"سقي الغيث لحفر الآبار _alghaith """,These ads ran without a disclaimer,≤100,6
1330949267007212,Arloid Automation,These ads ran without a disclaimer,≤100,4
12597491214,ADRA International,These ads ran without a disclaimer,≤100,3
102940118170371,Storysome,These ads ran without a disclaimer,≤100,43
101099962403530,Wowbody: Workouts for women,These ads ran without a disclaimer,≤100,1
105754791449624,לחיות בכבוד,תהילה חזן,≤100,1
415327048578297,דלתות הדקל,These ads ran without a disclaimer,≤100,2
330684977663968,Arena Tickets - כרטיסים וחבילות לאירועי ספורט בעולם,These ads ran without a disclaimer,≤100,2
111870434970833,HB-leather الصناعات الجلدية,These ads ran without a disclaimer,≤100,1
1706040516345024,Ministry of Diaspora Affairs משרד התפוצות,These ads ran without a disclaimer,≤100,1
249722245170852,"אל""י - האגודה להגנת הילד",These ads ran without a disclaimer,≤100,2
102402805111403,pagoda_tiberias,These ads ran without a disclaimer,≤100,1
113363053368189,מגזין בית המשפט,These ads ran without a disclaimer,≤100,1
1177132775680207,Houg Benno Gross,These ads ran without a disclaimer,≤100,1
213455245416505,Forbes Israel,These ads ran without a disclaimer,≤100,1
839119972888975,יאיר לוי- Yair Levi,These ads ran without a disclaimer,≤100,1
269049209794318,"אורנה שמריהו - עו""ד ונוטריונית, ייעוץ משפטי בתחום משפט העבודה",These ads ran without a disclaimer,≤100,1
101100754842817,MaBroz,These ads ran without a disclaimer,≤100,8
477858399640183,Music Declares Emergency,These ads ran without a disclaimer,≤100,1
1495563007133482,Mifram Security,These ads ran without a disclaimer,≤100,1
756616274438567,קרן רועי לא אחסר,These ads ran without a disclaimer,≤100,1
758826730923096,ONYX radiance,These ads ran without a disclaimer,≤100,1
100462013796,mako,These ads ran without a disclaimer,≤100,2
103262645301014,Jmedia Plus,These ads ran without a disclaimer,≤100,2
101156864857908,החנות האורגנית,These ads ran without a disclaimer,≤100,1
205725572857299,OneFamily Together,These ads ran without a disclaimer,≤100,1
100933871661970,"רו""ח רפאל משה - Refael Moshe",These ads ran without a disclaimer,≤100,1
853082158400178,באגט הרכבת,These ads ran without a disclaimer,≤100,1
1584977298456044,מתנס נחל שורק,These ads ran without a disclaimer,≤100,1
104001935058541,Hefzi'S קייטרינג בוטיק,These ads ran without a disclaimer,≤100,1
736681833135859,יש עתיד בטירת כרמל,These ads ran without a disclaimer,≤100,1
608949639563306,"ביטול ההליך התכנוני המסוכן תמ""א 38/1 הוספת קומות על דירות ישנות",These ads ran without a disclaimer,≤100,1
390174201363786,Eli Nacht • אלי נכט,These ads ran without a disclaimer,≤100,2
2248969098702826,קומבינה בכנסת,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
783888585109695,EmailDrips,These ads ran without a disclaimer,≤100,5
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,≤100,7
104732702477939,פרויקט קואלי-Coali,These ads ran without a disclaimer,≤100,1
802632886576630,ماورای دانش,These ads ran without a disclaimer,≤100,1
172720001100793,تميز,These ads ran without a disclaimer,≤100,3
102261041641612,Dr. Sidi S. Koné,These ads ran without a disclaimer,≤100,3
105013562949257,מבוי סתום - עזרה למסורבות גט ועגונות - Mavoi Satum,These ads ran without a disclaimer,≤100,1
381329449009791,Done,These ads ran without a disclaimer,≤100,1
658529267955871,הום לייטינג,These ads ran without a disclaimer,≤100,3
1538743676374357,"חב""ד ליהודי גרוזיה",These ads ran without a disclaimer,≤100,3
0,Instagram User 5501277701,These ads ran without a disclaimer,≤100,1
1482078522101758,SeDomicilier,These ads ran without a disclaimer,≤100,1
105637674939205,الحقيقة,These ads ran without a disclaimer,≤100,1
112037601314860,החממה- בית הספר ליזמות חברתית,These ads ran without a disclaimer,≤100,1
154335611261035,הלל הפקות בר מצווה בת מצווה,These ads ran without a disclaimer,≤100,1
0,Instagram User 5585785389,These ads ran without a disclaimer,≤100,1
170610727936033,מפלגת עולם חדש,מפלגת עולם חדש,≤100,1
107371401691576,Международный возврат средств,These ads ran without a disclaimer,≤100,1
108480870979466,בידן - שירותים מתקדמים,These ads ran without a disclaimer,≤100,2
904926756262419,FarmBot,These ads ran without a disclaimer,≤100,15
192209954933886,ענבר תקשורת,קייזלר ענבר,≤100,1
1805702813054911,פורטל רמת גן חדשות עירוניות,These ads ran without a disclaimer,≤100,1
83722097116,מאיר פנים - עוזרת לנזקקים כבר מעל 20 שנה,These ads ran without a disclaimer,≤100,7
104330089235546,חינוך יהודי,These ads ran without a disclaimer,≤100,1
2204063979650142,The Luxury Deals,These ads ran without a disclaimer,≤100,24
676263352390386,שחר- עושים חינוך,These ads ran without a disclaimer,≤100,2
101715608808670,Judgment Day: Angel of God,These ads ran without a disclaimer,≤100,13
106526576046268,מלונות קראון פלזה ואינדיגו ישראל  Crowne Plaza & Indigo hotels Israel,These ads ran without a disclaimer,≤100,1
504295953367508,ריבריום -חנות דגי נוי וצמחי מים לאקווריום,These ads ran without a disclaimer,≤100,3
190467807719467,South Hebron Chamber of Commerce& Industry غرفة تجارة  وصناعة جنوب الخليل,These ads ran without a disclaimer,≤100,4
363452120499622,Eman Haddad إيمان حداد,These ads ran without a disclaimer,≤100,1
100697728823077,Рекомендованное,These ads ran without a disclaimer,≤100,26
130737346957277,סוהו עיצוב ריהוט ותאורה,These ads ran without a disclaimer,≤100,5
186951664653224,אופטיקה מבט ראשון,These ads ran without a disclaimer,≤100,1
138669266152569,באבקום - babcom Centers,These ads ran without a disclaimer,≤100,2
1611113632459304,Golbary שפרעם,These ads ran without a disclaimer,≤100,3
149294834944547,גרמניה ישראל - הנפקת דרכון גרמני בקליק,These ads ran without a disclaimer,≤100,3
175863549984573,חדשות,These ads ran without a disclaimer,≤100,2
103654948323336,חתולים בצמרת - גוריית רעננה,These ads ran without a disclaimer,≤100,2
844792542264192,Alyah.fr,These ads ran without a disclaimer,≤100,1
196689261011751,Onechoiceapparel,These ads ran without a disclaimer,≤100,8
129762577695248,מרפאות שיניים מומלצות במיוחד,These ads ran without a disclaimer,≤100,1
1111415505634959,בשדות,These ads ran without a disclaimer,≤100,1
1192871627554347,Quizell,Omri Yeheskel,≤100,1
242728723006176,חדשות טירת כרמל,These ads ran without a disclaimer,≤100,2
351217631618781,היכל התרבות רעננה בית יד לבנים,These ads ran without a disclaimer,≤100,1
559275097865867,Irit Anaki Aharoni,These ads ran without a disclaimer,≤100,3
465246374253322,Glamnetic,These ads ran without a disclaimer,≤100,1
272417386608034,מרכז חדרים ׀ בית לתרבות ויצירה בחיפה.,These ads ran without a disclaimer,≤100,1
536374010177578,קובי גבריאל kobi gavriel,These ads ran without a disclaimer,≤100,1
2347617785483034,ל. עמידור ושות' - משרד עורכי דין ונוטריון,These ads ran without a disclaimer,≤100,1
102580268052626,ערוץ 14- איי מדיה תקשורת  שידורים כתבות זכות הציבור לדעת עיתונות ברשת,דודי לוין מפיק פוסט,≤100,3
123622350826805,David Barnan,These ads ran without a disclaimer,≤100,1
286407896530363,Vaal Turkey,These ads ran without a disclaimer,≤100,1
719052378200088,קפיטליזם קשוב ישראל,These ads ran without a disclaimer,≤100,2
144210468781230,Travel & Fly,These ads ran without a disclaimer,≤100,1
322630041102174,עינבל לוי מנטורית - המרכז הישראלי לנומרולוגיה וצמיחה אישית,These ads ran without a disclaimer,≤100,1
100112224894901,Najib power& machine,These ads ran without a disclaimer,≤100,1
114337291577655,البقيعة بيتنا- جميل خير,These ads ran without a disclaimer,≤100,2
1907529952850020,מכללת סדר דין - מסירים את הספק,These ads ran without a disclaimer,≤100,1
324741250952529,ישראל נגלית לעין,These ads ran without a disclaimer,≤100,6
133808137299282,مدينتي مع ثائر قزل- madinati,These ads ran without a disclaimer,≤100,2
383701401669050,להיות מאסטר בהשקעות בקלות - עדי קידר,These ads ran without a disclaimer,≤100,4
1618142638300384,עידו גרינבלום,These ads ran without a disclaimer,≤100,1
514405025429745,Sky jump פארק טרמפולינות,These ads ran without a disclaimer,≤100,1
107220898938501,Balai Besar Survei dan Pemetaan Geologi Kelautan,These ads ran without a disclaimer,≤100,1
102546588115879,Ystudio,These ads ran without a disclaimer,≤100,1
108945807684012,רעננה ניוז raanana.news,These ads ran without a disclaimer,≤100,1
371346143006729,ליפקו דיגיטל - Lifko Digital,These ads ran without a disclaimer,≤100,10
106790695543614,Moshe Katz Creativity & Inspiration,These ads ran without a disclaimer,≤100,4
663677227168931,Wiseman Hagag & Co. CPA חג'ג' ויצמן ושות' רואי חשבון ויועצים,These ads ran without a disclaimer,≤100,3
103895201517475,Roni Amazing,These ads ran without a disclaimer,≤100,1
103122639107936,Sabai-Boutique,These ads ran without a disclaimer,≤100,5
102611492337047,El Englizi - الإنجليزي,These ads ran without a disclaimer,≤100,1
111535974527368,ירושלים בירת הנוער של ישראל,These ads ran without a disclaimer,≤100,2
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,8
102123258704574,מעגלי צדק,These ads ran without a disclaimer,≤100,1
314567288577744,אינדיבוק - IndieBook,These ads ran without a disclaimer,≤100,9
134278719946186,Bayer,These ads ran without a disclaimer,≤100,7
105717359182470,"מאמאט""כל Love&There",These ads ran without a disclaimer,≤100,1
369402276875499,Binance Global Türkçe,These ads ran without a disclaimer,≤100,1
108407519211879,מכון ליאו בק ירושלים - Leo Baeck Institute Jerusalem,These ads ran without a disclaimer,≤100,3
100649312975739,russki_standartt,These ads ran without a disclaimer,≤100,1
286658671378720,Syria Relief & Development,These ads ran without a disclaimer,≤100,1
1268368586671260,Osaka Streetwear,These ads ran without a disclaimer,≤100,1
156364827766383,Naama Eilam נעמה עילם אדריכלות עיצוב פנים,These ads ran without a disclaimer,≤100,1
418951294827718,Wren + Glory,These ads ran without a disclaimer,≤100,1
105799715845630,CriptNew,These ads ran without a disclaimer,≤100,2
2504846706195319,Депутат Хайфского городского совета Лазарь Каплун,These ads ran without a disclaimer,≤100,2
6829493713,(RED),These ads ran without a disclaimer,≤100,2
204173136103859,معسكر العقاد - خانيونس - Alakkad Camp KhanYounis,These ads ran without a disclaimer,≤100,5
180633099434837,Chad Taylor Consuming Fire,These ads ran without a disclaimer,≤100,1
374750506215374,אתי קאופמן - עיצוב ואדריכלות פנים,These ads ran without a disclaimer,≤100,1
106160712011074,Talking-Tee,These ads ran without a disclaimer,≤100,1
106290075517861,Herotuff,These ads ran without a disclaimer,≤100,1
102698118552564,TheTorah.co.il,These ads ran without a disclaimer,≤100,1
109265898245426,Hadran- Advancing Talmud Study for Women,These ads ran without a disclaimer,≤100,1
101527335007156,the.israel.files,These ads ran without a disclaimer,≤100,1
1597394830284697,אלון חן העמוד הרשמי,These ads ran without a disclaimer,≤100,1
1594351120798389,פידליס גרופ Fidelis Group,These ads ran without a disclaimer,≤100,5
105840594284322,CAMERA on Campus in Israel - קאמרה בקמפוס בישראל,These ads ran without a disclaimer,≤100,1
104790638721442,Business FM,These ads ran without a disclaimer,≤100,1
123262354386899,Kornit-Digital,These ads ran without a disclaimer,≤100,1
107290055204835,Best Business,These ads ran without a disclaimer,≤100,1
103541177714151,ZKUUM,These ads ran without a disclaimer,≤100,3
103177578805854,مريم للفضة,These ads ran without a disclaimer,≤100,1
1536567746487126,Liya Pilipenko,These ads ran without a disclaimer,≤100,1
103584727774227,Isslam PARA TODOS,These ads ran without a disclaimer,≤100,3
350912611639705,Cleantech mashov news- International,These ads ran without a disclaimer,≤100,2
103401584712534,9 Ilha,These ads ran without a disclaimer,≤100,1
341724699494358,قناة فتح - Fateh TV,These ads ran without a disclaimer,≤100,1
107533858776006,Qrscanner-11,These ads ran without a disclaimer,≤100,2
141750459710701,مركز بوتين الرياضي للألعاب القتالية,These ads ran without a disclaimer,≤100,1
160735266603,TheJapanShop.com,These ads ran without a disclaimer,≤100,3
107742893995095,Translator -AI & Real time,These ads ran without a disclaimer,≤100,1
184620081634720,פרסום פנינה,These ads ran without a disclaimer,≤100,2
107966771427215,Ultra Gloss,These ads ran without a disclaimer,≤100,1
1481636172134996,קדמא גן אירועים,These ads ran without a disclaimer,≤100,1
102198981305295,Project Pen & Shield,These ads ran without a disclaimer,≤100,1
121785287683456,Tistvo-EU,These ads ran without a disclaimer,≤100,4
221382855095277,Aleksandra M,These ads ran without a disclaimer,≤100,1
190552554132911,anaoomisf,These ads ran without a disclaimer,≤100,1
101920319678374,MGL פיננסים,These ads ran without a disclaimer,≤100,4
106549231771979,Wololt,These ads ran without a disclaimer,≤100,6
104119911129384,שני ימין הפקת אירועים,These ads ran without a disclaimer,≤100,2
482758211797624,Hip hop/Rnb soul,These ads ran without a disclaimer,≤100,1
993604714053060,פואנטה - צרכנות עם שורה תחתונה,These ads ran without a disclaimer,≤100,1
257485804454173,מאור מליקסון - Maor Melikson,These ads ran without a disclaimer,≤100,2
107720997596910,Matan Nistor - מתן ניסטור - לשרוף את הספינות,These ads ran without a disclaimer,≤100,1
106705935507742,Billycity,These ads ran without a disclaimer,≤100,9
266645313413386,רשת החינוך עתיד,These ads ran without a disclaimer,≤100,3
104169407893208,שחר אמרגי -תהליכים בקצב שלי,These ads ran without a disclaimer,≤100,2
111647351301182,Fahham Promotion,These ads ran without a disclaimer,≤100,1
208619589270223,Nextory,These ads ran without a disclaimer,≤100,1
103897295761369,Alex Blinkin - אלכס בלינקין,אלכסנדר בלינקין,≤100,2
2380394765367859,זהר טל  Zohar Tal,These ads ran without a disclaimer,≤100,1
1641219842774691,אינגליש סנטר - הבית שלך לאנגלית,Jony Asulin,≤100,1
512410009216555,اخبار الضفة الغربية,These ads ran without a disclaimer,≤100,2
2386589048082414,דין פרוטה,These ads ran without a disclaimer,≤100,1
103470588696829,Laba,These ads ran without a disclaimer,≤100,12
44998072966,DANIELLA LEHAVI,These ads ran without a disclaimer,≤100,4
1619945738274341,"جمعية نموّ - ""حضانة اطفال"" و مركز لمرافقة تطوّر نموّ الطفل",These ads ran without a disclaimer,≤100,3
266563783368700,"ד""ר עודד קרבצ'יק",These ads ran without a disclaimer,≤100,1
2135032340109372,Sreina,These ads ran without a disclaimer,≤100,1
208368424630,SHON BALAISH &  MODELING & FASHION,These ads ran without a disclaimer,≤100,1
110915245442980,سعيد ابو خلّا l مرشحكم لرئاسة المجلس,These ads ran without a disclaimer,≤100,3
103694584640178,מנצלי הזדמנויות המשברים,These ads ran without a disclaimer,≤100,2
0,Instagram User 6395705929,These ads ran without a disclaimer,≤100,1
148321501884311,תיירות תל־אביב-יפו,These ads ran without a disclaimer,≤100,1
43853729859,Campaigns & Elections,These ads ran without a disclaimer,≤100,25
109147403773208,Noam_razal,These ads ran without a disclaimer,≤100,1
100616296685390,Kyoto - קיוטו,These ads ran without a disclaimer,≤100,1
109144668011752,oo.nutrition,These ads ran without a disclaimer,≤100,3
596579443757841,موقع اكسال,מוחמד חליליה,≤100,1
174918209040856,הדס דניאלי ילין לראשות התנועה הקיבוצית,These ads ran without a disclaimer,≤100,2
489060631447283,Robert Sherman,These ads ran without a disclaimer,≤100,1
44383001500,HolyClothing,These ads ran without a disclaimer,≤100,6
143067869685719,Dtour - סיפורים וטעמים,These ads ran without a disclaimer,≤100,1
100258979291471,optinice_kfar_kasem,These ads ran without a disclaimer,≤100,1
581333888621173,ניצן חן רזאל -  Nitsan Khen Razel,These ads ran without a disclaimer,≤100,3
821564701262851,Harley-Davidson Israel הארלי דוידסון ישראל,These ads ran without a disclaimer,≤100,4
1429610370619240,פרו אסטרטגיה - Pro Strategy,These ads ran without a disclaimer,≤100,2
113208852173588,الناشطة الفلسطينية السكلانصية,These ads ran without a disclaimer,≤100,7
114437125016790,بحر الأخبار ים חדשות,These ads ran without a disclaimer,≤100,1
138756620064262,Fanack.com of the Middle East and North Africa,These ads ran without a disclaimer,≤100,67
184539498987074,סופר ג'יפ SUPER JEEP,These ads ran without a disclaimer,≤100,1
101996177855459,Sally T.,Tomer Salman,≤100,1
107625814501222,תרבותי נשי,שרון צביאלי,≤100,1
1687464794893221,זיוה גרין מטפלת רגשית לנשים שרוצות להעז לעשות שינוי,These ads ran without a disclaimer,≤100,1
154917581046057,ИсраэльСКА,These ads ran without a disclaimer,≤100,3
105294430978672,Reconstruction of the synagogue. Katowice Poland,These ads ran without a disclaimer,≤100,1
215138065124,Louis Vuitton,These ads ran without a disclaimer,≤100,1
108379868904859,سمو الأمير سحاب بنت عبدالله بن عبدالعزيز آل سعود,These ads ran without a disclaimer,≤100,2
113346841681964,shanydaphnegoldstein,These ads ran without a disclaimer,≤100,1
101566597908869,Exit,These ads ran without a disclaimer,≤100,1
341728236520442,California Bar,These ads ran without a disclaimer,≤100,6
1446039229012472,أخبار الضفة على مدار الساعة,These ads ran without a disclaimer,≤100,2
579603888787451,הכפתור,These ads ran without a disclaimer,≤100,1
696279997111946,מפלגת זהות - מטה שומרון,These ads ran without a disclaimer,≤100,1
104761562398253,כצפיחית בדבש בית קפה בוטיק מסעדה חלבית עשירה,These ads ran without a disclaimer,≤100,1
111285318244891,LAMDA,These ads ran without a disclaimer,≤100,7
248788905529463,Детали / новости Израиля,These ads ran without a disclaimer,≤100,11
348171681869462,Mia Inspiration,These ads ran without a disclaimer,≤100,1
724015147673796,Mastery Academy ماستري اكاديمي,These ads ran without a disclaimer,≤100,2
105968015152366,Lucky life,These ads ran without a disclaimer,≤100,2
407902639235640,JNS.org,These ads ran without a disclaimer,≤100,2
106858224192696,Права и факты,These ads ran without a disclaimer,≤100,1
313741829339200,مجلس يافة الناصرة المحلي - המועצה המקומית יפיע,These ads ran without a disclaimer,≤100,2
697786906913648,MEPIN,These ads ran without a disclaimer,≤100,1
7163962142,theory11,These ads ran without a disclaimer,≤100,12
103185185122103,Avi Ganon אבי גנון,These ads ran without a disclaimer,≤100,1
2068611890098709,יום טוב כלפון - Yomtob Kalfon,These ads ran without a disclaimer,≤100,1
426060767427306,BNT Eurovision Bulgaria,These ads ran without a disclaimer,≤100,1
121414517717858,Елена Гитман,These ads ran without a disclaimer,≤100,2
8715906316,Philips,These ads ran without a disclaimer,≤100,6
1730630540553065,Curio,These ads ran without a disclaimer,≤100,2
632263960265083,Tzomet Career Counseling Center,These ads ran without a disclaimer,≤100,1
103781058916729,Frontier - Understand the Russian-Ukrainian War,These ads ran without a disclaimer,≤100,10
102160088196117,Georgeo-shop,These ads ran without a disclaimer,≤100,8
102696075058667,Lead yourself לצמיחה אישית ועסקית,These ads ran without a disclaimer,≤100,1
459511164558088,"הרב ניסים כהן - מוהל רפואי מוסמך בצפון, בחיפה, במרכז",These ads ran without a disclaimer,≤100,1
42940254353,Human Rights Watch,These ads ran without a disclaimer,≤100,1
116303654747495,المحامي معتصم عيادات עורך דין מועתסם עיאדאת,These ads ran without a disclaimer,≤100,2
103060361348262,הלב היהודי,Elie Joseph,≤100,1
248723598607259,ארגון בזכות,These ads ran without a disclaimer,≤100,1
118312011201333,נורית טופז יורית תושווים,These ads ran without a disclaimer,≤100,2
122105811632003586,Gift For Y,These ads ran without a disclaimer,≤100,1
270587116429371,צ'פצ'ולה - סטודיו לעיצוב סרטים וקשתות לשיער בעבודת יד,These ads ran without a disclaimer,≤100,2
216581981739230,Tower of David Jerusalem Museum,These ads ran without a disclaimer,≤100,1
100201831842551,GPC Consulting_ISR,These ads ran without a disclaimer,≤100,1
1875449622704906,NabilZjir Gaming,אלסייד נביל,≤100,3
246710838743690,רפואה לעם,These ads ran without a disclaimer,≤100,1
103275782326641,Ooksana,These ads ran without a disclaimer,≤100,10
284486461424067,Local service0,These ads ran without a disclaimer,≤100,1
109794881670897,psykirillgreen,These ads ran without a disclaimer,≤100,1
199145610665016,La Bella Jewelry,These ads ran without a disclaimer,≤100,4
0,Instagram User 2468621276,These ads ran without a disclaimer,≤100,1
2266181576953437,אשכול כנרת עמקים,These ads ran without a disclaimer,≤100,1
127931833899802,עופר קניותר,These ads ran without a disclaimer,≤100,2
109054555069662,Investing Digest,These ads ran without a disclaimer,≤100,23
1508416256059809,הרשת הצפונית - חדשות ותקשורת,אופיר נחמני,≤100,1
2188342574547424,"אחז אגם, עו""ד - Achaz Agam",These ads ran without a disclaimer,≤100,1
123174996210135,הפורום הימני - ציוני,These ads ran without a disclaimer,≤100,1
109765888533342,yitavp,These ads ran without a disclaimer,≤100,1
236069797247348,LKD - משפיעים בליכוד,These ads ran without a disclaimer,≤100,1
164422636978516,BIRD Foundation - Israel-U.S. Binational Industrial R&D,These ads ran without a disclaimer,≤100,3
202592007272764,לוחמת מג״ב הדס מלכא,These ads ran without a disclaimer,≤100,1
103367245695850,JETRO - Collaborate & Invest Japan,These ads ran without a disclaimer,≤100,4
155866711766119,שמקה הקצב,These ads ran without a disclaimer,≤100,1
136091409734689,אבי מלמד - חווית שף פרטי עד הבית,These ads ran without a disclaimer,≤100,2
42631297765,Hadassah,These ads ran without a disclaimer,≤100,1
107207931828456,Next Thing Technologies,These ads ran without a disclaimer,≤100,2
1803838213088550,הפרלמנט - חומוס מקומי,These ads ran without a disclaimer,≤100,2
102358141544295,רז עטיה - Raz Atia,These ads ran without a disclaimer,≤100,1
763081770488648,עיצוב שיער אילן מרגלית,These ads ran without a disclaimer,≤100,1
412225736211311,ככר העם החדש,These ads ran without a disclaimer,≤100,1
105147038897865,BARAA Translation Services,These ads ran without a disclaimer,≤100,2
28928259418,"Saïd Business School, University of Oxford",These ads ran without a disclaimer,≤100,3
108720240729167,בית עמרם,Alon Bar,≤100,1
389444141129085,NOGU,These ads ran without a disclaimer,≤100,11
192342377462436,משרד התחבורה והבטיחות בדרכים,These ads ran without a disclaimer,≤100,1
106252538721330,מניפה - חוויה. חיבור. הישגים,These ads ran without a disclaimer,≤100,8
337019110574002,Rabbi Boruch Merkur,These ads ran without a disclaimer,≤100,1
300388967094487,Mira Nassiri,These ads ran without a disclaimer,≤100,1
