Page ID,Page name,Disclaimer,Amount spent (ILS),Number of ads in Library
1557652337821071,הרשימה המשותפת,"חד""ש Hadash",183830,206
128834187134576,Ahmad Tibi احمد طيبي,Ahmad Tibi احمد طيبي,183806,382
237683826350051,איילת שקד - Ayelet Shaked,איילת שקד - Ayelet Shaked,183180,126
103851895179872,אמהות לביאות,Nataly Milner,180956,146
107124799990825,חן שרייבר-נשיא לשכת רואי החשבון בישראל,חן שרייבר,180887,585
145535135313211,הופקרנו,הופקרנו,180841,581
109708842392860,מרכז השלטון המקומי בישראל,מרכז השלטון המקומי בישראל,179167,1225
218832864804823,הקריה האקדמית אונו - מינהל הציונות הדתית,הקריה האקדמית אונו - מנהל הציונות הדתית,178131,243
389810911067075,Наш дом Израиль,Наш дом Израиль,177435,1906
111177802287614,Begin Center | מרכז מורשת מנחם בגין,Begin Center | מרכז מורשת מנחם בגין,177184,955
112791015410812,Danny Danon - דני דנון,דני דנון,176761,127
102371638090830,רדיקל,רדיקל - בית לרעיונות,176174,646
109253420431056,ימינה,מפלגת ימינה,174602,441
906735679346216,Биньямин Нетаниягу - בנימין נתניהו,политическая партия - Ликуд,173546,79
112014486867932,InvestMaster - המדריך למשקיע הישראלי,ForeShop,172857,33
176990702161293,תתפטר עכשיו,תתפטר עכשיו,172768,47
146122195591636,שלומי לחיאני - בת ים בראש מורם,שלומי לחיאני - בת ים בראש מורם,172665,750
197861515565,שתיל - شتيل - Shatil,שתיל - Shatil,170479,620
163390343680922,איי אי ג'י ישראל - AIG Israel,These ads ran without a disclaimer,169786,20
101085734585825,مصوتين,الائتلاف 23.3,169185,31
107639498064609,המחלקה המסחרית - המגזין,המחלקה המסחרית - המגזין,164511,186
279345532129864,ההסתדרות הציונית העולמית,ההסתדרות הציונית העולמית,164325,377
234189924125717,שירלי פינטו - Shirly Pinto,Shirly Pinto,163948,712
190739554295848,אפי נוה,אפי נוה,163711,139
676200292418258,הרב יאשיהו פינטו - Rabbi Yoshiyahu Pinto,These ads ran without a disclaimer,163549,357
101994281907332,רון חולדאי - Ron Huldai,רון חולדאי - Ron Huldai,163492,92
134896023193138,יוזמת ז'נבה,יוזמת ז'נבה,162535,630
1457440094475905,Stav Shaffir סתיו שפיר,המחנה הדמוקרטי,162064,221
107926607591864,זוּלת - לשוויון וזכויות אדם,זוּלת - לשוויון וזכויות אדם,161726,1648
1633801720194315,מועצה מקומית פרדס חנה כרכור,מועצה מקומית פרדס חנה כרכור,161195,1368
105427687498532,Mиссия 17/9,הברית הישראלית,160506,18
103563939372367,ברק סרי - Barak Seri,ברק סרי - Barak Seri,160463,257
104449207981107,העם נגד סיפוח,עתיד כחול לבן,160389,127
173196886046831,משה (בוגי) יעלון - Moshe (Bogie) Ya'alon,Blue and White,158972,422
1662907067255622,איגוד הגז הטבעי,Unik,158074,181
237861796078215,מטה מאבק המילואימניקים לשירות שווה,מטה מאבק המילואימניקים לשירות שווה,154379,147
119995701391029,בית בן-גוריון בתל אביב,בית בן גוריון,154265,661
519447478106655,הבית היהודי,הבית היהודי,153828,87
250947744954005,התנועה הקיבוצית,התנועה הקיבוצית,153807,1152
2275137472764041,התאחדות הקבלנים בוני הארץ,התאחדות הקבלנים בוני הארץ,152375,251
2145340712350945,נעמה לזימי - Naama Lazimi,נעמה לזימי - Naama Lazimi,149583,691
358525967573424,Yaakov Vider - יעקב וידר,Yaakov Vider - יעקב וידר,147206,33
94762908662,נעמת - תנועת הנשים של ישראל,נעמת | Women @ Work,147151,1421
168898066479983,עיריית עכו,עיריית עכו,146912,562
100302095109754,נועה יצחק,נועה יצחק,146381,121
134031473133763,מערך ההסברה הלאומי,מערך ההסברה הלאומי,146118,37
107054974674397,معا,معا,146006,141
249237548253362,שוויון בנטל עכשיו,שוויון בנטל עכשיו,145906,100
182789658470215,חוזרים לכיכר,"סל הפקות בע""מ - עין שמר",144979,92
239923809487038,צעירי יש עתיד,מפלגת יש עתיד,144837,69
101103422189110,חנינא בני,חנינא בני,144631,207
110785650274088,الصفحة الرسمية لكتلة باقة اولاً,الصفحة الرسمية لكتلة باقة اولاً,144223,324
124191360932729,התעוררות בירושלים,התעוררות בירושלים,144120,622
289010821988979,רייך פיננסים - פתרונות אשראי למימון הפעילות העסקית,These ads ran without a disclaimer,144009,232
1824323844461002,יקיר שינדלר,יקיר שינדלר,142216,439
972606056257075,שיבולת - הוצאה לאור,הוצאת שיבולת,141943,1108
