Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
1852596101707490,Hildur Björnsdóttir / Borgarfulltrúi,Hildur Björnsdóttir,563372,99
354408115006320,Viðreisn í Hafnarfirði,Viðreisn,559734,87
111020791969904,Vísbending,Sameinaða útgáfufélagið,551482,81
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,539354,104
1011307815614890,Ríkislögreglustjóri,Ríkislögreglustjóri,536163,53
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,534395,171
108295544832396,Jóhann Páll Jóhannsson,Jóhann Páll Jóhannsson,518118,150
106017545034898,1. maí - Ísland,1. maí - Ísland,499997,33
106720308630323,Friðjón R Friðjónsson - Reykjavík,Friðjón Reynir Friðjónsson,481610,18
202456013104343,Sjálfstæðisflokkurinn í Reykjanesbæ,Sjálfstæðisflokkurinn í Reykjanesbæ,478004,47
245141998866405,Vinstri græn í Reykjavík,Vinstrihreyfingin - grænt framboð,475011,31
104853755521137,Framsókn í Hafnarfirði,Framsóknarfélag Hafnarfjarðar,473731,20
103232534660735,Samrómur,Háskólinn í Reykjavík,469998,13
557620000937141,Sjálfstæðisflokkurinn í Suðurkjördæmi,Sjálfstæðisflokkurinn í Suðurkjördæmi,453967,71
285639334622445,Forsetaframboð Guðbergs Guðbergssonar,Guðbergur Guðbergsson,448386,56
100138115009337,Jafnvægisvogin - Hreyfiaflsverkefni FKA,Félag kvenna í atvinnulífinu,447252,48
291017694084757,Helga Þórisdóttir 2024,Félag um framboð Helgu Þórisdóttur,442481,58
363415690444423,Píratar í Norðvesturkjördæmi,Magnús Norðdahl,431752,27
105504941580153,Guðbergur Reynisson,Guðbergur Ingolfur Reynisson,430139,18
105116352958747,ÖBÍ réttindasamtök,"Öryrkjabandalag Íslands, ÖBÍ",423852,55
605178106224531,Framsókn í Kópavogi,Framsóknarfélag Kópavogs,410403,16
117776632071,Slysavarnafélagið Landsbjörg,Slysavarnafélagið Landsbjörg,400000,2
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,398833,61
363415690444423,Píratar í Norðvesturkjördæmi,Píratar,381708,58
245267163673,Bryndís Haraldsdóttir,Bryndís Haraldsdóttir,371958,197
380402885473277,Fjölmiðlanefnd,Fjölmiðlanefnd,371414,28
1518790851708164,Samtök fyrirtækja í sjávarútvegi,SFS - Samtök fyrirtækja í sjávarútvegi,361958,24
102631918137989,Píratar í Suðurkjördæmi,Píratar,360609,33
1016761808389143,Lilja Dögg Alfreðsdóttir,Lilja Alfreðsdóttir /  Mennta- og menningarmálaráðherra.,352187,29
452345954809648,Sjálfstæðisflokkurinn í Norðausturkjördæmi,Sjálfstæðisflokkurinn í Norðausturkjördæmi,345190,148
87264912234,Friðjón í 4. sæti,Friðjón í 4. sæti,343304,12
1779345818972313,Framsókn í Suðurkjördæmi,Kjördæmisráð Framsóknar Suðurkjördæmi,326548,25
28312410177,World Food Programme,These ads ran without a disclaimer,307807,206
105986171646268,Diljá Mist,Diljá Einarsdóttir,302145,43
197726193418099,Frú Forseti,Frú Forseti,300097,65
286025395233310,Framsókn í Norðausturkjördæmi,Framsókn,297015,84
157073914303469,Stjórnarskrárfélagið -The Icelandic Constitution Society,Stjórnarskrárfélagið,295424,48
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,294915,27
103492025248951,Frjálslyndi lýðræðisflokkurinn x-o.is,Frjálslyndi Lýðræðisflokkurinn,291026,77
133049684195650,Miðflokkurinn í Reykjavík,Fjóla Björnsdóttir,283901,47
107774317286338,Félags- og vinnumarkaðsráðuneytið,Félags- og vinnumarkaðsráðuneytið,282890,51
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,276053,101
118012438337473,Samtök skattgreiðenda,Samtök skattgreiðenda,266411,11
1097213993654789,Óli Björn Kárason,Óli Björn Kárason,262445,47
100784999271378,Framsókn í Reykjanesbæ,Framsókn,243368,50
106979180938014,Samstöðin,Samstöðin ehf,242649,62
410012349419273,Viðreisn í Garðabæ,Viðreisn í Garðabæ,240286,149
652819238115380,Píratar í Hafnarfirði,Píratar,232566,115
100715388724908,Gísli Rafn Ólafsson - Pírati,Gisli Rafn Olafsson,229353,55
1464296143853215,Hannes Steindórsson Löggiltur fasteignasali.,Hannes Steindórsson,229170,33
105986171646268,Diljá Mist,Diljá Mist Einarsdóttir,228663,57
144051709092646,Samfylkingin í Suðurkjördæmi,Samfylkingin,224137,41
112884688745756,Framsókn Akureyri,Framsókn,220727,51
112810133787790,VG Varpið,Vinstrihreyfingin - grænt framboð,220002,4
103482761920999,Arnar Þór Jónsson,Arnar Þór Jónsson,219779,15
750325338654575,Njáll Trausti,Njáll Trausti Friðbertsson,218996,36
607573825973006,LÍS - Landssamtök íslenskra stúdenta,Landssamtök Íslenskra Stúdenta,214017,66
135723348341149,Guðrún Hafsteinsdóttir,Guðrún Hafsteinsdóttir,208327,109
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,204323,197
383892112055079,Tómas Ellert,Tómas Ellert Tómasson,203834,48
100200358889415,Magnús Davíð Norðdahl,Magnús Norðdahl,203220,27
1753490584901767,Lífsverk,These ads ran without a disclaimer,202324,4
109288081692009,Ásdís Kristjánsdóttir,Ásdís Kristjánsdóttir,201450,23
1160444407314066,nuna.is,nuna.is,200000,3
194741884213480,Píratar í Suðvesturkjördæmi,Píratar,199926,18
165630723862615,Andríki,Andríki,194530,22
1865046390429445,Smáragarður ehf.,Smáragarður,193802,5
570066733027271,Píratar í Norðausturkjördæmi - PíNA,Píratar í Norðausturkjördæmi,187653,36
2045547565663331,Viðreisn í Mosfellsbæ,Viðreisn í Mosfellsbæ,184059,209
129796363737534,Garðabær,Garðabær,183647,31
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,182661,49
104504438466,Federal Voting Assistance Program - FVAP,These ads ran without a disclaimer,182431,16
93098810937,UN Women Ísland,UN Women Ísland,179827,25
341809185958722,Píratar í Reykjavík,Píratar,177879,17
509866436098947,Sabine Leskopf,Sabine Leskopf,176912,38
102948841613696,Loftslagsráð - Icelandic Climate Council,Loftslagsrad - Icelandic Climate Council,175994,53
1156964567651951,Sigurður Ingi Jóhannsson,Sigurður Ingi Jóhannsson,171062,18
104691615484288,Róbert Aron Magnússon í 6. sæti,Robert Aron Magnusson,170407,11
1434262256802295,Borgarbyggð,Borgarbyggð,165087,13
226420604114883,Akureyrarbær,Akureyrarbær,160297,25
55649180171,Íslandsdeild Amnesty International,Íslandsdeild Amnesty International,155347,17
110318403913030,VG Austurland,Vinstrihreyfingin - grænt framboð,155226,22
102745942052943,Kristrún Frostadóttir,Kristrun Frostadottir,154199,37
110174782355645,Samfylkingin á Seltjarnarnesi,Samfylkingin á Seltjarnarnesi,153747,41
209319395907675,Hildur Sverrisdóttir,Hildur Sverrisdóttir,153711,26
88342113892,Landvernd umhverfisverndarsamtök,Landvernd,148241,7
75051631968,XS Reykjavík,Samfylkingin í Reykjavík,147599,68
238155459917358,Sigríður Á. Andersen,Sigríður Andersen,147033,43
1438606279746434,Heiða Björg Hilmisdóttir,Heiða Hilmisdóttir,146916,52
47772303474,Siðmennt - Félag siðrænna húmanista á Íslandi,Siðmennt - Félag siðrænna húmanista á Íslandi,145476,15
286767231043,Vilhjálmur Árnason,Vilhjálmur Árnason,143675,38
106070190833867,Ein Pæling,Þórarinn Hjartarson,143057,48
101402788905448,Ábyrg Framtíð,Ábyrg framtíð,138757,33
1506918176200492,Kolbrún í bæjarstjórn,Kolbrún G. Þorsteinsdóttir,138277,51
113202365366782,Framsóknarflokkurinn í Borgarbyggð,Framsóknarfélag Borgarfjarðar og Mýra,135063,39
234113143397287,Kjóstu rétt,Kjóstu rétt,134082,3
110388085667093,Sjálfstæðisflokkurinn í Fjarðabyggð,Sjálfstæðisflokkurinn í Fjarðabyggð,133798,38
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,133178,72
153815677989453,Sara Björg Sigurðardóttir,Sara Björg Sigurðardóttir,132336,26
101673161876542,Game On,Game On,130131,9
506399012782766,Cohn & Wolfe Íslandi / Almannatengsl / Public relations,Cohn & Wolfe Íslandi / Almannatengsl / Public relations,129828,5
168442736580986,Verkfræðingafélag Íslands,Verkfræðingafélag Íslands,128963,5
55649180171,Íslandsdeild Amnesty International,Amnesty International,128645,13
175118647052,Ungir sjálfstæðismenn,Ungir sjálfstæðismenn,127866,14
622220361283956,Samorka,Samorka,127673,36
108319418414914,Sigríður Hulda 1. sæti,Sigríður Hulda Jónsdóttir,124419,7
526368417560804,Jón Gunnarsson,Jón Gunnarsson,123462,35
128854307193614,Landsvirkjun,Landsvirkjun,122999,11
522453057954919,Andrés Ingi á þingi,Andrés Ingi,122565,31
910154769090735,Karen Elísabet Halldórsdóttir,Karen Halldorsdottir,122354,49
101270835595920,Nanna Margrét X-M,Nanna Margrét Gunnlaugsdóttir,122260,46
108713958043583,Jóhann Friðrik Friðriksson,Johann Fridriksson,122239,20
212049605580621,Samfés,Samfés,121995,10
110282500591132,Bergur Þorri,Bergur Þorri Benjamínsson,121269,19
102867195180701,Björgvin í framboði,Björgvin Jóhannesson,120951,19
108181579213309,Þjóðmál,Þjóðmál,120752,26
105818888034867,Ingibjörg Isaksen,Ingibjörg Isaksen,120513,43
105116352958747,ÖBÍ réttindasamtök,ÖBÍ réttindasamtök,120000,1
102622795299698,Ragnar Sigurðsson,Ragnar Sigurðsson,119441,25
110388085667093,Sjálfstæðisflokkurinn í Fjarðabyggð,Ragnar Sigurðsson,118225,35
75051631968,XS Reykjavík,Samfylkingin,116634,10
882811965102432,Gallup á Íslandi,Gallup á Íslandi,114976,5
104245988369323,Viðreisn í Suðurkjördæmi,Viðreisn í Suðurkjördæmi,114483,20
153308938439589,Sahara,SAHARA,114180,17
347686655374742,D-listinn í Árborg,XD Árborg,113779,50
107038364428577,Media Group ehf,Media Group ehf,112811,39
332933677160309,Kjartan Magnússon,Árni J Magnús,112786,7
102599358713991,Hannes Þórður,Hannes Þórður Þorvaldsson,112111,24
419110211525800,Gunnar Þór Sigurjónsson,Gunnar Þór Sigurjónsson,112052,122
110116684465045,Berglind Ósk Guðmundsdóttir,Berglind Guðmundsdóttir,111805,23
111656494744246,Áslaug Hulda í 1. sæti,Áslaug Hulda,111339,15
184042545536602,Garðabæjarlistinn,Valborg Ösp Á. Warén,109813,38
595877127132324,Neyðarlínan 112,Neyðarlínan ohf,109610,5
134668126687385,Starfsgreinasamband Íslands,Starfsgeinasamband íslands,109034,6
429577173821764,Matvælaráðuneytið,Matvælaráðuneytið,108801,23
117923164930140,Lifandi vísindi- Lifandi saga,Lifandi Vísindi,108707,45
88342113892,Landvernd umhverfisverndarsamtök,These ads ran without a disclaimer,108492,7
114081008623426,Sjálfstæðisflokkurinn á Akureyri,Sjálfstæðisflokkurinn á Akureyri,106609,37
674362009286406,Lifðu núna,Erna Indridadottir,106549,34
61627497869,Samfylkingin í Kraganum,Samfylkingin,106164,44
111502685549702,D-listinn í Hveragerði,Sjálfstæðisfélag Hveragerðis,104817,49
101413138853601,Haraldur Benediktsson,James Einar Becker,103950,17
102539762356723,Sigvaldi Egill í 2. til 3. sæti,Sigvaldi Egill Lárusson,103863,14
300484146823793,Jæja,Jæja,101088,19
1259808350720927,Þorgerður Katrín Gunnarsdóttir,Viðreisn,100183,32
497751670242493,Landssamband sjálfstæðiskvenna,Landssamband sjálfstæðiskvenna,100000,6
1518790851708164,Samtök fyrirtækja í sjávarútvegi,Benedikt Sigurðsson,99991,2
244993732224805,Jón Gnarr,Jón Forseti 2024,98513,20
200480966638039,Supremacy 1914,These ads ran without a disclaimer,97407,5
784459584898744,Framsókn Í Fjarðabyggð,Framsókn Fjarðabyggð,97336,36
41445084925,Röskva - stúdentahreyfing,Röskva - stúdentahreyfing,96153,27
101474348665567,Þórarinn Ingi Pétursson,Þórarinn Ingi Pétursson,94758,19
164535469970,Fjarðalistinn,Fjarðalistinn,94722,34
250725931675,Forsætisráðuneytið,Forsætisráðuneytið,94598,13
1783915211915991,Valgerður Sigurðardóttir,Valgerður Sigurðardóttir,93539,8
109655584949292,Guðfinnur Sigurvinsson,These ads ran without a disclaimer,93047,18
102888165526787,Skagfirðingar sameiningarverkefni,Sveitarfélagið Skagafjörður,92665,9
349339378541585,Hjördís Ýr Johnson,Karítas Kjartansdóttir McCrann,92607,16
1136421743106457,Sjálfstæðisflokkurinn í Suðvesturkjördæmi,Sjálfstæðisflokkurinn,91342,11
235760216625281,XD Ölfus,XD Ölfus,91321,33
103123311914005,Elva Hrönn Hjartardóttir,Elva Hrönn Hjartardóttir,91301,21
557753054264221,Ungir umhverfissinnar,Ungir umhverfissinnar,90878,7
2102857319983971,Miðflokkurinn í Múlaþingi,Miðflokkurinn,90510,38
463940940341066,Sjálfstæðisflokkurinn í Norðvesturkjördæmi,Sjálfstæðisflokkurinn í Norðvesturkjördæmi,89988,26
246072038839652,Maskína,Maskína,89328,31
162409941250265,Sanna Reykjavík,Trausti Breiðfjörð Magnússon,89085,11
2025699204361491,Viðreisn í Kópavogi,Viðreins í Kópavogi,88865,20
641862405888790,Sjálfstæðisflokkurinn í Skagafirði,Sjálfstæðisflokkurinn í Skagafirði,88681,27
92267063303,Stöð 2,Stöð 2,87804,7
709976082356679,Samfylkingin í Kópavogi,Samfylkingin Kópavogi,87364,50
115376002004493,Þroskahjálp - Landssamtökin Þroskahjálp,Landssamtökin Þroskahjálp,86536,17
653107254732124,Andri Steinn Hilmarsson í 2.-3. sæti,Andri Steinn Hilmarsson,84836,15
113487174567736,Birkir Ingibjartsson - MEIRI BORG,Birkir Ingibjartsson,84461,19
104733882149794,Birna Hafstein,Birna Hafstein,84347,22
106784455267210,Þórdís Jóna Sigurðardóttir,Þórdís Sigurðardóttir,84279,102
616474475114125,Framsókn og frjálsir Akranesi,Framsóknarfélag Akraness,83918,10
105254368794450,Framsóknarfélag Suðurnesjabæjar,Úrsúla María Guðjónsdóttir,82917,39
112815216920902,Oatly,These ads ran without a disclaimer,81786,1
112442528018375,Bjarni Lúðvíksson,Bjarni Geir Lúðvíksson,81546,10
107815124934723,Miðflokkurinn í Suðvesturkjördæmi,Nanna Margrét Gunnlaugsdóttir,81438,14
407003236037912,Willum Þór Þórsson,Willum Þór Þórsson,81436,8
102397181634980,Viðreisn í Reykjavík,Viðreisn í Reykjavík,81324,23
396010277151129,Sjálfstæðisfélag Seltirninga,Sjálfstæðisfélag Seltirninga,81255,40
107500825947734,Samfylkingin í Reykjanesbæ,Samfylkingin í Reykjanesbæ,81101,278
259818144132368,Sameyki stéttarfélag í almannaþjónustu,Sameyki stéttarfélag í almannaþjónustu,80399,15
110625293929110,Íslenska leiðin,Valdimar Ingi Gunnarsson,80210,9
137258967026335,Skrímsladeildin,Vinstrihreyfingin-grænt framboð,80019,5
509244245783566,Samfylkingin í Norðvesturkjördæmi,Samfylkingin,78096,15
104618582154569,Ómar Stefánsson - Reynsla í 4. sæti,Ómar Stefánsson,78016,7
236727716517827,Framsókn Garðabæ,Framsóknarfélag Garðabæjar,77935,12
105849845355735,Sandra Hlif Ocares,Sandra Hlif Ocares,77654,39
101742252045627,Jarl í 4.sæti  Prófkjör XD í suðurkjördæmi 2021,Jarl Sigurgeirsson,77349,18
224191877717372,Bjarni Benediktsson,Sjálfstæðisflokkurinn,76935,3
110232354885977,Almar Guðmundsson,Almar Guðmundsson,76625,95
123618754345051,Umhverfisstofnun,Umhverfisstofnun,75775,10
116586928363474,Borgarleikhúsið,Borgarleikhúsið,74372,2
332933677160309,Kjartan Magnússon,Arent Orri Jónsson,73769,22
1421826831413517,Framsókn í Árborg,Framsókn í Árborg,73100,16
562978630853952,Egill Þór Jónsson - Reykjavík,Egill Jónsson,73091,24
1064893110319401,Miðflokkurinn í Hafnarfirði,Björn Páll Fálki Valsson,72849,24
658245554208477,Örn Þórðarson,Örn Þórðarson,72463,12
179641995051,Dale Carnegie þjálfun,These ads ran without a disclaimer,72284,2
181051802538414,Logi Einarsson,Samfylkingin,71576,6
118009484887925,Sjálfstæðisflokkurinn á Akranesi,Sjálfstæðisflokkurinn á Akranesi,71352,16
1614706245490726,Ragnar Þór Ingólfsson,Ragnar Þór Ingólfsson,70303,33
111502068981906,Hugverkastofan,Hugverkastofan,69995,7
118159408348515,Sjálfstæðisfélag Mosfellinga,Sjálfstæðisfélag í Mosfellinga,69941,80
187904931397044,Magnús Örn í 1. sæti á Seltjarnarnesi,Magnús Örn Guðmundsson,69847,22
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,69694,144
127758293960074,Evrópuhreyfingin,Evrópuhreyfingin,69556,14
146794465482658,Framsókn Suðvestur,Kjördæmissamband Framsóknar SV-kjördæmi,69291,23
824286591279546,Ágúst Bjarni Garðarsson / alþingismaður,Ágúst Bjarni Garðarsson,69252,23
425304744200657,Sjúkraliðafélag Íslands SLFÍ,Sjúkraliðafélag Íslands SLFÍ,68501,20
156410787855312,Sigmundur Davíð Gunnlaugsson,Sigmundur Davíð Gunnlaugsson,67373,8
102489272351060,Bragi Skúlason,WebMo Design ehf.,67360,8
102216207990187,Framsóknarfélag Múlaþings,Jónína Brynjólfsdóttir,66775,19
1431141303764366,Björn Gíslason,Björn Gíslason,66358,4
108432414690981,Margeir Vilhjálmsson - 4. sæti - XD Suðurkjördæmi 2021,Margeir Vilhjalmsson,66317,36
345055825605915,Tálknafjörður,Tálknafjörður,65679,6
54662962022,Guðlaugur Þór Þórðarson,Sjálfstæðisflokkurinn,65088,12
153705438660098,Þórdís Lóa,Þórdís Þórhallsdóttir,65087,24
104166345531225,Fjóla Kristinsdóttir,Fjóla Kristinsdóttir,64480,6
454206638047780,L-listinn,Maria Holmgrimsdottir,64080,10
172790549796457,Teitur Björn Einarsson,Framboðsfélag TBE,62890,11
981046565362160,Tomorrow.io,These ads ran without a disclaimer,62756,9
114057194960942,Samstöðin: Fréttir,Samstöðin ehf,62500,10
87264912234,Friðjón í 4. sæti,Friðjón R Friðjónsson,62347,8
204259206291116,North Base,These ads ran without a disclaimer,62311,17
105274025489453,Framtíðin á Seltjarnarnesi,Framtíðin,61824,30
979678188844810,Efling,These ads ran without a disclaimer,61755,2
196907954119033,Orkustofnun,Orkustofnun,61699,8
148872571795434,Viðskiptaráð Íslands,Viðskiptaráð Íslands,61479,10
115366836686423,Regrow My Planet,These ads ran without a disclaimer,61432,423
537555849687512,"My City, my Vote",Sabine Leskopf,60207,13
1911805615814575,Ellen Calmon,Ellen Jacqueline Calmon,60203,23
782321871796339,Orri Björnsson- Bæjarstjórn Hafnarfjarðar.,Orri Björnsson,58520,6
194937397775790,Okkar Hveragerði,Okkar Hveragerði,58168,34
106077132010186,Hannes Steindórsson í 4.sæti,Hannes Steindórsson,57511,10
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Sigurbjörnsdóttir,57388,8
143109705880676,Framsókn í Mosfellsbæ,Framsóknarfélag Mosfellsbæjar,56798,39
122738281070821,Sjálfstæðisflokkurinn í Ísafjarðarbæ,Sjálfstæðisflokkurinn í ísafjarðarbæ,56601,22
1300578503301450,Fiskeldi á Íslandi,These ads ran without a disclaimer,56366,2
103277212287258,Sigrún Antonsdóttir,WebMo Design ehf.,56242,12
601430143275837,Bein leið XY - Fyrir fólkið í bænum,Beinleið,56049,23
1005176509581535,Kristín Thoroddsen 2. sæti,Kristín Maria Thoroddsen,56027,19
303959513062135,Framsókn í Hveragerði,Framsókn í Hveragerði,55873,11
247675155303897,Skrudda,Steingrímur Steinþórsson,55408,6
107135575243307,Þorkel Sigurlaugsson í 2. sæti,Þorkell Sigurlaugsson,55060,15
405625165041,Reykjavíkurborg,These ads ran without a disclaimer,53448,9
110810181046818,Friðþjófur Helgi bæjarfulltrúi Samfylkingarinnar í Hafnarfirði,Friðþjófur Helgi Karlsson,51090,18
104501504975883,Jón Björn Hákonarson,Jón Björn Hákonarson,50639,19
475136726354344,Sara Dögg,Sara Dögg,50600,23
107244002636065,Samfylkingin Akureyri,Samfylkingin Jafnaðarmannaflokkur Íslands,50418,23
119713434724213,Framsókn Ísafjarðarbæ,Framsóknarfélag Ísafjarðarbæjar,50050,18
104183498658818,Sembeturfer.is,Bandalag háskólamanna,50000,3
100126682384298,Vinstri græn í Suðvesturkjördæmi,Vinstrihreyfingin - grænt framboð,49812,14
2102917676660646,Katrín Atladóttir / Borgarfulltrúi,Katrín Atladóttir,49700,10
503951883021764,ShareTheMeal,These ads ran without a disclaimer,49629,52
142109619971860,Miðflokkurinn Mosfellsbæ,Sveinn Oskar Sigurdsson,49075,25
106430331983242,Ragnhildur Alda M. Vilhjálmsdóttir,Ragnhildur Alda M. Vilhjálmsdóttir,48001,6
103034402098561,Sveitarfélagið Suðurland,Rangárþing Eystra,47482,22
380402885473277,Fjölmiðlanefnd,Sigurður Svansson,47475,9
252936991503290,Vörður Fulltrúaráð Sjálfstæðisfélaganna í Reykjavík,"Vörður, fulltrúaráð sjálfstæðisfélaganna í Reykjavík",46999,3
109537684900948,Guðný Maja Riba í 4.sæti XS-Reykjavík,These ads ran without a disclaimer,45959,10
226325228732,Hjálmar Sveinsson,Hjálmar Sveinsson,45767,24
105285452079076,Magnús Ægir í 4.sæti,Magnus Ægir Magnusson,45529,10
105897592020721,Elísabet þriðja,Elisabet Berglind Sveinsdottir,45479,9
504168043290334,Miðflokkurinn  Norðausturkjördæmi,Miðflokkurinn Norðausturkjördæmi,45118,21
937567862935222,Luna Grey,These ads ran without a disclaimer,44369,29
810763415618292,Líneik Anna Sævarsdóttir Alþingismaður,Líneik Anna Sævarsdóttir,43854,18
102872778671619,Sigþrúður Ármann,Sigthrudur Armann,43089,18
102871725355531,Viðreisn á Norðausturlandi,Viðreisn,43040,29
105764665361392,Vera Rut Ragnarsdóttir,Vera Rut,42105,19
467072176651262,Heimkaup.is,These ads ran without a disclaimer,41721,1
108303718339912,Kristín Ýr Pálmarsdóttir,Ægir Már Burknason,41417,11
170680372269,"Umhverfis-, orku- og loftslagsráðuneytið","Umhverfis-, orku- og loftslagsráðuneytið",41205,11
405127303281846,Ingveldur Anna,Ingveldur Anna,40943,8
159369344093872,Heimdallur,Heimdallur,40000,1
623887187646891,Bókamarkaðurinn á Laugardalsvelli,These ads ran without a disclaimer,40000,1
191076101492523,Silja Dögg Gunnarsdóttir,Silja Dögg,39992,8
166759457298560,Píratar í Kópavogi,Píratar,39704,7
439162066281959,Fulltrúaráð sjálfstæðisfélaganna í Rangárvallasýslu,Fulltrúaráð sjálfstæðisfélaganna í Rangárvallasýslu,39458,8
1518790851708164,Samtök fyrirtækja í sjávarútvegi,These ads ran without a disclaimer,39188,2
225903854209567,Vinstri græn í Suðurkjördæmi,Vinstrihreyfingin - grænt framboð,38983,3
109646961612178,Björg Fenger - 2. sæti,Björg Fenger,38865,13
509409069149093,Konur í sjávarútvegi,Konur í sjávarútvegi,38295,11
337327606359495,Sjálfstæðisflokkurinn í Vestmannaeyjum,Sjálfstæðisflokkurinn í Vestmannaeyjum,38224,23
1827339317557249,AFL Starfsgreinafélag,These ads ran without a disclaimer,38090,2
481696925188119,Samfylkingin í Norðausturkjördæmi,Samfylkingin,37982,5
1762133443847402,Miðflokkurinn - Akureyri og nágrenni,Miðflokkurinn,37952,7
113213393870569,Jón Steindór Valdimarsson,Jón Valdimarsson,37821,8
547496205436633,Framsókn í Norðvesturkjördæmi,Kjördæmissamband Framsóknar í NV-kjördæmi,37496,9
106979180938014,Samstöðin,Samstöðin,37192,3
202802126448131,Samfylkingarfélagið í Reykjavík,Samfylkingarfélagið í Reykjavík,36790,5
563647593985213,Helga Jóhannesdóttir - 2. sæti í prófkjöri Sjálfstæðismanna í Mosfellsbæ,María Ísabella Arnardóttir,36709,13
105230512150266,"E-listi, Íbúalistinn",Eyþór Kári Ingólfsson,36570,23
1852596101707490,Hildur Björnsdóttir / Borgarfulltrúi,Hildur Björnsdóttir / Borgarfulltrúi,36247,18
213782189383772,Áfram Árborg,Atli Rafn Viðarsson,35953,12
108401358443985,"Helga Lind, bæjarfulltrúi í Árborg",Helga Lind Pálsdóttir,35896,5
141880494711479,Karl Gauti Hjaltason X-M,Karl Gauti Hjaltason,35816,33
216472075198091,Herdís Þorvaldsdóttir,Herdis Thorvaldsdottir,35782,8
