Page ID,Page name,Disclaimer,Amount spent (LBP),Number of ads in Library
100274856016643,عكار التغيير,The North Life,9374337,8
1518441595136392,Ghada Eid,Ghada Marouni Eid,9373134,22
868424133211691,Irfaa Sawtak - ارفع صوتك,These ads ran without a disclaimer,9151415,1
117032778498118,Toufic Salloum,Roni Nakhoul,9134328,16
488000654896540,Kulluna Irada - كلنا إرادة,Kulluna Irada,9027620,19
1618911251725745,Khalil Helou,its,8955224,10
107266890756055,Nicolas Chikhani Finance,Nicolas Chikhani Finance,8925373,6
1478971498788662,Keserwan - كسروان,Baladimedia,8497620,55
104202045543652,عزام أيوبي,Islah & Tanmiyah,8485829,20
106396530710598,برلمان شعب,These ads ran without a disclaimer,8416426,2
109112633772887,180post,180 Post,8376276,96
108833190797985,Zakaria Messaykeh زكريا مسيكة,Zakaria Messaykeh,8307470,27
110436471982277,Assaha.square,Assaha.square,8223881,38
101751525847407,بيروت تواجه,محمد رحيمي,8095231,32
105870172023660,انتخابات زحلة والبقاع,MTM Advertising Agency,8089552,13
101702465825323,حسين ديب صالح,Mohammad Saleh,7880597,13
100821822592658,Green Motion,Green Motion Lebanon,7827022,26
1144223832418372,GoRate,GoRate,7791500,265
204309706385271,Maharatnews,Maharat Foundation,7775977,68
113061177535527,افتراضية,Jawad Baz,7697171,14
101068039231602,Hicham Hayek,its,7656716,21
113373121176244,Jusur جسور,Jusur arabia,7656716,12
103527958913501,Wajdi Tabet,Wajdi Tabet,7478962,14
1815949165284503,Georges Chehwane,Tamara G. Chehwane,7443141,21
107760275196612,Ramy Finge - رامي فنج,its,7358209,11
104001228910201,علي مراد - Ali Mourad,its,7303290,17
107916941890839,Myriam Jabre,Alain Patrick Alam Eddine,7278514,24
384100001643005,شريكة ولكن - Sharika wa Laken,Fe-Male,7260454,27
110688368233403,أمير المقداد - Amir Mokdad,Sandy Chaer,6966126,63
554766864629150,Lebanese Foundation for Permanent Civil Peace,Lebanese Foundation for Permanent Civil Peace,6870006,28
1859672684065359,Zoya Jureidini Rouhana - زويا جريديني روحانا,Zoya Jureidini Rouhana,6785529,13
181133756359,Charbel Nahas,مواطنون ومواطنات في دولة,6716418,1
106821968055687,Leila Dagher,Leila Dagher,6715230,26
114578616609485,Maroun Makhoul Official,Sassine Makhoul,6707767,15
101202149180152,Robert Khalife,Robert Khalife,6658364,36
113191702847897,Patrick Abou Chacra,Patrick Abou Chacra,6641648,25
100330249294763,Raed Abdel Khalek,كلارا صعب,6635827,8
101198682570453,الصفحة الرسمية للمهندس يوسف النقيب,Karim Press,6597015,4
1904241623145929,Democracy Reporting International Lebanon,Democracy Reporting International,6572096,12
114079534612498,Rachid Issa - رشيد عيسى,Wadee Issa,6509707,27
110678671641813,Nidaa Al Watan - Social,Nidaa Al Watan,6417916,11
357467278052964,النائب عبدالعزيز الصمد - الصفحة الرسمية,Wissam Ajaj,6283582,57
200480966638039,Supremacy 1914,These ads ran without a disclaimer,6259755,3
101163639185548,الدكتور محمود السيد,Islah & Tanmiyah,6149254,13
2351186658355640,Lebanon And The World - لبنان والعالم,Lebanon And The World - لبنان والعالم,6134185,15
1620612284744738,Anbaa Online,Anbaa Online,6117916,9
105753182074694,Ali Khalife - علي خليفة,its,6044776,10
104072641772824,Doctor Charbel massaad - دكتور شربل مسعد,its,5985075,6
104075818871249,بعبدا التغيير,its,5985075,27
101155445273087,صحيفة السهم,AlSaham,5969856,2
190748337632081,Al Nadim,Al Nadim,5937617,30
735759313176920,Ziad Abichaker,Ziad Abi Chaker,5914632,5
104154192025759,Roland Mokheiber - رولان مخيبر,رولان مخيبر,5907767,74
817408395073676,Halimé El kaakour حليمة القعقور,lnalebanon,5850746,34
884108878397559,Dar Al-Ajaza Al-Islamia Hospital Lebanon,dar al ajaza,5790005,25
104388945802606,Our Future President,كلارا صعب,5771050,8
110188551807757,Lebanon Post,Lebanon Post,5759856,82
112056958469490,SPI Lebanon,SPI Lebanon,5731647,30
108274657762996,shabab.parliament.lb,Shabab Parliment,5717468,11
102614571880993,Public Investment Fund,These ads ran without a disclaimer,5597916,1
327432117674929,Chawki El Fakhry شوقي الفخري,Charbel El Fakhri,5597015,10
116141051407408,Amin Salam,Rami Salam,5582090,37
412377849559881,Edmond Chammas  المهندس إدمون شماس,Edmond Chammas,5507463,36
111694344842659,Sawtak Thawra - صوتك ثورة,كلارا صعب,5405378,20
100706719315707,The Policy Initiative مبادرة سياسات الغد,The Policy Initiative مبادرة سياسات الغد,5246870,40
2319249898311729,National Bloc - الكتلة الوطنيّة,National Bloc - الكتلة الوطنيّة,5222841,34
1904241623145929,Democracy Reporting International Lebanon,Sharks Creators,5074627,20
