Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
265164976140,桃園區立委候選人 范綱祥 律師/環工技師,桃園區立委候選人 范綱祥 律師/環工技師,508750,28
108136530968730,おねがい社長！,These ads ran without a disclaimer,498017,11
220168461484157,全統運動報名網,These ads ran without a disclaimer,497913,95
105864701769057,眾曜智庫學院,These ads ran without a disclaimer,497285,18
100269158455411,Wh偉鴻金融貸款中心,傢宇 吳,494473,44
114742151241984,Leatai磊泰 手帳日誌,Leatai磊泰 手帳日誌,493112,796
152797601448925,菜鳥救星,These ads ran without a disclaimer,487555,50
188311137478,中時新聞網,時報資訊,483100,199
148475335184300,Greenpeace 綠色和平 (台灣網站),These ads ran without a disclaimer,475878,99
281219301931458,蔡其昌,克斯 蔡,475493,474
282353111158,台灣綠黨,浩宇 王,472421,83
1649151078446134,卓冠廷,冠廷卓,471459,1068
107709552630776,elife易廚,These ads ran without a disclaimer,470137,4
102593367974833,毅然文創 X 三清,毅然文創 X 三清,465278,129
111432964739331,富遊 GAME,These ads ran without a disclaimer,461177,2
246517878713911,劉家昌,勇勳沈,455809,36
120869137965597,SEMI 國際半導體產業協會,SEMI 國際半導體產業協會,454640,322
151776788178402,TechOrange 科技報橘,TechOrange 科技報橘,446380,295
104013138750678,翁震州,震州 翁,445760,747
186612874691719,鄭正鈐,正鈐 鄭,444135,288
229534397097826,詹江村,詹江村,439005,25
105844688691750,消失的紫斑蝶,貝殼放大股份有限公司,438582,697
1503745219913314,"孫大千Sun, Ta-Chien",宜軒 李,431539,141
197493393915516,黃秀芳,家鈞 陳,431514,481
213646928757562,梁為超,市議員梁為超粉絲團,429036,371
1014522188609435,李明賢 -阿賢之聲,冠彣 葉,428271,218
104636961846693,飆股先鋒,These ads ran without a disclaimer,427235,13
137894879588198,民進黨青年部,民進黨青年部,426437,59
106769930817718,Supretion seller,These ads ran without a disclaimer,425678,4
1921016244677218,國際橋牌社 Island Nation,國際橋牌社 Island Nation,424600,475
348571125292077,台灣基進,正洪,416972,72
547129002067069,杜文中,文中 杜,414305,519
246517878713911,劉家昌,家昌 劉,413797,29
129452013855801,RITE,RITE,413246,471
220257587845839,短新聞 Shot News,短新聞 Shot News,412976,146
1569475373291787,妞兒寶貝闖天下,These ads ran without a disclaimer,409229,51
169300150367805,簡智翔 理工職男參政治,智翔 簡,409133,123
796994720374176,鳴人堂,鳴人堂,406523,289
679518422104905,民視全球新聞,民視新聞,404089,368
779671678862448,Cambly口袋英文,These ads ran without a disclaimer,403851,65
591302904712811,新新竹 高鈺婷,Jing Lin,403664,110
204862942932993,Nikkei Asia,These ads ran without a disclaimer,403646,1273
1631636303804927,湛・Azure,These ads ran without a disclaimer,400431,54
105737295057402,紓困速貸專家-汽機車、週轉、救急小額-全省服務,These ads ran without a disclaimer,398694,160
104624290080479,張育美,妤芸羅,396444,269
201107280815936,潔淨學-不咬手潔淨體貼,永勝 許,395613,62
328618273868679,永慶房仲網-好屋速報,These ads ran without a disclaimer,392808,1
1347786981973083,聶小倩 Sherry,These ads ran without a disclaimer,392018,14
162575637149600,海悅廣告 Hiyes.tw,These ads ran without a disclaimer,390659,82
200363073753153,彩虹平權大平台,彩虹平權大平台,390308,1113
46251501064,蔡英文 Tsai Ing-wen,蔡英文 Tsai Ing-wen,386419,18
360823134063476,李柏毅 拚搏未來,李柏毅 拚搏未來,385816,129
368538816565950,林國春,林國春,385475,12
276861822357066,高金素梅(吉娃斯．阿麗),高金素梅(吉娃斯．阿麗),384786,321
101385648280376,台北市議員 張志豪,林韋萱,384507,35
1701050266831938,唐風,新凱 林,384034,67
550276398371783,靜宜大學 Providence University,靜宜大學 Providence University,380864,137
250273442196918,黃琤婷,黃琤婷,380824,67
1143105075726336,左轉有書 TouatBooks,左轉有書x慕哲咖啡,380692,546
109004835824305,趙天麟,天麟 趙,380049,58
131212090284038,現代婦女基金會,現代婦女基金會,379439,280
1670897169695096,PackAge+ 配客嘉,鈞元 鄭,378840,76
2286612868268615,地方政誌,Sway Strategy,377834,1131
135213893173165,中華民國行政院,中華民國行政院,377128,24
107456375276067,我覺得台灣超強的啊，怎麼會搞這樣？,Chia Chun Chen,376849,150
398746854048810,Right Plus 多多益善,Right Plus 多多益善,375922,578
218662974825481,王惠美,正仕王,374805,236
265994436929647,劉安祺  一直都在,旭峰 羅,374484,20
102171452376534,陳財能,陳財能,370777,267
110985434861942,啟思民本基金會,啟思民本基金會,369323,635
561929534174419,李宗霖Lí Chong-lîm,李宗霖Lí Chong-lîm,368192,130
291116504367985,張秀華,張秀華,366790,113
170671044596,天主教善牧基金會,天主教善牧基金會,366384,252
231202420952272,廖先翔,廖先翔,364873,37
115185478300249,郭倍宏 George Kuo,郭倍宏 George Kuo,363797,98
109750505173191,黃sir開講-黃英學,黃sir開講-黃英學,363785,45
109091011430956,Ultra Fighter: Supernova,These ads ran without a disclaimer,363428,6
140282406003843,486先生,486好物與開箱,362433,56
182573258428299,謝國樑,國民黨x謝國樑,361616,149
2076907659231946,謝榮雅,These ads ran without a disclaimer,361009,5
117615981672812,李昆澤,李昆澤,356946,185
100822985194227,健康第一吖,These ads ran without a disclaimer,355416,37
506590436388495,黃成峻,黃成峻,355384,162
1027928077269029,蘇恆 政經觀察,蘇恆,352396,178
509005219138094,呼叫政府,Sway Strategy,352320,1293
1621835121361449,陳超明-阿明哥粉絲團,超明 陳,352178,670
108221197672161,陳聖文 SHENG,佳樺何,350743,342
100138485917541,周曉芸,周曉芸,349877,357
496684637111616,陳偉杰 Chen Wei-chieh,偉傑 陳,349466,261
743100072477291,何文海 台中市議員,文海 何,348023,346
189750210897929,第二次人生｜器官捐贈紀錄片,貝殼放大,347245,201
149930015025615,信義房屋-買賣租屋‧居家服務‧海外置產,These ads ran without a disclaimer,345479,8
860723987295409,黃永昌,黃永昌,343945,84
109082897446981,ARKVO X 謝榮雅,Chen Shan,342569,2
191690867518507,江啟臣,新世代 x 國民黨江啟臣,342440,256
848545415232839,新北i環保,新北i環保,339434,160
997683843637673,蔡培慧 慧做事真實在,蔡培慧 慧做事真實在,338846,141
277698259087166,呂捷歷史-朕即天下！,呂捷歷史-朕即天下！,336879,5
1556863941219141,陳素月SayYes,陳素月SayYes,336003,328
227914967279486,Cherng,These ads ran without a disclaimer,335317,2
168362567115285,周春米 立委,周春米 立委,335132,147
188764524500283,Taiwan Access for All Association 行無礙資源推廣協會,行無礙資源推廣協會,334737,379
153066041422247,台南市文化資產保護協會,貝殼放大 Backer-Founder,332798,353
199044740213961,為台灣而教 Teach For Taiwan - TFT,為台灣而教 Teach For Taiwan - TFT,332246,204
150288101715378,桃園少年之家財團法人基督教更生團契桃園市私立少年之家,These ads ran without a disclaimer,331298,36
107149891596824,鎮港小湯 湯茹婷,茹婷湯,330253,55
1629474157289221,小牛頓,小牛頓科學教育有限公司,327923,107
297481436934461,賴老師,王徽之,327865,333
122825514432837,黃健豪,黃健豪,326043,80
100734365882688,高揚凱,Albert Chen,325964,73
1064687373692688,萬國覺醒,These ads ran without a disclaimer,325943,7
195094157238158,好立委 楊瓊瓔,宛儀林,322147,440
841313489283854,觀音挺藻礁聯盟-戴兆華-在地觀音人,兆華 戴,321029,41
112184516989929,京展環保有限公司,京展環保有限公司,319509,8
107087617853581,李勝峯-理性鋒爆,/thethinkerlee,319082,384
171759036215066,創世紀不動產教育訓練中心,創世紀不動產教育訓練中心,317894,382
100784582018356,吳香君,吳香君,316700,54
218662974825481,王惠美,王惠美,316287,181
108692655344959,答特先生 Mr. Doctor,奕帆劉,316017,46
100734365882688,高揚凱,高揚凱,313646,103
1434631893437894,劉米山粉絲團,Ching-Jung Liu,313588,81
850754301947812,鏡新聞,鏡新聞,312062,123
776085285851021,就業大獅,These ads ran without a disclaimer,311440,27
2290806454495023,Mangodan芒菓丹,澤嵐 林,310735,48
791870507594526,利樂創新界,利樂創新界,310361,96
536076903164519,林靜儀醫師 溫柔堅定新中二,靜儀林,309000,20
348571125292077,台灣基進,台灣基進,306849,241
108696572024879,民視佮你講（Bîn-sī kah lí kóng）,民視新聞,306491,99
138817786167968,TKLAB 台灣保養保健品牌,These ads ran without a disclaimer,306301,25
1498922743698823,91APP,These ads ran without a disclaimer,306161,103
104959119850676,轉角國際 udn Global,轉角國際 udn Global,305069,64
490158560999121,MR. LIVING 居家先生,These ads ran without a disclaimer,303398,216
296096437124051,American Express,These ads ran without a disclaimer,303025,5
336235150196,賴佳微,Chia Wei Lai,302747,243
157793094819088,魯明哲,魯明哲,301864,154
142816435924517,DBS 星展銀行,DBS 星展銀行,299794,107
101823675693502,黑熊學院,黑熊學院,298245,32
1610174722594689,鍾易仲  高雄市議員,鍾易仲  高雄市議員,297749,526
113940290252039,二拾衫TWENTYTHREE,昌達 楊,297441,102
1436850183290438,One-Forty,One-Forty,297214,199
245416656372183,Avatar,These ads ran without a disclaimer,296014,21
189061482332,張嘉郡,張嘉郡,293969,173
1026644327493784,鄭朝方,祖誼 林,292701,144
395664323833020,台北市議員 陳政忠,政忠 陳,290430,140
246324992373019,傅崐萁,克麒江,289996,46
2184793935143819,政治大廚房,Sway Strategy,289394,1717
361802464195164,安定力量,安定力量,288840,10
125386714156073,天使心家族社會福利基金會,財團法人天使心家族社會福利基金會,288236,149
239410119414734,彭佳芸,Katherine Peng,288124,38
515663798585475,GaragePlay 車庫娛樂,GaragePlay 車庫娛樂,288109,27
124383291082592,核能流言終結者,柏吟周,288012,6
1517773441849696,鉅亨買基金,These ads ran without a disclaimer,287065,31
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,285796,436
850754301947812,鏡新聞,鏡電視股份有限公司,285770,230
203178079695479,呂國華-與宜蘭同在,憲權 吳,283390,42
1670853299849158,Kolas Yotaka,Kolas Yotaka,279993,235
276861822357066,高金素梅(吉娃斯．阿麗),智葟 陳,279388,405
195094157238158,好立委 楊瓊瓔,品綺 陳,278957,431
739049559498402,元氣網,udn.com,278262,461
119042407856378,李全教,李全教,278150,38
1234106229938484,台灣健康空氣行動聯盟,仁佑 曾,276969,66
337655762958160,iCHEF 資廚,These ads ran without a disclaimer,275764,16
1234106229938484,台灣健康空氣行動聯盟,慧琳趙,274861,255
102499747817312,賴品妤,賴品妤,274268,19
664175463714845,50+：用新的方法，創造自己的理想老後,50＋好好：用新的方法，創造自己的理想老後,273827,98
171759036215066,創世紀不動產教育訓練中心,Micky  Wu,273295,432
1627016040846724,謝志忠　幫您講話,謝志忠,272440,141
233645830550999,黃世杰,世杰 黃,272305,105
276183192418062,熊米屋烘焙坊,柏璋蘇,271804,366
103776081661059,極道市長,These ads ran without a disclaimer,271722,366
555779134608660,莊貽量,貽量 莊,271256,208
111455468891656,堅持．張廖萬堅,萬堅 張廖,269573,384
134004310003557,全聯福利中心,These ads ran without a disclaimer,269542,4
101297205721630,邱若華,邱若華,269280,173
137143073105957,林碧秀,碧秀 林,268995,682
1847777185521418,放言 Fount Media,放言 Fount Media,268820,1366
213939351983587,劉櫂豪,劉櫂豪,266344,119
