Page ID,Page name,Disclaimer,Amount spent (RON),Number of ads in Library
339810463063059,Conflict Of Nations : World War 3,These ads ran without a disclaimer,46046,105
103691414351874,Un Om - Mircea Diaconu,Alianta UN OM,46012,34
581911828514783,Partidul Mișcarea Populară,Partidul Mișcarea Populară,45467,81
100714001787080,PSD Alba,PSD Alba,45399,115
1255037557904732,Florin Orțan,PSD Brasov,45366,54
1385405838141456,USR Prahova,USR Prahova,45137,228
415165838654554,Dan Tudorache,Dan Tudorache,45026,30
1653699758248627,Ion ȘTEFAN,Ion ȘTEFAN,44909,159
324424001419299,Horia Constantinescu,Horia Constantinescu,44676,85
901290179956752,Autoritatea Electorală Permanentă,Autoritatea Electorală Permanentă,44599,26
524093900996192,TSD România,Partidul Social Democrat,44471,71
1653726584879481,Mihai Fifor,PSD Arad-CMF21200019,44272,357
174291436685142,Gabriel Valer Zetea,PSD Maramures,44201,52
106810404209140,Vlad Voiculescu,USR București,44018,50
1602563209957356,PNL Bacău,Branding Digital Strategy,43918,105
104675774450338,Alianța USR PLUS Suceava,USR Suceava,43574,86
189728367297,WWF Romania,WWF Romania,43529,375
675042232534141,Vincze Loránt,Vincze Loránt,43427,932
360184320712594,Raluca Turcan,PNL Sibiu,43347,194
557284874779877,Mihai Coteț,Mihai Cotet,43269,74
101322554583643,Ciuma Roșie,Ciuma Roșie,43216,52
183473261723511,Ziar Piatra Neamt,Media PR Grup,42894,258
163950740830769,Gaz De Romania,Gaz De Romania,42861,1485
1559885467641191,Râul Alb,Râul Alb,42773,68
180205302758780,Cristian Băcanu,Partidul Naţional Liberal,42772,81
1701562153421178,Senator Liviu Dumitru Voiculescu- Președinte PNL OLT,PNL Olt,42728,67
107162597445468,Razvan Enescu,Razvan Enescu PLUS Prahova,42718,65
509548582409324,Ghidul Primãriilor,Millenium Management Sistem SRL,42603,125
603874909641104,PNL Ilfov,Partidul Național Liberal Filiala Ilfov,42591,60
104675774450338,Alianța USR PLUS Suceava,PLUS Suceava,42232,81
1839598436128267,PRO România Mureș,PRO România Mureș,42184,112
106256121790763,USR PLUS pentru Educație,USR PLUS,42089,125
698760586929790,USR Constanța,Uniunea Salvați România filiala Constanta,41781,34
509479962851716,Alexandru Kocsis,Romanii trebuie sa stie,41743,795
338465666278028,Cristian Niculescu Țâgârlaș,PNL Maramureş,41666,282
108801900624850,Cojocaru Petru Bogdan,Partidul Social Democrat,41600,101
684277412002641,Ramona Ioana Mezei,ALDE Sector 2 - Alianta Liberalilor si Democratilor,41405,57
729627343834501,Kialo,These ads ran without a disclaimer,41213,241
128462147222633,Radio Fx Net,Radio Fx Net,41130,32
828728423846906,Gabriel Mutu,PSD FILIALA SECTOR 6,40904,180
298765223557508,Ionel Arsene,PSD Neamt,40820,97
242547063081884,Constanța în schimbare,Constanta in schimbare,40345,70
