Page ID,Page name,Disclaimer,Amount spent (SAR),Number of ads in Library
127187187348820,Kaspersky,These ads ran without a disclaimer,140,5
105966767591430,Saudi Arabia Kingdom K.S.A,These ads ran without a disclaimer,139,3
115308694215,Hia Magazine,These ads ran without a disclaimer,138,4
101178756062270,Detox Slim Weight Loss,These ads ran without a disclaimer,137,2
150253531687373,أخبار الآن - Akhbar Al Aan,These ads ran without a disclaimer,136,4
104350909130204,Yy smart_7,These ads ran without a disclaimer,135,2
189574425956641,Wanees,These ads ran without a disclaimer,133,1
108299365404565,Modern Era Health,These ads ran without a disclaimer,133,1
110250768050959,IMPT - The Impact Project,These ads ran without a disclaimer,133,2
102952191702461,Saudi News Hub,These ads ran without a disclaimer,132,1
101686202571697,Meetesksa,These ads ran without a disclaimer,131,2
102709402774051,Aladham Leather,These ads ran without a disclaimer,131,1
724015147673796,Mastery Academy ماستري اكاديمي,These ads ran without a disclaimer,131,1
106834422468835,John Ahmed AbaMilki,These ads ran without a disclaimer,131,3
107689197687532,hairstylist.ranim.a.s,These ads ran without a disclaimer,131,2
208608505660020,Rizvi Thai lotto,These ads ran without a disclaimer,130,2
106001522322976,منحة الامير محمد بن سلمان,These ads ran without a disclaimer,130,3
111640968434004,محمد بن سلمان بن عبد العزيز آل سعود,These ads ran without a disclaimer,129,1
214351281833,Dassault Systèmes,These ads ran without a disclaimer,128,10
130575646805610,Makkah Halal Forum,These ads ran without a disclaimer,128,4
103993528903840,Saudi Arabia-New Year Winners,These ads ran without a disclaimer,127,1
307618869098728,KSA Today,These ads ran without a disclaimer,127,1
168998779791313,Republic by Omar Farooq,These ads ran without a disclaimer,125,2
670688686620124,Mercy Bakery - HRD,These ads ran without a disclaimer,125,1
1598373943801358,تطبيق نبأ / Nabaa app,These ads ran without a disclaimer,124,14
113256043923474,Noor Riyadh Festival,These ads ran without a disclaimer,120,2
489179047956298,Allwork.Space,These ads ran without a disclaimer,118,5
100619915854221,الأميرة سحاب بنت عبد الله بن عبد العزيز آل سعود,These ads ran without a disclaimer,117,11
100683752787753,Soudia hellper 2023,These ads ran without a disclaimer,116,3
106479017486767,Mercy to Humanity - جَمْعِيَة رَحْمَةً لِلْعَالَمِين,These ads ran without a disclaimer,116,8
104455061925126,Faruque  Azam,These ads ran without a disclaimer,116,2
108367322044716,Winners Real Estate,These ads ran without a disclaimer,116,1
104559845934594,Saudi Ramadan,These ads ran without a disclaimer,115,2
220907811111027,مطبعة تذكار لطباعة الصور,These ads ran without a disclaimer,115,2
106210568765474,sky_beauty88,These ads ran without a disclaimer,115,1
1374826826104281,Sensibo,These ads ran without a disclaimer,114,5
