Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
110112088548803,บัวสอน ประชามอญ / ไทยสร้างไทย,บัวสอน ประชามอญ / ไทยสร้างไทย,93589,9
103742482695590,เจมส์ สรรเพ็ชญ ศรีสวัสดิ์ - James Sanphet Srisawat,เกริกกฤษดา ทองแก้วสวัสดิ์,93475,36
104111938456852,Nunthakrit Clinic เซ็นทรัลลาดพร้าว,These ads ran without a disclaimer,92955,8
103111685371171,อัคร ทองใจสด - Akara Tongjaisod,Ad-cha Tongjaisod,90906,13
106439615083259,ธนวัช ภูเก้าล้วน - Thanawat Phukaoluan,ธนวัช ภูเก้าล้วน  เคี่ยงกระบี่,90421,61
104922975400463,ดร.ศิลป์ - ศิลปวิชญ์ น้อยสมมิตร,ดร.ศิลป์ - ศิลปวิชญ์ น้อยสมมิตร,90000,3
110604321805410,Shop Lee An,These ads ran without a disclaimer,89913,9
105204072554893,พจนารถ ศรียารัณย,8898PRODUCTION COMPANY LIMITED,87846,32
109890411945719,นพ.ญาณกิตติ์ ห่วงทรัพย์,นพ.ญาณกิตติ์ ห่วงทรัพย์,87718,98
111298031674697,นเรศ ธำรงค์ทิพยคุณ,นเรศ ธำรงค์ทิพยคุณ,87670,80
109552337467130,THE STANDARD WEALTH,"THE STANDARD CO., LTD",86992,45
221139347953872,อภิมุข ฉันทวานิช - Apimuk Xanthavanij,อภิมุข ฉันทวานิช - Apimuk Xanthavanij,86730,37
102862692566940,อนัญญา สวัสดิสาร,อนัญญา สวัสดิสาร,85516,103
110232655484783,สยาม เพ็งทอง - Sayam Pengthong,สยาม เพ็งทอง - Sayam Pengthong,85302,36
841504069272304,รชตะ ซี ด่านกุล,รชตะ ด่านกุล,85029,58
651699931624315,Techsauce,Techsauce,84863,32
100301042076812,นพพล ธนิกุล,นพพล ธนิกุล,84692,62
100805332971737,พรชัย อรรถปรียางกูร Pornchai Atthapreyangkul,พรชัย อรรถปรียางกูร Pornchai Atthapreyangkul,84680,28
108515294626891,สอบข้าราชการท้องถิ่น By Thurakan,Chiraphorn Thuree,84569,17
102785149377302,ดร.อัง มนสิชา ภัคดิเมธี เบอร์ 2 - เชียงใหม่เขต4,ดร.อัง มนสิชา ภัคดิเมธี เบอร์ 2 - เชียงใหม่เขต4,84558,32
115905241390909,เนเน่ รัดเกล้า สุวรรณคีรี,Rudklao Intawong Suwankiri,83938,49
106636525625332,พลตำรวจเอกสมศักดิ์ จันทะพิงค์,พลตำรวจเอกสมศักดิ์ จันทะพิงค์ นายก อบจ นครสวรรค์,81847,313
113067400607487,กันตพงศ์ ดีชัยยะ - แมพ,กันตพงศ์ ดีชัยยะ - แมพ,81493,195
383969052150419,ชาญชัย อิสระเสนารักษ์,Assawin Issarasenarak,81310,46
101504656149099,Peace Sasipatra  - พีซ ศศิร์ภัทรา,Peace Sasipatra  - พีซ ศศิร์ภัทรา,80347,152
2259432067709591,พรรคประชาธิปัตย์ ภาคกลาง,พรรคประชาธิปัตย์ ภาคกลาง,80198,45
277320192288594,โอม ลาดสวาย,โอม จิรชาติ,80048,46
111569458579487,รัตนประภา ดิศวัฒน์,8898PRODUCTION COMPANY LIMITED,79746,35
674071462670652,LINE for Business,These ads ran without a disclaimer,79384,94
235985539892,APEX Hospital & Beauty Clinic,These ads ran without a disclaimer,79184,1
387331004621422,นรพล ตันติมนตรี เชียงใหม่สายใต้,นรพล ตันติมนตรี เชียงใหม่สายใต้,79096,33
105460725392279,คนรักนิยม,คนรักนิยม,78743,42
108553605171587,อ้อ อรทัย เกิดทรัพย์ - ภูเก็ต,อ้อ อรทัย เกิดทรัพย์ - ภูเก็ต,78711,66
177948972256358,เอกนัฏ พร้อมพันธุ์ (ขิง),เอกนัฏ พร้อมพันธุ์ (ขิง),78691,95
333851820592868,ยุทธนา โพธสุธน,ยุทธนา โพธสุธน,78559,44
484830871527961,ภาควัต ศรีสุรพล ซัน พรรคเพื่อไทย,ภาควัต ศรีสุรพล ซัน พรรคเพื่อไทย,78531,56
108508377637861,มุ้งจีบพระราม2 โรงงานผลิตมุ้งจีบ มุ้งลวด เหล็ดดัดทุกชนิด,กุหลาบ บัวสด,77840,3
107392695633799,สรวีย์ เขต1ปทุมธานี พรรคก้าวไกล,Suppalerk Suppapantita,77510,12
108012764876093,วัดหนองน้ำใส ตำบลหนองผักแว่น อำเภอท่าหลวง จังหวัดลพบุรี,These ads ran without a disclaimer,76676,1
113063131150452,Y8 ศาสตร์แห่งรางวัลโนเบล,These ads ran without a disclaimer,76538,7
113855987049534,โอเล่ เอกชัย ผ่องจิตร์,โอเล่ เอกชัย ผ่องจิตร์,75766,73
109420251938390,รองแม็ค ชณทัต ปัทะมะภูวดล,"ชณทัต ปัทะมะภูวดล ""แม็ค""",75743,27
101915462311238,พรรคไทยชนะ - พรรคการเมืองของประชาชน,พรรคไทยชนะ,75265,36
2429841507087713,"ฌาฆีภัตฐ์ เพชรคง ""แนน""  สงขลา เขต3","ฌาฆีภัตฐ์ เพชรคง ""แนน""  สงขลา เขต3",74907,31
109238161848575,Mong to Vu dep118801,These ads ran without a disclaimer,74433,1
399190156841695,อนุวัตร์ ชาติพัฒนากล้า สุราษฎร์ธานี,อนุวัตร์ ชาติพัฒนากล้า สุราษฎร์ธานี,74296,49
234345809961492,สส.จ๋า - ดร.วชิราภรณ์ กาญจนะ,สส.จ๋า - ดร.วชิราภรณ์ กาญจนะ,73981,48
278216879718449,เกษม ศุภรานนท์,Patharapong Supparanon,73817,47
707294083039692,เบียร์ พนธกร,เบียร์ พนธกร,73101,233
116679231319335,สส.ตุ๊ก กานสินี โอภาสรังสรรค์ - กาญจนะ,Dunyawat  Bamrungchan,73069,75
106872458897954,ระพีพัฒน์ สุเมธโชติเมธา,ระพีพัฒน์ สุเมธโชติเมธา,72803,41
106346265411234,ชูก้า อากาเป เที่ยวกับน้ำตาล,These ads ran without a disclaimer,72798,2
104424515727425,Jody,These ads ran without a disclaimer,72421,4
357567608297722,ดร.สฤษฏ์พงษ์ เกี่ยวข้อง,ดร.สฤษฏ์พงษ์ เกี่ยวข้อง,72185,80
109060983852786,เดชนัฐวิทย์ เตริยาภิรมย์,เดชนัฐวิทย์ เตริยาภิรมย์,72021,25
102108535240880,สมบัติ ยะสินธุ์,สมบัติ ยะสินธุ์,71546,165
101755712680612,รัก ณิชาภา โกวิทานนท์ ผู้สมัคร ส.ส.สมุทรสงคราม พรรคเพื่อไทย,รัก ณิชาภา โกวิทานนท์ ผู้สมัคร ส.ส.สมุทรสงคราม พรรคเพื่อไทย,71094,37
107406281857759,Graph Dental คลินิกทันตกรรมกราฟ สุขาภิบาล5-สายไหม,These ads ran without a disclaimer,70244,49
194806671454828,นายศาสตรา ศรีปาน - Sarttra Sripan,นายศาสตรา ศรีปาน - Sarttra Sripan,68921,69
224559081073575,Mono 29,Mono 29,68664,51
225483931284436,ณัฐวรันธร ทองคำ  - อาทิตย์ บางใหญ่รถยก,ยุทธวีร์ ทองคำ,68583,25
104909135396165,Phuthita Chaianun - พุธิตา ชัยอนันต์,Phuthita Chaianun,68542,25
102721728305247,ทีมภูเก็ตหยัดได้,ทีมภูเก็ตหยัดได้,68233,78
108201828409912,ณัฐวัฒน์ พอใช้ได้,Atirit Dechasiniwat,67741,212
957118481090434,สวนธรรมญาณ บุญเมตตา,These ads ran without a disclaimer,65122,1
258984171484737,นนท์ นนทิวรรธน์,วรรณชัย เรือนแก้ว,64119,43
106066888253173,ดร. นิค - สุวดี พันธุ์พานิช,These ads ran without a disclaimer,63885,276
101466499528676,ปราณี เชื้อเกตุ,ปราณี เชื้อเกตุ,63846,161
671848222951809,อยากสูงดร.หญิงสูงสร้างได้ Tallsters,These ads ran without a disclaimer,63576,17
2046265545683549,เชียร์ลุง,เชียร์ลุง,63554,312
273953703307472,ธกร เลาหพงศ์ชนะ - Takorn Laohapongchana,ธกร เลาหพงศ์ชนะ - Takorn Laohapongchana,63550,48
277143792910800,เฉลิมพงศ์ แสงดี - Chalermpong Saengdee,เฉลิมพงศ์ แสงดี - Chalermpong Saengdee,63365,119
114043631615331,ชานิสรา ภูวิจิตร บอสโอ๋เพื่อไทย,ชานิสรา,62324,29
100399988164632,ร่มธรรม ขำนุรักษ์ -หวาย,Romtham Khumnurak,61868,188
103983981304937,พรรคเสมอภาค-Equality Party,Nalinphas Ongkunaruk,61610,19
234345809961492,สส.จ๋า - ดร.วชิราภรณ์ กาญจนะ,ส.ส.จ๋า วชิราภรณ์ กาญจนะ,61045,78
108078728711599,Dr.Fon clinic -หาดใหญ่,Dr.Fon clinic -หาดใหญ่,60891,55
212734515425031,ไทกร พลสุวรรณ,ไทกร พลสุวรรณ,60871,23
107612328588715,The Voters,สันติสุข กาญจนประกร,60525,910
109181551570681,วชิราภรณ์ นิรันตราภรณ์ - พรรคก้าวไกล สงขลา เขต 2,Wachiraporn Niruntraporn,60492,57
539119526485380,ทนายใหญ่ ธิมาชัย,ทนายใหญ่ ธิมาชัย,60269,33
856383837771145,รับสมัครนักศึกษา มหาวิทยาลัยกรุงเทพธนบุรี by ดร.หวาน,These ads ran without a disclaimer,60257,1
204016840519336,ศ.ดร.นฤมล ภิญโญสินวัฒน์ Prof.Dr.Narumon Pinyosinwat,ศ.ดร.นฤมล ภิญโญสินวัฒน์ Prof.Dr.Narumon Pinyosinwat,60062,68
