Page ID,Page name,Disclaimer,Amount spent (ARS),Number of ads in Library
260217841057049,Consultora Tendencias,Consultora Tendencias,10341439,1117
442074085928723,Raúl Jalil,Raúl Jalil,10315868,804
161768683835555,Municipio de La Matanza,Municipio de La Matanza,10251462,383
680986725302906,Roberto Mirabella,Hacemos Santa Fe,10178063,675
118894094644288,Decir Presente,Decir Presente,10125600,63
605540860101596,Diario Criollo,Diario Criollo,9998327,700
117679558035818,La Tribuna,La Tribuna,9905712,386
110595908793382,Se dice en La Matanza,Se dice en La Matanza,9789476,275
110890318187982,Escucharte Santa Fe,Escucharte Santa Fe,9735425,274
102305658071845,Uthgra Córdoba,Uthgra Córdoba,9621151,170
546669442064267,Martiniano Molina,Martiniano Molina,9515216,255
1726365124243504,Clara García,Unidos para Cambiar Santa Fe,9495372,235
805670376206651,Ramón Lanús,Ramón Lanús,9487040,468
162975431069266,Lucas Aparicio,Lucas Aparicio,9416614,1708
185922194792026,Myriam Bregman,Frente de Izquierda,9375459,720
106548558037239,Corte media.,Corte Media,9259583,515
113781658634572,Gustavo Sáenz,Gustavo Sáenz,9217324,273
121549151035727,Las cosas como son,These ads ran without a disclaimer,9212742,2
110515350310942,Informe24,These ads ran without a disclaimer,9144296,14
102201116202672,Federico Lifschitz,Federico Lifschitz,9049737,255
127148603811291,El Cambio en Chaco es Ahora,El Cambio en Chaco es Ahora,8934466,57
113122186717848,Emiliano Estrada,Emiliano Estrada,8922698,234
1098715983506613,Ministerio de Economía de la Nación Argentina,Secretaría de Medios y Comunicación Pública,8848412,18
231635610267892,Policía de la Ciudad,Gobierno de la Ciudad de Buenos Aires,8824298,266
100148663159546,Ciudadanos Unidos 2023,Ciudadanos Unidos 2023,8782292,77
101185599412309,Marcos para Neuquén,Marcos para Neuquen,8769897,243
191398291019999,Radio Rivadavia San Luis,Radio Rivadavia San Luis,8766725,862
259111760849274,Federico Angelini,Juntos por el Cambio,8714241,559
1689208734631579,Gobierno de Jujuy,Gobierno De Jujuy,8662797,76
125215064017747,Basta de lo Mismo,Basta de lo Mismo,8620323,334
813606588771959,CPC Ruta 20 Municba,municipalidad de córdoba,8620258,57
102436695787908,Chubut por el Cambio,Juntos por Chubut,8535440,964
782697941744883,Catamarca Capital,Catamarca Capital,8527679,1093
100932749306130,Noticias Andinas,Noticias Andinas,8477326,444
1546712922304737,Dionisio Scarpin,Dionisio Scarpin,8445771,269
120866377770913,Argentina en riesgo,These ads ran without a disclaimer,8433469,42
165176490007543,Gente con Valores,Gente con Valores,8336440,287
353492111467605,Julio Garro,Julio Garro,8332654,159
429298067264790,Sergio Ziliotto,Partido Justicialista Distrito La Pampa,8315466,543
104358815744949,Hurlingham Post,Hurlingham Post,8266909,229
116710934724411,Defendamos la Provincia,Defendamos la Provincia,8256037,50
157837240745269,Argentinos por un cambio,Argentinos por un cambio,8140272,300
103948405867129,El Confidencial Noticias,El Confidencial Noticias,8102837,327
105713179194959,Martín Llaryora 2023,Hacemos Unidos por Córdoba,8089933,127
103088924366000,Noticias d,NoticiasD,8078066,1553
114068991740731,Daniel Passerini 2023,Hacemos Unidos por Córdoba,8068546,76
162255976973181,Por Si o por No,Por Si o Por No,8032496,10
1309393872434567,CFK Conducción,CFK Conducción,8017797,52
103350636151320,Punto de Enfoque,Punto de Enfoque,7929171,280
1567551246808899,Laura Vilches,Frente de Izquierda,7887599,504
238683972654117,Guille De Rivas,Guillermo De Rivas,7887512,117
139780689504552,Frente de Izquierda,Frente de Izquierda,7836543,431
543624772318229,Diego Valenzuela,Diego Valenzuela,7821349,138
132275286851048,Luis Alfredo Juez,Juntos por el Cambio,7692343,488
1662250880709156,Lanús Municipio,Lanús Municipio,7639923,164
111494452023622,IAxlaPatria,IAxlaPatria,7619070,9
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,7593815,7
102289782502796,Prensa Digital,Prensa Digital,7474151,488
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,7417361,9
132751396871186,German Braillard,Frente Renovador,7335953,253
212404205842351,CPC Rancagua MuniCba,municipalidad de córdoba,7282475,71
1745245992268425,Votes a quien votes,Votes a quien votes,7230477,17
174970176018,Horacio Rodríguez Larreta,Juntos por el Cambio - Capital Federal,7204481,294
101321286190410,Avancemos Salta,Avancemos Salta,7192992,157
105925915008935,Frente Cambia Jujuy,Frente Cambia Jujuy,7046219,116
327490147360219,Martín Berhongaray,Martín Berhongaray,7026404,866
1496964746992339,Argentino,Es de Argentino,6908463,115
107862828349752,Tiempo de Córdoba,Tiempo de Córdoba,6907461,1533
107590944370114,Voz de Santa Fe,www.vozdesantafe.com.ar,6856958,613
158618467332625,QUE SE VAYAN TODOS,Que se vayan todos,6855227,266
1379632975602046,Ministerio del Interior,Secretaría de Medios y Comunicación Pública,6839892,151
106691415846142,Unión por Jujuy,Unión por Jujuy,6795579,37
1726365124243504,Clara García,Clara Garcia,6769680,156
465558466800210,Maxi Pullaro,Maxi Pullaro,6742826,1444
113859925097418,Derechos en Riesgo,These ads ran without a disclaimer,6629463,15
811490865528770,Guillermo Viñuales,Guillermo Viñuales,6623977,420
824110414271095,Lain Garcia Calvo,These ads ran without a disclaimer,6622660,21
109554821547169,CPC Jardín MuniCba,municipalidad de córdoba,6608055,80
465558466800210,Maxi Pullaro,Juntos por el Cambio Evolución,6600964,934
256803881073240,Gobierno de Salta,Gobierno de Salta,6514443,293
101136429035684,Buenos Aires 247,Buenos Aires 247,6504832,153
1383234345334458,Ramiro Marra,Ramiro Marra,6498823,50
171330806277312,Diego Santilli,Instituto República,6487587,1267
100513966017836,Noticias del Sur,Noticias del Sur,6480270,471
104377591978898,Compacto Córdoba,Compacto Córdoba,6474356,569
112180321927040,La Vidriera,La vidriera,6447325,258
101680104516429,La Propuesta de Todos,These ads ran without a disclaimer,6436561,7
194377447332998,Municipalidad de Villa Carlos Paz,Municipalidad de Villa Carlos Paz,6432855,937
107796462136638,La República Noticias,La República Noticias,6352268,371
106716278920168,Noticias Argentinas,Noticias Argentinas Web,6348397,287
104576054784633,Soy Cordobés,Soy cordobés,6323918,4934
108145258869282,Por amor a Salta,Por Amor a Salta,6313534,105
112512128560132,Punto Medio  Web,Punto Medio Web,6309639,232
205176889566970,Mauricio Longin D'Alessandro,Mauricio D'Alessandro,6307369,112
136747659520705,Vamos con +a,Vamos con +a,6305479,68
105735495551632,Nico Marchiolo,Nico Marchiolo,6297228,26
2057819794450925,CPC Pueyrredón MuniCba,municipalidad de córdoba,6286658,53
102895789488109,Alerta Argentina,These ads ran without a disclaimer,6270470,53
359514447487972,Martín Arjol,Martín Arjol,6198174,394
862393870465260,Fabian Martin,Fabian Martin Intendente,6118364,1494
127371263795303,El País Elige,El País Elige,6099999,17
147255748694051,Fernando Espinoza,Peronismo La Matanza,6074429,197
122008198196943,Revolución Popular,Revolución Popular,6073531,115
103644022784798,"Rosario Puede, Santa Fe Cambia","Rosario Puede, Santa Fe Cambia",6066952,68
148733484981519,Que No Vuelvan,Que no vuelvan,6057179,55
106159589201526,La Lupa Noticias,La Lupa Noticias,6055662,235
110746414660916,Lomas Noticias,Lomas Noticias,6039140,113
480129710135,Municipio de Tigre,Municipalidad de Tigre,6006667,694
424702354318618,Pedro Puerta,Pedro Puerta,5965923,159
1576976629211448,Paco Garibaldi,Paco Garibaldi,5948198,485
65695624363,Rubén Giustiniani,Igualdad y Participación,5947204,102
140913885767521,Por Perón y por Evita,por peron y por evita,5937379,77
427271967380241,Lucas Delfino,Juntos,5917025,207
90148244993,Patricia Bullrich,Juntos por el Cambio - La Fuerza Del Cambio Lista 132B,5871343,49
